,PLD32A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.25,
3011.256,-0.10007516,
3008.346,96.350378,
3005.435,112.97968,
3002.525,114.09004,
2999.614,135.84869,
2996.704,127.02423,
2993.793,124.00691,
2990.882,128.353,
2987.972,145.79036,
2985.061,143.10959,
2982.151,140.31808,
2979.240,155.14541,
2976.329,178.24727,
2973.419,172.01162,
2970.508,173.68331,
2967.598,164.94116,
2964.687,174.48098,
2961.777,189.80992,
2958.866,179.42607,
2955.955,172.06194,
2953.045,181.76791,
2950.134,201.66548,
2947.224,205.23397,
2944.313,209.16595,
2941.403,207.65511,
2938.492,198.10234,
2935.581,209.02979,
2932.671,208.5526,
2929.760,213.19614,
2926.850,204.80226,
2923.939,223.14718,
2921.028,239.68536,
2918.118,219.30919,
2915.207,217.45892,
2912.297,207.80501,
2909.386,207.51643,
2906.476,233.25276,
2903.565,230.58852,
2900.654,235.58518,
2897.744,210.01402,
2894.833,215.08019,
2891.923,192.75,
2889.012,231.05058,
2886.102,218.6635,
2883.191,221.75755,
2880.280,179.77869,
2877.370,114.35475,
2874.459,129.9137,
2871.549,167.80274,
2868.638,219.618,
2865.727,233.11159,
2862.817,216.57887,
2859.906,240.97792,
2856.996,238.76811,
2854.085,245.31304,
2851.175,244.13547,
2848.264,253.62234,
2845.353,249.4912,
2842.443,242.54164,
2839.532,245.86943,
2836.622,240.8737,
2833.711,240.12832,
2830.801,244.0375,
2827.890,244.20804,
2824.979,256.23191,
2822.069,248.04567,
2819.158,258.92788,
2816.248,250.43921,
2813.337,287.12075,
2810.427,255.88223,
2807.516,255.27516,
2804.605,256.9976,
2801.695,260.65788,
2798.784,263.23254,
2795.874,260.73415,
2792.963,275.75,
2790.052,256.75408,
2787.142,260.52635,
2784.231,251.68635,
2781.321,267.24135,
2778.410,254.2944,
2775.500,263.15483,
2772.589,244.05886,
2769.678,266.85578,
2766.768,254.89366,
2763.857,258.53998,
2760.947,262.75,
2758.036,283.08133,
2755.126,270.84829,
2752.215,268.60007,
2749.304,272.8777,
2746.394,273.17338,
2743.483,272.55001,
2740.573,271.63717,
2737.662,278.65384,
2734.751,282.60932,
2731.841,283.99359,
2728.930,281.48315,
2726.020,287.8831,
2723.109,282.58542,
2720.199,287.88752,
2717.288,290.18796,
2714.377,294.75,
2711.467,291.83241,
2708.556,287.38789,
2705.646,305.97536,
2702.735,304.07474,
2699.825,298.68456,
2696.914,296.08317,
2694.003,330.87845,
2691.093,317.91007,
2688.182,312.96926,
2685.272,313.8382,
2682.361,299.23799,
2679.450,311.45782,
2676.540,307.48579,
2673.629,297.40469,
2670.719,311.10028,
2667.808,319.55546,
2664.898,316.00973,
2661.987,317.31668,
2659.076,322.11422,
2656.166,300.12223,
2653.255,313.82483,
2650.345,332.13476,
2647.434,319.00722,
2644.524,321.75,
2641.613,333.40745,
2638.702,323.0025,
2635.792,325.12686,
2632.881,320.56531,
2629.971,321.64258,
2627.060,327.08313,
2624.149,325.99375,
2621.239,329.51334,
2618.328,319.10639,
2615.418,347.75909,
2612.507,338.16504,
2609.597,355.63822,
2606.686,336.97088,
2603.775,327.50793,
2600.865,326.10155,
2597.954,337.37288,
2595.044,349.75,
2592.133,349.13853,
2589.223,363.90686,
2586.312,354.85046,
2583.401,365.32296,
2580.491,359.55768,
2577.580,364.7533,
2574.670,367.58021,
2571.759,365.34589,
2568.848,364.21963,
2565.938,365.65477,
2563.027,365.48181,
2560.117,361.66588,
2557.206,367.79059,
2554.296,378.14588,
2551.385,362.06401,
2548.474,366.56487,
2545.564,383.24351,
2542.653,367.43457,
2539.743,361.72535,
2536.832,382.62851,
2533.922,391.37154,
2531.011,370.22479,
2528.100,390.61067,
2525.190,390.89139,
2522.279,384.50037,
2519.369,393.41076,
2516.458,387.64518,
2513.548,387.46828,
2510.637,386.76628,
2507.726,378.30764,
2504.816,385.43658,
2501.905,382.99634,
2498.995,397.18325,
2496.084,410.85796,
2493.173,400.69768,
2490.263,402.36807,
2487.352,414.83347,
2484.442,423.0155,
2481.531,430.85114,
2478.621,431.42775,
2475.710,394.82668,
2472.799,407.95624,
