,PLE689~1,
Raman shift [1/cm],Intensity,
2219.579,2082.5993,
2216.669,2098.5391,
2213.758,2121.8433,
2210.847,2158.4789,
2207.937,2177.1771,
2205.026,2189.2912,
2202.116,2211.0156,
2199.205,2242.0495,
2196.294,2282.9729,
2193.384,2309.467,
2190.473,2326.0687,
2187.563,2406.7845,
2184.652,2448.3605,
2181.742,2515.059,
2178.831,2609.3879,
2175.920,2747.7361,
2173.010,2904.4833,
2170.099,3020.883,
2167.189,3197.7085,
2164.278,3379.3195,
2161.368,3608.191,
2158.457,3777.2383,
2155.546,3969.4223,
2152.636,4161.0556,
2149.725,4335.4504,
2146.815,4455.3882,
2143.904,4524.5803,
2140.993,4649.5457,
2138.083,4632.7556,
2135.172,4655.1292,
2132.262,4617.0722,
2129.351,4528.9246,
2126.441,4392.7703,
2123.530,4254.0098,
2120.619,4006.8367,
2117.709,3839.3947,
2114.798,3587.5434,
2111.888,3366.2293,
2108.977,3151.1945,
2106.067,2993.6532,
2103.156,2855.6456,
2100.245,2774.5729,
2097.335,2679.7036,
2094.424,2601.4809,
2091.514,2598.1624,
2088.603,2517.4177,
2085.692,2479.9857,
2082.782,2474.7455,
2079.871,2458.3741,
2076.961,2411.5956,
2074.050,2443.4311,
2071.140,2434.476,
2068.229,2405.9922,
2065.318,2413.4903,
2062.408,2385.3512,
2059.497,2343.2381,
2056.587,2337.6949,
2053.676,2367.9229,
2050.766,2339.6272,
2047.855,2348.8845,
2044.944,2323.758,
2042.034,2329.128,
2039.123,2340.9045,
2036.213,2340.9317,
2033.302,2345.4511,
2030.391,2357.7941,
2027.481,2399.8442,
2024.570,2409.0965,
2021.660,2423.6789,
2018.749,2355.3468,
2015.839,2373.894,
2012.928,2381.3716,
2010.017,2389.2623,
2007.107,2368.9745,
2004.196,2365.9464,
2001.286,2354.3953,
1998.375,2357.8878,
1995.465,2362.1982,
1992.554,2334.5782,
1989.643,2367.3116,
1986.733,2361.4846,
1983.822,2328.4212,
1980.912,2353.2979,
1978.001,2342.3875,
1975.090,2340.6632,
1972.180,2321.2806,
1969.269,2344.3636,
1966.359,2332.5435,
1963.448,2324.8522,
1960.538,2344.8552,
1957.627,2387.8572,
1954.716,2346.0039,
1951.806,2370.0785,
1948.895,2356.8194,
1945.985,2344.3652,
1943.074,2363.3336,
1940.164,2336.0863,
1937.253,2317.1816,
1934.342,2299.5138,
1931.432,2295.2843,
1928.521,2294.4816,
1925.611,2281.255,
1922.700,2283.1651,
1919.790,2375.9188,
1916.879,2313.4142,
1913.968,2331.5955,
1911.058,2356.9163,
1908.147,2319.6878,
1905.237,2336.9486,
1902.326,2362.2754,
1899.415,2323.8421,
1896.505,2329.6189,
1893.594,2322.439,
1890.684,2342.5007,
1887.773,2353.625,
1884.863,2357.4519,
1881.952,2356.835,
1879.041,2358.651,
1876.131,2319.7204,
1873.220,2378.6164,
1870.310,2353.3515,
1867.399,2347.673,
1864.489,2334.5735,
1861.578,2311.6138,
1858.667,2339.0112,
1855.757,2331.02,
1852.846,2338.6353,
1849.936,2345.2296,
1847.025,2370.968,
1844.114,2429.305,
1841.204,2411.7369,
1838.293,2393.5784,
1835.383,2435.2875,
1832.472,2433.578,
1829.562,2432.9294,
1826.651,2464.2923,
1823.740,2491.1844,
1820.830,2482.7351,
1817.919,2473.7387,
1815.009,2485.4685,
1812.098,2487.625,
1809.188,2472.6173,
1806.277,2489.2266,
1803.366,2475.7082,
1800.456,2483.0981,
1797.545,2524.5187,
1794.635,2515.947,
1791.724,2539.5472,
1788.813,2577.8227,
1785.903,2575.7839,
1782.992,2597.4536,
1780.082,2601.5871,
1777.171,2567.2845,
1774.261,2545.3701,
1771.350,2598.7405,
1768.439,2636.9824,
1765.529,2611.9917,
1762.618,2650.95,
1759.708,2662.9401,
1756.797,2658.3902,
1753.887,2671.2154,
1750.976,2715.7735,
1748.065,2711.5175,
1745.155,2705.3991,
1742.244,2733.8134,
1739.334,2731.6156,
