,PLB286~1,
Raman shift [1/cm],Intensity,
2196.294,1443.053,
2193.384,1446.4015,
2190.473,1470.9724,
2187.563,1462.4813,
2184.652,1491.4538,
2181.742,1547.627,
2178.831,1605.7214,
2175.920,1660.1018,
2173.010,1732.854,
2170.099,1838.1652,
2167.189,1896.4944,
2164.278,2062.8202,
2161.368,2161.0855,
2158.457,2288.2449,
2155.546,2427.3713,
2152.636,2527.1834,
2149.725,2660.2205,
2146.815,2749.1059,
2143.904,2817.085,
2140.993,2864.6551,
2138.083,2941.7397,
2135.172,2960.2239,
2132.262,2975.8715,
2129.351,2948.699,
2126.441,2857.3262,
2123.530,2804.8149,
2120.619,2648.1098,
2117.709,2481.757,
2114.798,2326.017,
2111.888,2199.8911,
2108.977,2061.9776,
2106.067,1972.0134,
2103.156,1859.3528,
2100.245,1773.3512,
2097.335,1729.7153,
2094.424,1679.2797,
2091.514,1635.3587,
2088.603,1611.6976,
2085.692,1588.1856,
2082.782,1567.2545,
2079.871,1557.3388,
2076.961,1580.6314,
2074.050,1532.6841,
2071.140,1554.1914,
2068.229,1527.7487,
2065.318,1519.2025,
2062.408,1528.822,
2059.497,1534.1786,
2056.587,1477.2132,
2053.676,1492.5726,
2050.766,1517.0663,
2047.855,1478.8624,
2044.944,1464.7003,
2042.034,1485.901,
2039.123,1484.375,
2036.213,1487.4706,
2033.302,1507.6791,
2030.391,1497.5451,
2027.481,1468.7532,
2024.570,1465.9035,
2021.660,1476.7246,
2018.749,1507.6912,
2015.839,1491.8547,
2012.928,1500.4555,
2010.017,1496.4011,
2007.107,1481.8142,
2004.196,1502.768,
2001.286,1506.1418,
1998.375,1458.6279,
1995.465,1481.1991,
1992.554,1464.0811,
1989.643,1457.4787,
1986.733,1490.3048,
1983.822,1476.7354,
1980.912,1498.4434,
1978.001,1455.7312,
1975.090,1452.9384,
1972.180,1484.7526,
1969.269,1480.1652,
1966.359,1459.1317,
1963.448,1447.8783,
1960.538,1471.1548,
1957.627,1459.5422,
1954.716,1458.3463,
1951.806,1468.8975,
1948.895,1404.2879,
1945.985,1422.4812,
1943.074,1443.4968,
1940.164,1444.5961,
1937.253,1436.2099,
1934.342,1431.8964,
1931.432,1410.1289,
1928.521,1407.9605,
1925.611,1391.148,
1922.700,1392.4551,
1919.790,1388.4849,
1916.879,1373.4212,
1913.968,1384.3602,
1911.058,1380.2909,
1908.147,1405.648,
1905.237,1398.9412,
1902.326,1418.6935,
1899.415,1416.7982,
1896.505,1407.7244,
1893.594,1417.7348,
1890.684,1401.6235,
1887.773,1386.3059,
1884.863,1381.17,
1881.952,1396.9973,
1879.041,1413.1834,
1876.131,1402.3449,
1873.220,1401.9901,
1870.310,1369.8863,
1867.399,1390.0071,
1864.489,1392.3486,
1861.578,1415.1608,
1858.667,1402.0546,
1855.757,1390.19,
1852.846,1384.1801,
1849.936,1411.5382,
1847.025,1404.2558,
1844.114,1419.8244,
1841.204,1440.9449,
1838.293,1446.3833,
1835.383,1451.212,
1832.472,1456.4098,
1829.562,1452.4586,
1826.651,1480.7774,
1823.740,1476.1757,
1820.830,1508.7297,
1817.919,1480.4706,
1815.009,1449.1129,
1812.098,1504.6191,
1809.188,1492.6154,
1806.277,1550.0471,
1803.366,1529.1088,
1800.456,1515.0237,
1797.545,1536.5527,
1794.635,1481.8882,
1791.724,1567.2002,
1788.813,1566.5688,
1785.903,1553.4719,
1782.992,1560.2304,
1780.082,1542.4507,
1777.171,1571.368,
1774.261,1564.3554,
1771.350,1587.4812,
1768.439,1578.7589,
1765.529,1580.1009,
1762.618,1573.3075,
1759.708,1579.462,
1756.797,1596.2841,
1753.887,1607.9391,
1750.976,1594.2232,
1748.065,1605.2659,
1745.155,1634.9813,
1742.244,1655.6313,
1739.334,1639.4644,
1736.423,1609.5918,
1733.512,1635.5743,
1730.602,1649.871,
1727.691,1703.3436,
1724.781,1735.1065,
1721.870,1717.6463,
1718.960,1764.1756,
1716.049,1724.1975,
1713.138,1715.23,
1710.228,1711.0235,
1707.317,1754.6036,
1704.407,1807.9901,
1701.496,1778.7362,
1698.586,1804.0185,
1695.675,1768.0109,
1692.764,1838.2726,
1689.854,1867.249,
1686.943,1843.2519,
1684.033,1839.4495,
1681.122,1868.8652,
1678.211,1896.118,
1675.301,1930.2702,
1672.390,1996.6232,
1669.480,2079.3188,
1666.569,2072.6924,
1663.659,2098.7143,
1660.748,2178.758,
1657.837,2148.6653,
1654.927,2207.687,
1652.016,2263.4928,
1649.106,2309.2318,
1646.195,2343.6627,
1643.285,2357.3802,
1640.374,2444.3785,
1637.463,2492.4919,
1634.553,2554.7641,
1631.642,2648.3631,
1628.732,2739.5068,
1625.821,2929.4502,
1622.911,3043.727,
1620.000,3226.0568,
1617.089,3397.9322,
1614.179,3693.8865,
1611.268,3833.3188,
1608.358,4011.8532,
1605.447,4190.0907,
1602.536,4322.4522,
1599.626,4357.1331,
1596.715,4397.4942,
1593.805,4336.9831,
1590.894,4350.5111,
1587.984,4320.4635,
1585.073,4237.9507,
1582.162,4232.7239,
1579.252,4177.9122,
1576.341,4170.9824,
1573.431,4152.7956,
1570.520,4104.5699,
1567.610,4105.5321,
1564.699,4043.6723,
1561.788,3949.3616,
1558.878,3894.43,
1555.967,3817.6299,
1553.057,3734.6169,
1550.146,3659.0551,
1547.235,3577.4263,
1544.325,3518.7537,
1541.414,3500.8349,
1538.504,3433.5807,
1535.593,3356.7414,
1532.683,3331.3495,
1529.772,3273.0945,
1526.861,3185.6143,
1523.951,3162.6383,
1521.040,3147.4705,
1518.130,3045.9768,
1515.219,3006.8557,
1512.309,2969.9876,
1509.398,2935.3826,
1506.487,2942.5721,
1503.577,2919.4969,
1500.666,2878.0999,
1497.756,2818.6968,
1494.845,2796.8542,
1491.934,2760.3435,
1489.024,2750.7186,
1486.113,2774.4826,
1483.203,2695.5517,
1480.292,2654.8286,
1477.382,2642.909,
1474.471,2612.982,
1471.560,2595.667,
1468.650,2552.0619,
1465.739,2526.3296,
1462.829,2533.1177,
1459.918,2560.8172,
1457.008,2567.7287,
1454.097,2517.7051,
1451.186,2501.1487,
1448.276,2554.3372,
1445.365,2557.2297,
1442.455,2520.542,
1439.544,2506.4132,
1436.633,2508.3154,
1433.723,2460.3478,
1430.812,2517.1689,
1427.902,2438.5858,
1424.991,2405.4141,
1422.081,2411.7148,
1419.170,2372.6282,
1416.259,2362.3247,
1413.349,2357.5988,
1410.438,2319.2867,
1407.528,2331.0559,
