,PL5D13~1,
Wavenumbers [1/cm],Intensity,
2175.920,330.96197,
2173.010,333.42545,
2170.099,336.49157,
2167.189,356.58912,
2164.278,351.33153,
2161.368,354.19588,
2158.457,356.72883,
2155.546,367.60869,
2152.636,359.14635,
2149.725,375.08806,
2146.815,379.65837,
2143.904,394.72537,
2140.993,393.29699,
2138.083,390.00188,
2135.172,403.07882,
2132.262,401.11444,
2129.351,401.91124,
2126.441,401.858,
2123.530,414.73724,
2120.619,419.9463,
2117.709,385.61494,
2114.798,368.12881,
2111.888,364.67491,
2108.977,367.26076,
2106.067,352.45744,
2103.156,353.78385,
2100.245,357.63316,
2097.335,368.81872,
2094.424,354.42825,
2091.514,354.55783,
2088.603,359.25174,
2085.692,361.3536,
2082.782,352.60901,
2079.871,350.08941,
2076.961,359.97922,
2074.050,377.84924,
2071.140,362.30319,
2068.229,353.00522,
2065.318,346.78677,
2062.408,360.76117,
2059.497,370.86312,
2056.587,360.2184,
2053.676,348.99177,
2050.766,363.39331,
2047.855,346.08067,
2044.944,359.09776,
2042.034,346.65396,
2039.123,366.08628,
2036.213,365.8005,
2033.302,357.77705,
2030.391,347.87969,
2027.481,357.96628,
2024.570,358.72516,
2021.660,351.0389,
2018.749,361.13112,
2015.839,352.52592,
2012.928,373.71728,
2010.017,353.8074,
2007.107,356.79139,
2004.196,374.99403,
2001.286,381.70978,
1998.375,368.74901,
1995.465,345.46607,
1992.554,333.73683,
1989.643,362.55352,
1986.733,342.83904,
1983.822,348.31776,
1980.912,352.70373,
1978.001,338.89588,
1975.090,343.46011,
1972.180,334.93483,
1969.269,342.88938,
1966.359,340.0844,
1963.448,336.89448,
1960.538,364.21633,
1957.627,316.23486,
1954.716,311.56755,
1951.806,319.41985,
1948.895,333.7323,
1945.985,332.73121,
1943.074,345.3336,
1940.164,326.98078,
1937.253,313.85138,
1934.342,294.11217,
1931.432,320.91207,
1928.521,335.13104,
1925.611,316.48879,
1922.700,308.25069,
1919.790,311.07005,
1916.879,294.88049,
1913.968,326.58442,
1911.058,342.56794,
1908.147,324.3038,
1905.237,300.0441,
1902.326,294.89906,
1899.415,282.39691,
1896.505,225.84186,
1893.594,254.60682,
1890.684,294.23936,
1887.773,294.15957,
1884.863,309.48377,
1881.952,321.71748,
1879.041,305.22572,
1876.131,318.35571,
1873.220,333.08522,
1870.310,330.912,
1867.399,331.60901,
1864.489,301.44281,
1861.578,322.55899,
1858.667,326.93042,
1855.757,303.4114,
1852.846,317.11731,
1849.936,311.11349,
1847.025,311.50577,
1844.114,331.09798,
1841.204,357.29283,
1838.293,349.65327,
1835.383,323.88101,
1832.472,345.09109,
1829.562,369.73542,
1826.651,352.79546,
1823.740,336.34529,
1820.830,325.9084,
1817.919,326.06813,
1815.009,333.47487,
1812.098,366.0423,
1809.188,359.30719,
1806.277,327.33322,
1803.366,361.40873,
1800.456,349.28449,
1797.545,359.61087,
1794.635,354.65608,
1791.724,383.83866,
1788.813,366.23349,
1785.903,371.05151,
1782.992,303.30757,
1780.082,265.13437,
1777.171,138.61374,
1774.261,133.49074,
1771.350,237.99152,
1768.439,322.18135,
1765.529,358.98983,
1762.618,387.88254,
1759.708,377.41815,
1756.797,357.99621,
1753.887,375.95882,
1750.976,403.4424,
1748.065,394.66187,
1745.155,394.95392,
1742.244,392.36868,
1739.334,383.88618,
1736.423,410.1801,
1733.512,401.9786,
1730.602,404.34922,
1727.691,390.73647,
1724.781,424.95383,
1721.870,418.7249,
1718.960,450.80321,
1716.049,426.74396,
1713.138,456.53482,
1710.228,433.0349,
1707.317,426.85586,
1704.407,455.37371,
1701.496,440.39404,
1698.586,453.40875,
1695.675,455.56071,
1692.764,415.86268,
1689.854,416.49508,
1686.943,442.71441,
1684.033,454.3518,
1681.122,475.26816,
1678.211,467.70114,
1675.301,492.54791,
1672.390,466.56219,
1669.480,445.96994,
1666.569,488.86622,
1663.659,507.39635,
1660.748,493.79854,
1657.837,503.01866,
1654.927,520.17985,
1652.016,502.35397,
1649.106,531.2333,
1646.195,515.43319,
1643.285,509.63022,
1640.374,595.06054,
1637.463,568.42684,
1634.553,558.21611,
1631.642,598.04846,
1628.732,636.80869,
1625.821,667.61977,
1622.911,659.67008,
1620.000,687.27224,
1617.089,741.53047,
1614.179,789.27135,
1611.268,826.24942,
1608.358,869.56478,
1605.447,928.19689,
1602.536,924.1699,
1599.626,930.06453,
1596.715,936.97821,
1593.805,959.08897,
1590.894,929.92088,
1587.984,936.0181,
1585.073,872.11211,
1582.162,861.45989,
1579.252,828.89296,
1576.341,868.08668,
1573.431,839.68312,
1570.520,836.26877,
1567.610,809.56573,
1564.699,802.52512,
1561.788,767.00563,
1558.878,768.01132,
1555.967,724.75382,
1553.057,720.95236,
1550.146,714.57414,
1547.235,705.57663,
1544.325,705.9284,
1541.414,708.94546,
1538.504,705.43176,
1535.593,689.37363,
1532.683,697.08198,
1529.772,701.23776,
1526.861,681.23431,
1523.951,689.96125,
1521.040,692.06073,
1518.130,683.10309,
1515.219,702.70477,
1512.309,698.23757,
1509.398,662.55843,
1506.487,672.1603,
1503.577,683.625,
1500.666,685.19195,
1497.756,701.36275,
1494.845,745.26426,
1491.934,712.40767,
1489.024,645.99567,
1486.113,689.98578,
1483.203,661.65096,
1480.292,649.13989,
1477.382,685.61266,
1474.471,694.625,
1471.560,597.38574,
1468.650,611.18725,
1465.739,619.25324,
1462.829,640.46587,
1459.918,652.33764,
1457.008,651.20969,
1454.097,632.59278,
1451.186,621.67529,
1448.276,631.97314,
1445.365,594.15818,
1442.455,558.15861,
1439.544,551.70133,
1436.633,571.06096,
1433.723,531.99585,
1430.812,542.80712,
1427.902,557.10636,
1424.991,535.30782,
1422.081,544.71725,
1419.170,522.29537,
1416.259,542.92689,
1413.349,537.29638,
1410.438,507.73315,
1407.528,508.21235,
1404.617,554.54972,
1401.707,539.69982,
1398.796,469.05516,
1395.885,457.42836,
1392.975,482.70792,
1390.064,476.39737,
1387.154,495.51223,
1384.243,458.03739,
1381.332,420.85034,
1378.422,414.48008,
1375.511,411.66974,
1372.601,430.05641,
1369.690,479.62946,
1366.780,512.17809,
1363.869,549.86351,
1360.958,551.06154,
1358.048,541.47182,
1355.137,607.48961,
1352.227,649.95168,
1349.316,644.51113,
1346.406,683.1623,
1343.495,698.15111,
1340.584,675.44644,
1337.674,681.80746,
1334.763,741.80143,
1331.853,746.43758,
1328.942,788.42981,
1326.032,809.12179,
1323.121,769.64906,
1320.210,784.59143,
1317.300,799.03477,
1314.389,828.94504,
1311.479,862.86768,
1308.568,862.44118,
1305.657,849.625,
1302.747,867.61993,
1299.836,943.53905,
1296.926,977.04403,
1294.015,943.02905,
1291.105,975.08559,
1288.194,1021.9584,
1285.283,1021.885,
1282.373,1058.1249,
1279.462,1065.7037,
