,PL662E~1,
Raman shift [1/cm],Intensity,
2173.010,971.80159,
2170.099,1019.3621,
2167.189,1049.5502,
2164.278,1063.3965,
2161.368,1113.4988,
2158.457,1147.3962,
2155.546,1188.6501,
2152.636,1252.6116,
2149.725,1268.8356,
2146.815,1306.1986,
2143.904,1350.5,
2140.993,1347.4736,
2138.083,1352.4543,
2135.172,1393.374,
2132.262,1375.9542,
2129.351,1346.6827,
2126.441,1294.0241,
2123.530,1265.9276,
2120.619,1207.7939,
2117.709,1146.3156,
2114.798,1086.192,
2111.888,1021.8262,
2108.977,968.798,
2106.067,948.19136,
2103.156,929.78313,
2100.245,891.50753,
2097.335,898.80367,
2094.424,867.37219,
2091.514,855.76326,
2088.603,833.68888,
2085.692,832.76776,
2082.782,812.01812,
2079.871,818.35764,
2076.961,819.56458,
2074.050,843.06364,
2071.140,832.0864,
2068.229,815.96225,
2065.318,823.72377,
2062.408,830.81772,
2059.497,833.54766,
2056.587,823.96553,
2053.676,811.86677,
2050.766,822.57623,
2047.855,802.98414,
2044.944,816.57373,
2042.034,797.5,
2039.123,802.60101,
2036.213,808.51998,
2033.302,806.21735,
2030.391,835.55011,
2027.481,832.64651,
2024.570,836.61402,
2021.660,822.5052,
2018.749,841.74019,
2015.839,825.05578,
2012.928,839.66107,
2010.017,831.87676,
2007.107,823.89438,
2004.196,814.94047,
2001.286,813.10424,
1998.375,808.62893,
1995.465,801.78036,
1992.554,773.32965,
1989.643,810.04832,
1986.733,799.07193,
1983.822,788.67873,
1980.912,777.64901,
1978.001,800.06772,
1975.090,795.53053,
1972.180,779.15559,
1969.269,786.95406,
1966.359,788.06746,
1963.448,801.76289,
1960.538,790.64679,
1957.627,807.00776,
1954.716,793.95963,
1951.806,749.44388,
1948.895,770.94327,
1945.985,790.82353,
1943.074,777.34132,
1940.164,771.31712,
1937.253,744.44808,
1934.342,751.1925,
1931.432,775.80915,
1928.521,769.05786,
1925.611,770.26617,
1922.700,736.09393,
1919.790,780.7595,
1916.879,800.66301,
1913.968,790.51353,
1911.058,788.04654,
1908.147,763.91311,
1905.237,749.03682,
1902.326,780.33556,
1899.415,762.64267,
1896.505,740.58429,
1893.594,736.77135,
1890.684,759.12078,
1887.773,766.52614,
1884.863,757.86219,
1881.952,782.60975,
1879.041,753.40601,
1876.131,762.48823,
1873.220,758.78315,
1870.310,756.57175,
1867.399,768.30808,
1864.489,758.79902,
1861.578,741.8736,
1858.667,748.1407,
1855.757,767.48568,
1852.846,774.95644,
1849.936,759.47596,
1847.025,788.49756,
1844.114,796.28117,
1841.204,790.14685,
1838.293,784.50665,
1835.383,784.872,
1832.472,811.03565,
1829.562,839.91485,
1826.651,835.87578,
1823.740,840.69159,
1820.830,816.72023,
1817.919,806.05687,
1815.009,815.77481,
1812.098,824.6811,
1809.188,834.87982,
1806.277,801.27461,
1803.366,872.05082,
1800.456,845.93966,
1797.545,850.82638,
1794.635,826.82204,
1791.724,842.16991,
1788.813,844.10463,
1785.903,861.07944,
1782.992,863.59834,
1780.082,852.62146,
1777.171,847.8244,
1774.261,817.78507,
1771.350,838.53851,
1768.439,866.6071,
1765.529,875.77316,
1762.618,871.73624,
1759.708,869.60875,
1756.797,872.34848,
1753.887,875.01312,
1750.976,876.14136,
1748.065,873.27112,
