,PL070F~1,
Raman shift [1/cm],Intensity,
2175.920,1056.3654,
2173.010,1083.9765,
2170.099,1132.7203,
2167.189,1197.4335,
2164.278,1250.3964,
2161.368,1321.5522,
2158.457,1384.4388,
2155.546,1450.7452,
2152.636,1492.6037,
2149.725,1555.7223,
2146.815,1610.59,
2143.904,1652.835,
2140.993,1675.7282,
2138.083,1684.2556,
2135.172,1703.6544,
2132.262,1687.6074,
2129.351,1698.2492,
2126.441,1655.5326,
2123.530,1587.8781,
2120.619,1557.5932,
2117.709,1482.7663,
2114.798,1401.3709,
2111.888,1349.7008,
2108.977,1277.8137,
2106.067,1224.132,
2103.156,1203.9275,
2100.245,1162.1099,
2097.335,1133.7899,
2094.424,1097.338,
2091.514,1075.6895,
2088.603,1063.1757,
2085.692,1066.2625,
2082.782,1064.1772,
2079.871,1057.1962,
2076.961,1064.5438,
2074.050,1022.2583,
2071.140,1058.976,
2068.229,1038.6562,
2065.318,1034.3082,
2062.408,1018.8224,
2059.497,1042.7321,
2056.587,1042.9971,
2053.676,1013.5434,
2050.766,1012.6631,
2047.855,975.85899,
2044.944,1059.1491,
2042.034,999.57594,
2039.123,1019.1654,
2036.213,1024.0094,
2033.302,1032.1901,
2030.391,1030.3964,
2027.481,1027.6128,
2024.570,1029.8107,
2021.660,1030.125,
2018.749,1035.7708,
2015.839,1048.8967,
2012.928,1026.2861,
2010.017,1030.1891,
2007.107,1027.6782,
2004.196,1026.3513,
2001.286,1051.2911,
1998.375,1035.5994,
1995.465,1012.033,
1992.554,1039.5541,
1989.643,1022.8854,
1986.733,1020.0013,
1983.822,1002.241,
1980.912,1005.5599,
1978.001,981.27714,
1975.090,1003.1097,
1972.180,996.09178,
1969.269,987.78594,
1966.359,1014.1793,
1963.448,1034.1607,
1960.538,1040.371,
1957.627,1003.6761,
1954.716,1005.9239,
1951.806,1013.6715,
1948.895,1022.4671,
1945.985,1007.4485,
1943.074,997.61201,
1940.164,992.40347,
1937.253,978.9116,
1934.342,1006.6721,
1931.432,1012.7023,
1928.521,989.74676,
1925.611,985.77426,
1922.700,974.08771,
1919.790,981.32141,
1916.879,979.404,
1913.968,1026.0672,
1911.058,997.09495,
1908.147,946.5017,
1905.237,989.91178,
1902.326,994.75167,
1899.415,985.50061,
1896.505,984.82385,
1893.594,993.94208,
1890.684,982.70025,
1887.773,963.19414,
1884.863,1005.961,
1881.952,1008.7127,
1879.041,995.85553,
1876.131,1007.3407,
1873.220,949.97874,
1870.310,1018.1697,
1867.399,964.10061,
