,PLD32A~1,
Wavenumbers [1/cm],Intensity,
2173.010,617.57568,
2170.099,610.47619,
2167.189,618.91805,
2164.278,621.94033,
2161.368,613.15971,
2158.457,639.80578,
2155.546,664.69234,
2152.636,660.45484,
2149.725,656.20386,
2146.815,683.94067,
2143.904,680.77834,
2140.993,696.32464,
2138.083,723.79292,
2135.172,714.49675,
2132.262,697.99736,
2129.351,703.67159,
2126.441,701.45751,
2123.530,700.06581,
2120.619,714.26043,
2117.709,695.7655,
2114.798,677.83256,
2111.888,661.94986,
2108.977,680.76905,
2106.067,661.81502,
2103.156,655.51451,
2100.245,651.88441,
2097.335,670.1263,
2094.424,693.15695,
2091.514,680.86416,
2088.603,678.06388,
2085.692,688.96425,
2082.782,694.0637,
2079.871,676.51678,
2076.961,686.84175,
2074.050,656.49318,
2071.140,704.49596,
2068.229,689.05208,
2065.318,707.50577,
2062.408,705.71541,
2059.497,706.32146,
2056.587,711.23564,
2053.676,701.9753,
2050.766,707.33614,
2047.855,722.07435,
2044.944,726.87981,
2042.034,713.638,
2039.123,723.41709,
2036.213,735.91497,
2033.302,742.1791,
2030.391,754.5869,
2027.481,759.82616,
2024.570,751.76098,
2021.660,743.2889,
2018.749,793.89949,
2015.839,742.52985,
2012.928,734.10487,
2010.017,748.18554,
2007.107,781.73669,
2004.196,782.1964,
2001.286,789.37674,
1998.375,795.39567,
1995.465,767.13036,
1992.554,758.12207,
1989.643,809.04312,
1986.733,792.2864,
1983.822,788.92817,
1980.912,825.04276,
1978.001,799.36665,
1975.090,797.85974,
1972.180,796.63432,
1969.269,793.96984,
1966.359,784.90186,
1963.448,796.13789,
1960.538,778.52971,
1957.627,795.16604,
1954.716,809.53028,
1951.806,804.71309,
1948.895,837.83455,
1945.985,826.73448,
1943.074,830.30316,
1940.164,815.85588,
1937.253,830.47053,
1934.342,821.23383,
1931.432,831.43021,
1928.521,826.19797,
1925.611,851.79667,
1922.700,861.33495,
1919.790,835.75967,
1916.879,821.64224,
1913.968,858.82828,
1911.058,851.99813,
1908.147,866.01513,
1905.237,858.83827,
1902.326,885.20388,
1899.415,888.76888,
1896.505,864.96542,
1893.594,866.96949,
1890.684,864.00569,
1887.773,868.45257,
1884.863,872.70188,
1881.952,894.40481,
1879.041,908.92692,
1876.131,886.44364,
1873.220,855.59614,
1870.310,897.35922,
1867.399,895.95497,
1864.489,890.57598,
1861.578,910.30338,
1858.667,926.24631,
1855.757,890.64349,
1852.846,921.60322,
1849.936,899.50364,
1847.025,876.11101,
1844.114,888.96917,
1841.204,924.15122,
1838.293,923.89828,
1835.383,921.35149,
1832.472,951.03848,
1829.562,957.84818,
1826.651,944.98589,
1823.740,948.88268,
1820.830,956.50496,
1817.919,947.28811,
1815.009,942.3063,
1812.098,935.59154,
1809.188,1008.9756,
1806.277,958.13652,
1803.366,995.15964,
1800.456,953.80927,
1797.545,970.70475,
1794.635,985.4541,
1791.724,1031.3604,
1788.813,1036.8724,
1785.903,1032.6269,
1782.992,1057.2148,
1780.082,1111.3608,
1777.171,1150.5372,
1774.261,1129.8599,
1771.350,1089.632,
1768.439,1050.366,
1765.529,1065.4204,
1762.618,1072.605,
1759.708,1067.5923,
1756.797,1068.322,
1753.887,1078.1826,
1750.976,1077.4647,
1748.065,1076.6461,
1745.155,1083.5395,
1742.244,1083.9022,
1739.334,1079.1362,
1736.423,1102.6039,
1733.512,1091.0457,
1730.602,1120.2758,
1727.691,1115.9865,
1724.781,1153.3501,
1721.870,1140.732,
1718.960,1169.4087,
1716.049,1168.4853,
1713.138,1165.165,
1710.228,1157.9126,
1707.317,1159.5287,
1704.407,1176.0461,
1701.496,1202.4868,
1698.586,1236.2905,
1695.675,1218.2894,
1692.764,1172.3791,
1689.854,1145.001,
1686.943,1238.5699,
1684.033,1197.9926,
1681.122,1206.7051,
1678.211,1196.9702,
1675.301,1241.7362,
1672.390,1219.7763,
1669.480,1187.3884,
1666.569,1251.9034,
1663.659,1330.4867,
1660.748,1248.244,
1657.837,1317.2845,
1654.927,1292.0699,
1652.016,1341.3404,
1649.106,1320.2177,
1646.195,1333.9469,
1643.285,1337.3307,
1640.374,1356.6868,
1637.463,1348.0011,
1634.553,1355.7617,
1631.642,1415.1464,
1628.732,1439.8217,
1625.821,1430.9077,
1622.911,1480.5932,
1620.000,1557.8923,
1617.089,1551.0342,
1614.179,1595.5778,
1611.268,1649.8302,
1608.358,1734.8014,
1605.447,1757.7323,
1602.536,1767.262,
1599.626,1798.2328,
1596.715,1762.7558,
1593.805,1740.094,
1590.894,1749.3237,
1587.984,1784.6526,
1585.073,1725.2129,
1582.162,1713.0401,
1579.252,1724.3312,
1576.341,1713.2569,
1573.431,1716.1404,
1570.520,1701.0587,
1567.610,1679.4826,
1564.699,1678.2252,
1561.788,1671.4244,
1558.878,1673.3371,
1555.967,1638.8778,
1553.057,1624.9784,
1550.146,1607.595,
1547.235,1591.9234,
1544.325,1610.7997,
1541.414,1620.3943,
1538.504,1618.4716,
1535.593,1604.3461,
1532.683,1568.8774,
1529.772,1563.9685,
1526.861,1579.4494,
1523.951,1598.9654,
1521.040,1623.3485,
1518.130,1603.0123,
1515.219,1647.3145,
1512.309,1646.0371,
1509.398,1602.8311,
1506.487,1640.7019,
1503.577,1629.4055,
1500.666,1624.4566,
1497.756,1654.5532,
1494.845,1671.5932,
1491.934,1592.8026,
1489.024,1570.6652,
1486.113,1651.47,
1483.203,1652.546,
1480.292,1639.9958,
1477.382,1661.3142,
1474.471,1603.9499,
1471.560,1609.5476,
1468.650,1621.6081,
1465.739,1609.4247,
1462.829,1609.0368,
1459.918,1618.8474,
1457.008,1621.8596,
1454.097,1627.8074,
1451.186,1639.2019,
1448.276,1644.244,
1445.365,1616.2628,
1442.455,1564.8945,
1439.544,1597.8487,
1436.633,1616.6407,
1433.723,1553.8901,
1430.812,1521.8303,
1427.902,1560.476,
1424.991,1627.7672,
1422.081,1577.5788,
1419.170,1577.1953,
1416.259,1610.2775,
1413.349,1605.0359,
1410.438,1593.1774,
1407.528,1558.9754,
1404.617,1605.2849,
1401.707,1617.5486,
1398.796,1558.1933,
1395.885,1554.4658,
1392.975,1592.9165,
1390.064,1603.888,
1387.154,1648.1364,
1384.243,1633.6332,
1381.332,1629.2936,
1378.422,1675.7064,
1375.511,1575.4708,
1372.601,1613.5025,
1369.690,1687.1672,
1366.780,1619.6715,
1363.869,1687.5052,
1360.958,1682.5825,
1358.048,1706.7801,
1355.137,1785.7636,
1352.227,1809.2866,
1349.316,1802.7611,
1346.406,1823.2115,
1343.495,1791.9272,
1340.584,1756.6957,
1337.674,1804.4478,
1334.763,1827.0747,
1331.853,1858.6006,
1328.942,1831.4121,
1326.032,1840.9249,
1323.121,1848.3208,
1320.210,1869.8526,
1317.300,1920.601,
1314.389,1917.0133,
1311.479,1899.1079,
1308.568,1919.5445,
1305.657,1932.3703,
1302.747,1957.0174,
1299.836,2012.8062,
1296.926,2043.4387,
1294.015,2098.5982,
1291.105,2066.5339,
1288.194,2089.0323,
1285.283,2082.9869,
1282.373,2087.3672,
1279.462,2107.6982,
1276.552,2131.0247,
1273.641,2126.4131,
1270.731,2118.7511,
1267.820,2176.9768,
1264.909,2200.3797,
1261.999,2143.4783,
1259.088,2077.8056,
1256.178,2130.4011,
1253.267,2088.4729,
1250.356,2079.6475,
1247.446,2071.1405,
1244.535,2055.442,
1241.625,2053.1231,
1238.714,2070.8386,
1235.804,2087.8508,
1232.893,2074.2433,
1229.982,2105.1816,
1227.072,2114.2348,
1224.161,2085.4574,
1221.251,2045.6276,
1218.340,2026.1013,
1215.430,2041.6943,
1212.519,2041.5757,
1209.608,2013.0156,
1206.698,2001.2155,
1203.787,2017.3021,
1200.877,2035.0949,
1197.966,2022.5067,
1195.055,2037.2335,
1192.145,2069.9287,
1189.234,2136.9687,
1186.324,2199.5144,
1183.413,2203.3521,
1180.503,2180.2711,
1177.592,2176.006,
1174.681,2129.536,
1171.771,2147.7514,
1168.860,2142.3928,
1165.950,2138.6498,
1163.039,2135.7798,
1160.129,2134.875,
1157.218,2149.7778,
1154.307,2161.4227,
1151.397,2148.1401,
1148.486,2138.4687,
1145.576,2174.1404,
1142.665,2134.1843,
1139.754,2136.5704,
1136.844,2158.1838,
1133.933,2159.2504,
1131.023,2135.9354,
1128.112,2131.2299,
1125.202,2168.7783,
1122.291,2194.7362,
1119.380,2159.0742,
1116.470,2179.3724,
1113.559,2169.503,
1110.649,2170.4589,
1107.738,2187.8779,
1104.828,2177.9895,
1101.917,2154.7511,
1099.006,2191.4725,
1096.096,2261.596,
1093.185,2208.0379,
1090.275,2203.875,
1087.364,2183.9774,
1084.453,2187.8117,
1081.543,2184.2902,
1078.632,2169.3822,
1075.722,2181.6452,
1072.811,2209.9442,
1069.901,2196.8453,
1066.990,2186.9834,
1064.079,2199.8463,
1061.169,2230.624,
1058.258,2269.3553,
1055.348,2286.7623,
1052.437,2262.0872,
1049.527,2248.2442,
1046.616,2257.8014,
1043.705,2274.2903,
1040.795,2276.9595,
1037.884,2267.2775,
1034.974,2278.6134,
1032.063,2300.4292,
1029.153,2263.2518,
1026.242,2258.0621,
1023.331,2276.2072,
1020.421,2327.2779,
1017.510,2339.4709,
1014.600,2354.4444,
1011.689,2395.5629,
1008.778,2424.7284,
1005.868,2424.2302,
1002.957,2463.8065,
1000.047,2474.243,
997.136,2489.9708,
994.226,2525.3054,
991.315,2529.7785,
988.404,2462.0383,
985.494,2432.2586,
982.583,2449.3897,
979.673,2428.4623,
976.762,2401.6748,
973.852,2401.2513,
970.941,2416.2822,
968.030,2422.5399,
965.120,2465.8571,
962.209,2461.5944,
959.299,2420.5048,
956.388,2448.6721,
953.477,2460.8575,
950.567,2448.5275,
