,PLBD77~1,
Raman shift [1/cm],Intensity,
2612.507,206.37012,
2609.597,211.56412,
2606.686,213.65714,
2603.775,225.56548,
2600.865,208.01231,
2597.954,222.50831,
2595.044,226.49081,
2592.133,220.34794,
2589.223,233.60712,
2586.312,232.75818,
2583.401,228.36953,
2580.491,223.8654,
2577.580,229.12335,
2574.670,228.95521,
2571.759,235.52911,
2568.848,231.71612,
2565.938,245.07745,
2563.027,234.02728,
2560.117,227.67639,
2557.206,244.11024,
2554.296,241.752,
2551.385,239.94305,
2548.474,253.16218,
2545.564,242.56818,
2542.653,242.44043,
2539.743,244.19894,
2536.832,247.18669,
2533.922,261.98308,
2531.011,250.10026,
2528.100,248.52223,
2525.190,240.68525,
2522.279,251.98431,
2519.369,247.61566,
2516.458,248.01664,
2513.548,257.59764,
2510.637,251.18648,
2507.726,255.55995,
2504.816,250.74844,
2501.905,248.42927,
2498.995,255.52781,
2496.084,246.125,
2493.173,248.3356,
2490.263,252.51822,
2487.352,251.54233,
2484.442,263.68816,
2481.531,265.91228,
2478.621,264.42833,
2475.710,268.20168,
2472.799,275.90529,
2469.889,272.51836,
2466.978,275.40336,
2464.068,270.33662,
2461.157,289.8901,
2458.247,267.43377,
2455.336,274.97433,
2452.425,273.2099,
2449.515,271.73831,
2446.604,277.53513,
2443.694,280.70642,
2440.783,264.93131,
2437.872,270.38025,
2434.962,279.48905,
2432.051,288.56332,
2429.141,294.68378,
2426.230,290.51615,
2423.320,284.22486,
2420.409,289.7468,
2417.498,282.54353,
2414.588,298.56217,
2411.677,300.125,
2408.767,297.08957,
2405.856,290.00118,
2402.946,294.17862,
2400.035,297.82219,
2397.124,292.2373,
2394.214,297.99099,
2391.303,302.76592,
2388.393,311.56224,
2385.482,309.43343,
2382.571,299.64421,
2379.661,296.21795,
2376.750,310.64958,
2373.840,296.51571,
2370.929,314.86509,
2368.019,321.3904,
2365.108,318.07788,
2362.197,327.11131,
2359.287,326.73001,
2356.376,295.17959,
2353.466,336.36819,
2350.555,331.84024,
2347.645,336.79653,
2344.734,320.51668,
2341.823,339.74359,
2338.913,323.94739,
2336.002,323.86662,
2333.092,328.50425,
2330.181,336.40632,
2327.270,331.51004,
2324.360,321.45284,
2321.449,324.88012,
2318.539,346.23204,
2315.628,353.91477,
2312.718,326.86067,
2309.807,347.26163,
2306.896,346.60543,
2303.986,338.25486,
2301.075,337.74202,
2298.165,359.67348,
2295.254,326.96518,
2292.344,350.97153,
2289.433,343.53046,
2286.522,362.125,
2283.612,358.67474,
2280.701,361.45235,
2277.791,378.84261,
2274.880,352.61892,
2271.969,370.67233,
2269.059,377.03509,
2266.148,385.96139,
2263.238,363.83544,
2260.327,365.6768,
2257.417,373.83667,
2254.506,375.31588,
2251.595,371.27047,
2248.685,385.32879,
2245.774,370.40008,
2242.864,376.73598,
2239.953,370.89742,
2237.043,378.69713,
2234.132,379.46012,
2231.221,378.36277,
2228.311,386.47422,
2225.400,371.96936,
2222.490,401.31067,
2219.579,402.125,
2216.669,400.63215,
2213.758,401.08187,
2210.847,414.21566,
2207.937,420.96213,
2205.026,398.45765,
2202.116,413.7163,
2199.205,411.54947,
2196.294,430.55498,
2193.384,416.52047,
2190.473,421.8527,
2187.563,429.01866,
2184.652,411.49275,
2181.742,437.60246,
2178.831,446.84098,
2175.920,457.03939,
2173.010,460.57511,
2170.099,477.58979,
2167.189,511.17523,
2164.278,522.52701,
2161.368,547.26796,
2158.457,559.95195,
2155.546,593.57887,
2152.636,612.48668,
2149.725,619.45386,
2146.815,624.95816,
2143.904,646.12129,
2140.993,642.47943,
2138.083,671.43193,
2135.172,673.77194,
2132.262,679.90845,
2129.351,679.02146,
2126.441,643.20258,
2123.530,654.95664,
2120.619,635.85912,
2117.709,596.99537,
2114.798,556.13261,
2111.888,527.18829,
2108.977,508.85348,
2106.067,515.70878,
2103.156,513.72582,
2100.245,471.11747,
2097.335,459.84751,
2094.424,462.97085,
2091.514,451.83464,
2088.603,459.31388,
2085.692,459.57491,
2082.782,440.34995,
2079.871,437.94647,
2076.961,464.31682,
2074.050,421.53106,
2071.140,446.87231,
2068.229,435.66927,
2065.318,443.63176,
2062.408,442.79899,
2059.497,438.3393,
2056.587,413.33478,
2053.676,421.54042,
2050.766,433.50915,
2047.855,423.78002,
2044.944,444.52885,
2042.034,434.59899,
2039.123,431.02399,
2036.213,422.8939,
2033.302,422.95112,
2030.391,406.31184,
2027.481,422.67355,
2024.570,434.49634,
2021.660,406.89888,
2018.749,402.31495,
2015.839,408.47015,
2012.928,416.4354,
2010.017,416.72218,
2007.107,418.35677,
2004.196,409.02975,
2001.286,411.77163,
1998.375,406.38287,
1995.465,383.24643,
1992.554,382.50732,
1989.643,409.19178,
1986.733,420.39605,
1983.822,375.79265,
1980.912,394.70888,
1978.001,370.58324,
1975.090,357.07158,
1972.180,379.57314,
1969.269,368.10484,
1966.359,375.63874,
1963.448,381.47242,
1960.538,370.38688,
1957.627,398.44081,
1954.716,379.78572,
1951.806,346.06245,
1948.895,379.93679,
1945.985,362.41422,
1943.074,370.99229,
1940.164,360.44254,
1937.253,380.41628,
1934.342,383.13356,
1931.432,361.6108,
1928.521,346.42379,
1925.611,355.05349,
1922.700,369.99654,
1919.790,321.44928,
1916.879,330.79976,
1913.968,358.09303,
1911.058,330.60547,
1908.147,315.236,
1905.237,342.81609,
1902.326,299.98128,
1899.415,321.74939,
1896.505,329.47443,
1893.594,320.85971,
1890.684,324.71311,
1887.773,318.44456,
1884.863,316.43252,
1881.952,351.62974,
1879.041,333.62188,
1876.131,338.78382,
1873.220,313.3594,
1870.310,310.05325,
1867.399,263.8767,
1864.489,322.70915,
1861.578,334.41642,
1858.667,309.88547,
1855.757,327.69779,
1852.846,355.86347,
1849.936,345.19508,
