,PL2D4B~1,
Wavenumbers [1/cm],Intensity,
2694.003,278.10082,
2691.093,271.55355,
2688.182,272.52741,
2685.272,283.05264,
2682.361,252.54694,
2679.450,264.37035,
2676.540,271.0813,
2673.629,270.68612,
2670.719,265.21165,
2667.808,260.34045,
2664.898,279.06518,
2661.987,277.46691,
2659.076,282.63578,
2656.166,301.49794,
2653.255,280.81293,
2650.345,282.86388,
2647.434,272.11461,
2644.524,287.86093,
2641.613,300.85732,
2638.702,295.14203,
2635.792,289.37388,
2632.881,289.33943,
2629.971,283.87249,
2627.060,277.33188,
2624.149,295.89062,
2621.239,302.49704,
2618.328,283.38148,
2615.418,293.99091,
2612.507,298.62055,
2609.597,296.27545,
2606.686,290.14258,
2603.775,301.88095,
2600.865,309.58705,
2597.954,321.52705,
2595.044,326.7139,
2592.133,308.66235,
2589.223,309.34948,
2586.312,320.4121,
2583.401,307.93797,
2580.491,321.98555,
2577.580,321.97029,
2574.670,305.66042,
2571.759,319.35873,
2568.848,315.47508,
2565.938,320.38107,
2563.027,309.39088,
2560.117,328.43928,
2557.206,329.57565,
2554.296,322.88787,
2551.385,332.438,
2548.474,350.59294,
2545.564,334.75973,
2542.653,345.6208,
2539.743,347.54313,
2536.832,334.93831,
2533.922,354.81077,
2531.011,348.22456,
2528.100,339.07658,
2525.190,349.0418,
2522.279,362.31167,
2519.369,328.60374,
2516.458,328.33215,
2513.548,347.22699,
2510.637,360.18445,
2507.726,361.75093,
2504.816,348.87373,
2501.905,354.79695,
2498.995,369.0445,
2496.084,357.37284,
2493.173,347.86788,
2490.263,364.31417,
2487.352,365.374,
2484.442,352.70877,
2481.531,368.58499,
2478.621,371.32225,
2475.710,404.65495,
2472.799,356.54712,
2469.889,356.18008,
2466.978,379.26793,
2464.068,384.95768,
2461.157,374.15497,
2458.247,373.88229,
2455.336,365.68102,
2452.425,362.32547,
2449.515,386.73597,
2446.604,385.65442,
2443.694,376.90708,
2440.783,409.76802,
2437.872,391.14586,
2434.962,392.37328,
2432.051,399.14224,
2429.141,407.5942,
2426.230,401.26076,
2423.320,403.94274,
2420.409,398.03226,
2417.498,408.12082,
2414.588,405.74534,
2411.677,391.25101,
2408.767,403.81791,
2405.856,422.40714,
2402.946,410.30921,
2400.035,407.59625,
2397.124,393.90908,
2394.214,406.7292,
2391.303,408.43089,
2388.393,392.35111,
2385.482,364.9253,
2382.571,354.51921,
2379.661,362.99971,
2376.750,386.52712,
2373.840,415.37486,
2370.929,431.91336,
2368.019,438.72354,
2365.108,431.7199,
2362.197,450.95894,
2359.287,437.84011,
2356.376,435.99472,
2353.466,437.59074,
2350.555,440.79003,
2347.645,443.1841,
2344.734,442.42396,
2341.823,450.85075,
2338.913,465.15819,
2336.002,454.22486,
2333.092,450.11508,
2330.181,449.28132,
2327.270,449.11001,
2324.360,459.74762,
2321.449,472.29252,
2318.539,481.63916,
2315.628,464.98441,
2312.718,462.06608,
2309.807,468.79506,
2306.896,466.75587,
2303.986,479.44165,
2301.075,472.02135,
2298.165,476.55802,
2295.254,475.12926,
2292.344,475.25298,
2289.433,505.93818,
2286.522,490.51339,
2283.612,509.6314,
2280.701,516.26906,
2277.791,514.31686,
2274.880,479.77789,
2271.969,497.90535,
2269.059,497.46867,
2266.148,484.22037,
2263.238,520.28182,
2260.327,516.75845,
2257.417,503.32111,
2254.506,515.61824,
2251.595,515.71638,
2248.685,533.14993,
2245.774,517.47292,
2242.864,495.17701,
2239.953,540.08967,
2237.043,534.2725,
2234.132,512.3793,
2231.221,535.66169,
2228.311,554.47938,
2225.400,544.91556,
2222.490,542.92836,
2219.579,553.83808,
2216.669,561.52623,
2213.758,546.86796,
2210.847,557.31484,
2207.937,571.5521,
2205.026,562.77667,
2202.116,593,
2199.205,595.47482,
2196.294,597.876,
2193.384,599.842,
2190.473,585.55634,
2187.563,624.9855,
2184.652,625.61469,
2181.742,641.86312,
2178.831,633.31907,
2175.920,650.73771,
2173.010,660.54989,
2170.099,671.26538,
2167.189,648.34442,
2164.278,696.73367,
2161.368,700.71432,
2158.457,703.81264,
2155.546,702.83364,
2152.636,720.29781,
2149.725,741.651,
2146.815,754.63294,
2143.904,765.00371,
2140.993,775.86241,
2138.083,780.1763,
2135.172,790.88244,
2132.262,794.98592,
2129.351,789,
2126.441,753.66009,
2123.530,774.25815,
2120.619,788.33064,
2117.709,732.41787,
2114.798,716.73449,
2111.888,703.09982,
2108.977,689.19866,
2106.067,672.1746,
2103.156,656.80247,
2100.245,632.99122,
2097.335,626.70679,
2094.424,665.28814,
2091.514,608.28494,
2088.603,608.89861,
2085.692,619.27504,
2082.782,628.53411,
2079.871,641.50058,
2076.961,641.19373,
2074.050,616.9697,
2071.140,633.74731,
2068.229,625.80989,
2065.318,641.35851,
2062.408,638.18155,
2059.497,636.82144,
2056.587,632.65135,
2053.676,643.51572,
2050.766,654.38415,
2047.855,620.56958,
2044.944,637.07373,
2042.034,618,
2039.123,622.76094,
2036.213,626.25109,
2033.302,639.65186,
2030.391,644.11899,
2027.481,651.13401,
2024.570,653.4715,
2021.660,626.65562,
2018.749,657.54411,
2015.839,647.21063,
2012.928,649.48322,
2010.017,630.67535,
2007.107,627.90654,
2004.196,640.8691,
2001.286,656.60424,
1998.375,645.17027,
1995.465,612.46875,
1992.554,611.13524,
1989.643,629.37785,
1986.733,616.62544,
1983.822,614.6551,
1980.912,642.08904,
1978.001,628.33951,
1975.090,620.142,
1972.180,620.31253,
1969.269,598.83047,
1966.359,593.21612,
1963.448,602.87979,
1960.538,614.49208,
1957.627,594.6006,
1954.716,583.25854,
1951.806,576.54002,
1948.895,601.66403,
1945.985,577.9232,
1943.074,596.79342,
1940.164,580.66334,
1937.253,564.97404,
1934.342,567.58983,
1931.432,580.88644,
1928.521,583.6494,
1925.611,576.79228,
1922.700,569.25138,
1919.790,561.97117,
1916.879,578.67476,
1913.968,577.00369,
1911.058,568.13213,
1908.147,570.13285,
1905.237,564.24996,
1902.326,533.83556,
1899.415,510.56583,
1896.505,477.08429,
1893.594,506.88733,
1890.684,547.93465,
1887.773,546.57757,
1884.863,582.07973,
1881.952,626.41226,
1879.041,617.33125,
1876.131,607.74248,
1873.220,565.15912,
1870.310,564.5695,
1867.399,613.21631,
1864.489,558.36302,
1861.578,593.77459,
1858.667,606.59883,
1855.757,579.60501,
1852.846,576.76409,
1849.936,584.09309,
1847.025,573.88566,
1844.114,571.87534,
1841.204,590.0979,
1838.293,586.50416,
1835.383,573.61651,
1832.472,608.88522,
