,PLCD80~1,
Raman shift [1/cm],Intensity,
2205.026,1701.9571,
2202.116,1757.3394,
2199.205,1798.7137,
2196.294,1788.113,
2193.384,1800.7565,
2190.473,1820.5006,
2187.563,1880.8715,
2184.652,1937.3483,
2181.742,1990.9004,
2178.831,2068.0064,
2175.920,2152.9183,
2173.010,2249.0796,
2170.099,2380.8125,
2167.189,2525.2995,
2164.278,2640.6351,
2161.368,2807.4774,
2158.457,2952.4949,
2155.546,3117.9684,
2152.636,3271.8801,
2149.725,3383.6853,
2146.815,3533.0201,
2143.904,3625.4354,
2140.993,3645.969,
2138.083,3633.9077,
2135.172,3662.9277,
2132.262,3659.0863,
2129.351,3590.5178,
2126.441,3472.9062,
2123.530,3333.4689,
2120.619,3206.305,
2117.709,2989.0864,
2114.798,2783.6707,
2111.888,2632.0413,
2108.977,2491.4991,
2106.067,2374.9618,
2103.156,2272.0793,
2100.245,2155.5817,
2097.335,2077.1119,
2094.424,2014.3268,
2091.514,2001.3021,
2088.603,1947.6941,
2085.692,1920.5694,
2082.782,1894.9182,
2079.871,1893.8035,
2076.961,1888.9479,
2074.050,1927.7462,
2071.140,1844.8669,
2068.229,1821.3268,
2065.318,1846.501,
2062.408,1807.0789,
2059.497,1812.0953,
2056.587,1816.4741,
2053.676,1782.4933,
2050.766,1818.1609,
2047.855,1812.568,
2044.944,1804.5064,
2042.034,1773.3939,
2039.123,1797.2041,
2036.213,1793.0472,
2033.302,1794.8207,
2030.391,1806.4382,
2027.481,1798.2593,
2024.570,1833.0811,
2021.660,1774.764,
2018.749,1812.1311,
2015.839,1803.795,
2012.928,1828.5562,
2010.017,1818.7032,
2007.107,1811.3689,
2004.196,1816.7917,
2001.286,1821.8123,
1998.375,1815.7539,
1995.465,1806.5455,
1992.554,1787.0957,
1989.643,1817.4498,
1986.733,1794.5548,
1983.822,1772.8037,
1980.912,1764.5069,
1978.001,1783.651,
1975.090,1751.2571,
1972.180,1742.9694,
1969.269,1781.0245,
1966.359,1761.219,
1963.448,1760.732,
1960.538,1776.1171,
1957.627,1788.3247,
1954.716,1770.1995,
1951.806,1728.5753,
1948.895,1729.793,
1945.985,1743.1953,
1943.074,1738.7468,
1940.164,1755.8561,
1937.253,1747.6214,
1934.342,1719.7704,
1931.432,1747.5935,
1928.521,1736.7925,
1925.611,1723.7419,
1922.700,1701.2562,
1919.790,1736.1043,
1916.879,1729.6015,
1913.968,1732.6201,
1911.058,1707.8412,
1908.147,1683.2892,
1905.237,1696.7574,
1902.326,1728.6146,
1899.415,1716.9213,
1896.505,1699.3055,
1893.594,1687.3385,
1890.684,1721.8537,
1887.773,1719.3839,
1884.863,1711.9872,
1881.952,1722.7849,
1879.041,1751.0762,
1876.131,1743.9662,
1873.220,1736.2666,
1870.310,1780.181,
1867.399,1692.1124,
1864.489,1718.1187,
1861.578,1702.2626,
1858.667,1676.9603,
1855.757,1726.5999,
1852.846,1743.8199,
1849.936,1721.9033,
1847.025,1768.5568,
1844.114,1797.7497,
1841.204,1786.7439,
1838.293,1805.1109,
1835.383,1808.16,
1832.472,1785.8337,
1829.562,1780.6518,
1826.651,1785.9926,
1823.740,1811.376,
1820.830,1812.9084,
1817.919,1793.5231,
1815.009,1792.1937,
1812.098,1762.1053,
1809.188,1831.7876,
1806.277,1833.6914,
1803.366,1818.2405,
1800.456,1854.8448,
1797.545,1857.6109,
1794.635,1852.5271,
1791.724,1890.7414,
1788.813,1911.0178,
1785.903,1891.2044,
1782.992,1900.4298,
1780.082,1899.0099,
1777.171,1883.6212,
1774.261,1881.6702,
1771.350,1910.9358,
1768.439,1914.262,
1765.529,1917.0825,
1762.618,1945.2875,
1759.708,1956.1359,
1756.797,1955.0114,
1753.887,1964.9078,
1750.976,1998.9804,
1748.065,2006.1795,
1745.155,2006.0121,
1742.244,2005.6522,
1739.334,1953.6415,
1736.423,2026.008,
1733.512,2059.0762,
1730.602,2038.6726,
1727.691,2031.8573,
1724.781,2069.3807,
1721.870,2123.0824,
1718.960,2106.4913,
1716.049,2169.4209,
1713.138,2184.335,
1710.228,2151.5537,
1707.317,2112.1267,
1704.407,2167.8176,
1701.496,2235.6987,
1698.586,2184.338,
1695.675,2185.2393,
1692.764,2302.0718,
1689.854,2254.0935,
1686.943,2303.8038,
1684.033,2263.693,
1681.122,2348.1467,
1678.211,2367.4537,
1675.301,2449.3722,
1672.390,2449.8373,
1669.480,2520.986,
1666.569,2565.9297,
1663.659,2590.8173,
1660.748,2664.2254,
1657.837,2746.7622,
1654.927,2798.0702,
1652.016,2816.5278,
1649.106,2814.7059,
1646.195,2900.2624,
1643.285,3008.3314,
1640.374,3040.402,
1637.463,3125.2103,
1634.553,3213.5905,
1631.642,3345.8845,
1628.732,3461.7508,
1625.821,3650.7637,
1622.911,3861.4304,
1620.000,4034.4328,
1617.089,4335.5553,
1614.179,4580.6876,
1611.268,4851.4383,
1608.358,5071.3239,
1605.447,5240.0263,
1602.536,5316.7209,
1599.626,5398.8994,
1596.715,5359.3373,
1593.805,5241.0448,
1590.894,5254.9258,
1587.984,5186.7394,
1585.073,5207.1052,
1582.162,5195.0924,
1579.252,5148.255,
1576.341,5109.7867,
1573.431,5109.6736,
1570.520,5081.8143,
1567.610,4996.6238,
1564.699,4948.8741,
1561.788,4906.8225,
1558.878,4828.4453,
1555.967,4700.186,
1553.057,4643.8837,
1550.146,4583.4724,
1547.235,4450.2211,
1544.325,4372.4454,
1541.414,4346.8031,
1538.504,4276.1343,
1535.593,4233.8502,
1532.683,4180.7692,
1529.772,4097.8626,
1526.861,4044.9782,
1523.951,3961.1254,
1521.040,3912.237,
1518.130,3869.6688,
1515.219,3813.3867,
1512.309,3739.2556,
1509.398,3694.336,
1506.487,3693.0658,
1503.577,3701.2773,
1500.666,3650.7903,
1497.756,3586.0315,
1494.845,3553.7045,
1491.934,3531.351,
1489.024,3447.6141,
1486.113,3416.8085,
1483.203,3395.9735,
1480.292,3356.2905,
1477.382,3305.1713,
1474.471,3267.7667,
1471.560,3248.0143,
1468.650,3188.2798,
1465.739,3165.187,
1462.829,3185.7232,
1459.918,3177.6303,
1457.008,3153.0095,
1454.097,3167.8086,
1451.186,3178.2382,
1448.276,3163.6354,
1445.365,3196.5215,
1442.455,3213.8397,
1439.544,3150.477,
1436.633,3182.6935,
1433.723,3197.4029,
1430.812,3123.7591,
1427.902,3012.9181,
1424.991,3025.2391,
1422.081,3027.46,
1419.170,3012.0719,
1416.259,2956.9709,
1413.349,3002.7786,
1410.438,2977.5389,
1407.528,2983.0872,
1404.617,3014.2388,
1401.707,3028.2148,
1398.796,3018.7684,
1395.885,3018.6133,
1392.975,3021.8119,
1390.064,3010.7518,
1387.154,3031.7737,
1384.243,2979.7956,
1381.332,2941.3676,
1378.422,3019.7886,
1375.511,3178.1045,
1372.601,3293.9782,
1369.690,3391.9189,
1366.780,3407.417,
1363.869,3492.6228,
1360.958,3584.0445,
