,PLF465~1,
Wavenumbers [1/cm],Intensity,
2175.920,610.62227,
2173.010,625.45096,
2170.099,619.72619,
2167.189,647.25416,
2164.278,665.85867,
2161.368,673.83884,
2158.457,692.02117,
2155.546,704.68558,
2152.636,696.76332,
2149.725,705.60821,
2146.815,726.49099,
2143.904,726.43354,
2140.993,744.56419,
2138.083,748.52615,
2135.172,759.71317,
2132.262,766.02377,
2129.351,756.4904,
2126.441,745.70751,
2123.530,721.18112,
2120.619,725.29935,
2117.709,708.52275,
2114.798,669.90955,
2111.888,662.17491,
2108.977,648.86671,
2106.067,626.4742,
2103.156,626.52418,
2100.245,599.11998,
2097.335,592.4496,
2094.424,603.80045,
2091.514,596.61145,
2088.603,595.95901,
2085.692,602.39276,
2082.782,582.34995,
2079.871,607.87645,
2076.961,598.22282,
2074.050,615.1553,
2071.140,598.5386,
2068.229,607.85938,
2065.318,603.33526,
2062.408,610.61744,
2059.497,613.52977,
2056.587,615.83429,
2053.676,594.07635,
2050.766,594.66312,
2047.855,594.21044,
2044.944,596.19391,
2042.034,589.65101,
2039.123,600.70749,
2036.213,602.57157,
2033.302,611.62443,
2030.391,640.5488,
2027.481,632.42994,
2024.570,626.75366,
2021.660,637.41545,
2018.749,630.39093,
2015.839,630.26476,
2012.928,594.63004,
2010.017,616.9567,
2007.107,608.73062,
2004.196,619.73216,
2001.286,642.85641,
1998.375,623.81101,
1995.465,598.32589,
1992.554,583.73098,
1989.643,623.63876,
1986.733,576.9443,
1983.822,609.68925,
1980.912,604.69857,
1978.001,583.02297,
1975.090,601.31279,
1972.180,582.95482,
1969.269,555.86062,
1966.359,566.44948,
1963.448,595.77098,
1960.538,590.32934,
1957.627,567.50889,
1954.716,550.5559,
1951.806,583.88305,
1948.895,559.74241,
1945.985,561.82271,
1943.074,565.26177,
1940.164,534.59632,
1937.253,546.4033,
1934.342,539.5865,
1931.432,557.6392,
1928.521,549.44797,
1925.611,553.42352,
1922.700,556.95925,
1919.790,569.04393,
1916.879,546.93849,
1913.968,545.125,
1911.058,557.20908,
1908.147,533.4462,
1905.237,553.73528,
1902.326,550.49833,
1899.415,538.75424,
1896.505,482.72117,
1893.594,472.2958,
1890.684,511.68044,
1887.773,535.05586,
1884.863,554.7947,
1881.952,535.22528,
1879.041,548.08918,
1876.131,574.85571,
1873.220,536.41244,
1870.310,535.6945,
1867.399,573.51724,
1864.489,534.05964,
1861.578,560.39398,
1858.667,588.89748,
1855.757,570.72285,
1852.846,564.07887,
1849.936,542.56643,
1847.025,547.36345,
1844.114,548.41446,
1841.204,575.63549,
1838.293,579.62749,
1835.383,563.91601,
1832.472,574.06761,
1829.562,589.125,
1826.651,597.33033,
1823.740,583.6537,
1820.830,576.35334,
1817.919,594.04128,
1815.009,583.56902,
1812.098,594.58956,
1809.188,632.70631,
1806.277,572.54144,
1803.366,576.74237,
1800.456,557.25756,
1797.545,611.03281,
1794.635,608.18997,
1791.724,598.26088,
1788.813,615.5268,
1785.903,612.6832,
1782.992,586.73454,
1780.082,564.6139,
1777.171,480.44618,
1774.261,451.18532,
1771.350,511.18076,
1768.439,583.53253,
1765.529,636.49266,
1762.618,659.22624,
1759.708,625.98339,
1756.797,625.0947,
1753.887,666.61334,
1750.976,680.125,
1748.065,670.90841,
1745.155,686.84098,
1742.244,667.34244,
1739.334,657.28735,
1736.423,677.08199,
1733.512,689.94615,
1730.602,680.90475,
1727.691,693.24587,
1724.781,718.57599,
1721.870,713.66303,
1718.960,762.10339,
1716.049,701.81215,
1713.138,737.71476,
1710.228,733.07055,
1707.317,742.62443,
1704.407,757.60096,
1701.496,758.21345,
1698.586,747.03719,
1695.675,771.38913,
1692.764,717.26841,
1689.854,745.69588,
1686.943,777.07951,
1684.033,765.44787,
1681.122,775.93808,
1678.211,803.85851,
1675.301,807.11575,
1672.390,834.05621,
1669.480,811.34962,
1666.569,839.87406,
1663.659,898.125,
1660.748,898.5492,
1657.837,921.15288,
1654.927,967.17186,
1652.016,968.78481,
1649.106,956.34905,
1646.195,1005.7004,
1643.285,1030.2188,
1640.374,1076.3724,
1637.463,1042.9805,
1634.553,1144.8048,
1631.642,1190.8416,
1628.732,1256.5279,
1625.821,1324.1584,
1622.911,1374.8376,
1620.000,1493.6132,
1617.089,1598.0354,
1614.179,1696.3331,
1611.268,1783.8533,
1608.358,1909.1316,
1605.447,2003.7543,
1602.536,2004.4656,
1599.626,2074.9598,
1596.715,2023.9461,
1593.805,2009.1817,
1590.894,1950.8814,
1587.984,1950.9198,
1585.073,1908.7333,
1582.162,1873.5738,
1579.252,1809.2073,
1576.341,1773.6952,
1573.431,1728.9663,
1570.520,1702.0731,
1567.610,1716.4978,
1564.699,1643.3717,
1561.788,1596.2238,
1558.878,1600.732,
1555.967,1553.9325,
1553.057,1499.0563,
1550.146,1489.885,
1547.235,1440.9956,
1544.325,1413.739,
1541.414,1420.5849,
1538.504,1435.5391,
1535.593,1431.1353,
1532.683,1406.5311,
1529.772,1407.5936,
1526.861,1418.539,
1523.951,1424.3613,
1521.040,1427.0973,
1518.130,1431.3567,
1515.219,1444.0051,
1512.309,1433.4448,
1509.398,1408.4064,
1506.487,1400.133,
1503.577,1394.6519,
1500.666,1417.9231,
1497.756,1438.5231,
1494.845,1417.8443,
1491.934,1386.9959,
1489.024,1347.5337,
1486.113,1365.5965,
1483.203,1363.5723,
1480.292,1332.5786,
1477.382,1312.5765,
1474.471,1258.478,
1471.560,1243.8507,
1468.650,1233.8759,
1465.739,1225.2821,
1462.829,1251.1754,
1459.918,1297.7495,
1457.008,1337.3868,
1454.097,1337.4873,
1451.186,1317.2933,
1448.276,1299.5214,
1445.365,1260.516,
1442.455,1223.3657,
1439.544,1181.8816,
1436.633,1171.6781,
1433.723,1159.0034,
1430.812,1152.6765,
1427.902,1171.9446,
1424.991,1164.3625,
1422.081,1126.5084,
1419.170,1133.4937,
1416.259,1178.8684,
1413.349,1145.321,
1410.438,1133.2243,
1407.528,1107.0878,
1404.617,1092.7121,
1401.707,1048.0801,
1398.796,971.77894,
1395.885,963.36937,
1392.975,997.08283,
1390.064,971.00467,
1387.154,955.04982,
1384.243,933.91788,
1381.332,926.13302,
1378.422,909.83517,
1375.511,904.21448,
1372.601,984.30162,
1369.690,1039.1295,
1366.780,1042.3728,
1363.869,1086.8931,
1360.958,1125.2519,
1358.048,1117.139,
1355.137,1149.3338,
1352.227,1193.3276,
1349.316,1226.2872,
1346.406,1280.1078,
1343.495,1288.1563,
1340.584,1271.3029,
1337.674,1321.4482,
1334.763,1350.4658,
1331.853,1385.7006,
1328.942,1411.1405,
1326.032,1461.431,
1323.121,1455.8238,
1320.210,1456.7842,
1317.300,1486.6854,
1314.389,1541.0979,
1311.479,1596.9695,
1308.568,1613.2717,
1305.657,1608.1396,
1302.747,1660.0433,
1299.836,1709.6361,
1296.926,1758.7742,
1294.015,1815.7723,
1291.105,1866.5548,
1288.194,1894.6911,
1285.283,1927.3331,
1282.373,1952.0468,
1279.462,1963.4191,
1276.552,1970.7707,
1273.641,1971.1901,
1270.731,1964.8892,
1267.820,1967.0476,
1264.909,1959.3668,
1261.999,1960.4592,
1259.088,1942.2168,
1256.178,1951.4025,
1253.267,1912.4636,
1250.356,1854.0717,
1247.446,1827.4312,
1244.535,1797.8617,
1241.625,1751.3436,
1238.714,1743.9203,
1235.804,1786.8823,
1232.893,1764.256,
1229.982,1736.2664,
1227.072,1710.9177,
1224.161,1704.9225,
1221.251,1668.3886,
1218.340,1628.9169,
1215.430,1607.5186,
1212.519,1590.806,
1209.608,1570.7462,
1206.698,1559.6357,
1203.787,1564.0848,
1200.877,1580.125,
1197.966,1580.125,
1195.055,1610.842,
1192.145,1696.5187,
1189.234,1774.3796,
1186.324,1843.5835,
1183.413,1881.2164,
1180.503,1892.8819,
1177.592,1896.9732,
1174.681,1861.3921,
1171.771,1868.8063,
1168.860,1811.6485,
1165.950,1809.3502,
1163.039,1755.6496,
1160.129,1739.7931,
1157.218,1804.2555,
1154.307,1868.8671,
1151.397,1877.6847,
1148.486,1908.7158,
1145.576,1960.1954,
1142.665,1892.714,
1139.754,1892.0068,
1136.844,1844.1038,
1133.933,1832.5091,
1131.023,1804.1899,
1128.112,1779.7657,
1125.202,1813.6129,
1122.291,1832.2368,
1119.380,1798.151,
1116.470,1800.7986,
1113.559,1777.9275,
1110.649,1765.8862,
1107.738,1747.0505,
1104.828,1755.1783,
1101.917,1773.6984,
1099.006,1742.8982,
1096.096,1735.6737,
1093.185,1711.9676,
1090.275,1757.8719,
1087.364,1752.6581,
1084.453,1747.3749,
1081.543,1752.1925,
1078.632,1756.4384,
1075.722,1752.7996,
1072.811,1734.9317,
1069.901,1746.2841,
1066.990,1765.7166,
1064.079,1775.5691,
1061.169,1794.694,
1058.258,1796.2674,
1055.348,1784.8283,
1052.437,1795.961,
1049.527,1795.6621,
1046.616,1809.5633,
1043.705,1791.0851,
1040.795,1806.1957,
1037.884,1802.9529,
1034.974,1798.5528,
1032.063,1818.2711,
1029.153,1823.6709,
1026.242,1811.5615,
1023.331,1798.6258,
1020.421,1844.9221,
1017.510,1875.6497,
1014.600,1902.5798,
1011.689,1918.8625,
1008.778,1894.0047,
1005.868,1899.3876,
1002.957,1928.6396,
1000.047,1988.453,
997.136,2025.5701,
994.226,2033.5558,
991.315,2016.3379,
988.404,1989.3948,
985.494,2000.0509,
982.583,1952.0838,
979.673,1911.4693,
976.762,1882.6861,
973.852,1875.5451,
970.941,1885.8671,
968.030,1893.518,
965.120,1873.1107,
962.209,1869.7005,
959.299,1917.2859,
956.388,1946.6444,
953.477,1959.4684,
950.567,1966.3407,
947.656,1967.6901,
944.746,1994.8759,
941.835,1987.2171,
938.925,2004.8665,
936.014,1981.7405,
933.103,1946.6533,
930.193,1928.941,
927.282,1876.6749,
924.372,1886.8222,
921.461,1846.8866,
918.551,1830.9631,
915.640,1832.6747,
912.729,1851.958,
909.819,1895.4586,
906.908,1897.9859,
903.998,1883.0131,
901.087,1867.6679,
898.176,1862.5566,
895.266,1877.4558,
892.355,1903.612,
889.445,1890.1838,
886.534,1951.0706,
883.624,1929.4834,
880.713,1905.4697,
877.802,1869.9863,
874.892,1802.0496,
871.981,1731.8304,
869.071,1592.3165,
866.160,1598.4832,
863.250,1695.9974,
860.339,1807.9224,
857.428,1869.638,
854.518,1857.3918,
851.607,1797.4828,
848.697,1736.2265,
845.786,1687.1767,
842.875,1709.6149,
839.965,1815.5236,
837.054,1904.86,
834.144,1970.3314,
831.233,2007.1233,
828.323,1996.3747,
825.412,1974.7348,
822.501,1979.6144,
819.591,1987.8784,
816.680,1953.6698,
813.770,1921.3179,
810.859,1897.6489,
807.949,1894.3933,
805.038,1907.9613,
802.127,1840.4648,
799.217,1845.3059,
796.306,1826.4221,
793.396,1839.4917,
790.485,1883.124,
787.574,1868.9346,
784.664,1890.2575,
781.753,1883.3893,
778.843,1894.2977,
775.932,1906.8041,
773.022,1898.393,
770.111,1906.5688,
767.200,1901.0345,
764.290,1893.9241,
761.379,1882.2476,
758.469,1874.1011,
755.558,1888.6874,
752.648,1874.0245,
749.737,1867.2083,
746.826,1870.7197,
743.916,1874.8912,
741.005,1865.1817,
738.095,1830.271,
735.184,1763.9148,
732.274,1698.6309,
729.363,1697.4292,
726.452,1772.8259,
723.542,1804.3923,
720.631,1812.2413,
717.721,1814.125,
714.810,1844.1987,
711.899,1898.0161,
708.989,1918.9962,
706.078,1913.5159,
703.168,1881.764,
700.257,1869.9639,
697.347,1881.3424,
694.436,1882.3869,
691.525,1892.0325,
688.615,1889.7226,
685.704,1898.7807,
682.794,1919.742,
679.883,1939.6028,
676.973,1972.459,
674.062,1954.8779,
671.151,1942.0017,
668.241,1937.6453,
665.330,1918.1964,
662.420,1877.4611,
659.509,1881.8236,
656.598,1912.4935,
653.688,1935.5336,
650.777,1909.3959,
647.867,1887.8951,
644.956,1881.8867,
642.046,1834.69,
639.135,1782.3304,
636.224,1832.2245,
633.314,1852.0729,
630.403,1896.7361,
627.493,1918.3639,
624.582,1901.709,
621.672,1868.4452,
618.761,1861.8054,
615.850,1919.0807,
612.940,1992.3986,
610.029,2038.4945,
607.119,2022.7019,
604.208,2013.3149,
601.297,2033.0568,
598.387,2039.787,
595.476,1999.4221,
592.566,2002.5704,
589.655,2029.0406,
586.745,2057.446,
583.834,2069.7571,
580.923,2047.1582,
578.013,2052.6513,
575.102,2012.8266,
572.192,1995.7018,
569.281,2021.6716,
566.371,2030.2805,
563.460,2033.9469,
560.549,2050.7179,
557.639,2079.2103,
554.728,2111.3859,
551.818,2099.6812,
548.907,2068.4826,
545.996,2063.7326,
543.086,2082.7763,
540.175,2071.8753,
537.265,2057.3637,
534.354,2063.1622,
531.444,2072.4531,
528.533,2068.3457,
525.622,2071.4495,
522.712,2050.8886,
519.801,2034.8337,
516.891,2031.5945,
513.980,2033.9174,
511.070,2057.3685,
508.159,2057.5737,
505.248,2043.1192,
502.338,2032.2772,
499.427,2071.6406,
496.517,2101.923,
493.606,2097.945,
490.695,2068.5768,
487.785,2129.3902,
484.874,2112.6298,
481.964,2088.5736,
479.053,2066.6675,
476.143,2031.3412,
473.232,2034.1608,
470.321,2072.6182,
467.411,2094.6631,
464.500,2046.9395,
461.590,2079.1006,
458.679,2085.3735,
455.769,2079.0292,
452.858,2071.159,
449.947,2081.0901,
447.037,2084.3385,
444.126,2093.628,
441.216,2104.4209,
438.305,2083.0868,
435.395,2086.0257,
432.484,2089.125,
429.573,2081.6699,
426.663,2049.744,
423.752,1932.7483,
420.842,1726.4817,
417.931,1510.3903,
415.020,1405.7369,
412.110,1789.1484,
409.199,2042.6163,
406.289,2142.6444,
403.378,2091.9585,
400.468,2042.8189,
