,PL273A~1,
Raman shift [1/cm],Intensity,
2231.221,2225.5666,
2228.311,2207.0039,
2225.400,2223.1722,
2222.490,2245.5482,
2219.579,2284.8786,
2216.669,2285.7929,
2213.758,2300.2324,
2210.847,2361.1127,
2207.937,2342.053,
2205.026,2345.5264,
2202.116,2401.0557,
2199.205,2448.1001,
2196.294,2467.6679,
2193.384,2532.3536,
2190.473,2556.8979,
2187.563,2608.011,
2184.652,2676.9618,
2181.742,2787.8668,
2178.831,2913.7036,
2175.920,3069.444,
2173.010,3246.1848,
2170.099,3415.9361,
2167.189,3677.0846,
2164.278,3892.2706,
2161.368,4147.7406,
2158.457,4411.3776,
2155.546,4674.6051,
2152.636,4917.1486,
2149.725,5134.5217,
2146.815,5300.2118,
2143.904,5373.4674,
2140.993,5423.898,
2138.083,5455.8564,
2135.172,5425.0859,
2132.262,5341.5643,
2129.351,5296.8706,
2126.441,5130.8369,
2123.530,4874.0787,
2120.619,4606.2743,
2117.709,4347.6393,
2114.798,4075.2679,
2111.888,3783.6921,
2108.977,3562.3195,
2106.067,3362.309,
2103.156,3142.1435,
2100.245,3030.7055,
2097.335,2947.106,
2094.424,2843.9793,
2091.514,2789.7283,
2088.603,2737.1372,
2085.692,2721.7054,
2082.782,2696.1839,
2079.871,2678.1782,
2076.961,2699.2001,
2074.050,2618.4409,
2071.140,2589.0491,
2068.229,2568.3893,
2065.318,2569.343,
2062.408,2557.0526,
2059.497,2551.7798,
2056.587,2527.704,
2053.676,2501.5007,
2050.766,2506.1342,
2047.855,2508.8354,
2044.944,2510.5529,
2042.034,2507.9639,
2039.123,2519.649,
2036.213,2500.0211,
2033.302,2481.7718,
2030.391,2498.6477,
2027.481,2521.9084,
2024.570,2531.6498,
2021.660,2528.0456,
2018.749,2552.4841,
2015.839,2539.2933,
2012.928,2497.75,
2010.017,2489.6338,
2007.107,2494.9407,
2004.196,2528.3095,
2001.286,2517.4567,
1998.375,2503.1831,
1995.465,2514.9089,
1992.554,2488.0738,
1989.643,2476.0265,
1986.733,2454.1982,
1983.822,2438.3172,
1980.912,2507.3836,
1978.001,2503.6906,
1975.090,2495.3897,
1972.180,2467.6822,
1969.269,2466.0719,
1966.359,2474.1013,
1963.448,2482.5162,
1960.538,2497.1111,
1957.627,2505.9915,
1954.716,2498.0085,
1951.806,2495.0048,
1948.895,2488.6568,
1945.985,2533.7631,
1943.074,2492.2999,
1940.164,2466.4998,
1937.253,2428.2287,
1934.342,2426.981,
1931.432,2473.955,
1928.521,2423.161,
1925.611,2433.1586,
1922.700,2435.7127,
1919.790,2415.386,
1916.879,2471.3558,
1913.968,2437.7967,
1911.058,2423.9782,
1908.147,2481.2259,
1905.237,2465.9412,
1902.326,2452.2908,
1899.415,2414.8561,
1896.505,2430.045,
1893.594,2427.3751,
1890.684,2445.6193,
1887.773,2467.7407,
1884.863,2471.4425,
1881.952,2481.5823,
1879.041,2467.8118,
1876.131,2467.265,
1873.220,2452.188,
1870.310,2424.6873,
1867.399,2428.654,
1864.489,2403.3592,
1861.578,2467.283,
1858.667,2463.7769,
1855.757,2480.9099,
1852.846,2519.468,
1849.936,2505.2845,
1847.025,2534.4483,
1844.114,2542.9993,
1841.204,2530.9108,
1838.293,2546.2774,
1835.383,2561.447,
1832.472,2568.7726,
1829.562,2553.1948,
1826.651,2585.9389,
1823.740,2596.6542,
1820.830,2554.6237,
1817.919,2590.7982,
1815.009,2620.5871,
1812.098,2602.2067,
1809.188,2641.9592,
1806.277,2588.0336,
1803.366,2634.8831,
1800.456,2643.7942,
1797.545,2657.8779,
1794.635,2629.8122,
1791.724,2700.0606,
1788.813,2698.9335,
1785.903,2660.8817,
1782.992,2698.3849,
1780.082,2680.4361,
1777.171,2690.0926,
1774.261,2722.1949,
1771.350,2735.5588,
1768.439,2762.3244,
1765.529,2781.7538,
1762.618,2791.2562,
1759.708,2766.0434,
1756.797,2782.0303,
1753.887,2830.8287,
1750.976,2808.1152,
1748.065,2806.0142,
1745.155,2848.0208,
1742.244,2853.8044,
1739.334,2834.6865,
1736.423,2865.1967,
1733.512,2888.7541,
1730.602,2921.6707,
1727.691,2963.2241,
1724.781,2968.8171,
1721.870,2991.893,
1718.960,2991.9944,
1716.049,3045.2834,
1713.138,3008.7252,
1710.228,3065.152,
1707.317,3080.0574,
1704.407,3066.3756,
1701.496,3105.7697,
1698.586,3170.733,
1695.675,3199.1427,
1692.764,3221.5779,
1689.854,3215.0965,
1686.943,3284.3218,
1684.033,3373.5396,
1681.122,3312.8375,
1678.211,3352.3598,
1675.301,3426.5218,
1672.390,3507.744,
1669.480,3507.0175,
1666.569,3664.8418,
1663.659,3750.5503,
1660.748,3799.4249,
1657.837,3836.6587,
1654.927,3966.1877,
1652.016,3946.1762,
1649.106,4085.733,
1646.195,4166.5962,
1643.285,4242.069,
1640.374,4259.4712,
1637.463,4435.2272,
1634.553,4517.5972,
1631.642,4643.9748,
1628.732,4938.704,
1625.821,5098.9253,
1622.911,5365.2398,
1620.000,5656.0586,
1617.089,5915.556,
1614.179,6239.5001,
1611.268,6597.2916,
1608.358,6910.0475,
1605.447,7114.2658,
1602.536,7289.7621,
1599.626,7292.5507,
1596.715,7319.8856,
1593.805,7243.1545,
1590.894,7284.8289,
1587.984,7222.4626,
1585.073,7199.8386,
1582.162,7110.9219,
1579.252,7110.9343,
1576.341,7001.8001,
1573.431,6990.9798,
1570.520,6975.8762,
1567.610,6985.3973,
1564.699,6889.2458,
1561.788,6873.9892,
1558.878,6773.8251,
1555.967,6675.8428,
1553.057,6556.0613,
1550.146,6391.7466,
1547.235,6285.5594,
1544.325,6207.1555,
1541.414,6158.1091,
1538.504,6106.563,
1535.593,6005.8334,
1532.683,5935.9403,
1529.772,5888.3693,
1526.861,5783.4356,
1523.951,5697.9046,
1521.040,5652.4098,
1518.130,5528.715,
1515.219,5401.9909,
1512.309,5365.3085,
1509.398,5338.8756,
1506.487,5306.3252,
1503.577,5265.1084,
1500.666,5212.6914,
1497.756,5146.0802,
1494.845,5112.0691,
1491.934,5071.4791,
1489.024,4988.7047,
1486.113,5020.057,
1483.203,4979.2298,
1480.292,4866.8376,
1477.382,4836.4345,
1474.471,4761.6164,
1471.560,4739.75,
1468.650,4693.2874,
1465.739,4664.7046,
1462.829,4667.9118,
1459.918,4605.8986,
1457.008,4645.6743,
1454.097,4687.2991,
1451.186,4630.1659,
1448.276,4646.2467,
1445.365,4687.5383,
1442.455,4713.8302,
1439.544,4703.6665,
1436.633,4705.3607,
1433.723,4659.5189,
1430.812,4608.0662,
1427.902,4511.8176,
1424.991,4514.6609,
1422.081,4479.8859,
1419.170,4432.6829,
1416.259,4440.3311,
1413.349,4465.652,
1410.438,4427.2643,
1407.528,4428.9935,
1404.617,4402.5867,
1401.707,4422.3848,
1398.796,4478.8549,
1395.885,4527.581,
1392.975,4563.8955,
1390.064,4556.285,
1387.154,4564.1323,
1384.243,4515.6797,
1381.332,4497.3538,
1378.422,4625.2619,
1375.511,4673.9745,
1372.601,4883.9465,
1369.690,4975.4711,
1366.780,5118.4358,
1363.869,5253.7303,
1360.958,5300.993,
1358.048,5392.9668,
1355.137,5521.6146,
1352.227,5583.75,
1349.316,5645.5738,
1346.406,5790.6468,
1343.495,5887.02,
1340.584,5886.1774,
1337.674,5975.7933,
1334.763,6096.2785,
1331.853,6189.0016,
1328.942,6203.4236,
1326.032,6323.8306,
1323.121,6426.3284,
1320.210,6504.6918,
1317.300,6582.1002,
1314.389,6688.1542,
1311.479,6801.9341,
1308.568,6894.718,
1305.657,6973.1028,
1302.747,7061.1114,
1299.836,7205.5265,
1296.926,7305.1249,
1294.015,7485.3123,
1291.105,7706.7217,
1288.194,7914.6684,
1285.283,8054.2624,
1282.373,8225.9058,
1279.462,8369.6311,
1276.552,8478.1046,
1273.641,8560.8691,
1270.731,8603.453,
1267.820,8633.6054,
1264.909,8648.1444,
1261.999,8561.9525,
1259.088,8512.6979,
1256.178,8365.0089,
1253.267,8229.5067,
1250.356,8026.4365,
1247.446,7776.7726,
1244.535,7546.2548,
1241.625,7317.2911,
1238.714,7087.9026,
1235.804,6915.1532,
1232.893,6758.881,
1229.982,6727.5491,
1227.072,6603.5213,
1224.161,6414.8822,
1221.251,6341.291,
1218.340,6281.1075,
1215.430,6179.7761,
1212.519,6071.1158,
1209.608,6014.75,
1206.698,6007.0902,
1203.787,5997.5239,
1200.877,6066.4157,
1197.966,6061.0207,
1195.055,6194.71,
1192.145,6355.9972,
1189.234,6438.7312,
1186.324,6546.5766,
1183.413,6660.3795,
1180.503,6693.2009,
1177.592,6646.9922,
1174.681,6600.3048,
1171.771,6499.4725,
1168.860,6444.1009,
1165.950,6363.7651,
1163.039,6264.7353,
1160.129,6202.0268,
1157.218,6144.2911,
1154.307,6088.28,
1151.397,6053.5835,
1148.486,6011.4128,
