,PLD278~1,
Raman shift [1/cm],Intensity,
2173.010,667.42517,
2170.099,652.65178,
2167.189,684.47962,
2164.278,722.11935,
2161.368,755.67864,
2158.457,766.53518,
2155.546,811.2789,
2152.636,838.12765,
2149.725,845.24328,
2146.815,876.21556,
2143.904,918.35037,
2140.993,917.85319,
2138.083,924.19219,
2135.172,945.72901,
2132.262,955.76056,
2129.351,932.30846,
2126.441,924.1335,
2123.530,895.98062,
2120.619,868.39695,
2117.709,837.13044,
2114.798,809.48068,
2111.888,780.85072,
2108.977,765.25,
2106.067,762.97487,
2103.156,739.37429,
2100.245,710.23181,
2097.335,679.20288,
2094.424,669.03699,
2091.514,682.10482,
2088.603,684.89513,
2085.692,672.15346,
2082.782,668.14552,
2079.871,676.35735,
2076.961,667.89578,
2074.050,657.71667,
2071.140,649.01997,
2068.229,660.97135,
2065.318,660.59499,
2062.408,635.44668,
2059.497,643.2917,
2056.587,648.02922,
2053.676,606.68563,
2050.766,640.70889,
2047.855,613.36068,
2044.944,651.78205,
2042.034,646.95509,
2039.123,629.09175,
2036.213,640.50109,
2033.302,652.27145,
2030.391,644.42014,
2027.481,637.20116,
2024.570,661.16371,
2021.660,639.84649,
2018.749,636.12378,
2015.839,653.13845,
2012.928,626.68625,
2010.017,647.92535,
2007.107,656.87993,
2004.196,658.47615,
2001.286,636.97793,
1998.375,638.6004,
1995.465,628.87768,
1992.554,648.03804,
1989.643,660.90436,
1986.733,637.71491,
1983.822,627.96787,
1980.912,628.07193,
1978.001,632.68228,
1975.090,622.07747,
1972.180,628.14492,
1969.269,631.53156,
1966.359,639.70971,
1963.448,644.40588,
1960.538,621.15075,
1957.627,639.43268,
1954.716,602.4278,
1951.806,625.29968,
1948.895,620.63875,
1945.985,587.96896,
1943.074,606.04342,
1940.164,600.23088,
1937.253,617.85851,
1934.342,638.83128,
1931.432,622.84937,
1928.521,608.79577,
1925.611,597.55534,
1922.700,623.11602,
1919.790,611.44098,
1916.879,608.25,
1913.968,604.25492,
1911.058,591.6554,
1908.147,585.50841,
1905.237,599.45588,
1902.326,593.08556,
1899.415,603.27686,
1896.505,616.79789,
1893.594,588.15248,
1890.684,588.34159,
1887.773,579.71543,
1884.863,606.4869,
1881.952,613.97256,
1879.041,601.41563,
1876.131,628.38201,
1873.220,603.86934,
1870.310,601.1065,
1867.399,567.79378,
1864.489,627.65332,
1861.578,591.51898,
1858.667,618.84883,
1855.757,596.43854,
1852.846,613.01922,
1849.936,626.97072,
1847.025,626.54685,
1844.114,622.69944,
1841.204,639.76049,
1838.293,649.24335,
1835.383,637.40152,
1832.472,645.59957,
1829.562,642.36354,
1826.651,660.96865,
1823.740,664.78638,
1820.830,643.50181,
1817.919,611.37558,
1815.009,654.91157,
1812.098,687.48621,
1809.188,650.85474,
1806.277,662.91802,
1803.366,656.63263,
1800.456,676.66701,
1797.545,633.54071,
1794.635,647.79802,
1791.724,660.06551,
1788.813,671.45283,
1785.903,676.49809,
1782.992,661.29917,
1780.082,655.96136,
1777.171,653.24518,
1774.261,637.80505,
1771.350,652.93525,
1768.439,667.54763,
1765.529,675.25188,
1762.618,688.21625,
1759.708,694.35875,
1756.797,701.40152,
1753.887,703.81414,
1750.976,693.04647,
1748.065,696.30991,
1745.155,682.17273,
1742.244,706.00538,
1739.334,696.17707,
1736.423,696.67428,
1733.512,719.71346,
1730.602,764.39887,
1727.691,731.95803,
1724.781,726.90234,
1721.870,717.98327,
1718.960,749.78375,
1716.049,756.41103,
1713.138,770.78493,
1710.228,771.50941,
1707.317,782.74943,
1704.407,768.97725,
1701.496,754.48833,
1698.586,760.64188,
1695.675,744.40724,
1692.764,779.22543,
1689.854,792.73032,
1686.943,768.12687,
1684.033,794.55459,
1681.122,795.25,
1678.211,822.98351,
1675.301,812.28392,
1672.390,844.31281,
1669.480,865.09758,
1666.569,846.08495,
1663.659,833.77264,
1660.748,865.19215,
1657.837,863.75901,
1654.927,930.59398,
1652.016,902.71542,
1649.106,882.42509,
1646.195,929.13012,
1643.285,925.0931,
1640.374,960.97822,
1637.463,948.93455,
1634.553,986.79678,
1631.642,1023.3151,
1628.732,1029.327,
1625.821,1042.2912,
1622.911,1104.895,
1620.000,1195.1035,
1617.089,1263.8769,
1614.179,1290.5168,
1611.268,1351.9078,
1608.358,1424.7851,
1605.447,1511.2221,
1602.536,1515.3181,
1599.626,1575.0456,
1596.715,1550.2992,
1593.805,1509.6881,
1590.894,1574.8229,
1587.984,1573.8569,
1585.073,1516.9469,
1582.162,1513.9291,
1579.252,1449.7859,
1576.341,1423.234,
1573.431,1420.25,
1570.520,1427.8938,
1567.610,1409.3869,
1564.699,1414.5755,
1561.788,1389.6728,
1558.878,1349.9395,
1555.967,1378.8719,
1553.057,1346.6643,
1550.146,1277.5337,
1547.235,1255.021,
1544.325,1218.9249,
1541.414,1216.7128,
1538.504,1241.819,
1535.593,1225.2603,
1532.683,1172.633,
1529.772,1121.7439,
1526.861,1124.1594,
1523.951,1158.5862,
1521.040,1165.1392,
1518.130,1150.7067,
1515.219,1128.9705,
1512.309,1106.286,
1509.398,1099.6206,
1506.487,1119.0689,
1503.577,1116.6335,
1500.666,1104.228,
1497.756,1081.6993,
1494.845,1097.5291,
1491.934,1056.2657,
1489.024,1061.0782,
1486.113,1075.1582,
1483.203,1051.3813,
1480.292,1013.461,
1477.382,998.35927,
1474.471,997.01738,
1471.560,1007.4093,
1468.650,1020.8158,
1465.739,982.97765,
1462.829,927.61868,
1459.918,929.45462,
1457.008,967.03485,
1454.097,983.40137,
1451.186,955.46664,
1448.276,921.46382,
1445.365,912.71209,
1442.455,906.47565,
1439.544,969.44804,
1436.633,981.84982,
1433.723,895.11029,
1430.812,929.39777,
1427.902,930.03231,
1424.991,878.85314,
1422.081,913.94908,
1419.170,907.74534,
1416.259,840.63489,
1413.349,842.62054,
1410.438,890.23678,
1407.528,840.65712,
1404.617,856.09154,
1401.707,911.26798,
1398.796,893.26407,
1395.885,861.86423,
1392.975,853.54093,
1390.064,820.07276,
1387.154,815.14705,
1384.243,788.24629,
1381.332,696.12329,
1378.422,731.79067,
1375.511,819.84808,
1372.601,904.19133,
1369.690,1006.4017,
1366.780,976.31196,
1363.869,1004.9327,
1360.958,1024.8715,
1358.048,1049.2025,
1355.137,1096.3167,
1352.227,1162.7666,
1349.316,1206.8612,
1346.406,1204.3341,
1343.495,1220.4295,
1340.584,1278.3931,
1337.674,1272.3253,
1334.763,1331.5323,
1331.853,1338.9501,
1328.942,1354.3709,
1326.032,1409.2653,
1323.121,1464.9669,
1320.210,1469.5953,
1317.300,1481.957,
1314.389,1477.2913,
1311.479,1511.0555,
1308.568,1546.8739,
1305.657,1507.4883,
1302.747,1549.9989,
1299.836,1610.6383,
1296.926,1657.4891,
1294.015,1684.1495,
1291.105,1779.468,
1288.194,1813.8161,
1285.283,1863.6422,
1282.373,1874.2891,
1279.462,1909.7787,
1276.552,1962.691,
1273.641,1993.8421,
1270.731,1995.6649,
1267.820,1977.7286,
1264.909,2008.6678,
1261.999,2025.4511,
1259.088,2003.5602,
1256.178,1961.1401,
1253.267,1974.9643,
1250.356,1939.2603,
1247.446,1869.9649,
1244.535,1853.5848,
1241.625,1843.5871,
1238.714,1809.9681,
1235.804,1810.0268,
1232.893,1741.6244,
