,PLE826~1,
Raman shift [1/cm],Intensity,
2173.010,722.42744,
2170.099,715.18551,
2167.189,736.21412,
2164.278,736.53241,
2161.368,782.39103,
2158.457,812.20109,
2155.546,810.21925,
2152.636,831.18613,
2149.725,861.38421,
2146.815,894.2823,
2143.904,904.45074,
2140.993,903.22358,
2138.083,897.62688,
2135.172,909.71221,
2132.262,926.14173,
2129.351,899.26704,
2126.441,871.46354,
2123.530,862.30612,
2120.619,858.85586,
2117.709,797.812,
2114.798,770.36534,
2111.888,739.1386,
2108.977,708.89238,
2106.067,687.80731,
2103.156,684.00967,
2100.245,646.26631,
2097.335,667.55367,
2094.424,632.2926,
2091.514,635.32801,
2088.603,642.45278,
2085.692,635.8857,
2082.782,612.33849,
2079.871,613.92911,
2076.961,637.76471,
2074.050,601.31667,
2071.140,623.05453,
2068.229,630.24348,
2065.318,636.33625,
2062.408,633.74244,
2059.497,637.25596,
2056.587,626.48276,
2053.676,617.98353,
2050.766,608.94283,
2047.855,608.27848,
2044.944,608.05289,
2042.034,604.51595,
2039.123,606.68771,
2036.213,600.17007,
2033.302,613.18489,
2030.391,613.04645,
2027.481,622.20116,
2024.570,621.7215,
2021.660,608.07781,
2018.749,624.98407,
2015.839,619.86417,
2012.928,627.72147,
2010.017,616.00353,
2007.107,604.64438,
2004.196,616.67863,
2001.286,625.18641,
1998.375,590.02361,
1995.465,572.53036,
1992.554,593.16158,
1989.643,579.83758,
1986.733,584.46404,
1983.822,587.68575,
1980.912,588.34934,
1978.001,596.60621,
1975.090,582.65611,
1972.180,574.94017,
1969.269,591.89375,
1966.359,594.33089,
1963.448,598.66876,
1960.538,569.16659,
1957.627,576.40791,
1954.716,575.33618,
1951.806,563.25,
1948.895,567.45844,
1945.985,593.39052,
1943.074,585.33482,
1940.164,576.88425,
1937.253,545.95872,
1934.342,563.41256,
1931.432,563.19952,
1928.521,550.54879,
1925.611,564.22389,
1922.700,547.08978,
1919.790,552.44641,
1916.879,550.529,
1913.968,569.22664,
1911.058,537.96773,
1908.147,554.27913,
1905.237,509.39711,
1902.326,536.93148,
1899.415,531.9378,
1896.505,523.76801,
1893.594,541.59766,
1890.684,551.56387,
1887.773,542.22386,
1884.863,551.52563,
1881.952,552.25,
1879.041,560.57139,
1876.131,538.00426,
1873.220,536.60842,
1870.310,552.10199,
1867.399,526.68183,
1864.489,566.30282,
1861.578,521.14538,
1858.667,547.48953,
1855.757,535.65573,
1852.846,539.55253,
1849.936,566.01777,
1847.025,556.25,
1844.114,557.85942,
1841.204,579.19405,
1838.293,581.78409,
1835.383,568.35449,
1832.472,587.29696,
1829.562,571.97552,
1826.651,546.62578,
1823.740,555.80941,
1820.830,577.45487,
1817.919,593.65127,
1815.009,602.24364,
1812.098,587.99017,
1809.188,616.26543,
1806.277,612.38279,
1803.366,553.91545,
1800.456,593.30496,
1797.545,592.03735,
1794.635,574.50707,
1791.724,605.06551,
1788.813,619.05617,
1785.903,628.63573,
1782.992,592.42137,
1780.082,573.82728,
1777.171,562.25054,
1774.261,570.82013,
1771.350,583.0415,
1768.439,591.05946,
1765.529,610.70651,
1762.618,616.00311,
1759.708,600.58688,
1756.797,634.66667,
1753.887,633.01677,
1750.976,628.42604,
1748.065,650.16551,
1745.155,633.45014,
1742.244,620.26359,
1739.334,604.18648,
1736.423,620.56586,
1733.512,646.25818,
1730.602,678.43059,
1727.691,677.27041,
1724.781,664.0245,
1721.870,679.75963,
1718.960,653.00518,
1716.049,678.97001,
1713.138,679.26503,
1710.228,686.95297,
1707.317,676.75057,
1704.407,703.99871,
1701.496,656.20332,
1698.586,678.04555,
1695.675,725.16401,
1692.764,702.68851,
1689.854,728.99411,
1686.943,776.63117,
1684.033,731.44214,
1681.122,780.38339,
1678.211,800.06917,
1675.301,763.36409,
1672.390,789.2829,
1669.480,800.63505,
1666.569,848.07226,
1663.659,834.52765,
1660.748,852.29122,
1657.837,904.61578,
1654.927,878.17119,
1652.016,957.44813,
1649.106,925.69066,
1646.195,943.77748,
1643.285,967.30079,
1640.374,1054.7901,
1637.463,1034.2588,
1634.553,1090.0037,
1631.642,1140.2174,
1628.732,1137.9077,
1625.821,1248.252,
1622.911,1251.2331,
1620.000,1346.0405,
1617.089,1419.7774,
1614.179,1521.3453,
1611.268,1625.3463,
1608.358,1667.3771,
1605.447,1712.6218,
1602.536,1742.2747,
1599.626,1739.6503,
1596.715,1701.1308,
1593.805,1720.5026,
1590.894,1677.4552,
1587.984,1639.2046,
1585.073,1638.5041,
1582.162,1553.2567,
1579.252,1510.8827,
1576.341,1558.9212,
1573.431,1537.0072,
1570.520,1557.8251,
1567.610,1532.975,
1564.699,1488.6237,
1561.788,1443.1517,
1558.878,1409.4499,
1555.967,1394.304,
1553.057,1381.0432,
1550.146,1378.9373,
1547.235,1336.9755,
1544.325,1311.9053,
1541.414,1260.6241,
1538.504,1239.4539,
1535.593,1276.9098,
1532.683,1285.1967,
1529.772,1262.4315,
1526.861,1214.9033,
1523.951,1172.0319,
1521.040,1151.9452,
1518.130,1135.2354,
1515.219,1158.8491,
1512.309,1177.1283,
1509.398,1138.3317,
1506.487,1149.4471,
1503.577,1132.9848,
1500.666,1137.8096,
1497.756,1138.5122,
1494.845,1094.4907,
1491.934,1124.2689,
1489.024,1130.0439,
1486.113,1103.3607,
1483.203,1097.6973,
1480.292,1042.9453,
1477.382,1086.5944,
1474.471,1076.2286,
1471.560,1069.9757,
1468.650,1053.1682,
1465.739,1021.5519,
1462.829,1002.2818,
1459.918,1007.0899,
1457.008,1001.5575,
1454.097,1000.804,
1451.186,1017.9927,
1448.276,1017.3465,
1445.365,1005.6426,
1442.455,1014.8227,
1439.544,1035.4625,
1436.633,984.6085,
1433.723,958.11029,
1430.812,989.2947,
1427.902,952.18235,
1424.991,949.33906,
1422.081,901.54119,
1419.170,913.66715,
1416.259,886.27767,
1413.349,923.80922,
1410.438,909.55903,
1407.528,888.23762,
1404.617,897.92821,
1401.707,873.27393,
1398.796,846.97027,
1395.885,838.60815,
1392.975,801.18675,
1390.064,750.00283,
1387.154,691.06205,
1384.243,630.55836,
1381.332,586.99658,
1378.422,655.9644,
1375.511,786.17695,
1372.601,826.03438,
1369.690,870.39668,
1366.780,901.80309,
1363.869,969.27407,
1360.958,951.31659,
1358.048,985.428,
1355.137,1032.1866,
1352.227,1077.7666,
1349.316,1116.8064,
1346.406,1116.8714,
1343.495,1164.8964,
1340.584,1249.786,
1337.674,1230.0004,
1334.763,1237.1321,
1331.853,1260.3129,
1328.942,1270.1446,
1326.032,1341.3934,
1323.121,1366.1416,
1320.210,1329.9607,
1317.300,1390.5216,
1314.389,1446.7639,
1311.479,1445.0656,
1308.568,1439.0173,
1305.657,1440.2739,
1302.747,1448.9493,
1299.836,1422.8152,
1296.926,1500.8565,
1294.015,1556.9352,
1291.105,1654.3485,
1288.194,1759.9042,
1285.283,1799.0021,
1282.373,1825.4999,
1279.462,1869.0925,
1276.552,1899.4311,
1273.641,1909.9441,
1270.731,1910.1351,
1267.820,1879.525,
1264.909,1851.9319,
1261.999,1893.8159,
1259.088,1909.322,
1256.178,1881.9869,
1253.267,1784.4193,
1250.356,1767.7633,
1247.446,1770.9031,
1244.535,1726.634,
1241.625,1664.6797,
1238.714,1630.4,
1235.804,1624.8616,
1232.893,1647.2685,
1229.982,1562.1768,
1227.072,1530.4908,
1224.161,1497.9919,
1221.251,1428.9667,
1218.340,1392.3503,
1215.430,1390.8564,
1212.519,1405.7579,
1209.608,1421.5025,
1206.698,1427.9734,
1203.787,1429.0792,
1200.877,1456.8102,
1197.966,1481.9866,
1195.055,1524.2059,
1192.145,1539.5148,
1189.234,1593.5046,
1186.324,1665.9816,
1183.413,1690.0013,
1180.503,1675.948,
1177.592,1670.7952,
1174.681,1631.9418,
1171.771,1602.3942,
1168.860,1608.6459,
1165.950,1600.3808,
1163.039,1557.0442,
1160.129,1564.6138,
1157.218,1601.9602,
1154.307,1620.6528,
1151.397,1611.5578,
1148.486,1593.005,
1145.576,1563.8282,
1142.665,1577.1469,
1139.754,1566.0456,
1136.844,1536.6385,
1133.933,1520.558,
1131.023,1512.529,
1128.112,1510.8209,
1125.202,1511.2114,
1122.291,1498.2662,
1119.380,1540.0248,
1116.470,1517.0791,
1113.559,1497.2385,
1110.649,1496.8339,
1107.738,1499.25,
1104.828,1502.5788,
1101.917,1522.0435,
1099.006,1545.8585,
1096.096,1491.7125,
1093.185,1482.9324,
1090.275,1526.7599,
1087.364,1542.739,
1084.453,1542.4377,
1081.543,1554.2731,
1078.632,1552.5062,
1075.722,1516.9605,
1072.811,1551.1187,
1069.901,1563.3444,
1066.990,1569.1,
