,PLCD35~1,
Wavenumbers [1/cm],Intensity,
2175.920,777.16849,
2173.010,803.77721,
2170.099,798.03521,
2167.189,810.67221,
2164.278,833.1794,
2161.368,835.78447,
2158.457,860.65275,
2155.546,862.30289,
2152.636,857.53193,
2149.725,881.13085,
2146.815,869.10064,
2143.904,914.29926,
2140.993,915.75922,
2138.083,931.24162,
2135.172,948.42443,
2132.262,941.22711,
2129.351,934.52071,
2126.441,939.91749,
2123.530,904.75815,
2120.619,921.44521,
2117.709,877.43519,
2114.798,852.34222,
2111.888,837.96257,
2108.977,825.69205,
2106.067,824.80864,
2103.156,800.10495,
2100.245,803.4862,
2097.335,780.29581,
2094.424,772.4574,
2091.514,776.93012,
2088.603,798.4861,
2085.692,818.90893,
2082.782,792.34755,
2079.871,801.21528,
2076.961,786.79156,
2074.050,812.43333,
2071.140,794.39632,
2068.229,801.88022,
2065.318,788.77226,
2062.408,804.93192,
2059.497,798.07736,
2056.587,784.82567,
2053.676,780.86677,
2050.766,813.7287,
2047.855,778.84175,
2044.944,788.90385,
2042.034,777.31501,
2039.123,787.78283,
2036.213,814.17333,
2033.302,807.0653,
2030.391,816.02506,
2027.481,821.26831,
2024.570,791.84361,
2021.660,802.4948,
2018.749,834.43627,
2015.839,806.69291,
2012.928,812.07383,
2010.017,829.64439,
2007.107,802.54862,
2004.196,817.01191,
2001.286,816.29152,
1998.375,818.28347,
1995.465,814.78036,
1992.554,778.44148,
1989.643,780.25805,
1986.733,787.6807,
1983.822,761.42467,
1980.912,785.8852,
1978.001,750.26253,
1975.090,765.67253,
1972.180,770.22474,
1969.269,761.23562,
1966.359,783.50031,
1963.448,778.96763,
1960.538,770.87698,
1957.627,758.01702,
1954.716,757.47127,
1951.806,800.15869,
1948.895,770.9292,
1945.985,758.14216,
1943.074,791.44115,
1940.164,751.60557,
1937.253,742.81724,
1934.342,731.82461,
1931.432,728.81861,
1928.521,749.94214,
1925.611,747.29228,
1922.700,769.03453,
1919.790,736.74321,
1916.879,720.26724,
1913.968,728.48893,
1911.058,792.24474,
1908.147,773.43722,
1905.237,757.56612,
