,PL9F45~1,
Wavenumbers [1/cm],Intensity,
2173.010,346.6763,
2170.099,351.26686,
2167.189,348.95695,
2164.278,344.46734,
2161.368,353.57136,
2158.457,356.69451,
2155.546,370.21156,
2152.636,354.61177,
2149.725,365.63757,
2146.815,370.96663,
2143.904,386.7026,
2140.993,391.60319,
2138.083,392.83584,
2135.172,400.02519,
2132.262,383.23063,
2129.351,394.6346,
2126.441,419.55345,
2123.530,390.31427,
2120.619,412.08282,
2117.709,370.781,
2114.798,356.6692,
2111.888,338.13815,
2108.977,343.07286,
2106.067,334.28218,
2103.156,347.35637,
2100.245,316.01443,
2097.335,339.36126,
2094.424,336.97366,
2091.514,318.85482,
2088.603,323.06909,
2085.692,330.81785,
2082.782,335.65458,
2079.871,344.57176,
2076.961,353.48338,
2074.050,340.24242,
2071.140,342.42549,
2068.229,329.27213,
2065.318,339.18601,
2062.408,340.21181,
2059.497,333.81549,
2056.587,335.45355,
2053.676,324.2006,
2050.766,348.76756,
2047.855,329.80065,
2044.944,323.39904,
2042.034,328.84397,
2039.123,336.63973,
2036.213,334.88445,
2033.302,339.26082,
2030.391,331.05115,
2027.481,345.82907,
2024.570,347.10016,
2021.660,319.65562,
2018.749,363.21445,
2015.839,320.69029,
2012.928,337.77013,
2010.017,329.53311,
2007.107,318.60562,
2004.196,320.39284,
2001.286,321.43815,
1998.375,324.30413,
1995.465,319.28036,
1992.554,318.87646,
1989.643,320.93087,
1986.733,315.98333,
1983.822,305.05317,
1980.912,337.5239,
1978.001,306.38962,
1975.090,315.20305,
1972.180,317.8617,
1969.269,306.14937,
1966.359,268.05372,
1963.448,297.83093,
1960.538,300.20434,
1957.627,288.97523,
1954.716,284.11491,
1951.806,328.36062,
1948.895,295.72472,
1945.985,292.51471,
1943.074,307.54992,
1940.164,287.08645,
1937.253,267.94808,
1934.342,273.68395,
1931.432,291.53628,
1928.521,267.56995,
1925.611,279.0647,
1922.700,280.08564,
1919.790,285.75136,
1916.879,284.20925,
1913.968,269.01844,
1911.058,315.86787,
1908.147,313.46861,
1905.237,303.44849,
1902.326,273.83556,
1899.415,254.83047,
1896.505,220.68659,
1893.594,224.07631,
1890.684,241.6406,
1887.773,243.70658,
1884.863,289.35535,
1881.952,305.81504,
1879.041,294.16563,
1876.131,282.85621,
1873.220,281.87168,
1870.310,294.99549,
1867.399,294.03199,
1864.489,288.31155,
1861.578,297.30759,
1858.667,306.47907,
1855.757,279.02506,
1852.846,258.78972,
1849.936,279.88389,
1847.025,269.70804,
1844.114,283.7389,
1841.204,315.39161,
1838.293,294.02827,
1835.383,278.6395,
1832.472,316.7687,
1829.562,313.2539,
1826.651,301.78644,
1823.740,305.45594,
1820.830,287.48015,
1817.919,290.95814,
1815.009,268.16922,
1812.098,283.74802,
1809.188,311.32552,
1806.277,278.77461,
1803.366,311.98519,
1800.456,254.91273,
1797.545,306.5673,
1794.635,321.742,
1791.724,318.01944,
1788.813,308.20026,
1785.903,302.19966,
1782.992,274.90311,
1780.082,235.69395,
1777.171,150.98606,
1774.261,125.28053,
1771.350,207.01327,
1768.439,280.72602,
1765.529,316.00188,
1762.618,336.21314,
1759.708,315.88014,
1756.797,332.64394,
1753.887,358.58892,
1750.976,352.53796,
1748.065,357.45776,
1745.155,371.1354,
1742.244,362.10872,
1739.334,333.45883,
1736.423,362.85976,
1733.512,357.17067,
1730.602,382.66076,
1727.691,350.24335,
1724.781,388.12748,
1721.870,377.05224,
1718.960,404.71152,
1716.049,382.63589,
1713.138,359.90008,
1710.228,389.20099,
1707.317,381.616,
1704.407,407.85031,
1701.496,386.38821,
1698.586,360.90039,
1695.675,426.37102,
1692.764,400.7049,
1689.854,363.60234,
1686.943,402.58352,
1684.033,385.47189,
1681.122,409.57519,
1678.211,419.90483,
1675.301,477.82116,
1672.390,411.93719,
1669.480,391.28879,
1666.569,427.72367,
1663.659,483.54269,
1660.748,455.53724,
1657.837,432.91853,
1654.927,473.81257,
1652.016,466,
1649.106,466,
1646.195,466.57543,
1643.285,490.22787,
1640.374,500.50174,
1637.463,524.72058,
1634.553,564.19211,
1631.642,577.70576,
1628.732,642.01185,
1625.821,644.01178,
1622.911,661.89857,
1620.000,712.35747,
1617.089,737.50249,
1614.179,759.37958,
1611.268,840.87706,
1608.358,894.51838,
1605.447,958.28621,
1602.536,969.4551,
1599.626,933.20269,
1596.715,969.02685,
1593.805,944.38138,
1590.894,950.68737,
1587.984,934.67816,
1585.073,866.48711,
1582.162,870.02795,
1579.252,822.26533,
1576.341,819.8117,
1573.431,820.43365,
1570.520,810.0631,
1567.610,806.25489,
1564.699,806.72503,
1561.788,790.09875,
1558.878,773.44132,
1555.967,729.36012,
1553.057,722.39642,
1550.146,701.11643,
1547.235,704.25175,
1544.325,716.17234,
1541.414,694.55794,
1538.504,677.4862,
1535.593,662.39257,
1532.683,641.94666,
1529.772,645.05611,
1526.861,673.8978,
1523.951,679.24581,
1521.040,660.73054,
1518.130,702.08665,
1515.219,722.04067,
1512.309,692.06304,
1509.398,670.57035,
1506.487,668.27563,
1503.577,669.4086,
1500.666,689.96338,
1497.756,652.89867,
1494.845,686.67928,
1491.934,654.77952,
1489.024,587.40502,
1486.113,665.66775,
1483.203,628.47978,
1480.292,596.69614,
1477.382,639.68664,
1474.471,580.40113,
1471.560,579.31865,
1468.650,573.33453,
1465.739,584.29323,
1462.829,616.08224,
1459.918,591.77314,
1457.008,578.78485,
1454.097,609.94043,
1451.186,619.59381,
1448.276,597.24123,
1445.365,552.38942,
1442.455,503.89369,
1439.544,496.66581,
1436.633,533.50447,
1433.723,514.2583,
1430.812,494.77835,
1427.902,492.54119,
1424.991,515.28749,
1422.081,495.8155,
1419.170,519.05775,
1416.259,535.96101,
1413.349,531.44759,
1410.438,512.20529,
1407.528,517.23109,
1404.617,514.01882,
1401.707,476.79339,
1398.796,431.11893,
1395.885,426.12218,
1392.975,448.64582,
1390.064,445.05691,
1387.154,435.89705,
1384.243,419.86037,
1381.332,380.42661,
1378.422,412.32882,
1375.511,341.13346,
1372.601,422.94133,
1369.690,441.14389,
1366.780,448.54425,
1363.869,513.92998,
1360.958,521.49459,
1358.048,513,
1355.137,527.19347,
1352.227,549.6079,
1349.316,599.10524,
1346.406,646.86614,
1343.495,601.81701,
