,PLF1F4~1,
Raman shift [1/cm],Intensity,
2222.490,2100.182,
2219.579,2114.9335,
2216.669,2147.0845,
2213.758,2167.3662,
2210.847,2184.1036,
2207.937,2219.2406,
2205.026,2181.9565,
2202.116,2236.8203,
2199.205,2279.9728,
2196.294,2327.435,
2193.384,2380.7811,
2190.473,2395.6191,
2187.563,2512.6202,
2184.652,2526.385,
2181.742,2638.8786,
2178.831,2777.2167,
2175.920,2939.2334,
2173.010,3128.9356,
2170.099,3375.6028,
2167.189,3544.9883,
2164.278,3778.6723,
2161.368,4083.1913,
2158.457,4300.1917,
2155.546,4584.0425,
2152.636,4791.0556,
2149.725,4982.0947,
2146.815,5104.4216,
2143.904,5249.3313,
2140.993,5256.0114,
2138.083,5226.166,
2135.172,5236.02,
2132.262,5171.0158,
2129.351,5039.29,
2126.441,4937.4112,
2123.530,4687.3577,
2120.619,4454.4613,
2117.709,4183.6037,
2114.798,3901.9623,
2111.888,3606.4807,
2108.977,3373.6382,
2106.067,3193.8348,
2103.156,3000.0143,
2100.245,2874.5667,
2097.335,2776.0857,
2094.424,2707.8605,
2091.514,2608.5416,
2088.603,2568.2149,
2085.692,2527.3017,
2082.782,2542.1911,
2079.871,2524.0521,
2076.961,2476.4664,
2074.050,2467.425,
2071.140,2407.8431,
2068.229,2419.9987,
2065.318,2409.9215,
2062.408,2398.8519,
2059.497,2387.2321,
2056.587,2369.7649,
2053.676,2333.0434,
2050.766,2336.7782,
2047.855,2321.5396,
2044.944,2319.4231,
2042.034,2331.9719,
2039.123,2352.5644,
2036.213,2325.3982,
2033.302,2306.777,
2030.391,2330.3703,
2027.481,2325.491,
2024.570,2337.4817,
2021.660,2342.5067,
2018.749,2380.9657,
2015.839,2311.6073,
2012.928,2307.8196,
2010.017,2340.2482,
2007.107,2336.0885,
2004.196,2347.1251,
2001.286,2351.9148,
1998.375,2341.625,
1995.465,2314.0938,
1992.554,2315.3896,
1989.643,2283.8002,
1986.733,2290.6952,
1983.822,2310.6124,
1980.912,2308.1986,
1978.001,2285.2688,
1975.090,2318.7441,
1972.180,2325.524,
1969.269,2304.852,
1966.359,2295.3545,
1963.448,2291.2776,
1960.538,2312.1012,
1957.627,2321.0832,
1954.716,2291.5155,
1951.806,2270.2708,
1948.895,2278.7991,
1945.985,2258.344,
1943.074,2283.4294,
1940.164,2273.1919,
1937.253,2230.8644,
1934.342,2233.2662,
1931.432,2270.9846,
1928.521,2230.777,
1925.611,2236.6636,
1922.700,2224.5076,
1919.790,2224.5151,
1916.879,2226.5553,
1913.968,2214.6398,
1911.058,2234.4088,
1908.147,2254.3111,
1905.237,2231.9339,
1902.326,2257.1006,
1899.415,2212.2445,
1896.505,2250.0526,
1893.594,2245.436,
1890.684,2241.0369,
1887.773,2253.6587,
1884.863,2269.2469,
1881.952,2239.1203,
