,PL6A7C~1,
Wavenumbers [1/cm],Intensity,
2175.920,385.71197,
2173.010,407.75198,
2170.099,391.37797,
2167.189,403.55439,
2164.278,425.58706,
2161.368,419.08811,
2158.457,429.39531,
2155.546,432.79812,
2152.636,430.16761,
2149.725,445.50921,
2146.815,455.20816,
2143.904,454.88428,
2140.993,472.02057,
2138.083,460.57558,
2135.172,467.90439,
2132.262,483.77729,
2129.351,484.04735,
2126.441,485.67599,
2123.530,486.29643,
2120.619,477.31087,
2117.709,460.94706,
2114.798,441.27489,
2111.888,419.73775,
2108.977,413.10348,
2106.067,413.89176,
2103.156,406.45648,
2100.245,388.37751,
2097.335,395.26505,
2094.424,409.19452,
2091.514,386.01747,
2088.603,396.76666,
2085.692,409.375,
2082.782,397.35901,
2079.871,388.26765,
2076.961,404.2126,
2074.050,394.61742,
2071.140,398.57047,
2068.229,397.64062,
2065.318,403.313,
2062.408,401.82205,
2059.497,405.97619,
2056.587,412.75862,
2053.676,404.75898,
2050.766,433.75766,
2047.855,389.5174,
2044.944,393.44391,
2042.034,390.92996,
2039.123,409.17635,
2036.213,412.64607,
2033.302,418.30951,
2030.391,425.00235,
2027.481,420.375,
2024.570,414.47516,
2021.660,404.90716,
2018.749,413.52696,
2015.839,416.56791,
2012.928,408.15688,
2010.017,401.59542,
2007.107,407.86285,
2004.196,412.0536,
2001.286,432.06402,
1998.375,433.41634,
1995.465,422.50893,
1992.554,397.58696,
1989.643,393.40956,
1986.733,411.44868,
1983.822,384.99243,
1980.912,422.94857,
1978.001,394.06146,
1975.090,390.58568,
1972.180,385.89229,
1969.269,385.375,
1966.359,381.48306,
1963.448,394.71582,
1960.538,393.07141,
1957.627,386.02515,
1954.716,384.40373,
1951.806,386.53047,
1948.895,367.95196,
1945.985,359.34069,
1943.074,383.92492,
1940.164,364.52878,
1937.253,354.20989,
1934.342,351.9135,
1931.432,374.84819,
1928.521,381.88104,
1925.611,358.19339,
1922.700,374.90953,
1919.790,372.76238,
1916.879,376.02625,
1913.968,345.41312,
1911.058,397.52514,
1908.147,371.24215,
1905.237,363.82349,
1902.326,342.64906,
1899.415,340.97254,
1896.505,314.81485,
1893.594,322.74084,
1890.684,320.95668,
1887.773,330.88343,
1884.863,358.06065,
1881.952,385.02235,
1879.041,389.10553,
1876.131,381.04559,
1873.220,369.78647,
1870.310,393.43774,
1867.399,382.58292,
1864.489,351.66014,
1861.578,384.68259,
1858.667,392.2403,
1855.757,363.96927,
1852.846,365.85194,
1849.936,359.32794,
1847.025,370.43583,
1844.114,374.25034,
1841.204,403.29808,
1838.293,411.88082,
1835.383,412.2005,
1832.472,426.64283,
1829.562,442.67943,
1826.651,413.86991,
1823.740,411.47847,
1820.830,413.28836,
1817.919,424.59065,
1815.009,399.11928,
1812.098,392.57973,
1809.188,425.20438,
1806.277,394.12748,
1803.366,401.95909,
1800.456,380.4526,
1797.545,433.19061,
1794.635,432.53602,
1791.724,439.87986,
1788.813,435.77294,
1785.903,420.46421,
1782.992,387.08289,
1780.082,333.49952,
1777.171,203.35731,
1774.261,168.40063,
1771.350,276.19702,
1768.439,383.4849,
1765.529,437.37876,
1762.618,472.97002,
1759.708,459.32039,
1756.797,452.125,
1753.887,471.32398,
1750.976,469.65772,
1748.065,461.45949,
1745.155,473.06522,
1742.244,454.88954,
1739.334,442.05971,
1736.423,460.74507,
1733.512,466.19207,
1730.602,462.38293,
1727.691,471.35459,
1724.781,490.89311,
1721.870,501.00837,
1718.960,532.79759,
