,PLC8A1~1,
Raman shift [1/cm],Intensity,
2170.099,194.79911,
2167.189,177.07893,
2164.278,186.53266,
2161.368,184.85631,
2158.457,193.95109,
2155.546,181.31827,
2152.636,195.32974,
2149.725,207.8255,
2146.815,211.89989,
2143.904,213.69889,
2140.993,213.79362,
2138.083,231.38901,
2135.172,236.08397,
2132.262,221.61884,
2129.351,232.59318,
2126.441,217.56305,
2123.530,206.73062,
2120.619,184.23848,
2117.709,190.41787,
2114.798,191.43852,
2111.888,189.75045,
2108.977,176.18543,
2106.067,151.24867,
2103.156,165.99588,
2100.245,151.99812,
2097.335,149.48167,
2094.424,150.12781,
2091.514,138.13976,
2088.603,137.27187,
2085.692,152.63934,
2082.782,152.93177,
2079.871,145.07118,
2076.961,154.28964,
2074.050,158.49697,
2071.140,133.02267,
2068.229,149.64584,
2065.318,142.97576,
2062.408,138.68912,
2059.497,139.8274,
2056.587,161.76724,
2053.676,145.76796,
2050.766,133.61585,
2047.855,128.68673,
2044.944,122.52242,
2042.034,144.89008,
2039.123,139.34343,
2036.213,157.07993,
2033.302,130.47836,
2030.391,123.06785,
2027.481,133.15843,
2024.570,142.89984,
2021.660,138.35478,
2018.749,149.3799,
2015.839,156.04068,
2012.928,140.44799,
2010.017,149.07817,
2007.107,145.93085,
2004.196,147.44047,
2001.286,144.39576,
1998.375,123.81987,
1995.465,143.31785,
1992.554,133.47074,
1989.643,138.72349,
1986.733,138.19737,
1983.822,124.56425,
1980.912,132.09934,
1978.001,143.49165,
1975.090,132.02289,
1972.180,129.27526,
1969.269,141.09484,
1966.359,137.21612,
1963.448,129.34742,
1960.538,137.73812,
1957.627,123.95045,
1954.716,155.02329,
1951.806,130.54646,
1948.895,139.97977,
1945.985,129.32353,
1943.074,119.48701,
1940.164,131.35578,
1937.253,136.30426,
1934.342,127.88022,
1931.432,123.81388,
1928.521,134.24698,
1925.611,135.27923,
1922.700,126.2942,
1919.790,138.64145,
1916.879,118.67399,
1913.968,116.00123,
1911.058,115.991,
1908.147,130.92994,
1905.237,133.22792,
1902.326,124.59258,
1899.415,137.09511,
1896.505,119.12644,
1893.594,109.54573,
1890.684,112.09802,
1887.773,115,
1884.863,141.15034,
1881.952,142.05014,
1879.041,140.53894,
1876.131,130.5987,
1873.220,103.59282,
1870.310,119.49324,
1867.399,129.85606,
1864.489,137.26007,
1861.578,119.0934,
1858.667,123.37423,
1855.757,142.60143,
1852.846,130.1949,
1849.936,113.1151,
1847.025,136.00488,
1844.114,119.63296,
1841.204,134.31468,
1838.293,118.53908,
1835.383,109.75549,
1832.472,133.26783,
1829.562,140.3612,
1826.651,124.9569,
1823.740,109.99232,
1820.830,152.52796,
1817.919,130.16743,
1815.009,144.26208,
1812.098,139.92126,
1809.188,107.1086,
1806.277,140.20325,
1803.366,139.78373,
1800.456,126.39547,
1797.545,116.09219,
1794.635,117.90301,
1791.724,127.46597,
1788.813,140.59434,
1785.903,122.29652,
1782.992,118.1222,
1780.082,114.50631,
1777.171,128.00536,
1774.261,150.19004,
1771.350,151.22975,
1768.439,138.91376,
1765.529,125.72684,
1762.618,123,
1759.708,125.0435,
1756.797,115.70454,
1753.887,123.48834,
1750.976,125.79647,
1748.065,132.1321,
1745.155,136.52906,
1742.244,132.01359,
1739.334,157.01882,
1736.423,142.85798,
1733.512,162.56106,
1730.602,153.80354,
1727.691,129.34381,
1724.781,139.73153,
1721.870,111.80934,
1718.960,143.46714,
1716.049,143.61025,
1713.138,155.67993,
1710.228,130.1505,
1707.317,154.30628,
1704.407,126.5561,
1701.496,119.35381,
1698.586,179.98297,
1695.675,167.22154,
1692.764,147.06556,
1689.854,192.87798,
1686.943,165.04549,
1684.033,203.98171,
1681.122,121.44436,
1678.211,224.99116,
1675.301,209.05242,
1672.390,171.01794,
1669.480,177.1444,
1666.569,195.24122,
1663.659,214.40831,
1660.748,237.68884,
1657.837,171.83105,
1654.927,209.02343,
1652.016,210.43738,
1649.106,228.88132,
1646.195,264.19181,
1643.285,271.04296,
1640.374,229.58188,
1637.463,210.41433,
1634.553,233.69456,
1631.642,280.02172,
1628.732,282.15406,
1625.821,307.99084,
1622.911,294.07889,
1620.000,324.60944,
1617.089,377.92537,
1614.179,386.77439,
1611.268,400.47951,
1608.358,406.71906,
1605.447,440.00027,
1602.536,429.88547,
1599.626,437.2794,
1596.715,471.58124,
1593.805,441.01539,
1590.894,419.3866,
1587.984,404.00862,
1585.073,389.23775,
1582.162,392.8442,
1579.252,408.72942,
1576.341,359.93088,
1573.431,397.12315,
1570.520,406.41374,
1567.610,384.13693,
1564.699,386.42539,
1561.788,387.88734,
1558.878,343.98592,
1555.967,351.74792,
1553.057,353.87943,
1550.146,332.86549,
1547.235,320.45804,
1544.325,319.13106,
1541.414,311.89914,
1538.504,321.44168,
1535.593,311.68045,
1532.683,285,
1529.772,287.58746,
1526.861,284.96507,
1523.951,283.45441,
1521.040,300.11085,
1518.130,297.71763,
1515.219,273.32013,
1512.309,269,
1509.398,269.64448,
1506.487,277.43278,
1503.577,304.4982,
1500.666,313.85146,
1497.756,272.38975,
1494.845,266.12061,
1491.934,292.90236,
1489.024,263.06508,
1486.113,274.0538,
1483.203,281.21717,
1480.292,258.24168,
1477.382,232.98555,
1474.471,213.4198,
1471.560,219.88499,
1468.650,240.39857,
1465.739,225.58285,
1462.829,221.95226,
1459.918,218.60765,
1457.008,236.38494,
1454.097,266.5459,
1451.186,260.52418,
1448.276,230.82401,
1445.365,203.24882,
1442.455,211.95885,
1439.544,255.27695,
1436.633,194.69911,
1433.723,201.11557,
1430.812,222.40894,
1427.902,214.00781,
1424.991,172.30626,
1422.081,178.33982,
1419.170,186.77654,
1416.259,202.58113,
1413.349,176.5456,
1410.438,179.59603,
1407.528,181.78129,
1404.617,188.2198,
1401.707,172.80238,
1398.796,164.85661,
1395.885,182.78745,
1392.975,181.4371,
1390.064,173.4179,
1387.154,180.11107,
1384.243,122.99907,
1381.332,93.356066,
1378.422,52.250843,
1375.511,134.68757,
1372.601,177.47067,
1369.690,205.00223,
1366.780,224.04867,
1363.869,217.82932,
1360.958,231.16562,
1358.048,212.70766,
1355.137,248.67114,
1352.227,265.51614,
1349.316,247.21911,
1346.406,281.23518,
1343.495,295.46693,
1340.584,322.92865,
1337.674,319.50081,
1334.763,333.9054,
1331.853,383.97588,
1328.942,326.40591,
1326.032,324.70934,
