,PLEED5~1,
Raman shift [1/cm],Intensity,
2175.920,987.0665,
2173.010,1013.3758,
2170.099,1041.7639,
2167.189,1053.5287,
2164.278,1065.1302,
2161.368,1112.9282,
2158.457,1141.8341,
2155.546,1173.424,
2152.636,1213.4307,
2149.725,1244.4799,
2146.815,1261.0328,
2143.904,1274.1245,
2140.993,1332.8016,
2138.083,1311.1688,
2135.172,1287.9118,
2132.262,1315.3988,
2129.351,1289.2515,
2126.441,1292.5195,
2123.530,1262.2867,
2120.619,1238.1333,
2117.709,1186.5692,
2114.798,1127.1768,
2111.888,1083.2888,
2108.977,1059.9503,
2106.067,1026.8562,
2103.156,979.42676,
2100.245,1013.4686,
2097.335,962.77749,
2094.424,960.61154,
2091.514,965.85211,
2088.603,947.5323,
2085.692,935.90893,
2082.782,924.19083,
2079.871,930.17911,
2076.961,952.14386,
2074.050,943.08182,
2071.140,951.76458,
2068.229,942.67056,
2065.318,951.52424,
2062.408,946.45461,
2059.497,942.2857,
2056.587,948.13936,
2053.676,941.06737,
2050.766,925.57773,
2047.855,918.24046,
2044.944,939.37661,
2042.034,915.81796,
2039.123,915.61785,
2036.213,917.05343,
2033.302,930.82631,
2030.391,928.8048,
2027.481,941.93896,
2024.570,944.5,
2021.660,946.38174,
2018.749,938.65196,
2015.839,944.51772,
2012.928,959.56879,
2010.017,957.08523,
2007.107,938.33738,
2004.196,950.76194,
2001.286,942.76859,
1998.375,965.98919,
1995.465,939.80983,
1992.554,924.99415,
1989.643,925.46544,
1986.733,912.26579,
1983.822,935.88257,
1980.912,893.82708,
1978.001,909.44063,
1975.090,913.09389,
1972.180,912.60373,
1969.269,929.87938,
1966.359,931.8782,
1963.448,953.72062,
1960.538,919.05546,
1957.627,916.52477,
1954.716,926.24146,
1951.806,912.54324,
1948.895,930.20449,
1945.985,917.35948,
1943.074,924.01299,
1940.164,906.45179,
1937.253,899.37383,
1934.342,911.05561,
1931.432,892.67665,
1928.521,884.24093,
1925.611,887.33768,
1922.700,858.00829,
1919.790,879.78291,
1916.879,904.96551,
1913.968,925.47664,
1911.058,898.7072,
1908.147,884.57735,
1905.237,872.25004,
1902.326,897.12667,
1899.415,889.1878,
1896.505,890.02414,
1893.594,897.31708,
1890.684,892.27129,
1887.773,897.629,
1884.863,923.72096,
1881.952,900.71783,
1879.041,900.11683,
1876.131,899.61373,
1873.220,902.85842,
1870.310,874.72427,
1867.399,890.21212,
1864.489,932.02015,
1861.578,895.967,
1858.667,903.43411,
1855.757,920.10143,
1852.846,926.28972,
1849.936,947.08158,
1847.025,933.03286,
1844.114,916.69529,
1841.204,927.67832,
1838.293,937.00915,
1835.383,936.96499,
1832.472,969.96609,
1829.562,963.94791,
1826.651,963.85933,
1823.740,936.28538,
1820.830,949.73645,
1817.919,975.41628,
1815.009,1011.1807,
1812.098,965.33468,
1809.188,954.81009,
1806.277,980.90244,
1803.366,946.73291,
1800.456,963.52264,
1797.545,1011.8122,
1794.635,977.95104,
1791.724,994.00486,
1788.813,992.70154,
1785.903,989.0582,
1782.992,966.59689,
1780.082,961.82173,
1777.171,918.16649,
1774.261,945.60557,
1771.350,1003.998,
1768.439,1012.5417,
1765.529,1005.8639,
1762.618,1032.1394,
1759.708,1061.5652,
1756.797,1047.2879,
1753.887,1049.4242,
1750.976,1046.5792,
1748.065,1055.7765,
1745.155,1060.1968,
1742.244,1071.3913,
1739.334,1038.4177,
1736.423,1050.5878,
1733.512,1087.5123,
1730.602,1100.9881,
1727.691,1084.0761,
1724.781,1068.2745,
1721.870,1104.9336,
1718.960,1118.6112,
1716.049,1080.9072,
1713.138,1127.3647,
1710.228,1114.7426,
1707.317,1142.46,
1704.407,1159.976,
1701.496,1141.4459,
1698.586,1123.7923,
1695.675,1154.3141,
1692.764,1165.9672,
1689.854,1174.1535,
1686.943,1169.6686,
1684.033,1183.1523,
1681.122,1226.7523,
1678.211,1268.1098,
1675.301,1238.5925,
1672.390,1275.5329,
1669.480,1287.3584,
1666.569,1393.0429,
1663.659,1357.7613,
1660.748,1373.8664,
1657.837,1392.4344,
1654.927,1391.7258,
1652.016,1484.1355,
1649.106,1469.4266,
1646.195,1466.5,
1643.285,1469.3939,
1640.374,1593.8972,
1637.463,1611.8695,
1634.553,1579.1699,
1631.642,1691.0538,
1628.732,1742.2762,
1625.821,1872.5072,
1622.911,1883.438,
1620.000,2003.963,
1617.089,2070.1866,
1614.179,2203.6647,
1611.268,2354.8118,
1608.358,2445.3327,
1605.447,2522.1006,
1602.536,2546.0696,
1599.626,2544.7402,
1596.715,2488.2287,
1593.805,2512.9073,
1590.894,2484.7959,
1587.984,2428.5345,
1585.073,2466.4441,
1582.162,2374.3137,
1579.252,2320.1314,
1576.341,2299.683,
1573.431,2266.7394,
1570.520,2250.0919,
1567.610,2243.0293,
1564.699,2225.5493,
1561.788,2180.768,
1558.878,2151.5275,
1555.967,2121.0554,
1553.057,2083.6209,
1550.146,2050.4491,
1547.235,2024.9225,
1544.325,1996.8374,
1541.414,1973.8591,
1538.504,1965.4724,
1535.593,1961.5785,
1532.683,1953.9061,
1529.772,1929.5253,
1526.861,1900.4767,
1523.951,1874.0004,
1521.040,1831.6209,
1518.130,1818.6811,
1515.219,1812.5808,
1512.309,1798.1262,
1509.398,1835.2035,
1506.487,1822.0353,
1503.577,1828.7975,
1500.666,1800.2688,
1497.756,1789.2795,
1494.845,1774.3399,
1491.934,1770.4433,
1489.024,1753.1184,
1486.113,1732.1013,
1483.203,1730.5,
1480.292,1677.8923,
1477.382,1748.5166,
1474.471,1730.6658,
1471.560,1679.5884,
1468.650,1637.8523,
1465.739,1623.5785,
1462.829,1629.065,
1459.918,1660.0196,
1457.008,1663.2228,
1454.097,1620.5435,
1451.186,1601.4807,
1448.276,1616.2379,
1445.365,1612.9992,
1442.455,1611.4263,
1439.544,1628.0132,
1436.633,1607.0819,
1433.723,1581.7492,
1430.812,1581.8007,
1427.902,1559.3049,
1424.991,1509.0735,
1422.081,1536.8593,
1419.170,1522.2188,
1416.259,1517.8799,
1413.349,1593.7793,
1410.438,1554.8201,
1407.528,1516.5564,
1404.617,1487.0149,
1401.707,1438.7036,
1398.796,1450.6223,
1395.885,1474.4171,
1392.975,1426.4367,
1390.064,1377.313,
1387.154,1310.928,
1384.243,1200.4963,
1381.332,1110.2546,
1378.422,1163.4559,
1375.511,1298.3524,
1372.601,1404.6374,
1369.690,1529.225,
1366.780,1598.3982,
1363.869,1632.5678,
1360.958,1645.1215,
1358.048,1669.4525,
1355.137,1742.3252,
1352.227,1795.415,
1349.316,1812.442,
1346.406,1874.2209,
1343.495,1962.4652,
1340.584,1984.6434,
1337.674,1956.9689,
1334.763,2028.4174,
1331.853,2052.5254,
1328.942,2104.1995,
1326.032,2109.6844,
1323.121,2138.3976,
1320.210,2127.1905,
1317.300,2167.8502,
1314.389,2259.0011,
1311.479,2295.3351,
1308.568,2257.2588,
1305.657,2243.3575,
1302.747,2291.7569,
1299.836,2323.3109,
1296.926,2403.3628,
1294.015,2464.9575,
1291.105,2569.6428,
1288.194,2617.0472,
1285.283,2700.6803,
1282.373,2739.3593,
1279.462,2763.7153,
1276.552,2826.4215,
1273.641,2859.6216,
1270.731,2813.7388,
1267.820,2795.2637,
1264.909,2831.412,
1261.999,2821.2364,
1259.088,2759.2122,
1256.178,2758.9258,
1253.267,2711.1667,
1250.356,2684.3094,
1247.446,2651.5106,
1244.535,2591.8662,
1241.625,2544.4445,
1238.714,2531.1409,
1235.804,2522.8107,
1232.893,2514.52,
1229.982,2423.4387,
1227.072,2421.628,
1224.161,2342.4926,
1221.251,2325.2665,
1218.340,2259.7188,
1215.430,2225.6011,
1212.519,2230.5748,
1209.608,2235.8544,
1206.698,2254.8834,
1203.787,2308.8116,
1200.877,2310.2214,
1197.966,2305.7256,
1195.055,2417.2756,
1192.145,2456.7863,
1189.234,2508.2667,
1186.324,2557.0478,
1183.413,2585.0076,
1180.503,2594.1627,
1177.592,2586.5302,
1174.681,2560.5856,
1171.771,2540.0467,
1168.860,2520.3987,
1165.950,2493.505,
1163.039,2482.6112,
1160.129,2481.6797,
1157.218,2482.5,
1154.307,2485.0972,
1151.397,2493.1495,
1148.486,2504.6989,
1145.576,2508.2235,
1142.665,2432.7509,
1139.754,2432.1954,
1136.844,2408.2891,
1133.933,2402.7786,
1131.023,2408.3884,
1128.112,2398.0018,
1125.202,2377.4324,
1122.291,2384.628,
1119.380,2392.578,
1116.470,2400.5207,
1113.559,2389.128,
1110.649,2373.0579,
1107.738,2358.4627,
1104.828,2371.4728,
1101.917,2401.2752,
1099.006,2406.3763,
1096.096,2411.2525,
1093.185,2423.5446,
1090.275,2440.6854,
1087.364,2412.9383,
1084.453,2397.3751,
1081.543,2408.332,
1078.632,2411.9044,
1075.722,2392.1418,
1072.811,2418.5477,
1069.901,2447.3653,
1066.990,2487.4916,
1064.079,2494.4585,
1061.169,2481.3494,
1058.258,2488.0159,
1055.348,2520.7885,
1052.437,2546.6479,
1049.527,2552.1979,
1046.616,2544.3784,
1043.705,2544.2708,
1040.795,2562.3781,
1037.884,2561.8795,
1034.974,2563.0451,
1032.063,2581.5462,
1029.153,2580.9927,
1026.242,2601.7516,
1023.331,2589.1675,
1020.421,2640.1768,
1017.510,2655.0959,
1014.600,2656.5357,
1011.689,2672.0611,
1008.778,2692.0034,
1005.868,2742.1409,
1002.957,2813.5503,
1000.047,2895.844,
997.136,2955.3902,
994.226,2972.2539,
991.315,2960.5421,
988.404,2938.8538,
985.494,2872.4067,
982.583,2823.583,
979.673,2820.1582,
976.762,2806.8224,
973.852,2796.5,
970.941,2797.3891,
968.030,2798.448,
965.120,2792.5931,
962.209,2814.7592,
959.299,2822.7495,
956.388,2832.3395,
953.477,2843.8434,
950.567,2847.5786,
947.656,2841.6249,
944.746,2880.7045,
941.835,2848.4878,
938.925,2855.6352,
936.014,2864.0058,
933.103,2856.0257,
930.193,2829.5134,
927.282,2786.2333,
924.372,2799.763,
921.461,2774.9896,
918.551,2757.9479,
915.640,2760.149,
912.729,2755.2037,
909.819,2720.1723,
906.908,2770.7178,
903.998,2723.3921,
901.087,2741.6888,
898.176,2789.5633,
895.266,2821.5478,
892.355,2820.5994,
889.445,2826.4743,
886.534,2834.0138,
883.624,2828.7717,
880.713,2847.9557,
877.802,2867.0683,
