,PL1CBE~1,
Raman shift [1/cm],Intensity,
2175.920,1020.5109,
2173.010,1054.7285,
2170.099,1061.9678,
2167.189,1102.6722,
2164.278,1130.7553,
2161.368,1173.4978,
2158.457,1231.2088,
2155.546,1255.2269,
2152.636,1301.6116,
2149.725,1328.6544,
2146.815,1346.9327,
2143.904,1376.3178,
2140.993,1419.9656,
2138.083,1413.8405,
2135.172,1421.8195,
2132.262,1432.2342,
2129.351,1409.6413,
2126.441,1404.5,
2123.530,1359.6694,
2120.619,1279.3443,
2117.709,1213.6687,
2114.798,1143.0691,
2111.888,1083.5268,
2108.977,1018.798,
2106.067,987.57407,
2103.156,951.70577,
2100.245,914.49624,
2097.335,904.16493,
2094.424,865.08017,
2091.514,846.50542,
2088.603,850.27882,
2085.692,868.14298,
2082.782,851.98614,
2079.871,822.89207,
2076.961,842.88555,
2074.050,845.17879,
2071.140,853.19008,
2068.229,824.41146,
2065.318,832.21701,
2062.408,827.83285,
2059.497,827.14289,
2056.587,821.63986,
2053.676,804.51722,
2050.766,816.34529,
2047.855,820.64563,
2044.944,794.42627,
2042.034,808.52305,
2039.123,808.82323,
2036.213,825.9066,
2033.302,800.97836,
2030.391,801.9405,
2027.481,834.51193,
2024.570,821.74346,
2021.660,823.14522,
2018.749,808.63971,
2015.839,838.71063,
2012.928,842.59228,
2010.017,825.92888,
2007.107,813.89438,
2004.196,801.86903,
2001.286,797.70848,
1998.375,799.89173,
1995.465,828.03125,
1992.554,789.92392,
1989.643,787.36175,
1986.733,777.28596,
1983.822,772.37149,
1980.912,771.64901,
1978.001,783.72077,
1975.090,762.50763,
1972.180,767.7061,
1969.269,788.95406,
1966.359,791.36477,
1963.448,797.72722,
1960.538,798.25396,
1957.627,779.66717,
1954.716,785.27019,
1951.806,752.69227,
1948.895,778.30563,
1945.985,787.49183,
1943.074,754.66964,
1940.164,764.45179,
1937.253,764.69107,
1934.342,764.37166,
1931.432,736.79968,
1928.521,737.89033,
1925.611,746.38309,
1922.700,713.46824,
1919.790,769.95591,
1916.879,754.45299,
1913.968,699.56517,
1911.058,718.20872,
1908.147,753.57735,
1905.237,730.72792,
1902.326,724.46591,
1899.415,741.95487,
1896.505,723.36743,
1893.594,706.68898,
1890.684,701.27772,
1887.773,707.18971,
1884.863,731.01253,
1881.952,736.43259,
1879.041,707.53582,
1876.131,714.15882,
1873.220,714.88495,
1870.310,742.34748,
1867.399,742.53199,
1864.489,698.55148,
1861.578,724.033,
1858.667,721.11376,
1855.757,728.90573,
1852.846,725.51538,
1849.936,736.91842,
1847.025,749.90875,
1844.114,754.64821,
1841.204,749.61888,
1838.293,749.51663,
1835.383,745.51149,
1832.472,778.96609,
1829.562,780.61354,
1826.651,773.91889,
1823.740,783.50768,
1820.830,789.58664,
1817.919,786.42812,
1815.009,793.20611,
1812.098,776.54726,
1809.188,769.81009,
1806.277,787.10163,
1803.366,824.86782,
1800.456,787.44504,
1797.545,787.32975,
1794.635,792.27495,
1791.724,783.37361,
1788.813,835.8838,
1785.903,802.85259,
1782.992,836.42988,
1780.082,787.65934,
1777.171,821.50054,
1774.261,823.86501,
1771.350,832.01925,
1768.439,836.69054,
1765.529,820.2259,
1762.618,825.51065,
1759.708,821.59764,
1756.797,820.71212,
1753.887,826.47376,
1750.976,813.60341,
1748.065,821.78878,
1745.155,842.2741,
1742.244,826.32522,
1739.334,852.15881,
1736.423,862.43459,
1733.512,852.9512,
1730.602,866.20836,
1727.691,850.0055,
1724.781,897.77378,
1721.870,889.96654,
1718.960,905.87804,
1716.049,899.59333,
1713.138,905.19496,
1710.228,893.44555,
1707.317,906.53771,
1704.407,911.19519,
1701.496,876.86118,
1698.586,923.39516,
1695.675,932.17854,
1692.764,921.13934,
1689.854,966.42129,
1686.943,993.62313,
1684.033,1016.9288,
1681.122,928.04631,
