,PLA94E~1,
Raman shift [1/cm],Intensity,
2420.409,401.23081,
2417.498,390.91853,
2414.588,383.23005,
2411.677,389.10959,
2408.767,400.94685,
2405.856,399.69517,
2402.946,413.5,
2400.035,392.82158,
2397.124,389.9492,
2394.214,392.5268,
2391.303,396.39499,
2388.393,397.02092,
2385.482,395.5,
2382.571,405.19655,
2379.661,403.17424,
2376.750,414.29067,
2373.840,421.4812,
2370.929,417.57581,
2368.019,440.22354,
2365.108,421.36126,
2362.197,416.48631,
2359.287,415.30668,
2356.376,419.49119,
2353.466,418.48457,
2350.555,419.33989,
2347.645,413.90795,
2344.734,425.3203,
2341.823,429.48342,
2338.913,440.01342,
2336.002,426.64595,
2333.092,418.43112,
2330.181,436.37974,
2327.270,444.44499,
2324.360,435.80184,
2321.449,453.15983,
2318.539,441.20338,
2315.628,439.34092,
2312.718,437.14978,
2309.807,441.22675,
2306.896,437.75196,
2303.986,451.55207,
2301.075,464.18087,
2298.165,443.14389,
2295.254,440.45691,
2292.344,448.59951,
2289.433,464.78954,
2286.522,459.14728,
2283.612,458.97958,
2280.701,455.63453,
2277.791,461.90075,
2274.880,470.21602,
2271.969,465.11317,
2269.059,468.41009,
2266.148,489.73873,
2263.238,472.21044,
2260.327,487.25845,
2257.417,474.05833,
2254.506,483.88176,
2251.595,482.64181,
2248.685,479.81732,
2245.774,470.39025,
2242.864,482.08353,
2239.953,491.63791,
2237.043,492.38286,
2234.132,494.10776,
2231.221,495.23641,
2228.311,512.63657,
2225.400,492.00662,
2222.490,508.01463,
2219.579,502.52571,
2216.669,517.93561,
2213.758,530.19542,
2210.847,534.33627,
2207.937,536.45928,
2205.026,551.16706,
2202.116,541.81104,
2199.205,553.74941,
2196.294,557.63202,
2193.384,582.76205,
2190.473,584.34624,
2187.563,598.6015,
2184.652,617.84327,
2181.742,612.93237,
2178.831,633.17319,
2175.920,686.30148,
2173.010,704.62415,
2170.099,710.89881,
2167.189,753.57893,
2164.278,770.51608,
2161.368,818.06991,
2158.457,860.09068,
2155.546,904.21063,
2152.636,950.49462,
2149.725,953.84229,
2146.815,975.69915,
2143.904,964.41076,
2140.993,995.85443,
2138.083,1020.0653,
2135.172,1035.9622,
2132.262,1016.0907,
2129.351,990.17235,
2126.441,964.41255,
2123.530,929.02859,
2120.619,879.65629,
2117.709,824.96256,
2114.798,785.02665,
2111.888,733.17559,
2108.977,691.89071,
2106.067,689.1508,
2103.156,651.26791,
2100.245,624.50063,
2097.335,623.09163,
2094.424,608.85089,
2091.514,599.83585,
2088.603,574.4677,
2085.692,561.85702,
2082.782,553.27505,
2079.871,544.17795,
2076.961,563.01471,
2074.050,574.74242,
2071.140,577.0864,
2068.229,564.77213,
2065.318,568.562,
2062.408,560.20425,
2059.497,542.89285,
2056.587,539.08142,
2053.676,550.74925,
2050.766,560.88415,
2047.855,545.61392,
2044.944,548.03686,
2042.034,540.15898,
2039.123,544.13973,
2036.213,542.82667,
2033.302,547.21735,
2030.391,563.66911,
2027.481,572.2439,
2024.570,564.91449,
2021.660,543.74171,
2018.749,527.48775,
2015.839,552.63451,
2012.928,551.20134,
2010.017,545.44788,
2007.107,552.84954,
2004.196,560.05953,
2001.286,535.91348,
1998.375,525.45866,
1995.465,547.37857,
1992.554,542.85891,
1989.643,555.01611,
1986.733,549.87807,
1983.822,504.20532,
1980.912,512.3716,
1978.001,531.77088,
1975.090,535.53816,
1972.180,521.94814,
1969.269,532.5575,
1966.359,516.14835,
1963.448,518.84082,
1960.538,528.55755,
1957.627,498.29255,
1954.716,532.37965,
1951.806,504.44388,
1948.895,525.05057,
1945.985,541.47876,
1943.074,530.48904,
1940.164,514.27889,
1937.253,504.1568,
1934.342,492.55133,
1931.432,525.6325,
1928.521,513.67962,
1925.611,521.72701,
1922.700,514.0884,
1919.790,537.06038,
1916.879,524.75549,
1913.968,525.49754,
1911.058,520.31081,
1908.147,500.31165,
1905.237,483.66915,
1902.326,497.86297,
1899.415,485.90731,
1896.505,487.07242,
1893.594,497.59449,
1890.684,509.60445,
1887.773,522.87943,
1884.863,521.41344,
1881.952,520.40752,
1879.041,514.96106,
1876.131,505.35621,
1873.220,508.73011,
1870.310,515.99775,
1867.399,503.70792,
1864.489,511.95479,
1861.578,500.36799,
1858.667,516.44612,
1855.757,515.6599,
1852.846,541.15134,
1849.936,492.87136,
1847.025,521.20315,
1844.114,535.51177,
1841.204,526.32168,
1838.293,515.99252,
1835.383,539.62748,
1832.472,532.3713,
1829.562,559.93855,
1826.651,566.72179,
1823.740,548.30841,
1820.830,541.41336,
1817.919,525.84122,
1815.009,501.09415,
1812.098,528.01967,
1809.188,528.68605,
1806.277,528.5,
1803.366,582.56837,
1800.456,529.53342,
1797.545,564.40781,
1794.635,562.98399,
1791.724,562.96597,
1788.813,581.70154,
1785.903,588.14146,
1782.992,588.13486,
1780.082,579.52525,
1777.171,584.49518,
1774.261,566.5,
1771.350,568.47875,
1768.439,572.77677,
1765.529,587.6843,
1762.618,577.4112,
1759.708,577.59811,
1756.797,580.83333,
1753.887,574.6035,
1750.976,606.13808,
1748.065,606.3679,
1745.155,596.86129,
1742.244,605.76991,
1739.334,594.75177,
1736.423,613.64202,
1733.512,616.49591,
1730.602,611.25595,
1727.691,579.02592,
1724.781,610.40198,
1721.870,615.86663,
1718.960,612.85554,
1716.049,627.60154,
1713.138,625.37003,
1710.228,627.98119,
1707.317,658.57543,
1704.407,667.89038,
1701.496,668.5,
1698.586,618.60484,
1695.675,649.12122,
1692.764,676.11477,
1689.854,670.80315,
1686.943,667.60118,
1684.033,663.59934,
1681.122,653.66992,
1678.211,660.43338,
1675.301,762.18549,
1672.390,705.71533,
1669.480,777.25934,
1666.569,747.60157,
1663.659,755.46734,
1660.748,754.83044,
1657.837,822.67496,
1654.927,830.12513,
1652.016,815.27757,
1649.106,846.81825,
1646.195,859.16433,
1643.285,846.41146,
1640.374,886.31533,
1637.463,924.17574,
1634.553,907.66745,
1631.642,986.20576,
1628.732,1050.7844,
1625.821,1098.555,
1622.911,1182.0266,
1620.000,1290.1267,
1617.089,1375.7886,
1614.179,1447.4695,
1611.268,1553.4848,
1608.358,1633.7542,
1605.447,1663.9002,
1602.536,1685.0696,
1599.626,1723.2973,
1596.715,1689.2884,
1593.805,1652.4097,
1590.894,1597.4211,
1587.984,1627.742,
1585.073,1631.7984,
1582.162,1631.5,
1579.252,1624.9536,
1576.341,1617.0915,
1573.431,1573.9918,
1570.520,1558.6781,
1567.610,1529.1858,
1564.699,1534.0006,
1561.788,1512.0355,
1558.878,1446.5617,
1555.967,1403.0014,
1553.057,1395.4138,
1550.146,1370.0746,
1547.235,1306.8642,
1544.325,1297.6868,
1541.414,1265.8147,
1538.504,1220.4172,
1535.593,1224.8037,
1532.683,1203.5582,
1529.772,1174.6749,
1526.861,1175.8674,
1523.951,1141.0368,
1521.040,1108.1474,
1518.130,1113.6743,
1515.219,1084.6194,
1512.309,1100.7928,
1509.398,1078.1218,
1506.487,1052.2084,
1503.577,1067.4749,
1500.666,1035.1862,
1497.756,1057.4154,
1494.845,1067.8997,
1491.934,1053.1567,
1489.024,948.24497,
1486.113,996.42407,
1483.203,996.94733,
1480.292,971.89317,
1477.382,961.84226,
1474.471,969.70855,
1471.560,918.80071,
1468.650,895.08363,
1465.739,878.76873,
1462.829,884.2268,
1459.918,886.87011,
1457.008,885.56159,
1454.097,871.01368,
1451.186,883.18472,
1448.276,922.01371,
1445.365,917.78752,
1442.455,932.39369,
1439.544,911.9296,
1436.633,905.27657,
1433.723,892.89499,
1430.812,849.08589,
1427.902,881.4098,
1424.991,877.61875,
1422.081,840.80092,
1419.170,826.26722,
1416.259,838.27107,
1413.349,848.29717,
1410.438,809.213,
1407.528,843.64308,
1404.617,844.31784,
1401.707,809.13173,
1398.796,796.91608,
1395.885,835.70504,
1392.975,888.5,
1390.064,873.78454,
1387.154,840.36929,
1384.243,842.01641,
1381.332,819.94667,
1378.422,817.4322,
1375.511,854.90344,
1372.601,939.3629,
1369.690,979.93168,
1366.780,920.55312,
1363.869,973.24179,
1360.958,1010.0635,
1358.048,1039.2325,
1355.137,1072.8476,
1352.227,1091.2451,
1349.316,1094.5,
1346.406,1114.2973,
1343.495,1169.4547,
1340.584,1206.7144,
1337.674,1200.5368,
1334.763,1218.982,
1331.853,1257.9257,
1328.942,1262.1684,
1326.032,1286.153,
1323.121,1324.1024,
1320.210,1358.1413,
