,PL88AE~1,
Raman shift [1/cm],Intensity,
2173.010,674.90051,
2170.099,693.83979,
2167.189,721.6692,
2164.278,767.80415,
2161.368,811.08787,
2158.457,834.86785,
2155.546,846.99523,
2152.636,868.64626,
2149.725,893.01257,
2146.815,919.60751,
2143.904,981.67611,
2140.993,985.30621,
2138.083,999.31719,
2135.172,1008.9548,
2132.262,1015.022,
2129.351,1013.0473,
2126.441,974.03509,
2123.530,946.0944,
2120.619,920.27413,
2117.709,902.56381,
2114.798,855.67097,
2111.888,818.1005,
2108.977,788.9379,
2106.067,757.14042,
2103.156,729.25896,
2100.245,719.35367,
2097.335,685.01374,
2094.424,684.52915,
2091.514,683.86687,
2088.603,677.02013,
2085.692,681.41963,
2082.782,683.61594,
2079.871,689.48235,
2076.961,701.60007,
2074.050,663.29621,
2071.140,679.92684,
2068.229,667.47657,
2065.318,660.88176,
2062.408,663.98847,
2059.497,655.77381,
2056.587,654.66571,
2053.676,652.74177,
2050.766,654.22104,
2047.855,655.42873,
2044.944,689.37981,
2042.034,667.3691,
2039.123,641.77567,
2036.213,661.64172,
2033.302,657.17967,
2030.391,640.01905,
2027.481,641.1189,
2024.570,677.6169,
2021.660,647.68104,
2018.749,674.34926,
2015.839,649.98917,
2012.928,661.98406,
2010.017,663.80388,
2007.107,657.21238,
2004.196,661.44644,
2001.286,649.26902,
1998.375,630.32874,
1995.465,640.53393,
1992.554,668.91596,
1989.643,650.16997,
1986.733,643.10746,
1983.822,640.91414,
1980.912,652.73114,
1978.001,623.75717,
1975.090,611.28342,
1972.180,641.58246,
1969.269,630.28016,
1966.359,625.07769,
1963.448,632.41067,
1960.538,650.79368,
1957.627,643.6753,
1954.716,634.60481,
1951.806,623.16341,
1948.895,649.85082,
1945.985,602.86847,
1943.074,616.44886,
1940.164,623.09653,
1937.253,650.79245,
1934.342,642.8365,
1931.432,635.48856,
1928.521,611.29555,
1925.611,595.05037,
1922.700,618.70096,
1919.790,609.01102,
1916.879,629.63126,
1913.968,633.37254,
1911.058,619.64827,
1908.147,604.99102,
1905.237,574.38969,
1902.326,578.76905,
1899.415,615.3433,
1896.505,622.89914,
1893.594,621.56095,
