,PL4EEC~1,
Wavenumbers [1/cm],Intensity,
2592.133,95.591462,
2589.223,111.66449,
2586.312,122.54585,
2583.401,114.39687,
2580.491,122.24995,
2577.580,118.33539,
2574.670,101.01669,
2571.759,116.72346,
2568.848,109.61254,
2565.938,122.27977,
2563.027,114.42277,
2560.117,107.45912,
2557.206,111.27906,
2554.296,128.03175,
2551.385,124.62298,
2548.474,134.3382,
2545.564,119.03977,
2542.653,134.54278,
2539.743,138.49823,
2536.832,111.76191,
2533.922,133.28038,
2531.011,132.59956,
2528.100,131.44812,
2525.190,130.23361,
2522.279,130.70329,
2519.369,134.96005,
2516.458,116.03223,
2513.548,132.88371,
2510.637,137.375,
2507.726,138.93634,
2504.816,132.8113,
2501.905,122.94024,
2498.995,132.61388,
2496.084,139.1346,
2493.173,132.11142,
2490.263,146.10498,
2487.352,145.95767,
2484.442,134.09663,
2481.531,128.375,
2478.621,136.05275,
2475.710,148.34433,
2472.799,140.18222,
2469.889,132.22265,
2466.978,133.76679,
2464.068,139.07873,
2461.157,141.22003,
2458.247,138.93385,
2455.336,139.07754,
2452.425,145.39859,
2449.515,156.25234,
2446.604,147.97183,
2443.694,136.11925,
2440.783,145.47185,
2437.872,142.92197,
2434.962,150.54552,
2432.051,139.17761,
2429.141,154.49256,
2426.230,148.96172,
2423.320,140.68925,
2420.409,147.29157,
2417.498,164.94805,
2414.588,149.30285,
2411.677,132.84116,
2408.767,145.375,
2405.856,154.7559,
2402.946,158.5296,
2400.035,150.87969,
2397.124,154.05948,
2394.214,166.4018,
2391.303,157.94411,
2388.393,148.64243,
2385.482,157.89032,
2382.571,133.2489,
2379.661,130.39802,
2376.750,150.63856,
2373.840,160.3562,
2370.929,155.46164,
2368.019,145.34972,
2365.108,164.44568,
2362.197,160.75037,
2359.287,153.99672,
2356.376,183.31865,
2353.466,182.81511,
2350.555,168.42486,
2347.645,161.1909,
2344.734,163.52708,
2341.823,176.176,
2338.913,176.24364,
2336.002,173.7912,
2333.092,171.73158,
2330.181,168.67421,
2327.270,169.48501,
2324.360,158.87024,
2321.449,176.20492,
2318.539,175.07838,
2315.628,185.07244,
2312.718,175.65914,
2309.807,182.375,
2306.896,180.35935,
2303.986,174.81007,
2301.075,178.4601,
2298.165,177.98072,
2295.254,151.93512,
2292.344,180.53267,
2289.433,174.65681,
2286.522,179.3436,
2283.612,197.7551,
2280.701,203.56781,
2277.791,190.33493,
2274.880,188.94701,
2271.969,187.375,
2269.059,196.31234,
2266.148,178.57033,
2263.238,176.57191,
2260.327,176.75423,
2257.417,174.06833,
2254.506,197.22972,
2251.595,195.24051,
2248.685,203.84225,
2245.774,203.9685,
2242.864,189.31016,
2239.953,190.65082,
2237.043,200.71285,
2234.132,197.76724,
2231.221,199.48098,
2228.311,198.89562,
2225.400,205.14984,
2222.490,199.60306,
2219.579,209.7169,
2216.669,202.41316,
2213.758,195.67958,
2210.847,198.79313,
2207.937,212.80495,
2205.026,214.48666,
2202.116,202.52149,
2199.205,219.21194,
2196.294,223.06902,
2193.384,220.92751,
2190.473,224.09096,
2187.563,268.346,
2184.652,258.91092,
2181.742,234.35165,
2178.831,231.6085,
2175.920,246.28939,
