,PLFB70~1,
Wavenumbers [1/cm],Intensity,
2175.920,246.82742,
2173.010,252.97506,
2170.099,256.71627,
2167.189,264.25718,
2164.278,266.42387,
2161.368,276.39248,
2158.457,280.01373,
2155.546,273.68942,
2152.636,264.88832,
2149.725,287.88085,
2146.815,271.01749,
2143.904,301.5474,
2140.993,293.38759,
2138.083,291.62688,
2135.172,302.72061,
2132.262,296.8618,
2129.351,301.82248,
2126.441,311.43448,
2123.530,317.08164,
2120.619,299.49782,
2117.709,279.34944,
2114.798,264.64608,
2111.888,245.02541,
2108.977,255.95862,
2106.067,253.5992,
2103.156,259.80802,
2100.245,250.23808,
2097.335,233.77879,
2094.424,248.18106,
2091.514,230.24458,
2088.603,232.64166,
2085.692,241.70355,
2082.782,239.25,
2079.871,248.28617,
2076.961,252.12084,
2074.050,251.71667,
2071.140,240.28456,
2068.229,237.15494,
2065.318,242.25,
2062.408,233.8786,
2059.497,234.86906,
2056.587,236.99425,
2053.676,251.58234,
2050.766,264.48019,
2047.855,225.30696,
2044.944,226.85096,
2042.034,227.33097,
2039.123,241.33081,
2036.213,241.28997,
2033.302,236.14123,
2030.391,229.9452,
2027.481,236.89622,
2024.570,252.20685,
2021.660,242.01868,
2018.749,277.42646,
2015.839,231.38451,
2012.928,235.69799,
2010.017,254.0676,
2007.107,262.807,
2004.196,239.8928,
2001.286,242.1687,
1998.375,244.20374,
1995.465,245.75625,
1992.554,240.2383,
1989.643,233.45738,
1986.733,240.73509,
1983.822,205.70125,
1980.912,249.58553,
1978.001,208.58025,
1975.090,219.85153,
1972.180,213.94017,
1969.269,219.00578,
1966.359,211.68223,
1963.448,214.93825,
1960.538,220.06151,
1957.627,207.76702,
1954.716,218.87655,
1951.806,218.15708,
1948.895,198.65281,
1945.985,209.88399,
1943.074,208.39773,
1940.164,190.38466,
1937.253,192.5283,
1934.342,181.173,
1931.432,207.46451,
1928.521,225.45725,
1925.611,205.39302,
1922.700,222.99309,
1919.790,203.41214,
1916.879,181.57524,
1913.968,166.26721,
1911.058,217.13588,
1908.147,186.71861,
1905.237,177.09555,
1902.326,151.9863,
1899.415,127.3024,
1896.505,85.689848,
1893.594,116.32934,
1890.684,146.47871,
1887.773,163.64629,
1884.863,170.61219,
1881.952,192.56978,
1879.041,186.3637,
1876.131,188.57941,
1873.220,188.50663,
1870.310,195.676,
1867.399,214.94612,
1864.489,166.26253,
1861.578,190.22261,
1858.667,177.46259,
1855.757,166.2321,
1852.846,179.21412,
1849.936,163.38913,
1847.025,164.31328,
1844.114,170.00068,
1841.204,210.50524,
1838.293,211.25333,
1835.383,200.50601,
1832.472,203.92478,
1829.562,213.80521,
1826.651,206.36089,
1823.740,205.16188,
1820.830,201.62004,
1817.919,186.4056,
1815.009,192.66857,
1812.098,197.84055,
1809.188,208.56781,
1806.277,190.67051,
1803.366,174.54945,
1800.456,193.4041,
1797.545,213.06561,
1794.635,210.73399,
1791.724,205.76458,
1788.813,197.64923,
1785.903,185.63573,
1782.992,151.29917,
1780.082,101.07325,
1777.171,-58.449719,
1774.261,-127.3639,
1771.350,32.944528,
1768.439,151.12484,
1765.529,196.61766,
1762.618,228.53064,
1759.708,207.66277,
1756.797,208.14394,
1753.887,235.19898,
1750.976,237.07068,
1748.065,246.08103,
1745.155,257.35964,
1742.244,229.79172,
1739.334,213.56529,
1736.423,239.39202,
1733.512,253.88822,
1730.602,270.95836,
1727.691,210.23119,
1724.781,235.87144,
1721.870,250.6643,
1718.960,278.38366,
1716.049,276.69923,
1713.138,263.28006,
1710.228,249.06584,
1707.317,260.51857,
1704.407,230.8061,
1701.496,265.53501,
1698.586,303.43742,
1695.675,271.62878,
1692.764,229.48768,
1689.854,231.07677,
1686.943,258.30568,
1684.033,281.67877,
1681.122,315.67226,
1678.211,287.526,
1675.301,297.21917,
1672.390,309.20514,
1669.480,294.16978,
1666.569,284.99906,
1663.659,342.71103,
1660.748,310.05718,
1657.837,301.43097,
1654.927,354.29686,
1652.016,355.98271,
1649.106,345.32344,
1646.195,348.94532,
1643.285,378.00196,
1640.374,409.33014,
1637.463,366.89852,
1634.553,402.50122,
1631.642,419.48887,
1628.732,441.32703,
1625.821,454.27748,
1622.911,496.01332,
1620.000,550.55707,
1617.089,564.97139,
1614.179,667.28889,
1611.268,683.72951,
1608.358,734.76838,
1605.447,746.67865,
1602.536,723.02093,
1599.626,759.88718,
1596.715,795.92364,
1593.805,743.80142,
1590.894,724.92062,
1587.984,781.27817,
1585.073,687.30117,
1582.162,672.58954,
1579.252,665.06699,
1576.341,649.63192,
1573.431,655.64809,
1570.520,610.09425,
1567.610,613.87774,
1564.699,605.7494,
1561.788,610.81328,
1558.878,603.64303,
1555.967,567.19876,
1553.057,542.31906,
1550.146,544.00998,
1547.235,526.99825,
1544.325,520.73298,
1541.414,533.19063,
1538.504,534.13958,
1535.593,532.68457,
1532.683,521.00878,
1529.772,501.2313,
1526.861,493.22671,
1523.951,487.25,
1521.040,496.49941,
1518.130,527.33665,
1515.219,541.97107,
1512.309,504.7545,
1509.398,504.75378,
1506.487,508.25798,
1503.577,500.57258,
1500.666,508.13808,
1497.756,505.64811,
1494.845,485.8898,
1491.934,477.10827,
1489.024,433.79609,
1486.113,474.90191,
1483.203,455.15764,
1480.292,425.94614,
1477.382,447.11394,
1474.471,409.5094,
1471.560,410.76332,
1468.650,414.88345,
1465.739,425.77882,
1462.829,460.30042,
1459.918,477.04004,
1457.008,450.37276,
1454.097,436.87964,
1451.186,452.99275,
1448.276,447.91886,
1445.365,420.60545,
1442.455,393.14369,
1439.544,369.53881,
1436.633,354.29866,
1433.723,355.76056,
1430.812,334.35307,
1427.902,373.04705,
1424.991,364.51719,
1422.081,316.54119,
1419.170,332.12339,
1416.259,341.7305,
1413.349,348.53669,
1410.438,322.95859,
1407.528,347.94328,
1404.617,348.28764,
1401.707,300.86375,
1398.796,244.34448,
1395.885,233.6793,
1392.975,256.99982,
1390.064,242.18658,
1387.154,221.74509,
1384.243,222.6661,
1381.332,278.70871,
1378.422,248.3178,
1375.511,210.84656,
1372.601,222.23041,
1369.690,297.82835,
1366.780,273.02435,
1363.869,339.53009,
1360.958,317.41335,
1358.048,299.55637,
1355.137,350.45883,
1352.227,379.3545,
1349.316,400.63343,
1346.406,450.50238,
1343.495,431.27437,
1340.584,411.49991,
1337.674,420.57323,
1334.763,449.27327,
1331.853,476.16297,
1328.942,470.13429,
1326.032,492.08738,
1323.121,482.43071,
1320.210,521.86669,
1317.300,540.70861,
1314.389,559.31986,
1311.479,583.18201,
1308.568,596.1522,
1305.657,604.63085,
1302.747,602.98798,
1299.836,658.0412,
1296.926,693.66006,
1294.015,723.99774,
1291.105,703.23646,
1288.194,756.96076,
1285.283,750.48591,
1282.373,759.96868,
1279.462,768.05396,
1276.552,782.04534,
1273.641,778.99204,
1270.731,733.66491,
1267.820,707.2113,
1264.909,703.97535,
1261.999,709.7826,
1259.088,724.37654,
1256.178,744.09204,
1253.267,726.53572,
1250.356,748.69466,
1247.446,742.30128,
1244.535,724.78126,
1241.625,699.04636,
1238.714,682.44082,
1235.804,717.37622,
1232.893,712.62751,
1229.982,700.94336,
1227.072,691.89024,
1224.161,697.13353,
1221.251,664.00258,
