,PL86BB~1,
Wavenumbers [1/cm],Intensity,
2292.344,424.24431,
2289.433,424.57,
2286.522,429.30806,
2283.612,440.67604,
2280.701,434.75843,
2277.791,451.87313,
2274.880,433.43889,
2271.969,455.80916,
2269.059,448.82049,
2266.148,437.22725,
2263.238,452.96765,
2260.327,448.39245,
2257.417,461.75834,
2254.506,449.79812,
2251.595,456.1696,
2248.685,462.86918,
2245.774,449.85333,
2242.864,463.91239,
2239.953,478.19225,
2237.043,471.19929,
2234.132,461.12177,
2231.221,466.69158,
2228.311,501.18939,
2225.400,502.17137,
2222.490,479.54605,
2219.579,483.79786,
2216.669,496.28676,
2213.758,508.35212,
2210.847,492.78434,
2207.937,492.75285,
2205.026,514.65196,
2202.116,535.56396,
2199.205,526.10041,
2196.294,538.10694,
2193.384,541.08598,
2190.473,541.02289,
2187.563,565.92817,
2184.652,575.6701,
2181.742,566.21558,
2178.831,570.42757,
2175.920,575.13183,
2173.010,608.75312,
2170.099,608.27678,
2167.189,605.88935,
2164.278,610.66294,
2161.368,626.875,
2158.457,632.80578,
2155.546,662.17696,
2152.636,664.93887,
2149.725,673.02264,
2146.815,671.04184,
2143.904,680.07574,
2140.993,686.29823,
2138.083,709.62875,
2135.172,722.39599,
2132.262,704.85387,
2129.351,715.5096,
2126.441,702.43805,
2123.530,714.53828,
2120.619,679.78347,
2117.709,647.875,
2114.798,636.22102,
2111.888,616.33757,
2108.977,612.33195,
2106.067,591.91556,
2103.156,599.07253,
2100.245,592.86057,
2097.335,569.875,
2094.424,563.41256,
2091.514,542.875,
2088.603,553.31735,
2085.692,558.96425,
2082.782,554.875,
2079.871,556.51794,
2076.961,565.2938,
2074.050,567.85682,
2071.140,548.03591,
2068.229,549.6914,
2065.318,555.7025,
2062.408,554.98091,
2059.497,557.49406,
2056.587,547.56131,
2053.676,539.24177,
2050.766,560.10445,
2047.855,531.44458,
2044.944,551.14102,
2042.034,552.40101,
2039.123,561.75715,
2036.213,557.66823,
2033.302,554.67891,
2030.391,560.19754,
2027.481,552.85058,
2024.570,555.56067,
2021.660,522.94452,
2018.749,576.16543,
2015.839,536.91044,
2012.928,555.74916,
2010.017,530.90106,
2007.107,537.66754,
2004.196,545.77975,
2001.286,553.95978,
1998.375,562.57087,
1995.465,529.8375,
1992.554,525.25732,
1989.643,495.94648,
1986.733,510.07237,
1983.822,499.82478,
1980.912,518.18147,
1978.001,493.54475,
1975.090,490.64142,
1972.180,496.63432,
1969.269,484.91234,
1966.359,484.46963,
1963.448,495.3717,
1960.538,498.06349,
1957.627,507.68306,
1954.716,497.21972,
1951.806,501.17951,
1948.895,488.7677,
1945.985,491.60702,
1943.074,478.03368,
1940.164,465.91324,
1937.253,454.76181,
1934.342,477.99478,
1931.432,475.13367,
1928.521,464.82319,
1925.611,468.03732,
1922.700,475.99793,
1919.790,475.29121,
1916.879,454.40949,
1913.968,459.86639,
1911.058,488.24135,
1908.147,442.85315,
1905.237,474.72789,
1902.326,434.79947,
1899.415,397.64206,
1896.505,384.09186,
1893.594,384.23781,
1890.684,404.97945,
1887.773,428.65072,
1884.863,455.19846,
1881.952,434.39533,
1879.041,452.40408,
1876.131,455.54559,
1873.220,455.61837,
1870.310,454.0185,
1867.399,455.84301,
1864.489,432.26444,
1861.578,444.49018,
1858.667,462.97984,
1855.757,420.48359,
1852.846,420.42369,
1849.936,440.41055,
1847.025,424.40298,
1844.114,459.0398,
1841.204,497.26661,
1838.293,492.875,
1835.383,483.03801,
1832.472,478.43326,
1829.562,464.90494,
1826.651,479.80721,
1823.740,487.96312,
1820.830,474.52843,
1817.919,465.17436,
1815.009,445.89409,
1812.098,468.90648,
1809.188,530.96789,
1806.277,463.49063,
1803.366,474.79182,
1800.456,470.53449,
1797.545,484.73301,
1794.635,510.29496,
1791.724,490.56435,
1788.813,485.884,
1785.903,499.10185,
1782.992,441.21774,
1780.082,376.3134,
1777.171,260.86106,
1774.261,235.52054,
1771.350,350.73553,
1768.439,466.94038,
1765.529,502.3334,
1762.618,533.63876,
1759.708,524.01614,
1756.797,518.63258,
1753.887,527.875,
1750.976,544.38547,
1748.065,560.79051,
1745.155,553.65572,
1742.244,535.2944,
1739.334,515.86559,
1736.423,551.56092,
1733.512,554.32211,
1730.602,575.05559,
1727.691,560.07752,
1724.781,582.76491,
1721.870,594.09407,
1718.960,610.49741,
1716.049,563.53652,
1713.138,608.59473,
1710.228,603.07995,
1707.317,584.95271,
1704.407,599.94455,
1701.496,612.81357,
1698.586,625.8868,
1695.675,639.97492,
1692.764,623.83401,
1689.854,629.57185,
1686.943,628.90873,
1684.033,648.37828,
1681.122,666.56914,
1678.211,683.7132,
1675.301,699.82567,
1672.390,711.62976,
1669.480,630.41247,
1666.569,698.04302,
1663.659,789.02199,
1660.748,797.39296,
1657.837,773.83727,
1654.927,816.80471,
1652.016,814.50678,
1649.106,840.7808,
1646.195,877.57032,
1643.285,906.17123,
1640.374,918.83319,
1637.463,917.32536,
1634.553,942.92423,
1631.642,1013.331,
1628.732,1055.3905,
1625.821,1141.9404,
1622.911,1241.3115,
1620.000,1303.0939,
1617.089,1463.6312,
1614.179,1559.1959,
1611.268,1602.3135,
1608.358,1713.4903,
1605.447,1816.9329,
1602.536,1842.4446,
1599.626,1875.1527,
1596.715,1864.261,
1593.805,1851.2487,
1590.894,1812.8869,
1587.984,1799.2141,
1585.073,1686.418,
1582.162,1686.0774,
1579.252,1627.6841,
1576.341,1584.2357,
1573.431,1581.574,
1570.520,1544.6561,
1567.610,1495.6195,
1564.699,1468.3744,
1561.788,1461.4666,
1558.878,1449.268,
1555.967,1399.6105,
1553.057,1303.5137,
1550.146,1266.7914,
1547.235,1247.4426,
1544.325,1246.0133,
1541.414,1248.7741,
1538.504,1252.1511,
1535.593,1252.6236,
1532.683,1227.715,
1529.772,1229.7122,
1526.861,1227.712,
1523.951,1200.4111,
1521.040,1230.6987,
1518.130,1251.2226,
1515.219,1269.9151,
1512.309,1257.1948,
1509.398,1231.7267,
1506.487,1225.867,
1503.577,1240.1653,
1500.666,1264.8311,
1497.756,1219.6211,
1494.845,1250.2736,
1491.934,1187.7207,
1489.024,1140.5585,
