,PL12CC~1,
Raman shift [1/cm],Intensity,
3014.167,2.125,
3011.256,-0.97502147,
3008.346,127.78766,
3005.435,152.04726,
3002.525,160.01258,
2999.614,151.7393,
2996.704,163.53222,
2993.793,171.88652,
2990.882,169.90359,
2987.972,180.10482,
2985.061,176.125,
2982.151,191.09644,
2979.240,194.60693,
2976.329,211.89275,
2973.419,209.44772,
2970.508,217.3417,
2967.598,211.17641,
2964.687,231.16984,
2961.777,227.40702,
2958.866,245.7981,
2955.955,250.78427,
2953.045,267.37331,
2950.134,255.73142,
2947.224,269.23888,
2944.313,269.97899,
2941.403,269.60128,
2938.492,289.68868,
2935.581,279.08207,
2932.671,295.3224,
2929.760,275.17499,
2926.850,289.02763,
2923.939,306.96613,
2921.028,307.74858,
2918.118,309.62248,
2915.207,307.96068,
2912.297,309.17578,
2909.386,311.30019,
2906.476,299.51264,
2903.565,328.41686,
2900.654,309.85401,
2897.744,311.20043,
2894.833,313.82609,
2891.923,309.9359,
2889.012,322.38511,
2886.102,296.37364,
2883.191,296.12972,
2880.280,290.45514,
2877.370,266.78202,
2874.459,266.76658,
2871.549,288.17774,
2868.638,314.21777,
2865.727,320.38655,
2862.817,332.61162,
2859.906,319.4042,
2856.996,346.08424,
2854.085,343.6817,
2851.175,339.76659,
2848.264,324.77684,
2845.353,335.88776,
2842.443,329.51734,
2839.532,323.70717,
2836.622,330.36654,
2833.711,322.44368,
2830.801,330.81544,
2827.890,319.78932,
2824.979,326.74287,
2822.069,355.90893,
2819.158,343.58592,
2816.248,346.65395,
2813.337,359.10427,
2810.427,353.51481,
2807.516,349.39125,
2804.605,335.6202,
2801.695,355.38816,
2798.784,348.79031,
2795.874,336.83476,
2792.963,350.76809,
2790.052,338.12886,
2787.142,332.41446,
2784.231,336.80201,
2781.321,342.55926,
2778.410,346.98919,
2775.500,360.52983,
2772.589,340.97209,
2769.678,356.05332,
2766.768,358.7483,
2763.857,357.28493,
2760.947,363.05565,
2758.036,358.05497,
2755.126,348.78099,
2752.215,360.63843,
2749.304,374.91094,
2746.394,365.62897,
2743.483,378.42503,
2740.573,377.44803,
2737.662,374.25221,
2734.751,376.75134,
2731.841,374.58471,
2728.930,368.67586,
2726.020,377.69155,
2723.109,367.50675,
2720.199,364.79053,
2717.288,387.91333,
2714.377,376.09614,
2711.467,384.46896,
2708.556,404.38016,
2705.646,371.25166,
2702.735,394.63274,
2699.825,396.25589,
2696.914,398.22047,
2694.003,398.30873,
2691.093,405.08891,
2688.182,401.99833,
2685.272,400.96568,
2682.361,400.30731,
2679.450,395.04684,
2676.540,409.90144,
2673.629,398.79316,
2670.719,406.47528,
2667.808,418.73592,
2664.898,409.125,
2661.987,413.65842,
2659.076,420.61638,
2656.166,417.47997,
2653.255,426.34439,
2650.345,430.20485,
2647.434,450.15301,
2644.524,431.05546,
2641.613,440.98232,
2638.702,421.48796,
2635.792,426.0931,
2632.881,434.01186,
2629.971,436.99749,
2627.060,460.45937,
2624.149,443.39689,
2621.239,444.39723,
2618.328,438.71842,
2615.418,448.80681,
2612.507,448.33051,
2609.597,450.30863,
2606.686,454.37198,
2603.775,461.04961,
2600.865,456.2478,
2597.954,461.89163,
2595.044,480.09843,
2592.133,469.61528,
2589.223,457.34184,
2586.312,479.44159,
2583.401,477.92063,
2580.491,477.94712,
2577.580,467.16131,
2574.670,488.57153,
2571.759,486.02397,
2568.848,467.83762,
2565.938,491.36315,
2563.027,482.66137,
2560.117,482.66706,
2557.206,487.74124,
2554.296,498.52088,
2551.385,485.50504,
2548.474,503.0882,
2545.564,507.15666,
2542.653,506.56796,
2539.743,498.98945,
2536.832,507.10444,
2533.922,518.20385,
2531.011,522.30007,
2528.100,520.6581,
2525.190,532.98361,
2522.279,514.54708,
2519.369,522.82313,
2516.458,519.34526,
2513.548,514.69776,
2510.637,539.07979,
2507.726,527.80903,
2504.816,526.31102,
2501.905,519.55976,
2498.995,514.36388,
2496.084,516.59189,
2493.173,521.41474,
2490.263,527.32726,
2487.352,558.58247,
2484.442,543.27704,
2481.531,542.44409,
2478.621,543.51835,
2475.710,575.01765,
2472.799,553.97261,
2469.889,545.21367,
2466.978,559.125,
2464.068,551.4636,
2461.157,569.24245,
2458.247,575.13967,
2455.336,581.67687,
2452.425,570.1863,
2449.515,570.18112,
2446.604,562.87375,
2443.694,583.47367,
2440.783,597.93806,
2437.872,581.01561,
2434.962,576.28629,
2432.051,582.34126,
2429.141,588.43096,
2426.230,585.19019,
2423.320,605.0824,
2420.409,605.47094,
2417.498,615.74859,
2414.588,609.30751,
2411.677,599.26843,
2408.767,608.68996,
2405.856,619.9655,
2402.946,619.60132,
2400.035,618.52875,
2397.124,627.80948,
2394.214,638.5298,
2391.303,626.69411,
2388.393,617.39243,
2385.482,643.84721,
2382.571,629.60579,
2379.661,628.9391,
2376.750,643.48689,
2373.840,647.6532,
2370.929,643.125,
2368.019,649.75059,
2365.108,668.33442,
2362.197,656.97153,
2359.287,674.07487,
2356.376,652.17431,
2353.466,664.36819,
2350.555,659.05021,
2347.645,674.63757,
2344.734,651.54429,
2341.823,675.59434,
2338.913,674.92796,
2336.002,668.65363,
2333.092,690.44671,
2330.181,690.08921,
2327.270,678.67505,
2324.360,692.39386,
2321.449,691.86309,
2318.539,692.74275,
2315.628,698.82244,
2312.718,704.42456,
2309.807,711.78343,
2306.896,711.1563,
2303.986,720.07952,
2301.075,717.35904,
2298.165,718.92309,
2295.254,698.5774,
2292.344,699.33663,
2289.433,705.20228,
2286.522,733.33922,
2283.612,753.54594,
2280.701,750.47031,
2277.791,733.00665,
2274.880,754.339,
2271.969,758.60648,
2269.059,764.125,
2266.148,779.44553,
2263.238,752.73892,
2260.327,766.46987,
2257.417,772.78555,
2254.506,772.86572,
2251.595,781.68126,
2248.685,778.65775,
2245.774,770.42175,
2242.864,779.95794,
2239.953,765.17324,
2237.043,784.9832,
2234.132,788.6056,
2231.221,796.44294,
2228.311,784.24874,
2225.400,796.4346,
2222.490,809.53873,
2219.579,823.20214,
2216.669,830.61785,
2213.758,815.1655,
2210.847,839.17281,
2207.937,858.63639,
2205.026,846.6801,
2202.116,865.68019,
2199.205,872.98829,
2196.294,870.05096,
2193.384,872.30949,
2190.473,884.56866,
2187.563,893.22167,
2184.652,915.53479,
2181.742,930.60246,
2178.831,948.63479,
2175.920,977.03393,
2173.010,995.00085,
2170.099,1012.9901,
2167.189,1052.6273,
2164.278,1128.728,
2161.368,1179.1236,
2158.457,1227.341,
2155.546,1273.427,
2152.636,1324.2685,
2149.725,1363.2592,
2146.815,1387.4576,
2143.904,1469.7161,
2140.993,1459.5323,
2138.083,1503.6903,
2135.172,1511.1586,
2132.262,1495.8592,
2129.351,1477.0422,
2126.441,1441.3191,
2123.530,1419.6648,
2120.619,1372.6574,
2117.709,1321.0501,
2114.798,1273.421,
2111.888,1214.3264,
2108.977,1137.3501,
2106.067,1115.6753,
2103.156,1101.288,
2100.245,1036.1162,
2097.335,1019.5962,
2094.424,1001.843,
2091.514,1002.3373,
2088.603,994.85313,
2085.692,981.25888,
2082.782,975.83182,
2079.871,972.83912,
2076.961,968.38331,
2074.050,958.94924,
2071.140,969.49326,
2068.229,940.66927,
2065.318,943.656,
2062.408,942.67795,
2059.497,942.73215,
2056.587,935.19493,
2053.676,934.39147,
2050.766,948.04727,
2047.855,924.8085,
2044.944,946.66186,
2042.034,934.51803,
2039.123,933.60648,
2036.213,952.98947,
2033.302,964.5597,
2030.391,957.53209,
2027.481,968.97849,
2024.570,911.91238,
2021.660,922.7059,
2018.749,915.42892,
2015.839,925.54626,
2012.928,940.66527,
2010.017,934.90458,
2007.107,925.70631,
2004.196,930.24407,
2001.286,923.04022,
1998.375,919.99607,
1995.465,926.05804,
1992.554,938.51902,
1989.643,927.57433,
1986.733,908.60658,
1983.822,916.56075,
1980.912,914.03596,
1978.001,913.36247,
1975.090,912.696,
1972.180,919.78059,
1969.269,895.31172,
1966.359,914.50382,
1963.448,907.55696,
1960.538,920.84727,
1957.627,896.70083,
1954.716,898.95264,
1951.806,891.13144,
1948.895,871.86994,
1945.985,875.23121,
1943.074,891.19886,
1940.164,883.97122,
1937.253,892.56841,
1934.342,901.15922,
1931.432,893.57926,
1928.521,883.82621,
1925.611,883.84577,
1922.700,910.2424,
1919.790,879.22947,
1916.879,883.35776,
1913.968,896.11025,
1911.058,887.35021,
1908.147,853.30607,
1905.237,881.76467,
1902.326,859.59759,
1899.415,866.32623,
1896.505,875.68515,
1893.594,871.39332,
1890.684,887.87005,
1887.773,890.50443,
1884.863,880.74687,
1881.952,893.16734,
1879.041,900.125,
1876.131,879.76553,
1873.220,867.27984,
1870.310,879.12049,
1867.399,838.79673,
1864.489,880.04711,
1861.578,877.5646,
1858.667,877.4064,
1855.757,906.13216,
1852.846,899.13013,
1849.936,899.10198,
1847.025,884.71625,
1844.114,887.62153,
1841.204,914.83129,
1838.293,914.13165,
1835.383,900.83451,
1832.472,910.32326,
1829.562,926.59662,
1826.651,953.05721,
1823.740,948.83762,
1820.830,937.72338,
1817.919,942.64001,
1815.009,935.56266,
1812.098,943.99901,
1809.188,963.88465,
1806.277,952.41271,
1803.366,923.89027,
1800.456,966.21227,
1797.545,922.39418,
1794.635,982.31897,
1791.724,972.93079,
1788.813,981.71806,
1785.903,962.46995,
1782.992,984.61089,
1780.082,1005.1455,
1777.171,958.79042,
1774.261,953.39499,
1771.350,974.68276,
1768.439,1001.4644,
1765.529,996.12594,
1762.618,993.91186,
1759.708,1020.3754,
1756.797,1053.0492,
1753.887,1031.816,
1750.976,1011.9974,
1748.065,1024.486,
1745.155,1009.8542,
1742.244,1019.9619,
