,PL6E7A~1,
Raman shift [1/cm],Intensity,
2289.433,584.50045,
2286.522,586.70972,
2283.612,583.0038,
2280.701,592.31891,
2277.791,577.71657,
2274.880,596.59102,
2271.969,585.6857,
2269.059,599.89411,
2266.148,611.57951,
2263.238,609.77461,
2260.327,609.15063,
2257.417,596.54999,
2254.506,619.54732,
2251.595,609.72587,
2248.685,601.61736,
2245.774,620.30317,
2242.864,637.96728,
2239.953,623.28193,
2237.043,622.94035,
2234.132,639.68535,
2231.221,639.76902,
2228.311,632.52578,
2225.400,626.35347,
2222.490,644.1747,
2219.579,654.66166,
2216.669,670.84161,
2213.758,683.7456,
2210.847,669.14203,
2207.937,675.4271,
2205.026,671.31843,
2202.116,699.39942,
2199.205,712.83665,
2196.294,724.25502,
2193.384,732.66402,
2190.473,746.45481,
2187.563,761.8605,
2184.652,763.24275,
2181.742,787.875,
2178.831,797.54819,
2175.920,836.10452,
2173.010,858.50028,
2170.099,909.26936,
2167.189,928.1692,
2164.278,975.33128,
2161.368,1020.3027,
2158.457,1059.2091,
2155.546,1122.1914,
2152.636,1150.5718,
2149.725,1170.0159,
2146.815,1199.0074,
2143.904,1232.4884,
2140.993,1266.7374,
2138.083,1278.3461,
2135.172,1295.312,
2132.262,1279.7174,
2129.351,1237.1783,
2126.441,1232.2925,
2123.530,1162.5158,
2120.619,1120.2791,
2117.709,1038.5811,
2114.798,985.77489,
2111.888,949.88838,
2108.977,894.0008,
2106.067,859.98258,
2103.156,819.80176,
2100.245,805.86434,
2097.335,784.66035,
2094.424,756.74719,
2091.514,754.79157,
2088.603,740.09618,
2085.692,735.82673,
2082.782,711.20443,
2079.871,741.66262,
2076.961,726.48945,
2074.050,750.05076,
2071.140,729.0478,
2068.229,703.0586,
2065.318,718.09877,
2062.408,723.22298,
2059.497,722.11908,
2056.587,721.2706,
2053.676,723.04117,
2050.766,707.33763,
2047.855,695.38762,
2044.944,711.01283,
2042.034,703.37795,
2039.123,712.43392,
2036.213,702.31722,
2033.302,709.39664,
2030.391,735.48461,
2027.481,743.89942,
2024.570,737.81799,
2021.660,711.47149,
2018.749,718.84926,
2015.839,698.3901,
2012.928,729.50755,
2010.017,724.28977,
2007.107,733.40769,
2004.196,724.50597,
2001.286,711.14359,
1998.375,703.0502,
1995.465,693.07589,
1992.554,681.11037,
1989.643,730.07769,
1986.733,695.17939,
1983.822,682.31075,
1980.912,677.28081,
1978.001,680.96778,
1975.090,692.50705,
1972.180,673.11703,
1969.269,681.15953,
1966.359,663.03678,
1963.448,670.98201,
1960.538,705.84331,
1957.627,692.25889,
1954.716,680.16227,
1951.806,673.17307,
1948.895,678.875,
1945.985,679.07925,
1943.074,690.8121,
1940.164,704.99969,
1937.253,676.43159,
1934.342,675.90922,
1931.432,683.33872,
1928.521,656.0028,
1925.611,653.56966,
1922.700,662.04075,
1919.790,701.63179,
1916.879,694.85149,
1913.968,662.91312,
1911.058,662.81794,
1908.147,648.80494,
1905.237,658.84561,
1902.326,664.85428,
1899.415,645.73233,
1896.505,660.35086,
1893.594,657.14635,
1890.684,670.20173,
1887.773,668.32357,
1884.863,652.85905,
1881.952,660.73238,
1879.041,674.19639,
1876.131,672.80311,
1873.220,680.59185,
1870.310,685.588,
1867.399,690.79503,
1864.489,683.31726,
