,PL9E2D~1,
Raman shift [1/cm],Intensity,
3014.167,-0.625,
3011.256,-0.27503221,
3008.346,141.62412,
3005.435,153.68242,
3002.525,161.09256,
2999.614,172.93995,
2996.704,181.64923,
2993.793,192.00346,
2990.882,187.68035,
2987.972,210.27915,
2985.061,198.91196,
2982.151,217.18173,
2979.240,213.32462,
2976.329,225.89411,
2973.419,231.23688,
2970.508,231.55826,
2967.598,242.80512,
2964.687,248.50951,
2961.777,254.43492,
2958.866,264.36906,
2955.955,266.30421,
2953.045,277.82466,
2950.134,291.1418,
2947.224,295.375,
2944.313,294.92557,
2941.403,302.19662,
2938.492,324.375,
2935.581,308.17626,
2932.671,312.86002,
2929.760,320.19805,
2926.850,326.17312,
2923.939,323.52916,
2921.028,347.99858,
2918.118,321.33722,
2915.207,338.78639,
2912.297,338.375,
2909.386,358.74727,
2906.476,335.28232,
2903.565,344.58463,
2900.654,346.59846,
2897.744,346.47558,
2894.833,348.18955,
2891.923,332.0769,
2889.012,349.12644,
2886.102,337.12636,
2883.191,345.36273,
2880.280,318.41328,
2877.370,313.80524,
2874.459,297.01658,
2871.549,337.09903,
2868.638,366.96675,
2865.727,352.48267,
2862.817,354.54613,
2859.906,357.05876,
2856.996,360.38406,
2854.085,364.53678,
2851.175,365.73341,
2848.264,363.38467,
2845.353,361.76321,
2842.443,363.40285,
2839.532,357.22564,
2836.622,343.16146,
2833.711,343.21174,
2830.801,355.66985,
2827.890,348.83304,
2824.979,344.16502,
2822.069,368.10207,
2819.158,344.75505,
2816.248,351.35184,
2813.337,354.48841,
2810.427,351.07335,
2807.516,353.95047,
2804.605,349.92307,
2801.695,349.42765,
2798.784,370.26615,
2795.874,354.81565,
2792.963,354.30383,
2790.052,354.37629,
2787.142,346.26961,
2784.231,341.89052,
2781.321,363.36347,
2778.410,343.33437,
2775.500,351.24811,
2772.589,343.60589,
2769.678,352.33742,
2766.768,375.79638,
2763.857,365.16305,
2760.947,360.92228,
2758.036,367.52786,
2755.126,370.79808,
2752.215,377.92945,
2749.304,370.5027,
2746.394,371.60882,
2743.483,369.77507,
2740.573,352.71348,
