,PLBC2C~1,
Wavenumbers [1/cm],Intensity,
2629.971,67.85742,
2627.060,67.082502,
2624.149,67.318759,
2621.239,71.022234,
2618.328,46.089098,
2615.418,59.722735,
2612.507,64.303387,
2609.597,68.831837,
2606.686,60.697799,
2603.775,61.547615,
2600.865,61.395075,
2597.954,61.468711,
2595.044,74.758857,
2592.133,61.132048,
2589.223,63.557377,
2586.312,76.016362,
2583.401,64.545626,
2580.491,68.201919,
2577.580,65.735147,
2574.670,60.347584,
2571.759,76.35616,
2568.848,55.407322,
2565.938,76.226298,
2563.027,66.140881,
2560.117,64.852785,
2557.206,70.598707,
2554.296,73.436499,
2551.385,74.559978,
2548.474,81.602047,
2545.564,78.003244,
2542.653,86.22315,
2539.743,82.441001,
2536.832,66.75,
2533.922,69.671154,
2531.011,71.074465,
2528.100,83.485179,
2525.190,77.378279,
2522.279,98.718244,
2519.369,77.75,
2516.458,69.410766,
2513.548,83.786069,
2510.637,66.287068,
2507.726,90.374537,
2504.816,86.124293,
2501.905,79.315244,
2498.995,66.004098,
2496.084,84.21689,
2493.173,76.881456,
2490.263,71.356776,
2487.352,84.3744,
2484.442,77.173978,
2481.531,82.329771,
2478.621,67.626718,
2475.710,103.5353,
2472.799,73.530294,
2469.889,73.536717,
2466.978,89.409712,
2464.068,90.834649,
2461.157,99.285086,
2458.247,78.779343,
2455.336,87.2373,
2452.425,90.400938,
2449.515,96.136692,
2446.604,87.167083,
2443.694,88.634071,
2440.783,98.988739,
2437.872,86.005255,
2434.962,90.64862,
2432.051,91.089624,
2429.141,93.479466,
2426.230,79.597485,
2423.320,96.164105,
2420.409,98.077032,
2417.498,103.70788,
2414.588,85.955444,
2411.677,70.82575,
2408.767,96.714568,
2405.856,99.945174,
2402.946,95.951968,
2400.035,91.346247,
2397.124,83.322183,
2394.214,98.669597,
2391.303,96.175476,
2388.393,84.270919,
2385.482,92.309382,
2382.571,88.914532,
2379.661,80.819929,
2376.750,73.274584,
2373.840,92.084314,
2370.929,94.76083,
2368.019,100.5936,
2365.108,100.09817,
2362.197,103.76369,
2359.287,98.556685,
2356.376,93.757044,
2353.466,102.99319,
2350.555,87.799858,
2347.645,87.07847,
2344.734,89.173959,
2341.823,89.733417,
2338.913,106.26342,
2336.002,102.90782,
2333.092,100.41695,
2330.181,99.821578,
2327.270,102.80501,
2324.360,101.84194,
2321.449,117.54931,
2318.539,109.77141,
2315.628,106.56535,
2312.718,103.86674,
2309.807,123.61337,
2306.896,122.75783,
2303.986,116.17848,
2301.075,103.75,
2298.165,110.93283,
2295.254,90.24549,
2292.344,116.32673,
2289.433,121.055,
2286.522,124.53116,
2283.612,127.15943,
2280.701,115.09531,
2277.791,117.1088,
2274.880,101.75,
2271.969,104.45782,
2269.059,116.57017,
2266.148,98.674877,
2263.238,105.04342,
2260.327,121.68103,
2257.417,117.66611,
2254.506,115.43664,
2251.595,119.32823,
2248.685,124.79804,
2245.774,118.83808,
2242.864,103.5006,
2239.953,126.01902,
2237.043,119.4775,
2234.132,124.30065,
2231.221,127.59239,
2228.311,127.88016,
2225.400,136.18709,
2222.490,116.19298,
2219.579,116.82714,
2216.669,123.24762,
2213.758,123.75,
2210.847,123.75,
2207.937,145.81349,
2205.026,134.41676,
2202.116,132.53662,
2199.205,136.39988,
2196.294,138.75,
2193.384,134.48699,
2190.473,122.45422,
2187.563,170.6775,
2184.652,153.34021,
2181.742,137.68156,
2178.831,135.82783,
2175.920,142.66439,
2173.010,153.45068,
2170.099,155.01686,
2167.189,152.84328,
2164.278,165.89673,
2161.368,171.89224,
2158.457,169.92305,
2155.546,169.9308,
2152.636,160.66496,
2149.725,168.05871,
2146.815,177.54979,
2143.904,155.45631,
2140.993,169.35319,
2138.083,178.97485,
2135.172,200.77519,
2132.262,189.61356,
2129.351,186.26035,
2126.441,169.96354,
2123.530,192.80612,
2120.619,194.17217,
2117.709,168.84944,
2114.798,161.9154,
2111.888,163.23752,
2108.977,157.6639,
2106.067,141.85758,
2103.156,133.35082,
2100.245,141.74812,
2097.335,141.64005,
2094.424,156.28756,
