,PLDF33~1,
Wavenumbers [1/cm],Intensity,
2170.099,465.99852,
2167.189,468.12916,
2164.278,487.46734,
2161.368,498.8568,
2158.457,506.84725,
2155.546,509.68173,
2152.636,500.5479,
2149.725,511.81207,
2146.815,512.10011,
2143.904,524.60594,
2140.993,539,
2138.083,536.81156,
2135.172,543.90764,
2132.262,528.71303,
2129.351,545.47261,
2126.441,521.54358,
2123.530,534.01122,
2120.619,530.45891,
2117.709,501.47262,
2114.798,493.78455,
2111.888,479.3877,
2108.977,466.09933,
2106.067,462.51676,
2103.156,458.60082,
2100.245,455.98808,
2097.335,440.73298,
2094.424,463.45236,
2091.514,441.49187,
2088.603,443.66353,
2085.692,452.13388,
2082.782,462.25693,
2079.871,463.24971,
2076.961,430.19565,
2074.050,474.59394,
2071.140,444.42549,
2068.229,433.72135,
2065.318,451.71701,
2062.408,458.16642,
2059.497,448.80357,
2056.587,454.25575,
2053.676,448.65045,
2050.766,479.30568,
2047.855,433.82913,
2044.944,428,
2042.034,424.20804,
2039.123,425.26262,
2036.213,451.88445,
2033.302,468.21716,
2030.391,463.61064,
2027.481,462.18285,
2024.570,465.84283,
2021.660,437.77388,
2018.749,477.97426,
2015.839,448.90617,
2012.928,434.05705,
2010.017,453.92183,
2007.107,453.30092,
2004.196,445.02381,
2001.286,463.52294,
1998.375,452.03641,
1995.465,439.64018,
1992.554,433.74122,
1989.643,447.48154,
1986.733,438.35789,
1983.822,432.64254,
1980.912,458.11809,
1978.001,423.29684,
1975.090,418.97711,
1972.180,413.51864,
1969.269,399.13219,
1966.359,414.91911,
1963.448,398.16247,
1960.538,432.82152,
1957.627,401.09285,
1954.716,396.97127,
1951.806,400.45354,
1948.895,389.74494,
1945.985,394.7402,
1943.074,411.4651,
1940.164,386.64422,
1937.253,390.30426,
1934.342,391.4615,
1931.432,416.44164,
1928.521,414.62176,
1925.611,399.11691,
1922.700,419.36878,
1919.790,366.43419,
1916.879,362.5815,
1913.968,387.96926,
1911.058,428.66967,
1908.147,422.93722,
1905.237,405.08081,
1902.326,368.91109,
1899.415,387.39146,
1896.505,364.72873,
1893.594,343.27135,
1890.684,340.3203,
1887.773,364.45615,
1884.863,386.63781,
1881.952,374.44512,
1879.041,387.15577,
1876.131,376.71242,
1873.220,389.56201,
1870.310,389.21525,
1867.399,427.37625,
1864.489,399.35049,
1861.578,406.50561,
1858.667,394.494,
1855.757,413.78282,
1852.846,416.918,
1849.936,381.69668,
1847.025,396.1825,
1844.114,383.0824,
1841.204,427.00349,
1838.293,412.57068,
1835.383,376.55799,
1832.472,411.05913,
1829.562,420.77916,
1826.651,395.17046,
1823.740,398.3755,
1820.830,428.46479,
1817.919,434.37125,
1815.009,381.76973,
1812.098,415.18895,
1809.188,439.69763,
1806.277,400.90741,
1803.366,425.71718,
1800.456,410.1541,
1797.545,431.5673,
1794.635,446.22599,
1791.724,446.11644,
1788.813,469.99743,
1785.903,454.96516,
1782.992,441.65726,
1780.082,458.96213,
1777.171,419.32333,
1774.261,401.34539,
1771.350,431.0425,
1768.439,442.02366,
1765.529,477.27504,
1762.618,477.50622,
1759.708,435.94539,
1756.797,444.34849,
1753.887,462.28134,
1750.976,455.76898,
