,PLBFCC~1,
Raman shift [1/cm],Intensity,
2175.920,1117.6439,
2173.010,1163.877,
2170.099,1229.8269,
2167.189,1278.9808,
2164.278,1352.69,
2161.368,1404.4988,
2158.457,1454.494,
2155.546,1553.527,
2152.636,1635.1595,
2149.725,1670.9698,
2146.815,1683.233,
2143.904,1777.1022,
2140.993,1780.172,
2138.083,1778.7006,
2135.172,1799.416,
2132.262,1791.3495,
2129.351,1776.7241,
2126.441,1722.4901,
2123.530,1605.9612,
2120.619,1545.1519,
2117.709,1441.9871,
2114.798,1355.6458,
2111.888,1287.5633,
2108.977,1208.1953,
2106.067,1161.1243,
2103.156,1110.8687,
2100.245,1055.5031,
2097.335,1054.2382,
2094.424,1008.7393,
2091.514,998.41657,
2088.603,984.19583,
2085.692,971.58561,
2082.782,954.25906,
2079.871,970.57234,
2076.961,944.56649,
2074.050,977.59091,
2071.140,923.39632,
2068.229,936.86719,
2065.318,937.85851,
2062.408,946.00756,
2059.497,940.08928,
2056.587,925.86064,
2053.676,923.94985,
2050.766,941.11435,
2047.855,915.15825,
2044.944,906.16025,
2042.034,921.13003,
2039.123,915.5404,
2036.213,929.22893,
2033.302,944.76082,
2030.391,957.16075,
2027.481,936.46366,
2024.570,956.15639,
2021.660,937.97823,
2018.749,902.24756,
2015.839,945.02034,
2012.928,939.63759,
2010.017,950.57817,
2007.107,957.06077,
2004.196,953.51183,
2001.286,939.54239,
1998.375,960.20079,
1995.465,940.75536,
1992.554,922.10598,
1989.643,942.70503,
1986.733,928.57368,
1983.822,897.88552,
1980.912,915.31162,
1978.001,903.55937,
1975.090,901.5,
1972.180,898.60373,
1969.269,917.01157,
1966.359,910.797,
1963.448,898.5,
1960.538,930.14888,
1957.627,934.82508,
1954.716,924.78727,
1951.806,925.3574,
1948.895,905.66798,
1945.985,923.35948,
1943.074,935.34132,
1940.164,930.74023,
1937.253,906.87851,
1934.342,902.08983,
1931.432,908.45899,
1928.521,915.89033,
1925.611,922.94154,
1922.700,893.42542,
1919.790,940.62076,
1916.879,929.96474,
1913.968,912.51967,
1911.058,898.5,
1908.147,893.98317,
1905.237,869.6618,
1902.326,892.34592,
1899.415,895.20366,
1896.505,886.19272,
1893.594,873.14022,
1890.684,878.92475,
1887.773,896.12057,
1884.863,888.01936,
1881.952,900.33231,
1879.041,932.70769,
1876.131,874.53532,
1873.220,873.44696,
1870.310,888.49549,
1867.399,916.06817,
1864.489,929.57789,
1861.578,927.76402,
1858.667,889.006,
1855.757,880.07995,
1852.846,905.01281,
1849.936,917.33683,
1847.025,918.97447,
1844.114,912.76592,
1841.204,928.14685,
1838.293,932.98919,
1835.383,923.65152,
1832.472,931.84957,
1829.562,932.44635,
1826.651,966.21042,
1823.740,973.85247,
1820.830,980.30324,
1817.919,950.11056,
1815.009,935.65013,
1812.098,957.83857,
1809.188,985.82552,
1806.277,920.0271,
1803.366,939.74954,
1800.456,955.81897,
1797.545,980.62046,
1794.635,996.08191,
1791.724,967.25718,
1788.813,1005.8992,
1785.903,1005.6105,
1782.992,1003.111,
1780.082,978.70505,
1777.171,981.5,
1774.261,981.13499,
1771.350,992.37251,
1768.439,1012.2024,
1765.529,1015.8639,
1762.618,1027.6456,
1759.708,1019.0868,
1756.797,1020.4015,
1753.887,1037.5,
1750.976,1055.7794,
1748.065,1067.8856,
1745.155,1047.0614,
1742.244,1038.8107,
1739.334,1033.6529,
1736.423,1064.414,
1733.512,1059.5812,
1730.602,1062.2242,
1727.691,1070.8736,
1724.781,1097.6705,
1721.870,1077.9427,
1718.960,1112.6116,
1716.049,1101.3646,
1713.138,1147.0898,
1710.228,1132.002,
1707.317,1109.0394,
1704.407,1160.4038,
1701.496,1161.9423,
1698.586,1149.4882,
1695.675,1151.3071,
1692.764,1178.9549,
1689.854,1159.4527,
1686.943,1212.6114,
1684.033,1204.7484,
1681.122,1222.1941,
1678.211,1236.3668,
1675.301,1291.3304,
1672.390,1283.4731,
1669.480,1274.9733,
1666.569,1334.1856,
1663.659,1387.745,
1660.748,1403.4641,
1657.837,1453.5716,
1654.927,1500.0943,
1652.016,1442.9822,
1649.106,1502.4755,
1646.195,1502.8906,
1643.285,1560.2064,
1640.374,1591.8589,
1637.463,1654.6173,
1634.553,1608.0221,
1631.642,1710.5966,
1628.732,1811.2822,
1625.821,1942.5837,
1622.911,2069.7787,
1620.000,2225.522,
1617.089,2321.5895,
1614.179,2469.2698,
1611.268,2619.849,
1608.358,2735.1153,
1605.447,2811.2149,
1602.536,2827.6145,
1599.626,2881.8561,
1596.715,2891.9456,
1593.805,2819.1648,
1590.894,2756.7791,
1587.984,2738.2408,
1585.073,2747.5606,
1582.162,2731.1325,
1579.252,2726.6817,
1576.341,2691.2532,
1573.431,2671.5356,
1570.520,2663.1494,
1567.610,2643.6174,
1564.699,2622.9994,
1561.788,2610.4578,
1558.878,2505.0855,
1555.967,2438.3407,
1553.057,2439.3447,
1550.146,2401.8674,
1547.235,2339.6707,
1544.325,2308.1481,
1541.414,2263.6159,
1538.504,2192.4786,
1535.593,2182.7934,
1532.683,2159.5072,
1529.772,2093.8938,
1526.861,2090.9256,
1523.951,2069.546,
1521.040,2010.8526,
1518.130,1985.6957,
1515.219,1972.5005,
1512.309,1942.1126,
1509.398,1910.3003,
1506.487,1932.2244,
1503.577,1926.9767,
1500.666,1874.8138,
1497.756,1853.7288,
1494.845,1854.4189,
1491.934,1804.2827,
1489.024,1737.8707,
1486.113,1790.2057,
1483.203,1747.4271,
1480.292,1702.4685,
1477.382,1699.5412,
1474.471,1714.3128,
1471.560,1645.9334,
1468.650,1613.0338,
1465.739,1593.8473,
1462.829,1592.2586,
1459.918,1630.6495,
1457.008,1641.2536,
1454.097,1621.8027,
1451.186,1637.0455,
1448.276,1654.9068,
1445.365,1647.5016,
1442.455,1663.7668,
1439.544,1642.3664,
1436.633,1605.3848,
1433.723,1648.4146,
1430.812,1557.9038,
1427.902,1575.951,
1424.991,1594.9062,
1422.081,1529.4416,
1419.170,1559.7905,
1416.259,1533.9075,
1413.349,1518.1923,
1410.438,1501.5044,
1407.528,1533.4808,
1404.617,1541.5832,
1401.707,1510.7724,
1398.796,1490.5559,
1395.885,1523.8113,
1392.975,1563.6455,
1390.064,1556.6236,
1387.154,1561.9101,
1384.243,1508.3622,
1381.332,1517.5906,
1378.422,1562.2195,
1375.511,1634.3516,
1372.601,1693.5589,
1369.690,1714.7872,
1366.780,1763.438,
1363.869,1807.465,
1360.958,1843.928,
1358.048,1874.2994,
1355.137,1913.3099,
1352.227,1980.0493,
1349.316,2039.8319,
1346.406,2051.9455,
1343.495,2065.9321,
1340.584,2128.4283,
1337.674,2141.8904,
