,PL51DF~1,
Wavenumbers [1/cm],Intensity,
2170.099,204.4003,
2167.189,212.13633,
2164.278,232.46734,
2161.368,236.14344,
2158.457,225.27088,
2155.546,223.63653,
2152.636,211.94151,
2149.725,235.46306,
2146.815,247.76642,
2143.904,252.49443,
2140.993,239.93121,
2138.083,247.74162,
2135.172,264.92443,
2132.262,257.10123,
2129.351,278.71743,
2126.441,261.61157,
2123.530,265.92143,
2120.619,257.34869,
2117.709,244.09944,
2114.798,232.89227,
2111.888,215.18806,
2108.977,224.61591,
2106.067,217.28218,
2103.156,206.60082,
2100.245,216.99686,
2097.335,210.0733,
2094.424,190.97366,
2091.514,176.07259,
2088.603,186.54374,
2085.692,198.3643,
2082.782,227.56609,
2079.871,215.17737,
2076.961,223.09591,
2074.050,216.41818,
2071.140,201.78186,
2068.229,191.80337,
2065.318,214.59301,
2062.408,214.12104,
2059.497,225.23812,
2056.587,204.66333,
2053.676,207.33234,
2050.766,211,
2047.855,208.80065,
2044.944,202.66506,
2042.034,205.10402,
2039.123,204.44108,
2036.213,209.69331,
2033.302,230.71697,
2030.391,235.96659,
2027.481,216.32936,
2024.570,234.07087,
2021.660,191.89733,
2018.749,234.07598,
2015.839,233.84777,
2012.928,223.67785,
2010.017,235.02606,
2007.107,233.83738,
2004.196,229.36903,
2001.286,226.41696,
1998.375,237.74213,
1995.465,212.89554,
1992.554,220.77633,
1989.643,235.55067,
1986.733,224.28772,
1983.822,204.29764,
1980.912,252.19682,
1978.001,206.70316,
1975.090,218.99237,
1972.180,221.03458,
1969.269,210.3764,
1966.359,199.75671,
1963.448,220.64598,
1960.538,225.75396,
1957.627,216.08358,
1954.716,225.684,
1951.806,233.05612,
1948.895,215.25506,
1945.985,221.69771,
1943.074,229.34334,
1940.164,210.53865,
1937.253,209.2134,
1934.342,180.94867,
1931.432,198.66877,
1928.521,228.98791,
1925.611,218.70148,
1922.700,197.75415,
1919.790,211.22524,
1916.879,206.558,
1913.968,193.01598,
1911.058,242.56455,
1908.147,195.06278,
1905.237,200.01469,
1902.326,199.91109,
1899.415,206.58168,
1896.505,173.43372,
1893.594,171.45427,
1890.684,174.06535,
1887.773,192.17201,
1884.863,200.81093,
1881.952,215.04234,
1879.041,222.75649,
1876.131,221.37124,
1873.220,222.74337,
1870.310,209.07626,
1867.399,248.34426,
1864.489,217.03894,
1861.578,220.24159,
1858.667,235.69166,
1855.757,203.9821,
1852.846,223.49744,
1849.936,215.95396,
1847.025,210.11434,
1844.114,229.02354,
1841.204,237.25524,
1838.293,227.52079,
1835.383,212.814,
1832.472,229.97739,
1829.562,245.55521,
1826.651,225.11912,
1823.740,222.27971,
1820.830,214.96842,
1817.919,236.43129,
1815.009,240.28753,
1812.098,245.38582,
1809.188,251.62789,
1806.277,225.59756,
1803.366,257.634,
1800.456,236,
1797.545,238.21265,
1794.635,261.03202,
1791.724,269.98056,
1788.813,275.99486,
1785.903,258.12404,
1782.992,260.31597,
1780.082,279.38485,
1777.171,251.32279,
1774.261,216.38009,
1771.350,224.7915,
1768.439,249.40753,
1765.529,265.99718,
1762.618,265.39253,
1759.708,271.22813,
1756.797,263.30303,
1753.887,277.71866,
1750.976,290.12762,
1748.065,279.48234,
1745.155,292.71598,
1742.244,285.79804,
1739.334,276.68471,
1736.423,306.67473,
1733.512,301.53654,
1730.602,323.42464,
1727.691,300.75826,
1724.781,301.2255,
1721.870,316.0715,
1718.960,345.31143,
1716.049,305.69537,
1713.138,339.74979,
1710.228,345.25941,
1707.317,313.15543,
1704.407,353.02146,
1701.496,345.23833,
1698.586,355.08781,
1695.675,350.38575,
1692.764,330.11884,
1689.854,345.26379,
1686.943,341.16863,
1684.033,378.05622,
1681.122,344.59473,
1678.211,372.724,
1675.301,421.84891,
1672.390,348,
1669.480,348.33692,
1666.569,390.13965,
1663.659,401.06533,
1660.748,405.17354,
1657.837,414.34992,
1654.927,429.60171,
1652.016,412.41682,
1649.106,390.39542,
1646.195,446.95906,
1643.285,485.77213,
1640.374,475.41464,
1637.463,448.66654,
1634.553,485.14778,
1631.642,495.34745,
1628.732,527.13629,
1625.821,550.02486,
1622.911,587.78587,
1620.000,631.44566,
1617.089,643.76119,
1614.179,650.80259,
1611.268,721.28601,
1608.358,781.19061,
1605.447,799.08584,
1602.536,806.52321,
1599.626,816.19933,
1596.715,833.33682,
1593.805,831.42267,
1590.894,819.55129,
1587.984,827.52701,
1585.073,781.35426,
1582.162,756.30228,
1579.252,752.1817,
