,PL714F~1,
Raman shift [1/cm],Intensity,
3014.167,-1.625,
3011.256,0.47502147,
3008.346,50.619869,
3005.435,57.950971,
3002.525,49.412472,
2999.614,67.612664,
2996.704,73.145101,
2993.793,70.737328,
2990.882,78.11547,
2987.972,79.329595,
2985.061,71.705051,
2982.151,76.017019,
2979.240,83.540391,
2976.329,87.36954,
2973.419,84.452022,
2970.508,90.241614,
2967.598,92.518374,
2964.687,92.03193,
2961.777,99.246905,
2958.866,103.71378,
2955.955,88.027666,
2953.045,93.475677,
2950.134,111.71614,
2947.224,110.48888,
2944.313,115.27386,
2941.403,98.993615,
2938.492,114.80047,
2935.581,110.55783,
2932.671,115.29344,
2929.760,109.51346,
2926.850,106.63628,
2923.939,118.80954,
2921.028,118.1101,
2918.118,118.97702,
2915.207,131.2547,
2912.297,126.38346,
2909.386,133.55019,
2906.476,118.53793,
2903.565,128.63278,
2900.654,132.15154,
2897.744,122.45043,
2894.833,125.07609,
2891.923,131.7276,
2889.012,131.99928,
2886.102,124.10609,
2883.191,113.37878,
2880.280,106.09748,
2877.370,100.29941,
2874.459,96.607739,
2871.549,117.6515,
2868.638,135.10283,
2865.727,127.58271,
2862.817,131.48996,
2859.906,132.12144,
2856.996,132.32971,
2854.085,126.53043,
2851.175,124.51955,
2848.264,122.45817,
2845.353,130.61224,
2842.443,136.58336,
2839.532,139.46449,
2836.622,111.07161,
2833.711,116.73765,
2830.801,114.38235,
2827.890,116.81382,
2824.979,122.733,
2822.069,129.2954,
2819.158,125.03538,
2816.248,127.13368,
2813.337,137.53965,
2810.427,121.58849,
2807.516,120.79953,
2804.605,126.43991,
2801.695,129.88814,
2798.784,140.04438,
2795.874,132.52012,
2792.963,128.44638,
2790.052,127.375,
2787.142,129.69069,
2784.231,112.27874,
2781.321,128.87212,
2778.410,123.44987,
2775.500,124.84328,
2772.589,122.02867,
2769.678,125.87326,
2766.768,133.375,
2763.857,139.37307,
2760.947,123.375,
2758.036,130.15211,
2755.126,128.22757,
2752.215,137.71588,
2749.304,136.2473,
2746.394,133.28022,
2743.483,135.97502,
2740.573,127.05197,
2737.662,136.16198,
2734.751,136.79256,
2731.841,116.32005,
2728.930,143.45558,
2726.020,137.82407,
2723.109,142.26158,
2720.199,137.27823,
2717.288,127.26916,
2714.377,135.7291,
2711.467,140.53874,
2708.556,147.81121,
2705.646,142.14964,
2702.735,141.375,
2699.825,145.77684,
2696.914,139.04135,
2694.003,144.60427,
2691.093,144.28594,
2688.182,147.32018,
2685.272,136.69363,
2682.361,142.34552,
2679.450,147.49845,
2676.540,134.49694,
2673.629,139.04765,
2670.719,137.01733,
2667.808,143.08319,
2664.898,141.11527,
2661.987,145.4751,
2659.076,139.77371,
2656.166,142.43991,
2653.255,152.66922,
2650.345,156.80694,
2647.434,154.26039,
2644.524,142.76109,
2641.613,163.94697,
2638.702,161.56437,
2635.792,141.46773,
2632.881,151.10711,
2629.971,152.375,
2627.060,139.04,
2624.149,157.42812,
2621.239,155.86018,
2618.328,147.33261,
2615.418,150.025,
2612.507,165.44216,
2609.597,143.12949,
2606.686,159.03764,
2603.775,155.61707,
2600.865,157.78795,
2597.954,157.0396,
2595.044,154.00919,
2592.133,161.375,
2589.223,172.96554,
2586.312,172.00818,
2583.401,165.375,
2580.491,159.56732,
2577.580,165.38655,
2574.670,166.84026,
2571.759,155.12757,
2568.848,169.72313,
2565.938,152.85116,
2563.027,162.13179,
2560.117,160.84227,
2557.206,169.83994,
2554.296,186.86013,
2551.385,172.98689,
2548.474,168.93076,
2545.564,183.05844,
2542.653,168.7542,
2539.743,167.81955,
2536.832,172.375,
2533.922,166.62731,
2531.011,181.27509,
2528.100,178.9081,
2525.190,188.07131,
2522.279,169.60949,
2519.369,173.16753,
2516.458,173.15474,
2513.548,177.80224,
2510.637,172.49797,
2507.726,172.50139,
2504.816,173.43814,
2501.905,183.0561,
2498.995,187.59865,
2496.084,177.21473,
2493.173,184.13825,
2490.263,187.17274,
2487.352,195.5002,
2484.442,194.38786,
2481.531,193.32704,
2478.621,192.92947,
2475.710,184.51302,
2472.799,198.67549,
2469.889,192.22265,
2466.978,195.21007,
2464.068,199.16338,
2461.157,183.87744,
2458.247,190.11024,
2455.336,181.07754,
2452.425,192.74766,
2449.515,201.00701,
2446.604,198.02247,
2443.694,197.95642,
2440.783,196.75563,
2437.872,196.48439,
2434.962,195.69759,
2432.051,187.32565,
2429.141,193.64553,
2426.230,203.78828,
2423.320,201.16061,
2420.409,206.1314,
2417.498,206.77668,
2414.588,216.18484,
2411.677,206.12802,
2408.767,221.5689,
2405.856,218.63208,
