,PLDE83~1,
Wavenumbers [1/cm],Intensity,
2175.920,574.54622,
2173.010,598.65221,
2170.099,605.90873,
2167.189,599.52569,
2164.278,621.2554,
2161.368,627.23204,
2158.457,618.78432,
2155.546,630.16158,
2152.636,645.49735,
2149.725,659.18707,
2146.815,669.14142,
2143.904,667.58316,
2140.993,686.21099,
2138.083,692.95245,
2135.172,712.8624,
2132.262,704.9868,
2129.351,689.5577,
2126.441,691.67599,
2123.530,675.49846,
2120.619,681.6963,
2117.709,655.53925,
2114.798,646.89403,
2111.888,598.8759,
2108.977,595.26905,
2106.067,574.79827,
2103.156,581.21203,
2100.245,574.37312,
2097.335,571.13416,
2094.424,564.10931,
2091.514,555.95572,
2088.603,567.57778,
2085.692,566.92145,
2082.782,560.89312,
2079.871,557.375,
2076.961,559.24584,
2074.050,582.21136,
2071.140,560.98407,
2068.229,566.38152,
2065.318,569.09201,
2062.408,579.48091,
2059.497,586.2024,
2056.587,567.00337,
2053.676,548.02545,
2050.766,563.91237,
2047.855,573.20413,
2044.944,564.98078,
2042.034,549.84899,
2039.123,557.49621,
2036.213,568.49055,
2033.302,576.61399,
2030.391,567.62969,
2027.481,573.25291,
2024.570,571.63232,
2021.660,559.08455,
2018.749,593.81739,
2015.839,554.64403,
2012.928,563.73071,
2010.017,580.90811,
2007.107,555.32638,
2004.196,547.00597,
2001.286,569.89794,
1998.375,563.97834,
1995.465,545.3625,
1992.554,531.85744,
1989.643,525.54782,
1986.733,535.41184,
1983.822,524.86392,
1980.912,553.67116,
1978.001,525.52714,
1975.090,533.41316,
1972.180,514.5133,
1969.269,536.41532,
1966.359,518.10424,
1963.448,521.48201,
1960.538,534.43255,
1957.627,530.02515,
1954.716,525.48991,
1951.806,544.02725,
1948.895,533.29409,
1945.985,514.77043,
1943.074,542.96185,
1940.164,513.5479,
1937.253,492.91862,
1934.342,482.35789,
1931.432,489.61159,
1928.521,489.23165,
1925.611,486.81654,
1922.700,498.45511,
1919.790,492.76238,
1916.879,472.76999,
1913.968,504.33442,
1911.058,520.79841,
1908.147,482.91367,
1905.237,475.36031,
1902.326,477.57353,
1899.415,450.54937,
1896.505,420.93515,
1893.594,432.54277,
1890.684,468.63638,
1887.773,471.75443,
1884.863,490.06065,
1881.952,480.05522,
1879.041,486.2613,
1876.131,510.10571,
1873.220,490.83951,
1870.310,504.08349,
1867.399,498.48696,
1864.489,459.24429,
1861.578,503.88061,
1858.667,486.881,
1855.757,474.16856,
1852.846,483.38525,
1849.936,494.81643,
1847.025,504.55262,
1844.114,515.06682,
1841.204,537.4729,
1838.293,529.88581,
1835.383,516.81701,
1832.472,516.71239,
1829.562,524.84662,
1826.651,532.16144,
1823.740,531.46312,
1820.830,516.48511,
1817.919,535.99192,
1815.009,502.84447,
1812.098,534.07576,
1809.188,580.5842,
1806.277,516.87997,
1803.366,523.22527,
1800.456,514.97953,
1797.545,529.43153,
1794.635,568.08498,
1791.724,559.20995,
1788.813,562.98091,
1785.903,566.60185,
1782.992,514.35114,
1780.082,463.00583,
1777.171,333.3557,
1774.261,310.65099,
1771.350,428.82651,
1768.439,525.61565,
1765.529,588.92037,
1762.618,583.06061,
1759.708,575.3315,
1756.797,601.3447,
1753.887,611.83564,
1750.976,597.83704,
1748.065,576.94182,
1745.155,592.83932,
1742.244,601.0915,
1739.334,593.26677,
1736.423,606.9189,
1733.512,604.64327,
1730.602,641.76792,
1727.691,639.25413,
1724.781,646.17365,
1721.870,634.08443,
1718.960,664.08652,
1716.049,664.6632,
1713.138,669.35997,
1710.228,637.30371,
1707.317,639.45157,
1704.407,658.34294,
1701.496,704.12929,
1698.586,692.66726,
1695.675,694.18213,
1692.764,649.87907,
1689.854,655.02855,
1686.943,720.11538,
1684.033,703.84689,
1681.122,702.39199,
1678.211,700.39403,
1675.301,755.20541,
1672.390,749.28528,
1669.480,719.91247,
1666.569,786.97171,
1663.659,833.26067,
1660.748,826.74135,
1657.837,845.63744,
1654.927,857.23443,
1652.016,851.64229,
1649.106,862.54637,
1646.195,870.88551,
1643.285,933.08138,
1640.374,963.50043,
1637.463,969.95147,
1634.553,1002.4242,
1631.642,1072.8853,
1628.732,1119.6653,
1625.821,1168.409,
1622.911,1220.082,
1620.000,1326.0269,
1617.089,1450.8675,
1614.179,1532.0907,
1611.268,1584.4417,
1608.358,1725.5388,
1605.447,1804.9756,
1602.536,1805.6475,
1599.626,1831.1331,
1596.715,1885.1083,
1593.805,1859.0734,
1590.894,1787.5634,
1587.984,1819.0813,
1585.073,1715.6196,
1582.162,1700.5494,
1579.252,1662.0965,
1576.341,1590.091,
1573.431,1564.9769,
1570.520,1557.7887,
1567.610,1542.963,
1564.699,1486.8979,
1561.788,1479.3467,
1558.878,1447.5058,
1555.967,1365.6299,
1553.057,1350.2369,
1550.146,1343.1678,
1547.235,1323.5201,
1544.325,1313.9818,
1541.414,1288.1525,
1538.504,1289.4409,
1535.593,1276.7517,
1532.683,1238.2405,
1529.772,1253.6434,
1526.861,1283.996,
1523.951,1280.057,
1521.040,1284.9292,
1518.130,1321.8823,
1515.219,1318.8948,
1512.309,1315.9606,
1509.398,1283.723,
1506.487,1276.7132,
1503.577,1295.6761,
1500.666,1238.2558,
1497.756,1237.7659,
1494.845,1337.1338,
1491.934,1282.9655,
1489.024,1157.8415,
1486.113,1250.7326,
1483.203,1230.8418,
1480.292,1159.4941,
1477.382,1191.8287,
1474.471,1122.5676,
1471.560,1093.2953,
1468.650,1085.9088,
