,PL24CA~1,
Raman shift [1/cm],Intensity,
2257.417,501.16055,
2254.506,500.4316,
2251.595,497.77996,
2248.685,492.1885,
2245.774,491.20325,
2242.864,472.0187,
2239.953,484.96197,
2237.043,518.30641,
2234.132,506.80925,
2231.221,489.15897,
2228.311,506.54766,
2225.400,501.28807,
2222.490,527.2003,
2219.579,517.05525,
2216.669,516.46184,
2213.758,535.5889,
2210.847,541.5,
2207.937,554.92995,
2205.026,528.83206,
2202.116,554.58494,
2199.205,543.11153,
2196.294,565.30999,
2193.384,553.28998,
2190.473,555.22183,
2187.563,568.54834,
2184.652,576.84327,
2181.742,575.18277,
2178.831,600.09536,
2175.920,616.07742,
2173.010,636.72619,
2170.099,644.23314,
2167.189,686.67221,
2164.278,714.31508,
2161.368,741.07088,
2158.457,755.04176,
2155.546,801.6645,
2152.636,842.46807,
2149.725,858.81543,
2146.815,887.59904,
2143.904,924.29555,
2140.993,918.38883,
2138.083,952.00751,
2135.172,958.70152,
2132.262,939.50704,
2129.351,931.92752,
2126.441,942.63597,
2123.530,911.11838,
2120.619,874.335,
2117.709,844.74356,
2114.798,797.29977,
2111.888,760.37523,
2108.977,737.69866,
2106.067,722.19136,
2103.156,707.30247,
2100.245,660.48557,
2097.335,636.77749,
2094.424,628.14911,
2091.514,626.79578,
2088.603,644.4493,
2085.692,625.40346,
2082.782,614.32729,
2079.871,620.42882,
2076.961,628.04795,
2074.050,617.45152,
2071.140,616.17819,
2068.229,615.04427,
2065.318,608.84499,
2062.408,582.21938,
2059.497,585.53574,
2056.587,606.72078,
2053.676,595.8009,
2050.766,585.11585,
2047.855,596.12977,
2044.944,585.49519,
2042.034,597.78901,
2039.123,598.90067,
2036.213,599.75109,
2033.302,593.04347,
2030.391,589.6357,
2027.481,603.12181,
2024.570,592.48614,
2021.660,570.68259,
2018.749,608.66421,
2015.839,589.51772,
2012.928,601.35067,
2010.017,592.63029,
2007.107,584.59346,
2004.196,596.71432,
2001.286,583.74739,
1998.375,574.37107,
1995.465,578.07321,
1992.554,597.78219,
1989.643,606.29262,
1986.733,621.66403,
1983.822,572.20532,
1980.912,572.40066,
1978.001,561.00835,
1975.090,556.13968,
1972.180,558.36035,
1969.269,555.42234,
1966.359,565.74359,
1963.448,574.65588,
1960.538,589.5417,
1957.627,570.31732,
1954.716,583.04037,
1951.806,572.04646,
1948.895,580.07696,
1945.985,565.13399,
1943.074,562.52597,
1940.164,543.76933,
1937.253,565.70405,
1934.342,576.43155,
1931.432,551.18139,
1928.521,532.65544,
1925.611,535.26617,
1922.700,561.24309,
1919.790,545.10719,
1916.879,557.31426,
1913.968,552.50738,
1911.058,545.0946,
1908.147,557.35259,
1905.237,569.39697,
1902.326,523.09258,
1899.415,548.06099,
1896.505,557.58429,
1893.594,547.86584,
1890.684,542.98366,
1887.773,547.12057,
1884.863,561.34282,
1881.952,564.71003,
1879.041,534.75337,
1876.131,528.75752,
1873.220,527.75663,
1870.310,548.84974,
1867.399,512.12375,
1864.489,557.69472,
1861.578,558.95082,
1858.667,528.02093,
1855.757,554.07995,
1852.846,572.4795,
1849.936,562.91842,
1847.025,565.32482,
1844.114,567.54709,
1841.204,572.73427,
1838.293,568.49335,
1835.383,584.52299,
1832.472,583.23217,
1829.562,581.88802,
1826.651,598.49177,
1823.740,580.47697,
1820.830,590.79151,
1817.919,567.99682,
1815.009,590.61195,
1812.098,603.57874,
1809.188,594.18219,
1806.277,583.72132,
1803.366,608.89927,
1800.456,629.91701,
1797.545,587.43607,
1794.635,606.242,
1791.724,607.63588,
1788.813,620.49614,
1785.903,608.26551,
1782.992,613.66992,
1780.082,622.36591,
1777.171,595.49571,
1774.261,582.05505,
1771.350,594.81075,
1768.439,598.98817,
1765.529,594.31947,
1762.618,618.92628,
1759.708,656.93499,
1756.797,663.59091,
1753.887,643.47376,
1750.976,644.75523,
1748.065,650.5,
1745.155,637.7259,
1742.244,621.89222,
1739.334,622.97765,
1736.423,632.56541,
1733.512,674.06515,
1730.602,705.70439,
1727.691,696.14679,
1724.781,671.04901,
1721.870,672.7429,
1718.960,669.56661,
1716.049,700.38104,
1713.138,705.645,
1710.228,737.70099,
1707.317,692.07943,
1704.407,695.38237,
1701.496,691.94226,
1698.586,701.66383,
1695.675,695.95004,
1692.764,708.75411,
1689.854,743.94096,
1686.943,689.45609,
1684.033,746.00983,
