,PLD3C3~1,
Wavenumbers [1/cm],Intensity,
3014.167,-1.625,
3011.256,1.4750215,
3008.346,74.994722,
3005.435,61.33613,
3002.525,79.980145,
2999.614,84.128272,
2996.704,99.375,
2993.793,90.118088,
2990.882,89.161293,
2987.972,85.299326,
2985.061,80.572057,
2982.151,95.136346,
2979.240,96.705782,
2976.329,107.36954,
2973.419,116.05228,
2970.508,109.39162,
2967.598,103.80151,
2964.687,105.2697,
2961.777,113.93905,
2958.866,121.70487,
2955.955,121.06306,
2953.045,120.57635,
2950.134,128.55575,
2947.224,130.85897,
2944.313,144.67842,
2941.403,141.375,
2938.492,141.5349,
2935.581,157.12222,
2932.671,161.77413,
2929.760,162.18655,
2926.850,155.00207,
2923.939,161.13199,
2921.028,165.21023,
2918.118,158.79692,
2915.207,155.53932,
2912.297,171.25229,
2909.386,177.16332,
2906.476,159.47614,
2903.565,160.06908,
2900.654,152.59846,
2897.744,140.41272,
2894.833,142.13791,
2891.923,146.8622,
2889.012,140.38078,
2886.102,120.77095,
2883.191,87.406153,
2880.280,51.063968,
2877.370,-111.93861,
2874.459,-228.53035,
2871.549,-86.663362,
2868.638,63.519262,
2865.727,110.45575,
2862.817,114.91778,
2859.906,129.67983,
2856.996,154.87726,
2854.085,182.54312,
2851.175,162.87204,
2848.264,164.71349,
2845.353,142.67694,
2842.443,161.16664,
2839.532,155.18105,
2836.622,151.91992,
2833.711,160.94487,
2830.801,163.28162,
2827.890,155.27186,
2824.979,171.28893,
2822.069,172.34088,
2819.158,173.93565,
2816.248,176.89237,
2813.337,187.76647,
2810.427,169.28684,
2807.516,162.11609,
2804.605,170.39664,
2801.695,171.54605,
2798.784,162.89246,
2795.874,169.36972,
2792.963,170.51777,
2790.052,181.37221,
2787.142,177.96727,
2784.231,177.63434,
2781.321,168.87788,
2778.410,171.81029,
2775.500,164.60914,
2772.589,170.87576,
2769.678,185.15997,
2766.768,175.38857,
2763.857,183.533,
2760.947,185.88446,
2758.036,197.54067,
2755.126,183.80449,
2752.215,196.79792,
2749.304,197.29048,
2746.394,179.375,
2743.483,197.52492,
2740.573,190.1957,
2737.662,184.49186,
2734.751,181.11783,
2731.841,188.75413,
2728.930,185.12929,
2726.020,177.93113,
2723.109,189.90058,
2720.199,205.92509,
2717.288,187.39324,
2714.377,200.66222,
2711.467,201.62115,
2708.556,185.68363,
2705.646,197.43138,
2702.735,213.375,
2699.825,208.97316,
2696.914,205.99409,
2694.003,205.04491,
2691.093,211.46406,
2688.182,207.66611,
2685.272,220.82593,
2682.361,195.31605,
2679.450,202.08282,
2676.540,204.4563,
2673.629,206.38398,
2670.719,200.44801,
2667.808,211.74274,
2664.898,214.34873,
2661.987,219.47477,
2659.076,199.90087,
2656.166,208.32734,
2653.255,215.93112,
2650.345,222.99932,
2647.434,204.11864,
2644.524,221.79221,
2641.613,226.6899,
2638.702,214.73796,
2635.792,225.4069,
2632.881,235.38665,
2629.971,222.81781,
2627.060,220.7075,
2624.149,225.99688,
2621.239,218.36314,
2618.328,228.31532,
2615.418,209.02046,
2612.507,235.12988,
2609.597,224.48678,
2606.686,235.02362,
2603.775,241.08928,
2600.865,233.07811,
2597.954,227.09371,
2595.044,243.35729,
2592.133,233.31116,
2589.223,243.09817,
2586.312,247.375,
2583.401,249.61953,
2580.491,256.73076,
2577.580,240.37005,
2574.670,238.75869,
2571.759,247.32962,
2568.848,252.19821,
2565.938,274.13713,
2563.027,238.98412,
2560.117,239.6367,
2557.206,248.89529,
2554.296,246.86013,
2551.385,251.82107,
2548.474,278.26422,
2545.564,263.10308,
2542.653,274.16358,
2539.743,281.02903,
2536.832,242.70022,
2533.922,261.61154,
2531.011,277.74988,
2528.100,276.57708,
2525.190,270.00328,
2522.279,277.20255,
2519.369,253.67687,
2516.458,244.92387,
2513.548,279.44714,
2510.637,264.60465,
2507.726,283.99954,
2504.816,272.43587,
2501.905,263.99817,
2498.995,278.27078,
2496.084,292.06838,
2493.173,280.32202,
2490.263,294.5095,
2487.352,295.20807,
2484.442,287.10307,
