,PL77B2~1,
Wavenumbers [1/cm],Intensity,
2173.010,784.62557,
2170.099,769.17708,
2167.189,784.64049,
2164.278,818.44033,
2161.368,806.80292,
2158.457,825.0349,
2155.546,837.54136,
2152.636,838.19416,
2149.725,880.48235,
2146.815,883.57521,
2143.904,882.87314,
2140.993,882.33262,
2138.083,892.09234,
2135.172,908.19027,
2132.262,894.69982,
2129.351,907.35796,
2126.441,901.58854,
2123.530,884.64438,
2120.619,902.87065,
2117.709,863.10125,
2114.798,835.55563,
2111.888,800.00068,
2108.977,789.82533,
2106.067,759.76476,
2103.156,753.77418,
2100.245,741.36873,
2097.335,733.54254,
2094.424,750.57175,
2091.514,750.44217,
2088.603,741.00174,
2085.692,733.05533,
2082.782,740.68417,
2079.871,745.375,
2076.961,752.85838,
2074.050,789.51439,
2071.140,733.69681,
2068.229,738.91275,
2065.318,752.96801,
2062.408,750.03386,
2059.497,748.99406,
2056.587,765.30507,
2053.676,755.49252,
2050.766,738.52971,
2047.855,711.94458,
2044.944,730.84295,
2042.034,726.90101,
2039.123,735.57702,
2036.213,741.22383,
2033.302,744.02686,
2030.391,746.56184,
2027.481,739.86279,
2024.570,766.50288,
2021.660,733.74017,
2018.749,770.96935,
2015.839,736.18209,
2012.928,743.21393,
2010.017,754.24471,
2007.107,753.0703,
2004.196,735.32737,
2001.286,744.25131,
1998.375,749.98327,
1995.465,731.28304,
1992.554,728.12793,
1989.643,741.89111,
1986.733,716.41184,
1983.822,704.17116,
1980.912,728.36469,
1978.001,718.90006,
1975.090,722.62384,
1972.180,702.89229,
1969.269,712.56469,
1966.359,720.375,
1963.448,723.29706,
1960.538,727.62104,
1957.627,713.21709,
1954.716,691.94954,
1951.806,711.48079,
1948.895,695.90534,
1945.985,708.62173,
1943.074,698.86607,
1940.164,659.55788,
1937.253,665.33606,
1934.342,656.40067,
1931.432,669.76617,
1928.521,681.27137,
1925.611,661.03108,
1922.700,684.82389,
1919.790,696.82005,
1916.879,687.14224,
1913.968,661.40574,
1911.058,709.87348,
1908.147,659.84361,
1905.237,658.36031,
1902.326,661.36464,
1899.415,640.48597,
1896.505,627.94128,
1893.594,637.64332,
1890.684,647.92401,
1887.773,667.27972,
1884.863,679.09937,
1881.952,711.85467,
1879.041,686.28101,
1876.131,697.80636,
1873.220,673.73771,
1870.310,711.14623,
1867.399,691.74285,
1864.489,668.46542,
1861.578,695.375,
1858.667,691.26724,
1855.757,673.15423,
1852.846,692.60578,
1849.936,685.30492,
1847.025,680.6159,
1844.114,693.59866,
1841.204,740.90297,
1838.293,716.39662,
1835.383,714.30499,
1832.472,726.93326,
1829.562,734.48542,
1826.651,755.83699,
1823.740,739.624,
1820.830,738.0916,
1817.919,716.75808,
1815.009,713.9437,
1812.098,735.91829,
1809.188,769.32842,
1806.277,736.17175,
1803.366,736.04228,
1800.456,718.73816,
1797.545,756.79357,
1794.635,733.56803,
1791.724,754.64676,
1788.813,783.97191,
1785.903,765.22971,
1782.992,731.08289,
1780.082,694.37021,
1777.171,616.36428,
1774.261,596.0854,
1771.350,659.26476,
1768.439,742.95501,
1765.529,798.64816,
1762.618,809.58814,
1759.708,806.62488,
1756.797,805.05682,
1753.887,809.99016,
1750.976,830.96138,
1748.065,836.31509,
1745.155,838.95558,
1742.244,837.75363,
1739.334,811.77971,
1736.423,829.63664,
1733.512,869.75313,
1730.602,851.95036,
1727.691,865.40482,
1724.781,863.72266,
1721.870,880.6894,
1718.960,906.75304,
1716.049,877.81601,
1713.138,896.16988,
1710.228,882.09876,
1707.317,870.52929,
1704.407,909.80287,
1701.496,919.84429,
1698.586,929.61484,
1695.675,914.46795,
1692.764,923.78894,
1689.854,930.11516,
1686.943,963.22833,
1684.033,969.25082,
1681.122,993.95019,
1678.211,961.68907,
1675.301,1057.079,
1672.390,1001.4109,
1669.480,1013.7039,
1666.569,1054.7178,
1663.659,1081.767,
1660.748,1105.5678,
1657.837,1116.556,
1654.927,1169.9842,
1652.016,1195.375,
1649.106,1196.5991,
1646.195,1245.2791,
1643.285,1243.0156,
1640.374,1312.7687,
1637.463,1287.2033,
1634.553,1441.8479,
1631.642,1474.0265,
1628.732,1534.092,
1625.821,1654.3979,
1622.911,1689.1778,
1620.000,1840.4474,
1617.089,1922.7432,
1614.179,2077.9192,
1611.268,2184.4341,
1608.358,2385.6826,
1605.447,2430.261,
1602.536,2470.5824,
1599.626,2464.1757,
1596.715,2486.065,
1593.805,2485.692,
1590.894,2406.9954,
1587.984,2418.8934,
1585.073,2354.3097,
1582.162,2318.1633,
1579.252,2247.9109,
1576.341,2210.1442,
1573.431,2160.5172,
1570.520,2110.9205,
1567.610,2088.9435,
1564.699,2044.7733,
1561.788,1984.305,
1558.878,1981.0786,
1555.967,1901.1673,
1553.057,1867.8576,
1550.146,1815.9933,
1547.235,1772.8814,
1544.325,1761.0231,
1541.414,1772.6568,
1538.504,1772.9885,
1535.593,1754.5059,
1532.683,1753.0502,
1529.772,1772.0373,
1526.861,1782.5238,
1523.951,1767.1387,
1521.040,1767.1433,
1518.130,1780.2952,
1515.219,1782.1758,
1512.309,1750.8975,
1509.398,1745.3084,
1506.487,1750.383,
1503.577,1743.5793,
1500.666,1759.1731,
1497.756,1779.7731,
1494.845,1758.574,
1491.934,1715.4443,
1489.024,1736.6191,
1486.113,1716.9763,
1483.203,1662.9731,
1480.292,1621.586,
1477.382,1607.2925,
1474.471,1560.0996,
1471.560,1537.667,
1468.650,1552.1401,
1465.739,1549.4867,
1462.829,1585.1522,
1459.918,1639.8946,
1457.008,1649.1902,
