,PL3ECB~1,
Wavenumbers [1/cm],Intensity,
2225.400,497.97516,
2222.490,509.27776,
2219.579,527.82714,
2216.669,525.78816,
2213.758,526.22975,
2210.847,517.85329,
2207.937,522.42426,
2205.026,532.97216,
2202.116,526.88377,
2199.205,515.88671,
2196.294,536.80799,
2193.384,536.48699,
2190.473,524.45422,
2187.563,572.6485,
2184.652,553.10551,
2181.742,556.90861,
2178.831,564.01855,
2175.920,571.92668,
2173.010,588.12698,
2170.099,570.8864,
2167.189,605.76435,
2164.278,610.39121,
2161.368,628.6068,
2158.457,628.54834,
2155.546,641.73369,
2152.636,627.6969,
2149.725,642.87749,
2146.815,670.01588,
2143.904,656.44889,
2140.993,660.96684,
2138.083,687.66792,
2135.172,705.14504,
2132.262,687.70775,
2129.351,693.91566,
2126.441,729.13843,
2123.530,708.4694,
2120.619,678.38325,
2117.709,650.81481,
2114.798,652.59983,
2111.888,628.23752,
2108.977,616.94205,
2106.067,606.95811,
2103.156,603.11049,
2100.245,588.75188,
2097.335,595.0013,
2094.424,613.00561,
2091.514,588.67199,
2088.603,588.19235,
2085.692,597.3857,
2082.782,600.69776,
2079.871,593.71383,
2076.961,604.84591,
2074.050,574.08939,
2071.140,581.55453,
2068.229,588.47135,
2065.318,594.9845,
2062.408,589.81052,
2059.497,606.7917,
2056.587,598.05269,
2053.676,592.83308,
2050.766,598.3651,
2047.855,589.63608,
2044.944,584.81891,
2042.034,581.35697,
2039.123,597.91162,
2036.213,608.88553,
2033.302,609.81511,
2030.391,606.7333,
2027.481,607.70116,
2024.570,629.1352,
2021.660,596.99691,
2018.749,626.30636,
2015.839,590.01903,
2012.928,588.99161,
2010.017,589.81407,
2007.107,599.4453,
2004.196,597.05957,
2001.286,615.18815,
1998.375,602.04921,
1995.465,615.20178,
1992.554,617.24415,
1989.643,589.71778,
1986.733,592.73333,
1983.822,580.5336,
1980.912,605.2739,
1978.001,579.46986,
1975.090,589.59274,
1972.180,572.75,
1969.269,582.3736,
1966.359,557.96581,
1963.448,596.26918,
1960.538,597.27377,
1957.627,570.45896,
1954.716,565.80745,
1951.806,568.85579,
1948.895,549.0719,
1945.985,540.34968,
1943.074,567.65422,
1940.164,549.93288,
1937.253,552.26766,
1934.342,548.35695,
1931.432,569.98659,
1928.521,602.72582,
1925.611,598.00993,
1922.700,577.29558,
1919.790,556.52476,
1916.879,530.49374,
1913.968,547.72664,
1911.058,600.91815,
1908.147,549.27411,
1905.237,563.56616,
1902.326,546.5752,
1899.415,512.59632,
1896.505,494.44885,
1893.594,513.56102,
1890.684,517.42327,
1887.773,551.64544,
1884.863,569.71811,
1881.952,561.05251,
1879.041,554.69808,
1876.131,560.07941,
1873.220,555.64821,
1870.310,576.09974,
1867.399,562.0059,
1864.489,563.67211,
1861.578,562.217,
1858.667,568.07035,
1855.757,575.94928,
1852.846,574.73975,
1849.936,566.63389,
1847.025,559.28042,
1844.114,571.24653,
1841.204,601.16259,
1838.293,600.76164,
1835.383,583.36651,
1832.472,593.13435,
1829.562,630.02448,
1826.651,635.54467,
1823.740,642.66956,
1820.830,596.59208,
1817.919,598.03753,
1815.009,606.8874,
1812.098,644.55313,
1809.188,665.63368,
1806.277,614.92299,
1803.366,611.79991,
1800.456,614.80496,
1797.545,618.05485,
1794.635,642.81403,
1791.724,652.4588,
1788.813,645.76929,
1785.903,681.12808,
1782.992,596.9944,
1780.082,545.17578,
1777.171,410.06261,
1774.261,380.56596,
1771.350,503.72077,
1768.439,598.79732,
1765.529,667.02692,
1762.618,679.73935,
1759.708,659.64125,
1756.797,667.65909,
1753.887,670.2879,
1750.976,691.464,
1748.065,699.07566,
1745.155,678.33719,
1742.244,670.08786,
1739.334,668.38059,
1736.423,698.13127,
1733.512,715.84351,
1730.602,735.70241,
1727.691,715.64954,
1724.781,743.14595,
1721.870,746.31187,
1718.960,740.63884,
1716.049,724.64846,
1713.138,766.20978,
1710.228,718.92129,
1707.317,716.05743,
1704.407,730.22596,
1701.496,767.30036,
1698.586,774.44594,
1695.675,786.91421,
1692.764,734.73358,
1689.854,765.23427,
1686.943,756.12098,
1684.033,797.68204,
1681.122,753.53165,
1678.211,769.5882,
1675.301,826.57425,
1672.390,821.69916,
1669.480,805.12703,
1666.569,852.47367,
1663.659,908.27636,
1660.748,879.46077,
1657.837,865.27487,
1654.927,889.4763,
1652.016,919.96869,
1649.106,928.60311,
1646.195,924.26051,
1643.285,986.38802,
1640.374,1012.872,
1637.463,972.52463,
1634.553,1015.947,
1631.642,1095.978,
1628.732,1117.1115,
1625.821,1177.7847,
1622.911,1230.4513,
1620.000,1289.9941,
1617.089,1365.2376,
1614.179,1453.2401,
1611.268,1516.4078,
1608.358,1591.1914,
1605.447,1619.2645,
1602.536,1658.9574,
1599.626,1737.1845,
1596.715,1718.3372,
1593.805,1661.1958,
1590.894,1652.9887,
1587.984,1633.696,
1585.073,1574.5961,
1582.162,1588.1268,
