,PL328E~1,
Wavenumbers [1/cm],Intensity,
2173.010,216.42545,
2170.099,216.89186,
2167.189,222.68958,
2164.278,230.01093,
2161.368,226.05292,
2158.457,234.9651,
2155.546,247.68465,
2152.636,250.77929,
2149.725,244.79279,
2146.815,272.6573,
2143.904,260.43539,
2140.993,278.87376,
2138.083,261.00188,
2135.172,277.05363,
2132.262,272.48151,
2129.351,280.48371,
2126.441,269.72204,
2123.530,296.35562,
2120.619,270.97369,
2117.709,259.83394,
2114.798,251.40955,
2111.888,237.52518,
2108.977,234.89652,
2106.067,221.21582,
2103.156,236.86121,
2100.245,217.63504,
2097.335,232.66165,
2094.424,223.7102,
2091.514,217.26747,
2088.603,218.04896,
2085.692,232.03757,
2082.782,225.78172,
2079.871,216.33912,
2076.961,228.72091,
2074.050,242.3947,
2071.140,201.68223,
2068.229,218.16927,
2065.318,229.19376,
2062.408,240.68552,
2059.497,233.61904,
2056.587,228.78784,
2053.676,246.40719,
2050.766,253.39406,
2047.855,234.56804,
2044.944,229.56571,
2042.034,210.57299,
2039.123,227.56776,
2036.213,248.43386,
2033.302,232.47295,
2030.391,236.57385,
2027.481,261.22239,
2024.570,244.86846,
2021.660,218.98497,
2018.749,259.16911,
2015.839,246.41437,
2012.928,237.9354,
2010.017,236.59894,
2007.107,238.20631,
2004.196,243.76788,
2001.286,261.70978,
1998.375,248.05314,
1995.465,229.97232,
1992.554,227.625,
1989.643,222.79782,
1986.733,223.8557,
1983.822,247.03563,
1980.912,251.7534,
1978.001,236.11665,
1975.090,237.00058,
1972.180,236.00534,
1969.269,237.64516,
1966.359,238.5438,
1963.448,231.43345,
1960.538,246.04368,
1957.627,242.49187,
1954.716,229.96972,
1951.806,250.78047,
1948.895,232.45702,
1945.985,225.59069,
1943.074,248.77273,
1940.164,232.89433,
1937.253,234.16862,
1934.342,228.65067,
1931.432,248.36633,
1928.521,237.24676,
1925.611,241.92352,
1922.700,250.99931,
1919.790,230.09345,
1916.879,216.39224,
1913.968,219.62008,
1911.058,253.0304,
1908.147,243.16367,
1905.237,230.64704,
1902.326,220.73463,
1899.415,217.76767,
1896.505,210.98056,
1893.594,232.71343,
1890.684,218.52055,
1887.773,223.15029,
1884.863,231.33343,
1881.952,239.87737,
1879.041,247.13798,
1876.131,250.06814,
1873.220,210.52749,
1870.310,257.53522,
1867.399,248.83292,
1864.489,225.58606,
1861.578,227.80058,
1858.667,253.63701,
1855.757,227.01641,
1852.846,233.86091,
1849.936,224.11349,
1847.025,210.74667,
1844.114,222.39922,
1841.204,267.5271,
1838.293,274.11585,
1835.383,262.68352,
1832.472,256.92761,
1829.562,261.3474,
1826.651,261.30878,
1823.740,245.60964,
1820.830,248.11326,
1817.919,262.84065,
1815.009,245.07539,
1812.098,261.37302,
1809.188,286.13658,
1806.277,239.70946,
1803.366,239.67491,
1800.456,243.0097,
1797.545,252.11424,
1794.635,277.01201,
1791.724,278.63472,
1788.813,278.63143,
1785.903,295.57657,
1782.992,290.99014,
1780.082,303.51616,
1777.171,259.6041,
1774.261,211.92061,
1771.350,260.27175,
1768.439,261.71124,
1765.529,306.72233,
1762.618,334.5806,
1759.708,293.54864,
1756.797,295.5947,
1753.887,311.1629,
1750.976,311.11125,
1748.065,293.50519,
1745.155,310.28285,
1742.244,322.32791,
1739.334,300.45324,
1736.423,326.95205,
1733.512,317.61274,
1730.602,342.28576,
1727.691,346.71606,
1724.781,320.24113,
1721.870,343.40136,
1718.960,373.6475,
1716.049,367.71833,
1713.138,385.2899,
1710.228,351.20223,
1707.317,373.04671,
1704.407,366.74263,
1701.496,384.7675,
1698.586,375.53719,
1695.675,393.33917,
1692.764,358.64957,
1689.854,360.45177,
1686.943,376.08539,
1684.033,384.42631,
1681.122,394.45508,
1678.211,435.23479,
1675.301,424.65892,
1672.390,405.55322,
1669.480,381.59291,
1666.569,378.67876,
1663.659,460.36368,
1660.748,445.02992,
1657.837,465.86557,
1654.927,476.83586,
1652.016,485.35771,
1649.106,474.13538,
1646.195,455.9437,
1643.285,509.39713,
1640.374,499.83406,
1637.463,509.58897,
1634.553,508.37867,
1631.642,558.72272,
1628.732,567.78499,
1625.821,594.6407,
1622.911,618.48976,
1620.000,657.13365,
1617.089,666.4459,
1614.179,712.29955,
1611.268,758.87764,
1608.358,837.83233,
1605.447,907.62554,
1602.536,878.07706,
1599.626,912.42231,
1596.715,886.58176,
1593.805,872.89302,
1590.894,871.625,
1587.984,887.21466,
1585.073,817.30557,
1582.162,844.69953,
1579.252,811.70994,
1576.341,775.38884,
1573.431,797.60244,
1570.520,791.10184,
1567.610,753.84018,
1564.699,745.52512,
1561.788,736.76594,
1558.878,744.23197,
1555.967,737.07237,
1553.057,689.1599,
1550.146,665.01046,
1547.235,672.88957,
1544.325,706.90159,
1541.414,684.34031,
1538.504,671.80132,
1535.593,694.16426,
1532.683,670.11468,
1529.772,637.15635,
1526.861,641.90184,
1523.951,669.45213,
1521.040,680.56958,
1518.130,687.21895,
1515.219,701.38569,
1512.309,681.34123,
1509.398,684.03199,
1506.487,655.70358,
1503.577,671.97625,
1500.666,682.15533,
1497.756,659.43068,
1494.845,713.4227,
1491.934,612.69744,
1489.024,634.83478,
1486.113,656.95096,
1483.203,670.17118,
1480.292,627.5024,
1477.382,692.36734,
1474.471,635.18924,
1471.560,639.47465,
1468.650,608.62858,
1465.739,590.26549,
1462.829,595.39954,
1459.918,637.85186,
1457.008,660.99412,
1454.097,641.07105,
1451.186,654.24008,
1448.276,672.06963,
1445.365,624.47966,
1442.455,589.15861,
1439.544,580.68225,
1436.633,600.05201,
1433.723,589.13556,
1430.812,563.51676,
1427.902,550.39169,
1424.991,582.61561,
1422.081,569.86284,
1419.170,557.39222,
1416.259,558.05519,
1413.349,572.21934,
1410.438,605.31597,
1407.528,608.61262,
1404.617,584.24977,
1401.707,545.7178,
1398.796,529.76135,
1395.885,558.12124,
