,PLFDDD~1,
Wavenumbers [1/cm],Intensity,
2175.920,665.96061,
2173.010,674.02579,
2170.099,671.80903,
2167.189,695.09027,
2164.278,719.29912,
2161.368,699.44491,
2158.457,727.90961,
2155.546,747.97985,
2152.636,750.84845,
2149.725,748.03607,
2146.815,749.84163,
2143.904,766.17611,
2140.993,770.50461,
2138.083,783.1698,
2135.172,802.32042,
2132.262,801.36444,
2129.351,803.67159,
2126.441,782.90406,
2123.530,787.89745,
2120.619,781.20564,
2117.709,728.9845,
2114.798,719.33636,
2111.888,698.46234,
2108.977,698.69619,
2106.067,674.88204,
2103.156,682.8322,
2100.245,618.89006,
2097.335,644.8017,
2094.424,656.24216,
2091.514,645.72982,
2088.603,648.52013,
2085.692,648.7821,
2082.782,654.47734,
2079.871,676.12587,
2076.961,661.16656,
2074.050,651.85682,
2071.140,637.02402,
2068.229,661.97006,
2065.318,654.96125,
2062.408,656.79935,
2059.497,661.27381,
2056.587,658.03784,
2053.676,655.24177,
2050.766,670.56633,
2047.855,645.13131,
2044.944,652.67789,
2042.034,647.48197,
2039.123,665.05682,
2036.213,670.93495,
2033.302,668.91828,
2030.391,663.77374,
2027.481,677.19187,
2024.570,667.17547,
2021.660,650.70281,
2018.749,677.98897,
2015.839,678.58825,
2012.928,659.27768,
2010.017,649.71865,
2007.107,666.89931,
2004.196,666.1964,
2001.286,678.81489,
1998.375,675.17421,
1995.465,638.77054,
1992.554,659.79828,
1989.643,655.18607,
1986.733,627.66096,
1983.822,627.82478,
1980.912,644.35954,
1978.001,622.01044,
1975.090,628.875,
1972.180,640.9428,
1969.269,645.94969,
1966.359,630.14514,
1963.448,631.44964,
1960.538,644.42463,
1957.627,616.55919,
1954.716,608.01863,
1951.806,618.32854,
1948.895,607.23736,
1945.985,607.57271,
1943.074,618.86404,
1940.164,599.45189,
1937.253,599.88798,
1934.342,587.73811,
1931.432,607.6668,
1928.521,597.50885,
1925.611,580.03732,
1922.700,586.41505,
1919.790,582.70743,
1916.879,567.92124,
1913.968,598.83565,
1911.058,609.13927,
1908.147,613.1407,
1905.237,610.50732,
1902.326,598.94017,
1899.415,591.59935,
1896.505,554.40527,
1893.594,566.60668,
1890.684,559.42401,
1887.773,579.93486,
1884.863,619.38753,
1881.952,626.90007,
1879.041,627.65745,
1876.131,626.43186,
1873.220,602.33951,
1870.310,613.72699,
1867.399,590.27484,
1864.489,600.61493,
1861.578,615.41922,
1858.667,583.19535,
1855.757,593.46569,
1852.846,600.10578,
1849.936,591.59572,
1847.025,595.75821,
1844.114,617.62568,
1841.204,666.70017,
1838.293,659.40909,
1835.383,640.5145,
1832.472,662.63152,
1829.562,648.1289,
1826.651,647.60188,
