,PLD665~1,
Raman shift [1/cm],Intensity,
3014.167,0.75,
3011.256,0.30001074,
3008.346,147.19138,
3005.435,178.29064,
3002.525,172.10738,
2999.614,189.21626,
2996.704,203.34278,
2993.793,192.0939,
2990.882,206.147,
2987.972,196.83072,
2985.061,211.8633,
2982.151,213.39202,
2979.240,222.19579,
2976.329,253.76638,
2973.419,240.61188,
2970.508,229.21665,
2967.598,247.75,
2964.687,249.66033,
2961.777,261.71591,
2958.866,283.75148,
2955.955,277.19691,
2953.045,272.30034,
2950.134,291.72963,
2947.224,310.15215,
2944.313,299.18804,
2941.403,319.44069,
2938.492,337.88821,
2935.581,332.22853,
2932.671,317.3552,
2929.760,331.45383,
2926.850,348.23458,
2923.939,344.02567,
2921.028,348.73225,
2918.118,346.01071,
2915.207,357.63615,
2912.297,361.75,
2909.386,371.12957,
2906.476,353.07586,
2903.565,342.95963,
2900.654,349.86728,
2897.744,355.90087,
2894.833,364.86346,
2891.923,345.34289,
2889.012,349.87139,
2886.102,359.93784,
2883.191,352.75566,
2880.280,329.82655,
2877.370,330.02905,
2874.459,340.99515,
2871.549,357.22416,
2868.638,388.65928,
2865.727,368.09994,
2862.817,374.07756,
2859.906,390.78705,
2856.996,383.17981,
2854.085,386.42645,
2851.175,372.68069,
2848.264,379.897,
2845.353,373.83627,
2842.443,367.3681,
2839.532,371.15287,
2836.622,352.83984,
2833.711,349.32771,
2830.801,361.54118,
2827.890,368.12412,
2824.979,371.45395,
2822.069,375.47707,
2819.158,353.65027,
2816.248,361.23263,
2813.337,377.5744,
2810.427,353.70592,
2807.516,350.54141,
2804.605,370.20193,
2801.695,375.78947,
2798.784,366.26746,
2795.874,374.48089,
2792.963,369.03596,
2790.052,357.75365,
2787.142,377.57881,
2784.231,360.62112,
2781.321,358.00144,
2778.410,366.31471,
2775.500,356.6669,
2772.589,362.24924,
2769.678,357.24826,
2766.768,382.60634,
2763.857,374.06406,
2760.947,362.76891,
2758.036,377.60994,
2755.126,387.98291,
2752.215,395.89993,
2749.304,394.2392,
2746.394,389.56044,
2743.483,394.95004,
2740.573,393.9602,
2737.662,381.98372,
2734.751,388.07527,
2731.841,372.47893,
2728.930,403.178,
2726.020,399.4184,
2723.109,396.31708,
2720.199,406.86885,
2717.288,398.73176,
2714.377,406.36246,
2711.467,400.91374,
2708.556,408.70747,
2705.646,423.80638,
2702.735,408.42526,
2699.825,409.41361,
2696.914,407.41683,
2694.003,417.67682,
2691.093,422.71391,
2688.182,424.96926,
2685.272,425.51102,
2682.361,423.93231,
2679.450,423.62655,
2676.540,418.58741,
2673.629,411.08184,
2670.719,415.60398,
2667.808,396.81998,
2664.898,422.98346,
2661.987,439.04997,
2659.076,411.56467,
2656.166,420.21754,
2653.255,437.00171,
2650.345,456.96597,
2647.434,461.17783,
2644.524,442.63014,
2641.613,443.72109,
2638.702,459.40282,
2635.792,444.62537,
2632.881,445.7916,
2629.971,439.15263,
2627.060,442.57969,
2624.149,470.83125,
2621.239,468.99852,
2618.328,446.34342,
2615.418,457.42727,
2612.507,463.29937,
2609.597,461.57635,
2606.686,461.97088,
2603.775,467.87302,
2600.865,466.28239,
2597.954,466.51663,
2595.044,474.15123,
2592.133,475.87119,
2589.223,498.34054,
2586.312,498.62443,
2583.401,481.38141,
2580.491,487.84616,
2577.580,493.77145,
2574.670,500.10831,
2571.759,491.0077,
2568.848,502.68925,
2565.938,491.79755,
2563.027,498.09093,
2560.117,499.37618,
2557.206,500.13376,
2554.296,517.0635,
2551.385,507.17993,
2548.474,507.89833,
2545.564,516.59172,
2542.653,500.06543,
2539.743,514.1699,
2536.832,524.5257,
2533.922,527.82885,
2531.011,527.25047,
2528.100,513.2831,
2525.190,516.91229,
2522.279,536.42171,
2519.369,527.03318,
2516.458,525.75354,
2513.548,541.07711,
2510.637,526.67224,
2507.726,539.50093,
2504.816,526.06116,
2501.905,528.30061,
2498.995,532.04859,
2496.084,538.28311,
2493.173,538.98675,
2490.263,554.30031,
2487.352,548.8768,
2484.442,568.1997,
2481.531,545.43091,
2478.621,554.33773,
2475.710,547.84968,
2472.799,566.17595,
2469.889,573.05469,
2466.978,554.81193,
2464.068,549.83465,
2461.157,552.7924,
2458.247,562.92639,
2455.336,562.98289,
2452.425,585.58021,
2449.515,568.27806,
2446.604,561.62785,
2443.694,578.05266,
2440.783,590.41779,
2437.872,588.31242,
2434.962,579.11405,
2432.051,596.47859,
2429.141,597.78542,
2426.230,609.64175,
2423.320,595.89245,
2420.409,605.18604,
2417.498,603.51968,
2414.588,616.47241,
2411.677,608.46717,
2408.767,622.69095,
2405.856,613.37854,
2402.946,610.16644,
2400.035,612.04343,
2397.124,598.70184,
2394.214,635.69361,
2391.303,620.64499,
2388.393,639.18724,
2385.482,625.58717,
2382.571,647.92734,
2379.661,656.77302,
2376.750,677.01356,
2373.840,642.02203,
2370.929,636.70668,
2368.019,630.0628,
2365.108,642.51702,
2362.197,647.34726,
2359.287,670.90154,
2356.376,658.7817,
2353.466,668.82713,
2350.555,656.65028,
2347.645,672.30231,
2344.734,670.8099,
2341.823,679.58417,
2338.913,675.57239,
2336.002,682.90782,
2333.092,696.18679,
2330.181,688.95974,
2327.270,687.69499,
2324.360,699.22876,
2321.449,698.40983,
2318.539,685.94268,
