,PLC4B4~1,
Raman shift [1/cm],Intensity,
2175.920,1151.9103,
2173.010,1193.2778,
2170.099,1260.4772,
2167.189,1332.0155,
2164.278,1380.7822,
2161.368,1471.6046,
2158.457,1551.7094,
2155.546,1617.7789,
2152.636,1682.952,
2149.725,1745.8573,
2146.815,1807.9147,
2143.904,1868.1589,
2140.993,1888.586,
2138.083,1901.1633,
2135.172,1918.8424,
2132.262,1915.2606,
2129.351,1882.7463,
2126.441,1809.7886,
2123.530,1816.0541,
2120.619,1742.2276,
2117.709,1638.6997,
2114.798,1537.6727,
2111.888,1468.2509,
2108.977,1394.7102,
2106.067,1337.2068,
2103.156,1304.9945,
2100.245,1225.7406,
2097.335,1207.6191,
2094.424,1171.8251,
2091.514,1143.2636,
2088.603,1150.5611,
2085.692,1121.3374,
2082.782,1117.6978,
2079.871,1118.1071,
2076.961,1121.4917,
2074.050,1096.1682,
2071.140,1088.129,
2068.229,1098.4024,
2065.318,1077.9845,
2062.408,1068.871,
2059.497,1085.3988,
2056.587,1091.8199,
2053.676,1053.4521,
2050.766,1090.0549,
2047.855,1063.4367,
2044.944,1057.6715,
2042.034,1080.2701,
2039.123,1052.1305,
2036.213,1062.0567,
2033.302,1058.4241,
2030.391,1062.631,
2027.481,1077.9329,
2024.570,1068.1075,
2021.660,1048.8143,
2018.749,1043.864,
2015.839,1048.0951,
2012.928,1057.6695,
2010.017,1059.7761,
2007.107,1060.2622,
2004.196,1073.4762,
2001.286,1058.5804,
1998.375,1033.0079,
1995.465,1034.2562,
1992.554,1041.8852,
1989.643,1055.3007,
1986.733,1071.2886,
1983.822,1028.3143,
1980.912,1034.9384,
1978.001,1035.403,
1975.090,1009.1637,
1972.180,1011.9561,
1969.269,1012.2586,
1966.359,1020.6691,
1963.448,1037.5162,
1960.538,1060.2262,
1957.627,1046.0255,
1954.716,996.15761,
1951.806,1023.3461,
1948.895,1028.8837,
1945.985,993.44771,
1943.074,1009.7869,
1940.164,1002.9711,
1937.253,1003.1934,
1934.342,990.60455,
1931.432,995.10962,
1928.521,1004.256,
1925.611,971.91913,
1922.700,979.74447,
1919.790,981.30495,
1916.879,1006.797,
1913.968,1004.7549,
1911.058,972.41066,
1908.147,981.21861,
1905.237,973.77939,
1902.326,956.43148,
1899.415,970.46466,
1896.505,1003.6174,
1893.594,1000.5671,
1890.684,985.19456,
1887.773,980.30143,
1884.863,995.12813,
1881.952,1000.8425,
1879.041,996.45457,
1876.131,984.16308,
1873.220,973.03315,
1870.310,1002.3822,
1867.399,959.48571,
1864.489,975.06155,
1861.578,983.3104,
1858.667,988.89671,
1855.757,1004.0984,
1852.846,1047.1757,
1849.936,1001.6339,
1847.025,1005.9227,
1844.114,1014.7029,
1841.204,1010.4178,
1838.293,1026.7384,
1835.383,1021.1805,
1832.472,1023.2039,
1829.562,1016.4187,
1826.651,1048.7766,
1823.740,1063.3822,
1820.830,1064.8366,
1817.919,1062.4925,
1815.009,1081.4434,
1812.098,1076.6713,
1809.188,1056.0524,
1806.277,1050.8385,
1803.366,1056.2325,
1800.456,1085.2996,
1797.545,1092.8139,
1794.635,1077.6201,
1791.724,1099.7889,
1788.813,1087.7603,
1785.903,1103.5699,
1782.992,1070.0645,
1780.082,1113.7121,
1777.171,1086.0798,
1774.261,1083.7002,
1771.350,1113.0395,
1768.439,1113.8543,
1765.529,1099.6602,
1762.618,1123.6594,
1759.708,1146.3479,
1756.797,1136.2273,
1753.887,1137.8535,
1750.976,1149.3397,
1748.065,1146.6778,
1745.155,1144.1113,
1742.244,1137.7908,
1739.334,1168.3006,
1736.423,1162.5538,
1733.512,1163.2094,
1730.602,1200.4108,
1727.691,1185.6495,
1724.781,1202.1339,
1721.870,1201.5071,
1718.960,1223.5947,
1716.049,1237.1397,
1713.138,1261.8349,
1710.228,1247.4738,
1707.317,1235.9043,
1704.407,1232.0548,
1701.496,1261.8311,
1698.586,1249.0423,
1695.675,1243.0715,
1692.764,1251.2705,
1689.854,1268.9705,
1686.943,1237.8629,
1684.033,1340.1174,
1681.122,1307.3617,
1678.211,1341.4169,
1675.301,1333.7747,
1672.390,1381.7859,
1669.480,1394.0548,
1666.569,1432.0293,
1663.659,1454.338,
1660.748,1490.4827,
1657.837,1528.1655,
1654.927,1547.078,
1652.016,1560.7986,
1649.106,1563.3865,
1646.195,1588.2225,
1643.285,1569.0514,
1640.374,1668.0218,
1637.463,1680.75,
1634.553,1682.2278,
1631.642,1781.1083,
1628.732,1814.1826,
1625.821,1886.8056,
1622.911,1971.271,
1620.000,2068.5153,
1617.089,2203.0435,
1614.179,2378.7302,
1611.268,2460.7758,
1608.358,2593.3821,
1605.447,2756.2656,
1602.536,2762.0225,
1599.626,2815.1061,
1596.715,2786.1688,
1593.805,2803.3196,
1590.894,2790.7786,
1587.984,2822.5276,
1585.073,2773.2977,
1582.162,2743.7127,
1579.252,2704.5631,
1576.341,2671.917,
1573.431,2620.3259,
1570.520,2622.2732,
1567.610,2552.239,
1564.699,2576.7771,
1561.788,2534.483,
1558.878,2504.6534,
1555.967,2478.3054,
1553.057,2411.5264,
1550.146,2393.6554,
1547.235,2341.5367,
1544.325,2305.4053,
1541.414,2307.5898,
1538.504,2292.9049,
