,PL92EE~1,
Raman shift [1/cm],Intensity,
2173.010,504.62585,
2170.099,524.34822,
2167.189,539.72847,
2164.278,538.65754,
2161.368,560.89151,
2158.457,600.18793,
2155.546,625.27982,
2152.636,648.77655,
2149.725,645.76343,
2146.815,669.84904,
2143.904,705.25557,
2140.993,717.12039,
2138.083,716.49162,
2135.172,737.14504,
2132.262,725.96655,
2129.351,706.46376,
2126.441,695.91502,
2123.530,654.60409,
2120.619,639.96108,
2117.709,614.77456,
2114.798,570.31148,
2111.888,561.23752,
2108.977,532.14071,
2106.067,496.03218,
2103.156,485.35082,
2100.245,478.73181,
2097.335,450.23167,
2094.424,452.3139,
2091.514,448.82259,
2088.603,456.92048,
2085.692,446.01776,
2082.782,447.17964,
2079.871,442.89236,
2076.961,426.71867,
2074.050,431.62273,
2071.140,444.88824,
2068.229,422.02865,
2065.318,420.10851,
2062.408,437.61383,
2059.497,420.29758,
2056.587,419.06369,
2053.676,405.33458,
2050.766,416.44133,
2047.855,416.43673,
2044.944,408.9423,
2042.034,429.75,
2039.123,424.30892,
2036.213,412.86555,
2033.302,399.79366,
2030.391,400.0548,
2027.481,419.14012,
2024.570,430.49268,
2021.660,418.57781,
2018.749,447.99019,
2015.839,426.32874,
2012.928,415.34732,
2010.017,424.25705,
2007.107,417.44908,
2004.196,435.96432,
2001.286,430.8525,
1998.375,405.04921,
1995.465,405.61607,
1992.554,420.89695,
1989.643,415.99195,
1986.733,397.14474,
1983.822,375.09786,
1980.912,407.82873,
1978.001,388.69063,
1975.090,394.73474,
1972.180,395.44017,
1969.269,386.35344,
1966.359,386.34463,
1963.448,397.97722,
1960.538,391.20037,
1957.627,384.29179,
1954.716,399.29037,
1951.806,350.88616,
1948.895,392.6427,
1945.985,391.39706,
1943.074,364.99351,
1940.164,366.1249,
1937.253,353.44574,
1934.342,366.91256,
1931.432,375.93612,
1928.521,349.26813,
1925.611,322.17225,
1922.700,350.5732,
1919.790,345.96981,
1916.879,378.16927,
1913.968,360.77459,
1911.058,346.46773,
1908.147,366.89741,
1905.237,348.10298,
1902.326,367.15742,
1899.415,354.98294,
1896.505,379.8887,
1893.594,374.67369,
1890.684,357.1094,
1887.773,364.28457,
1884.863,371.95501,
1881.952,361.70766,
1879.041,355.50649,
1876.131,376.10947,
1873.220,335.42238,
1870.310,349.17149,
1867.399,351.73401,
1864.489,338.98366,
1861.578,344.75,
1858.667,346.95058,
1855.757,358.15573,
1852.846,355.51922,
1849.936,361.61087,
1847.025,371.62345,
1844.114,402.0935,
1841.204,380.98427,
1838.293,366.26081,
1835.383,384.88898,
1832.472,416.42478,
1829.562,392.44869,
1826.651,380.22022,
1823.740,408.22897,
1820.830,379.16698,
1817.919,406.0257,
1815.009,382.21311,
1812.098,374.05709,
1809.188,394.38561,
1806.277,402.59508,
1803.366,426.08455,
1800.456,389.93752,
1797.545,443.09051,
1794.635,426.36299,
1791.724,423.91505,
1788.813,417.54074,
1785.903,393.90888,
1782.992,410.21349,
1780.082,403.62854,
1777.171,388.41488,
1774.261,388.32013,
1771.350,401.72875,
1768.439,412.83624,
1765.529,413.29349,
1762.618,409.44627,
1759.708,414.663,
1756.797,417.74242,
1753.887,428.26312,
1750.976,427.03272,
1748.065,409.6179,
1745.155,423.74339,
1742.244,419.53445,
1739.334,423.0747,
1736.423,435.10887,
1733.512,430.47356,
1730.602,439.71827,
1727.691,423.79083,
1724.781,427.18892,
1721.870,459.52636,
1718.960,462.63884,
1716.049,466.78385,
1713.138,418.16024,
1710.228,429.76683,
1707.317,482.286,
1704.407,451.91571,
1701.496,490.59275,
1698.586,480.89023,
1695.675,492.84992,
1692.764,459.66801,
1689.854,434.78936,
1686.943,482.06372,
1684.033,509.10426,
1681.122,466.49767,
1678.211,475.65483,
1675.301,554.50641,
1672.390,562.68719,
1669.480,541.95055,
1666.569,566.49608,
1663.659,546.96232,
1660.748,560.07779,
1657.837,577.55918,
1654.927,613.00027,
1652.016,582.74626,
1649.106,623.19066,
1646.195,640.75,
1643.285,640.29427,
1640.374,620.83362,
1637.463,626.38932,
1634.553,716.03078,
1631.642,735.28204,
1628.732,784.14108,
1625.821,849.73234,
1622.911,822.90215,
1620.000,871.13266,
1617.089,953.09825,
1614.179,1022.7759,
1611.268,1059.4116,
1608.358,1130.3319,
1605.447,1128.0928,
1602.536,1162.2298,
1599.626,1173.0294,
1596.715,1154.6904,
1593.805,1103.5617,
1590.894,1090.7046,
1587.984,1106.2057,
1585.073,1100.2418,
1582.162,1077.043,
1579.252,1085.8428,
1576.341,1063.116,
1573.431,1071.6303,
1570.520,1087.98,
1567.610,1061.9456,
1564.699,1012.5984,
1561.788,1010.4259,
1558.878,991.17053,
1555.967,971.16136,
1553.057,963.56038,
1550.146,942.08459,
1547.235,920.30478,
1544.325,906.39809,
1541.414,880.76788,
1538.504,853.47395,
1535.593,839.85468,
1532.683,822.88696,
1529.772,784.03162,
1526.861,759.99191,
1523.951,775.96809,
1521.040,782.352,
1518.130,769.33715,
1515.219,758.30943,
1512.309,775.02477,
1509.398,759.01629,
1506.487,731.47437,
1503.577,737.83602,
1500.666,753.28765,
1497.756,734.28396,
1494.845,739.90954,
1491.934,719.62401,
1489.024,681.1243,
1486.113,750.21838,
1483.203,693.57826,
1480.292,686.59851,
1477.382,632.59737,
1474.471,576.77678,
1471.560,625.43162,
1468.650,622.10233,
1465.739,607.18804,
1462.829,628.42906,
1459.918,630.49022,
1457.008,637.01176,
1454.097,607.53419,
1451.186,570.80029,
1448.276,606.92599,
1445.365,624.21367,
1442.455,614.56344,
1439.544,604.26315,
1436.633,587.35179,
1433.723,583.4917,
1430.812,597.94763,
1427.902,537.81765,
1424.991,540.66094,
1422.081,532.49271,
1419.170,563.72023,
1416.259,551.73868,
1413.349,554.54717,
1410.438,517.56234,
1407.528,509.11864,
1404.617,502.59456,
1401.707,521.24702,
1398.796,527.75704,
1395.885,501.30899,
1392.975,485.79146,
1390.064,483.51911,
1387.154,490.16991,
1384.243,451.33483,
1381.332,416.63532,
1378.422,429.01525,
1375.511,531.12437,
1372.601,527.22058,
1369.690,565.32501,
1366.780,601.84734,
1363.869,646.07385,
1360.958,667.01238,
1358.048,690.9226,
1355.137,727.35441,
1352.227,734.93946,
1349.316,736.08082,
1346.406,764.94312,
1343.495,781.96432,
1340.584,812.92856,
1337.674,820.39645,
1334.763,877.05555,
1331.853,911.3631,
1328.942,902.07643,
1326.032,911.35307,
1323.121,977.47294,
1320.210,998.41816,
1317.300,1002.4719,
1314.389,1059.1955,
1311.479,1094.4589,
1308.568,1094.1463,
1305.657,1128.1881,
1302.747,1129.985,
1299.836,1150.981,
1296.926,1211.5446,
1294.015,1250.1562,
1291.105,1296.6576,
1288.194,1333.1022,
1285.283,1350.058,
1282.373,1428.4216,
1279.462,1455.8287,
1276.552,1460.4036,
1273.641,1488.3421,
1270.731,1476.9336,
1267.820,1434.4995,
1264.909,1492.3216,
1261.999,1504.9151,
1259.088,1536.8393,
1256.178,1436.8317,
1253.267,1458.877,
1250.356,1433.501,
1247.446,1366.4649,
1244.535,1310.442,
1241.625,1268.1612,
1238.714,1241.4863,
1235.804,1236.8617,
1232.893,1189.7515,
1229.982,1183.3633,
1227.072,1201.4695,
1224.161,1168.2893,
1221.251,1139.4147,
1218.340,1134.9891,
1215.430,1101.5157,
1212.519,1079.0886,
1209.608,1104.4688,
1206.698,1128.8349,
1203.787,1111.9812,
1200.877,1143.0754,
1197.966,1099.9158,
1195.055,1133.5864,
1192.145,1187.836,
1189.234,1210.8867,
1186.324,1240.9343,
1183.413,1277.3236,
1180.503,1286.9814,
1177.592,1277.8815,
1174.681,1292.9658,
1171.771,1212.4918,
1168.860,1244.643,
1165.950,1200.1789,
1163.039,1214.5909,
1160.129,1216.3123,
1157.218,1215.5188,
1154.307,1205.0539,
1151.397,1176.4893,
1148.486,1179.946,
1145.576,1204.1355,
1142.665,1213.0146,
1139.754,1190.9684,
1136.844,1167.5421,
1133.933,1155.058,
1131.023,1151.75,
1128.112,1149.9645,
1125.202,1160.7596,
1122.291,1200.7392,
1119.380,1172.7154,
1116.470,1169.1852,
1113.559,1174.936,
1110.649,1197.0502,
1107.738,1196.4978,
1104.828,1176.7636,
1101.917,1170.1468,
1099.006,1191.0798,
1096.096,1206.6425,
1093.185,1204.8865,
1090.275,1191.8017,
1087.364,1182.5749,
1084.453,1195.499,
1081.543,1219.582,
1078.632,1206.8579,
1075.722,1159.8545,
1072.811,1220.8121,
1069.901,1221.6853,
1066.990,1208.8167,
1064.079,1214.5967,
1061.169,1222.0638,
1058.258,1235.3371,
1055.348,1262.3902,
1052.437,1288.1583,
1049.527,1264.0115,
1046.616,1244.8973,
1043.705,1268.956,
1040.795,1297.8207,
1037.884,1295.0836,
1034.974,1293.0399,
1032.063,1309.6963,
1029.153,1300.9045,
1026.242,1335.5027,
1023.331,1335.0834,
1020.421,1322.2022,
1017.510,1334.6788,
1014.600,1355.5169,
1011.689,1356.768,
1008.778,1340.5619,
1005.868,1363.3601,
1002.957,1431.328,
1000.047,1486.158,
997.136,1532.1163,
994.226,1542.9348,
991.315,1530.4455,
988.404,1527.6423,
985.494,1515.8102,
982.583,1473.8389,
979.673,1476.5298,
976.762,1489.1436,
973.852,1490.8879,
970.941,1488.8993,
968.030,1496.0448,
965.120,1480.7464,
962.209,1479.8939,
959.299,1489.6655,
956.388,1500.4696,
953.477,1502.0508,
950.567,1502.7627,
947.656,1520.9755,
944.746,1530.3206,
941.835,1537.2285,
938.925,1534.8017,
936.014,1512.0111,
933.103,1506.58,
930.193,1526.9583,
927.282,1498.6043,
924.372,1477.4641,
921.461,1472.5408,
918.551,1436.3131,
915.640,1421.3736,
912.729,1439.507,
909.819,1448.638,
906.908,1440.2137,
903.998,1458.8387,
901.087,1441.4723,
898.176,1439.7255,
895.266,1465.7156,
892.355,1498.263,
889.445,1511.6912,
886.534,1552.6587,
883.624,1547.9662,
880.713,1552.9778,
877.802,1564.0974,
874.892,1560.7054,
871.981,1542.4541,
869.071,1529.9229,
866.160,1540.8592,
863.250,1530.4997,
860.339,1526.4892,
857.428,1541.7325,
854.518,1523.8353,
851.607,1492.2166,
848.697,1497.0673,
845.786,1503.8259,
842.875,1499.1086,
839.965,1487.8277,
837.054,1492.8058,
834.144,1497.7783,
831.233,1507.416,
828.323,1504.3314,
825.412,1493.2084,
822.501,1488.8777,
819.591,1506.2321,
816.680,1441.0448,
813.770,1422.244,
810.859,1427.0674,
807.949,1441.6403,
805.038,1460.2478,
802.127,1464.3634,
799.217,1430.462,
796.306,1433.5069,
793.396,1456.4295,
790.485,1467.8008,
787.574,1441.1584,
784.664,1425.5763,
781.753,1438.8536,
778.843,1452.631,
775.932,1451.96,
773.022,1439.7931,
770.111,1459.415,
767.200,1488.1572,
764.290,1503.1067,
761.379,1484.9057,
