,PLA41D~1,
Raman shift [1/cm],Intensity,
2173.010,560.72647,
2170.099,573.07441,
2167.189,587.76737,
2164.278,575.22274,
2161.368,599.15947,
2158.457,631.22941,
2155.546,618.57304,
2152.636,622.08239,
2149.725,644.19043,
2146.815,674.9073,
2143.904,670.98279,
2140.993,684.75337,
2138.083,674.80506,
2135.172,693.81622,
2132.262,705.88204,
2129.351,690.75075,
2126.441,674.27303,
2123.530,649.74031,
2120.619,638.15022,
2117.709,632.49175,
2114.798,597.50176,
2111.888,561.55059,
2108.977,543.15314,
2106.067,548.21716,
2103.156,523.60011,
2100.245,507.86935,
2097.335,495.86453,
2094.424,480.09809,
2091.514,506.31054,
2088.603,511.70452,
2085.692,488.91599,
2082.782,492.01146,
2079.871,498.69647,
2076.961,536.29188,
2074.050,483.02045,
2071.140,489.09314,
2068.229,501.24871,
2065.318,486.96125,
2062.408,493.72371,
2059.497,500.86904,
2056.587,486.10776,
2053.676,502.10704,
2050.766,477.33838,
2047.855,480.21675,
2044.944,489.21475,
2042.034,474.00798,
2039.123,481.21507,
2036.213,479.66388,
2033.302,482.85317,
2030.391,485.94285,
2027.481,515.37472,
2024.570,495.53294,
2021.660,496.4611,
2018.749,466.63481,
2015.839,487.48917,
2012.928,497.41527,
2010.017,492.30388,
2007.107,486.96846,
2004.196,498.57741,
2001.286,489.35206,
1998.375,493.18406,
1995.465,451.10536,
1992.554,482.57461,
1989.643,460.87735,
1986.733,478.33991,
1983.822,467.88756,
1980.912,458.91436,
1978.001,464.86574,
1975.090,488.31926,
1972.180,459.28991,
1969.269,473.48141,
1966.359,472.46932,
1963.448,463.79706,
1960.538,457.57141,
1957.627,465.68306,
1954.716,455.21972,
1951.806,423.96148,
1948.895,468.21097,
1945.985,487.86683,
1943.074,448.03368,
1940.164,438.75946,
1937.253,432.76181,
1934.342,449.94345,
1931.432,454.98856,
1928.521,422.35341,
1925.611,437.58896,
1922.700,430.08909,
1919.790,447.26781,
1916.879,425.75824,
1913.968,445.84795,
1911.058,425.99813,
1908.147,438.02241,
1905.237,418.23533,
1902.326,436.44686,
1899.415,428.1872,
1896.505,427.35086,
1893.594,421.875,
1890.684,419.29332,
1887.773,427.27129,
1884.863,432.96156,
1881.952,415.83266,
1879.041,449.72548,
1876.131,465.31814,
1873.220,438.85277,
1870.310,444.15749,
1867.399,436.01894,
1864.489,472.23937,
1861.578,431.408,
1858.667,426.875,
1855.757,429.06712,
1852.846,439.63397,
1849.936,443.06119,
1847.025,451.57571,
1844.114,460.39024,
1841.204,433.91346,
1838.293,434.86336,
1835.383,459.36298,
1832.472,467.35152,
1829.562,460.95859,
1826.651,470.13166,
1823.740,455.94776,
1820.830,458.90658,
1817.919,470.01876,
1815.009,471.01877,
1812.098,455.61517,
1809.188,453.875,
1806.277,463.65368,
1803.366,463.14118,
1800.456,480.0291,
1797.545,493.60582,
1794.635,437.16408,
1791.724,475.18565,
1788.813,491.68117,
1785.903,496.57084,
1782.992,455.5084,
1780.082,461.53586,
1777.171,433.53827,
1774.261,441.31541,
1771.350,481.624,
1768.439,496.11005,
1765.529,485.4166,
1762.618,488.41318,
1759.708,504.59226,
1756.797,506.39773,
1753.887,508.72048,
1750.976,504.41296,
1748.065,509.9472,
1745.155,493.99125,
1742.244,496.4556,
1739.334,509.72206,
1736.423,515.70116,
1733.512,514.69207,
1730.602,536.31551,
1727.691,507.02729,
1724.781,499.80788,
1721.870,525.018,
1718.960,536.63062,
1716.049,510.18883,
1713.138,533.08986,
1710.228,552.67005,
1707.317,556.64414,
1704.407,566.75737,
1701.496,556.93643,
1698.586,512.44773,
1695.675,575.31031,
1692.764,552.42007,
1689.854,540.35137,
1686.943,552.43657,
1684.033,593.83188,
1681.122,599.79004,
1678.211,615.72272,
1675.301,644.78558,
1672.390,605.00659,
1669.480,649.32423,
1666.569,704.58299,
1663.659,681.46669,
1660.748,657.22207,
1657.837,675.02809,
1654.927,683.58533,
1652.016,754.14603,
1649.106,725.75632,
1646.195,760.82705,
1643.285,759.51302,
1640.374,787.92029,
1637.463,836.10037,
1634.553,795.33801,
1631.642,893.34189,
1628.732,936.21868,
1625.821,993.90902,
1622.911,1045.582,
1620.000,1109.0687,
1617.089,1129.477,
1614.179,1235.8011,
1611.268,1289.9046,
1608.358,1327.1425,
1605.447,1331.7036,
1602.536,1370.0824,
1599.626,1390.3537,
1596.715,1355.571,
1593.805,1300.8981,
1590.894,1309.8464,
1587.984,1282.4279,
1585.073,1239.5882,
1582.162,1222.8564,
1579.252,1186.5064,
1576.341,1222.9335,
1573.431,1208.0303,
1570.520,1196.2887,
1567.610,1182.2081,
1564.699,1131.4731,
1561.788,1121.6214,
1558.878,1131.0199,
1555.967,1123.965,
1553.057,1111.2199,
1550.146,1079.2205,
1547.235,1042.3942,
1544.325,1030.5716,
1541.414,1011.3528,
1538.504,992.84739,
1535.593,1022.0637,
1532.683,1018.0422,
1529.772,972.8563,
1526.861,953.18419,
1523.951,930.24772,
1521.040,913.40389,
1518.130,888.59943,
1515.219,903.39534,
1512.309,886.17678,
1509.398,873.38633,
1506.487,891.32374,
1503.577,897.875,
1500.666,896.86768,
1497.756,886.8917,
1494.845,863.55537,
1491.934,879.875,
1489.024,879.875,
1486.113,905.83703,
1483.203,848.36777,
1480.292,840.875,
1477.382,843.29974,
1474.471,863.82685,
1471.560,831.4147,
1468.650,785.44441,
1465.739,768.95353,
1462.829,767.875,
1459.918,792.73709,
1457.008,787.99776,
1454.097,767.11011,
1451.186,789.58873,
1448.276,800.37829,
1445.365,772.58906,
1442.455,773.15484,
1439.544,784.34277,
1436.633,787.63171,
1433.723,758.63783,
1430.812,729.3183,
1427.902,734.6946,
1424.991,727.1125,
1422.081,731.46239,
1419.170,709.40943,
1416.259,699.3945,
1413.349,741.67898,
1410.438,734.18183,
1407.528,704.27527,
1404.617,691.70074,
1401.707,674.44685,
1398.796,676.39594,
1395.885,675.4457,
1392.975,623.0823,
1390.064,563.15954,
1387.154,485.81606,
1384.243,340.80472,
1381.332,321.2615,
1378.422,439.725,
1375.511,494.99507,
1372.601,583.42418,
1369.690,674.8828,
1366.780,698.37942,
1363.869,733.56647,
1360.958,749.17608,
1358.048,782.32053,
1355.137,835.41604,
1352.227,867.53515,
1349.316,888.59465,
1346.406,899.86734,
1343.495,894.53188,
1340.584,973.98221,
1337.674,968.15979,
1334.763,955.00413,
1331.853,984.67552,
1328.942,1031.2377,
1326.032,1067.053,
1323.121,1056.8328,
1320.210,1037.5566,
1317.300,1102.8833,
1314.389,1166.7503,
1311.479,1143.1762,
1308.568,1094.4382,
1305.657,1092.7179,
1302.747,1101.1429,
1299.836,1131.1576,
1296.926,1173.917,
1294.015,1282.3972,
1291.105,1305.3664,
1288.194,1373.3719,
1285.283,1460.0433,
1282.373,1454.3361,
1279.462,1435.424,
1276.552,1468.8594,
1273.641,1522.8185,
1270.731,1548.581,
1267.820,1539.3577,
1264.909,1510.6226,
1261.999,1535.1454,
1259.088,1460.3515,
1256.178,1520.1092,
1253.267,1454.1555,
1250.356,1434.2613,
1247.446,1430.0077,
1244.535,1405.0626,
1241.625,1367.7269,
1238.714,1331.4205,
1235.804,1309.9915,
1232.893,1323.6377,
1229.982,1265.5377,
1227.072,1255.5793,
1224.161,1203.6043,
1221.251,1184.1964,
1218.340,1139.415,
1215.430,1098.1568,
1212.519,1101.4381,
1209.608,1130.2538,
1206.698,1151.8327,
1203.787,1184.1464,
1200.877,1203.2123,
1197.966,1224.7921,
1195.055,1237.8205,
1192.145,1272.1828,
1189.234,1308.1779,
1186.324,1348.6048,
1183.413,1374.8496,
1180.503,1367.7338,
1177.592,1340.6224,
1174.681,1330.0017,
1171.771,1331.2047,
1168.860,1345.4941,
1165.950,1317.8486,
1163.039,1278.0501,
1160.129,1264.4649,
1157.218,1283.143,
1154.307,1314.0058,
1151.397,1332.093,
1148.486,1324.4802,
1145.576,1293.2197,
1142.665,1278.1252,
1139.754,1291.5203,
1136.844,1276.6671,
1133.933,1261.8369,
1131.023,1255.4587,
1128.112,1241.0197,
1125.202,1227.5368,
1122.291,1255.2429,
1119.380,1237.1002,
1116.470,1260.0459,
1113.559,1272.9272,
1110.649,1264.7426,
1107.738,1233.6916,
1104.828,1238.0893,
1101.917,1275.4667,
1099.006,1270.3906,
1096.096,1241.5951,
1093.185,1269.6912,
1090.275,1281.5862,
1087.364,1275.6415,
1084.453,1275.2498,
1081.543,1280.0661,
1078.632,1269.399,
1075.722,1248.1497,
1072.811,1284.2473,
1069.901,1289.4869,
1066.990,1311.6999,
1064.079,1296.4596,
1061.169,1302.3394,
1058.258,1300.053,
1055.348,1300.4521,
1052.437,1347.2512,
1049.527,1334.2107,
1046.616,1342.899,
1043.705,1359.2903,
