,PL3EC8~1,
Wavenumbers [1/cm],Intensity,
2175.920,604.38456,
2173.010,626.80244,
2170.099,604.82886,
2167.189,620.82591,
2164.278,648.1848,
2161.368,645.625,
2158.457,640.54148,
2155.546,648.20003,
2152.636,633.14635,
2149.725,664.90013,
2146.815,669.75848,
2143.904,668.93725,
2140.993,701.18581,
2138.083,704.51864,
2135.172,683.72576,
2132.262,677.8838,
2129.351,704.28031,
2126.441,693.95504,
2123.530,696.625,
2120.619,692.35912,
2117.709,668.26188,
2114.798,669.79801,
2111.888,657.03766,
2108.977,649.17467,
2106.067,648.14176,
2103.156,664.46203,
2100.245,640.61559,
2097.335,628.63547,
2094.424,646.79541,
2091.514,637.48524,
2088.603,646.42222,
2085.692,652.9893,
2082.782,656.03865,
2079.871,655.80353,
2076.961,691.17104,
2074.050,667.025,
2071.140,636.75135,
2068.229,641.8086,
2065.318,652.63852,
2062.408,666.23847,
2059.497,671.85121,
2056.587,668.56706,
2053.676,669.34132,
2050.766,652.16461,
2047.855,643.25154,
2044.944,663.29488,
2042.034,656.28398,
2039.123,673.52736,
2036.213,678.05159,
2033.302,683.42891,
2030.391,683.15109,
2027.481,696.40524,
2024.570,706.46783,
2021.660,692.51194,
2018.749,696.29533,
2015.839,662.75951,
2012.928,670.98071,
2010.017,694.32641,
2007.107,685.76331,
2004.196,686.83932,
2001.286,708.31402,
1998.375,701.31594,
1995.465,654.50804,
1992.554,668.16596,
1989.643,671.625,
1986.733,681.78553,
1983.822,688.15159,
1980.912,698.23794,
1978.001,669.97195,
1975.090,701.39142,
1972.180,692.90296,
1969.269,670.19109,
1966.359,668.03037,
1963.448,706.80335,
1960.538,699.71424,
1957.627,671.44232,
1954.716,680.28028,
1951.806,697.97918,
1948.895,684.22219,
1945.985,677.89298,
1943.074,684.45536,
1940.164,669.69233,
1937.253,674.63798,
1934.342,680.64211,
1931.432,691.28431,
1928.521,685.93588,
1925.611,677.46268,
1922.700,698.78522,
1919.790,655.53307,
1916.879,682.97452,
1913.968,653.66435,
1911.058,714.77514,
1908.147,688.49215,
1905.237,683.45585,
1902.326,663.72427,
1899.415,653.32866,
1896.505,630.61274,
1893.594,636.24098,
1890.684,658.03689,
1887.773,673.54658,
1884.863,694.43593,
1881.952,721.22222,
1879.041,736.65096,
1876.131,731.10997,
1873.220,693.88592,
1870.310,722.04198,
1867.399,717.73696,
1864.489,683.5207,
1861.578,706.65239,
1858.667,719.2657,
1855.757,727.45078,
1852.846,710.43522,
1849.936,736.85824,
1847.025,710.98024,
1844.114,703.44148,
1841.204,735.13898,
1838.293,761.63664,
1835.383,730.03252,
1832.472,748.17283,
1829.562,744.6013,
1826.651,747.45454,
1823.740,754.44109,
1820.830,737.42013,
1817.919,733.43938,
1815.009,765.30566,
1812.098,767.03445,
1809.188,788.19859,
1806.277,752.46601,
1803.366,746.32555,
1800.456,731.09807,
1797.545,773.53281,
1794.635,778.04309,
1791.724,813.30463,
1788.813,803.22063,
1785.903,780.71421,
1782.992,747.8694,
1780.082,727.68334,
1777.171,669.93975,
1774.261,637.49074,
1771.350,723.39126,
1768.439,776.6278,
1765.529,814.08151,
1762.618,834.83814,
1759.708,810.92902,
1756.797,826.95834,
1753.887,855.77806,
1750.976,857.23887,
1748.065,856.02285,
1745.155,851.90241,
1742.244,872.4891,
1739.334,856.60618,
1736.423,858.04928,
1733.512,854.89327,
1730.602,872.56947,
1727.691,878.85734,
1724.781,883.34446,
1721.870,875.77257,
1718.960,926.24786,
1716.049,890.64242,
1713.138,890.17496,
1710.228,895.10619,
1707.317,891.20214,
1704.407,896.91378,
1701.496,920.41369,
1698.586,940.1807,
1695.675,934.13933,
1692.764,926.05123,
1689.854,917.97145,
1686.943,917.625,
1684.033,926.40147,
1681.122,920.72695,
1678.211,938.45369,
1675.301,968.5325,
1672.390,982.55322,
1669.480,958.79346,
1666.569,980.17092,
1663.659,1022.6903,
1660.748,1026.3936,
1657.837,1015.0624,
1654.927,1035.2342,
1652.016,1059.6044,
1649.106,1018.9677,
1646.195,1033.3683,
1643.285,1065.015,
1640.374,1123.6424,
1637.463,1078.5978,
1634.553,1131.6841,
1631.642,1136.3416,
1628.732,1201.8679,
1625.821,1242.6145,
1622.911,1226.7152,
1620.000,1286.8565,
1617.089,1352.3116,
1614.179,1369.1738,
1611.268,1420.6546,
1608.358,1458.8457,
1605.447,1536.997,
1602.536,1559.3309,
1599.626,1612.1412,
1596.715,1632.0542,
1593.805,1561.1841,
1590.894,1527.0856,
1587.984,1557.4026,
1585.073,1512.4268,
1582.162,1462.7156,
1579.252,1457.0799,
1576.341,1450.4154,
