,PL22B4~1,
Raman shift [1/cm],Intensity,
2207.937,1845.7765,
2205.026,1903.1273,
2202.116,1848.5645,
2199.205,1884.1994,
2196.294,1933.0929,
2193.384,1959.704,
2190.473,1973.7107,
2187.563,2023.2507,
2184.652,2059.5172,
2181.742,2146.7876,
2178.831,2245.4636,
2175.920,2340.6642,
2173.010,2446.3801,
2170.099,2546.5164,
2167.189,2673.6821,
2164.278,2912.3089,
2161.368,3084.549,
2158.457,3229.3839,
2155.546,3393.8627,
2152.636,3562.8907,
2149.725,3692.3397,
2146.815,3798.0884,
2143.904,3796.2736,
2140.993,3924.1355,
2138.083,3944.3591,
2135.172,3890.8895,
2132.262,3864.132,
2129.351,3846.7352,
2126.441,3754.4257,
2123.530,3555.823,
2120.619,3420.4837,
2117.709,3252.8903,
2114.798,3072.3165,
2111.888,2887.453,
2108.977,2743.9263,
2106.067,2624.804,
2103.156,2518.4205,
2100.245,2387.0949,
2097.335,2332.0203,
2094.424,2269.833,
2091.514,2226.0416,
2088.603,2184.291,
2085.692,2170.7643,
2082.782,2185.1932,
2079.871,2161.838,
2076.961,2144.8999,
2074.050,2114.0583,
2071.140,2091.5159,
2068.229,2076.8659,
2065.318,2058.9767,
2062.408,2065.4964,
2059.497,2050.0773,
2056.587,2043.3458,
2053.676,2030.7927,
2050.766,2066.8148,
2047.855,2008.4383,
2044.944,2018.859,
2042.034,2018.073,
2039.123,2015.0038,
2036.213,2017.2762,
2033.302,2026.973,
2030.391,2022.0572,
2027.481,2056.6003,
2024.570,2081.6104,
2021.660,2065.3076,
2018.749,2039.8848,
2015.839,2058.1834,
2012.928,2057.6418,
2010.017,2072.8785,
2007.107,2049.796,
2004.196,2041.9703,
2001.286,2080.2946,
1998.375,2073.1614,
1995.465,2041.1,
1992.554,2023.731,
1989.643,1997.9891,
1986.733,2038.5899,
1983.822,2024.0467,
1980.912,2007.4727,
1978.001,2049.8541,
1975.090,2042.1021,
1972.180,2047.2633,
1969.269,2030.1048,
1966.359,2021.4223,
1963.448,2052.0761,
1960.538,2052.5754,
1957.627,2036.7504,
1954.716,2029.2974,
1951.806,2047.5224,
1948.895,2050.534,
1945.985,2019.125,
1943.074,2009.0292,
1940.164,2005.8947,
1937.253,2023.4516,
1934.342,2014.8175,
1931.432,1995.5603,
1928.521,1967.0732,
1925.611,1961.6381,
1922.700,1986.0338,
1919.790,2025.853,
1916.879,1995.7755,
1913.968,2000.1164,
1911.058,2011.9178,
1908.147,2015.8184,
1905.237,1977.6545,
1902.326,2007.6865,
1899.415,1986.4213,
1896.505,1997.3901,
1893.594,1996.2225,
1890.684,2021.8502,
1887.773,2018.2726,
1884.863,2006.346,
1881.952,2007.7551,
1879.041,2016.9853,
1876.131,2051.257,
1873.220,2011.054,
1870.310,2027.3312,
1867.399,2017.3169,
1864.489,1982.5534,
1861.578,1995.5534,
1858.667,2016.3376,
1855.757,2009.0928,
1852.846,2041.3558,
1849.936,2047.3562,
1847.025,2085.361,
1844.114,2083.3321,
1841.204,2087.3802,
1838.293,2098.6109,
1835.383,2113.1365,
1832.472,2096.1824,
1829.562,2124.5636,
1826.651,2130.663,
1823.740,2131.5886,
1820.830,2108.1169,
1817.919,2118.0413,
1815.009,2176.924,
1812.098,2169.9675,
1809.188,2168.125,
1806.277,2165.1914,
1803.366,2193.7923,
1800.456,2173.9601,
1797.545,2170.2031,
1794.635,2161.77,
1791.724,2173.0569,
1788.813,2215.5345,
1785.903,2235.5107,
1782.992,2217.5379,
1780.082,2226.4089,
1777.171,2179.1341,
1774.261,2225.1702,
1771.350,2241.376,
1768.439,2256.6813,
1765.529,2292.1259,
1762.618,2296.1925,
1759.708,2316.6035,
1756.797,2339.2008,
1753.887,2329.4063,
1750.976,2327.6113,
1748.065,2327.2095,
1745.155,2344.5636,
1742.244,2344.2065,
1739.334,2344.9721,
1736.423,2373.5605,
1733.512,2411.7755,
1730.602,2409.4087,
1727.691,2422.7812,
1724.781,2457.2283,
1721.870,2443.3963,
1718.960,2501.4369,
1716.049,2502.5404,
1713.138,2510.3849,
1710.228,2517.3468,
1707.317,2489.8187,
1704.407,2543.6224,
1701.496,2575.6483,
1698.586,2606.7685,
1695.675,2659.6533,
1692.764,2674.4857,
1689.854,2635.9006,
1686.943,2760.7069,
1684.033,2744.6466,
1681.122,2768.7002,
1678.211,2821.6206,
1675.301,2798.199,
1672.390,2950.0413,
1669.480,2923.3764,
1666.569,3078.7979,
1663.659,3131.3373,
1660.748,3146.2846,
1657.837,3256.9123,
1654.927,3292.0547,
1652.016,3291.2633,
1649.106,3380.4789,
1646.195,3514.4846,
1643.285,3532.5202,
1640.374,3679.3584,
1637.463,3738.0437,
1634.553,3789.6619,
1631.642,3894.6006,
1628.732,4121.239,
1625.821,4308.2912,
1622.911,4560.6937,
1620.000,4746.769,
1617.089,4961.8066,
1614.179,5219.7645,
1611.268,5531.3768,
1608.358,5792.8573,
1605.447,6017.2696,
1602.536,6129.8369,
1599.626,6046.0516,
1596.715,6119.8091,
1593.805,6117.393,
1590.894,5965.5304,
1587.984,5950.3216,
1585.073,5734.1667,
1582.162,5667.7389,
1579.252,5636.7577,
1576.341,5604.6899,
1573.431,5603.6072,
1570.520,5536.3311,
1567.610,5513.6348,
1564.699,5474.6984,
1561.788,5406.6044,
1558.878,5414.8493,
1555.967,5310.866,
1553.057,5204.8324,
1550.146,5130.576,
1547.235,5061.1635,
1544.325,4974.7442,
1541.414,4895.6415,
1538.504,4850.6833,
1535.593,4784.9728,
1532.683,4714.668,
1529.772,4666.0942,
1526.861,4621.8831,
1523.951,4596.2162,
1521.040,4572.8379,
1518.130,4543.72,
