,PL3C2D~1,
Raman shift [1/cm],Intensity,
2173.010,540.65023,
2170.099,537.41716,
2167.189,550.98679,
2164.278,584.04347,
2161.368,588.32112,
2158.457,618.89674,
2155.546,632.69035,
2152.636,633.77655,
2149.725,643.24664,
2146.815,673.71556,
2143.904,646.06225,
2140.993,681.33723,
2138.083,688.80781,
2135.172,679.66603,
2132.262,681.61356,
2129.351,688.83283,
2126.441,686.56552,
2123.530,633.68266,
2120.619,624.99782,
2117.709,601.68519,
2114.798,566.4921,
2111.888,543.38725,
2108.977,536.03476,
2106.067,504.48191,
2103.156,515.22654,
2100.245,489.76255,
2097.335,508.78665,
2094.424,494.56952,
2091.514,474.25271,
2088.603,474.00348,
2085.692,472.29645,
2082.782,470.50906,
2079.871,469.57147,
2076.961,471.62084,
2074.050,475.62273,
2071.140,488.72733,
2068.229,464.75652,
2065.318,451.00874,
2062.408,447.65922,
2059.497,454.35119,
2056.587,455.45929,
2053.676,462.28293,
2050.766,453.59679,
2047.855,454.57589,
2044.944,479.95674,
2042.034,461.27601,
2039.123,458.38973,
2036.213,462.82559,
2033.302,455.98937,
2030.391,457.56316,
2027.481,449.3843,
2024.570,462.29237,
2021.660,458.22303,
2018.749,453.14215,
2015.839,442.99607,
2012.928,472.61241,
2010.017,461.67183,
2007.107,455.18923,
2004.196,465.90486,
2001.286,474.62282,
1998.375,443.26574,
1995.465,436.32321,
1992.554,438.50293,
1989.643,418.47584,
1986.733,458.30526,
1983.822,436.13552,
1980.912,450.60099,
1978.001,434.45316,
1975.090,440.76526,
1972.180,432.33644,
1969.269,433.71266,
1966.359,433.50671,
1963.448,432.48052,
1960.538,425.44641,
1957.627,425.53328,
1954.716,428.66382,
1951.806,442.65064,
1948.895,437.30673,
1945.985,411.09477,
1943.074,400.46956,
1940.164,404.3751,
1937.253,417.91511,
1934.342,422.22861,
1931.432,404.16325,
1928.521,407.0367,
1925.611,398.17225,
1922.700,387.79282,
1919.790,402.25271,
1916.879,401.95925,
1913.968,373.78443,
1911.058,395.87313,
1908.147,407.49887,
1905.237,382.3309,
1902.326,388.26705,
1899.415,363.28413,
1896.505,355.37069,
1893.594,385.92989,
1890.684,398.01138,
1887.773,389.00042,
1884.863,378.66344,
1881.952,356.03524,
1879.041,363.14928,
1876.131,406.21142,
1873.220,392.08619,
1870.310,359.04602,
1867.399,371.5101,
1864.489,381.71106,
1861.578,382.24439,
1858.667,396.60329,
1855.757,397.34427,
1852.846,398.47309,
1849.936,390.60985,
1847.025,404.16363,
1844.114,378.85112,
1841.204,385.77447,
1838.293,419.75832,
1835.383,409.8315,
1832.472,402.19174,
1829.562,388.25156,
1826.651,413.88754,
1823.740,399.63117,
1820.830,426.56136,
1817.919,393.77367,
1815.009,406.86832,
1812.098,441.26967,
1809.188,422.23842,
1806.277,410.97132,
1803.366,420.98291,
1800.456,433.54094,
1797.545,409.7998,
1794.635,382.29802,
1791.724,398.85671,
1788.813,426.34563,
1785.903,416.26742,
1782.992,426.67697,
1780.082,423.14748,
1777.171,415.41327,
1774.261,411.14517,
1771.350,427.333,
1768.439,439.5386,
1765.529,451.38611,
1762.618,420.76244,
1759.708,418.86986,
1756.797,449.43939,
1753.887,442.72376,
1750.976,451.67081,
1748.065,440.01575,
1745.155,440.44022,
1742.244,445.43932,
1739.334,432.79471,
1736.423,456.01164,
1733.512,466.29471,
1730.602,460.51388,
1727.691,470.26491,
1724.781,503.63991,
1721.870,488.41177,
1718.960,508.2392,
1716.049,492.77563,
1713.138,482.76503,
1710.228,456.51139,
1707.317,479.28714,
1704.407,480.05481,
1701.496,488.86548,
1698.586,504.53375,
1695.675,485.16441,
1692.764,528.24593,
1689.854,525.96653,
1686.943,550.87313,
1684.033,507.86763,
1681.122,569.66249,
1678.211,575.70241,
1675.301,571.76233,
1672.390,572.73804,
1669.480,569.27143,
1666.569,633.99122,
1663.659,652.94599,
1660.748,665.30917,
1657.837,692.87521,
1654.927,654.33573,
1652.016,680.25654,
1649.106,740.94585,
1646.195,749.34941,
1643.285,773.93229,
1640.374,781.33188,
1637.463,763.13712,
1634.553,838.32144,
1631.642,810.48834,
1628.732,878.28329,
1625.821,967.80038,
1622.911,1044.3161,
1620.000,1083.2586,
1617.089,1150.3968,
1614.179,1187.7066,
1611.268,1333.1733,
1608.358,1375.9239,
1605.447,1409.8074,
1602.536,1411.75,
1599.626,1417.2696,
1596.715,1411.3968,
1593.805,1419.6933,
1590.894,1376.7165,
1587.984,1361.223,
1585.073,1306.9994,
1582.162,1346.1734,
1579.252,1262.4637,
1576.341,1226.5298,
1573.431,1233.7144,
1570.520,1213.0543,
1567.610,1204.2598,
1564.699,1205.2001,
1561.788,1163.4969,
1558.878,1155.9914,
1555.967,1124.4134,
1553.057,1085.3364,
1550.146,1060.8446,
1547.235,1017.3304,
1544.325,978.6117,
1541.414,986.11195,
1538.504,997.12578,
1535.593,976.19491,
1532.683,955.07485,
1529.772,940.40016,
1526.861,944.45246,
1523.951,949.87765,
1521.040,924.68455,
1518.130,920.38098,
1515.219,879.3892,
1512.309,898.32655,
1509.398,871.8907,
1506.487,877.26136,
1503.577,918.2482,
1500.666,929.1684,
1497.756,896.402,
1494.845,842.22917,
1491.934,805.69331,
1489.024,788.36843,
1486.113,816.49368,
1483.203,820.52634,
1480.292,850.4479,
1477.382,780.58292,
1474.471,769.65641,
1471.560,781.18366,
1468.650,754.68596,
1465.739,761.24568,
1462.829,762.6041,
1459.918,745.25267,
1457.008,740.81159,
1454.097,736.43115,
1451.186,722.59139,
1448.276,740.36403,
1445.365,759.21051,
1442.455,718.94307,
1439.544,726.69275,
1436.633,706.27433,
1433.723,706.25754,
1430.812,687.78953,
1427.902,675.5245,
1424.991,666.04688,
1422.081,645.5655,
1419.170,592.77044,
1416.259,619.58271,
1413.349,579.41457,
1410.438,582.64405,
1407.528,592.03748,
1404.617,586.29159,
1401.707,576.98054,
1398.796,560.94933,
1395.885,548.16339,
1392.975,539.89546,
1390.064,488.13858,
1387.154,368.40187,
1384.243,237.64319,
1381.332,146.10205,
1378.422,117.10677,
1375.511,279.16988,
1372.601,483.5739,
1369.690,583.90058,
1366.780,631.80751,
1363.869,671.26204,
1360.958,707.83822,
1358.048,726.08981,
1355.137,752.8801,
1352.227,787.01805,
1349.316,815.19253,
1346.406,851.35422,
1343.495,875.04091,
1340.584,854.21327,
1337.674,920.9644,
1334.763,924.16141,
1331.853,961.25065,
1328.942,993.88124,
1326.032,995.30314,
1323.121,976.96685,
1320.210,952.10422,
1317.300,974.62253,
1314.389,1023.9866,
1311.479,1041.886,
1308.568,1024.207,
1305.657,1009.9071,
1302.747,1005.3237,
1299.836,1006.8066,
1296.926,1089.852,
1294.015,1178.107,
1291.105,1269.8042,
1288.194,1322.4859,
1285.283,1329.17,
1282.373,1385.9685,
1279.462,1435.6713,
1276.552,1450.6083,
1273.641,1468.3139,
1270.731,1477.2843,
1267.820,1441.697,
1264.909,1456.5082,
1261.999,1455.1162,
1259.088,1465.1495,
1256.178,1422.9272,
1253.267,1385.0622,
1250.356,1330.374,
1247.446,1339.2598,
1244.535,1328.5403,
1241.625,1279.6019,
1238.714,1239.8705,
1235.804,1210.8665,
1232.893,1228.5066,
1229.982,1195.8369,
1227.072,1109.8323,
1224.161,1125.6031,
1221.251,1091.78,
1218.340,1023.686,
1215.430,1008.6145,
1212.519,1012.6003,
1209.608,1023.3038,
1206.698,1060.4947,
1203.787,1060.2173,
1200.877,1065.2574,
1197.966,1105.7196,
1195.055,1152.9722,
1192.145,1191.5551,
1189.234,1230.9457,
1186.324,1274.0253,
1183.413,1296.3084,
1180.503,1284.9578,
1177.592,1267.4673,
1174.681,1272.5274,
1171.771,1223.4094,
1168.860,1251.9882,
1165.950,1224.111,
1163.039,1217.4484,
1160.129,1224.2384,
1157.218,1240.2877,
1154.307,1219.3577,
1151.397,1170.831,
1148.486,1196.2976,
1145.576,1209.131,
1142.665,1171.8387,
1139.754,1164.6819,
1136.844,1172.1536,
1133.933,1171.058,
1131.023,1157.836,
1128.112,1157.1056,
1125.202,1172.6099,
1122.291,1159.3659,
1119.380,1135.776,
1116.470,1138.4236,
1113.559,1178.959,
1110.649,1189.4403,
1107.738,1173.7471,
1104.828,1168.2398,
1101.917,1167.5069,
1099.006,1138.8222,
1096.096,1133.1902,
