,PLB3B3~1,
Wavenumbers [1/cm],Intensity,
1980.912,375.95033,
1978.001,374.64379,
1975.090,389.78932,
1972.180,386.27661,
1969.269,365.54594,
1966.359,361.18926,
1963.448,372.76619,
1960.538,379.24604,
1957.627,361.27553,
1954.716,370.65528,
1951.806,373.24839,
1948.895,377.23483,
1945.985,376.49347,
1943.074,378.01501,
1940.164,339.13466,
1937.253,355.91277,
1934.342,362.41017,
1931.432,364.12303,
1928.521,373,
1925.611,356.42225,
1922.700,349.20856,
1919.790,346.41621,
1916.879,350.65125,
1913.968,360.9877,
1911.058,410.02701,
1908.147,368.66424,
1905.237,365.05877,
1902.326,336.69184,
1899.415,327.31704,
1896.505,283.47586,
1893.594,297.98788,
1890.684,332.32673,
1887.773,349.50843,
1884.863,383.06378,
1881.952,394.11755,
1879.041,399.5649,
1876.131,380.82615,
1873.220,381.23011,
1870.310,384.78475,
1867.399,390.90404,
1864.489,364,
1861.578,365.86799,
1858.667,381.506,
1855.757,376.56563,
1852.846,399.92312,
1849.936,355.90691,
1847.025,358.7056,
1844.114,377.30124,
1841.204,406.15734,
1838.293,405.00832,
1835.383,395.628,
1832.472,406.82609,
1829.562,411.88958,
1826.651,399.42712,
1823.740,405.91956,
1820.830,389.93683,
1817.919,391.32939,
1815.009,385.29389,
1812.098,402.85038,
1809.188,399.37211,
1806.277,382.37624,
1803.366,392.26618,
1800.456,407.17564,
1797.545,392.81561,
1794.635,392.16102,
1791.724,403.63102,
1788.813,422.60077,
1785.903,410.22685,
1782.992,353.41577,
1780.082,274.26644,
1777.171,127.65738,
1774.261,113.80542,
1771.350,229.94153,
1768.439,376.68431,
1765.529,420.00188,
1762.618,435.86501,
1759.708,417.52151,
1756.797,436.34091,
1753.887,468.1793,
1750.976,458.92409,
1748.065,443.55453,
1745.155,456.16116,
1742.244,465.67573,
1739.334,430.08001,
1736.423,428.13082,
1733.512,431.08942,
1730.602,467.40085,
1727.691,451.59656,
1724.781,481.54225,
1721.870,508.9001,
1718.960,504.77768,
1716.049,478.66973,
1713.138,494.5199,
1710.228,487.55644,
1707.317,488.65371,
1704.407,500.67916,
1701.496,519.31941,
1698.586,538.5557,
1695.675,516.60728,
1692.764,509.31967,
1689.854,510.91339,
1686.943,496.50588,
1684.033,518.42877,
1681.122,532.76211,
1678.211,548.84772,
1675.301,562.95683,
1672.390,550.86243,
1669.480,505.45725,
1666.569,562.3174,
1663.659,586.60802,
1660.748,563.23138,
1657.837,575.89666,
1654.927,615.81257,
1652.016,608.0729,
1649.106,610.80415,
1646.195,604.51051,
1643.285,666.38737,
1640.374,683.02091,
1637.463,684.03603,
1634.553,686.41378,
1631.642,714.45603,
1628.732,756.07111,
1625.821,768.04907,
1622.911,842.57737,
1620.000,885.45825,
1617.089,929.12438,
1614.179,970.81556,
1611.268,1026.8809,
1608.358,1096.6756,
1605.447,1145.2575,
1602.536,1139.613,
1599.626,1217.1943,
1596.715,1155.0223,
1593.805,1165.8866,
1590.894,1120.4438,
1587.984,1093.2138,
1585.073,1038.951,
1582.162,1047.5326,
1579.252,1022.3595,
1576.341,1014.3979,
1573.431,1039.0616,
1570.520,987.14297,
1567.610,1014.4517,
1564.699,977.07282,
1561.788,946.43672,
1558.878,944.73105,
1555.967,914.94876,
1553.057,895.81038,
1550.146,899.5309,
1547.235,881.74825,
1544.325,880.00723,
1541.414,870.55794,
1538.504,865.30366,
1535.593,859.44491,
1532.683,847.51273,
1529.772,852.27503,
1526.861,837.52782,
1523.951,846.2086,
1521.040,888.91686,
1518.130,886.73904,
1515.219,892.76017,
1512.309,873.86933,
1509.398,844.09679,
1506.487,876.1105,
1503.577,859.14336,
1500.666,887.76883,
1497.756,882.11916,
1494.845,928.5181,
1491.934,844.74173,
1489.024,765.81731,
1486.113,829.75952,
1483.203,825.23016,
1480.292,798.54466,
1477.382,846.53613,
1474.471,796.07492,
1471.560,768.29201,
1468.650,765,
1465.739,799.58647,
1462.829,797.51457,
1459.918,805.09964,
1457.008,831.63088,
1454.097,811.3462,
1451.186,794.63443,
1448.276,809.14474,
1445.365,786.28436,
1442.455,761.80041,
1439.544,737.08355,
1436.633,731.19463,
1433.723,750.87538,
1430.812,750.22165,
1427.902,752.7745,
1424.991,743.29688,
1422.081,694.37371,
1419.170,727.15459,
1416.259,731.37987,
1413.349,762.72012,
1410.438,746.40837,
1407.528,733.71252,
1404.617,752.37523,
1401.707,710.35625,
1398.796,667.13635,
1395.885,685.16151,
1392.975,673.37385,
1390.064,635.06668,
1387.154,652.31696,
1384.243,608.13684,
1381.332,578.34002,
1378.422,568.09152,
1375.511,628.0455,
1372.601,640.98041,
1369.690,672.00279,
1366.780,684.92035,
1363.869,745.11816,
1360.958,765.67957,
1358.048,744.8274,
1355.137,775.15746,
1352.227,811.33985,
1349.316,827.21911,
1346.406,858.68069,
1343.495,858,
1340.584,867.9993,
1337.674,909.92637,
1334.763,878.22297,
1331.853,936.63853,
1328.942,899.86358,
1326.032,911.31241,
1323.121,909.81325,
1320.210,938.63235,
1317.300,949.86838,
1314.389,971.66715,
1311.479,994.12622,
1308.568,996.23272,
1305.657,1001.4381,
1302.747,1020.6234,
1299.836,1101.3857,
1296.926,1097.7691,
1294.015,1114.3169,
1291.105,1148.4606,
1288.194,1185.7485,
1285.283,1167.5079,
1282.373,1183.578,
1279.462,1195.7059,
1276.552,1219.4804,
1273.641,1237.473,
1270.731,1207.591,
1267.820,1187.2851,
1264.909,1194.7911,
1261.999,1186.699,
1259.088,1205.8536,
1256.178,1243.8276,
1253.267,1200.1323,
1250.356,1202.6086,
1247.446,1182.2504,
1244.535,1160.5134,
1241.625,1163.8444,
1238.714,1156.6774,
1235.804,1115.6069,
1232.893,1088.2404,
1229.982,1131.2947,
1227.072,1110.4726,
1224.161,1132.5341,
1221.251,1107.9641,
1218.340,1057.1878,
1215.430,1053.7182,
1212.519,1059.4921,
1209.608,1051.8981,
1206.698,1048.2763,
1203.787,1017.9347,
1200.877,1027.1233,
1197.966,1093.6611,
1195.055,1099.5597,
1192.145,1152.594,
1189.234,1188.1662,
1186.324,1208.3646,
1183.413,1229.3655,
1180.503,1250.3961,
1177.592,1244.737,
1174.681,1192.2671,
1171.771,1200.2376,
1168.860,1167.1933,
1165.950,1154.3245,
1163.039,1171.5553,
1160.129,1164.6638,
1157.218,1171.3065,
1154.307,1194.4523,
1151.397,1199.3932,
1148.486,1200.6917,
1145.576,1246.2223,
1142.665,1159.2069,
1139.754,1217.0903,
1136.844,1210.2906,
1133.933,1191.6159,
1131.023,1164.2278,
1128.112,1161.7113,
1125.202,1192.2367,
1122.291,1169.6213,
1119.380,1160.4417,
1116.470,1205.4507,
1113.559,1194.7618,
1110.649,1186.0709,
1107.738,1179.1776,
1104.828,1173.3356,
1101.917,1174.8463,
1099.006,1180.4949,
1096.096,1165.0751,
1093.185,1182.6351,
