,PLCF92~1,
Wavenumbers [1/cm],Intensity,
2175.920,398.78666,
2173.010,404.10006,
2170.099,413.04068,
2167.189,418.3176,
2164.278,412.42927,
2161.368,424.08932,
2158.457,428.88215,
2155.546,443.10193,
2152.636,445.58777,
2149.725,450.2005,
2146.815,466.8411,
2143.904,428.58316,
2140.993,444.41738,
2138.083,448.88251,
2135.172,480.8624,
2132.262,464.22447,
2129.351,480.56137,
2126.441,468.17105,
2123.530,460.59948,
2120.619,473.76977,
2117.709,433.42975,
2114.798,437.5404,
2111.888,426.05059,
2108.977,426.726,
2106.067,411.62367,
2103.156,421.9717,
2100.245,383.37563,
2097.335,386.78337,
2094.424,402.4602,
2091.514,389.93946,
2088.603,382.64687,
2085.692,405.69831,
2082.782,402.8249,
2079.871,407.05411,
2076.961,407.50416,
2074.050,419.21136,
2071.140,397.66225,
2068.229,409.00129,
2065.318,429.03001,
2062.408,423.1549,
2059.497,424.21432,
2056.587,418.93344,
2053.676,409.74177,
2050.766,420.45123,
2047.855,405.74846,
2044.944,384.64102,
2042.034,397.51388,
2039.123,427.59386,
2036.213,413.27943,
2033.302,434.91809,
2030.391,422.88439,
2027.481,431.89913,
2024.570,431.26098,
2021.660,422.7889,
2018.749,441.84313,
2015.839,426.08825,
2012.928,409.76594,
2010.017,403.07641,
2007.107,399.95631,
2004.196,419.33935,
2001.286,438.97924,
1998.375,424.06594,
1995.465,402.42947,
1992.554,399.25146,
1989.643,421.58003,
1986.733,413.76974,
1983.822,391.44073,
1980.912,415.62149,
1978.001,378.95942,
1975.090,400.946,
1972.180,405.13432,
1969.269,391.71406,
1966.359,389.96963,
1963.448,404.52428,
1960.538,374.48008,
1957.627,388.66604,
1954.716,383.60481,
1951.806,405.58015,
1948.895,387.56937,
1945.985,374.09396,
1943.074,396.375,
1940.164,399.57699,
1937.253,385.14499,
1934.342,368.46056,
1931.432,387.03431,
1928.521,382.98467,
1925.611,396.11507,
1922.700,406.54075,
1919.790,406.51374,
1916.879,365.44398,
1913.968,361.37623,
1911.058,435.39301,
1908.147,403.12387,
1905.237,372.99263,
1902.326,366.53944,
1899.415,359.62863,
1896.505,316.01944,
1893.594,316.09153,
1890.684,344.08737,
1887.773,361.34886,
1884.863,394.24971,
1881.952,406.28252,
1879.041,394.78414,
1876.131,398.70441,
1873.220,398.63163,
1870.310,416.01174,
1867.399,426.23106,
1864.489,385.375,
1861.578,383.50701,
1858.667,369.92287,
1855.757,394.78073,
1852.846,398.17497,
1849.936,411.353,
1847.025,380.72536,
1844.114,407.66446,
1841.204,412.78409,
1838.293,399.86086,
1835.383,391.98002,
1832.472,399.13152,
1829.562,408.26458,
1826.651,416.99922,
1823.740,437.66238,
1820.830,413.28025,
1817.919,424.73441,
1815.009,416.53149,
1812.098,415.27264,
1809.188,450.08035,
1806.277,410.32667,
1803.366,399.25855,
1800.456,394.13363,
1797.545,427.14082,
1794.635,450.24694,
1791.724,419.73426,
1788.813,414.38529,
1785.903,431.13286,
1782.992,380.57023,
1780.082,332.5831,
1777.171,192.35678,
1774.261,155.76563,
1771.350,266.57152,
1768.439,384.29436,
1765.529,448.28803,
1762.618,455.98247,
1759.708,436.86413,
1756.797,463.26894,
1753.887,486.93914,
1750.976,474.40249,
1748.065,477.66378,
1745.155,498.78781,
1742.244,484.52449,
1739.334,459.68089,
1736.423,491.52822,
1733.512,483.36274,
1730.602,494.57146,
1727.691,492.16307,
1724.781,502.7468,
1721.870,501.5464,
1718.960,538.19768,
1716.049,503.58729,
1713.138,515.0399,
1710.228,534.91064,
1707.317,502.87672,
1704.407,540.59967,
1701.496,553.57893,
1698.586,528.50344,
1695.675,555.38197,
1692.764,523.29301,
1689.854,499.37105,
1686.943,527.36323,
1684.033,551.77893,
1681.122,543.52793,
1678.211,553.27983,
1675.301,577.301,
1672.390,585.23144,
1669.480,537.56753,
1666.569,562.23832,
1663.659,628.80337,
1660.748,594.97273,
1657.837,625.92174,
1654.927,650.23443,
1652.016,644.66659,
1649.106,656.54637,
1646.195,664.04634,
1643.285,691.39779,
1640.374,692.43772,
1637.463,695.93345,
1634.553,726.242,
1631.642,718.08076,
1628.732,782.3987,
1625.821,786.42668,
1622.911,864.92982,
1620.000,901.90885,
1617.089,924.91729,
1614.179,985.62654,
1611.268,1037.4417,
1608.358,1091.7997,
1605.447,1181.1186,
1602.536,1179.8518,
1599.626,1226.2916,
1596.715,1195.8862,
1593.805,1163.7564,
1590.894,1136.5969,
1587.984,1171.4831,
1585.073,1086.3376,
1582.162,1111.2844,
1579.252,1076.005,
1576.341,1019.1123,
1573.431,1059.8477,
1570.520,1005.5811,
1567.610,1018.65,
1564.699,994.12351,
1561.788,1008.5437,
1558.878,993.74724,
1555.967,950.98442,
1553.057,924.53028,
1550.146,913.45865,
1547.235,912.14598,
1544.325,925.8167,
1541.414,939.69546,
1538.504,919.22628,
1535.593,900.27032,
1532.683,900.24045,
1529.772,902.27489,
1526.861,889.24693,
1523.951,866.43846,
1521.040,876.52358,
1518.130,885.80926,
1515.219,930.61536,
1512.309,901.28035,
1509.398,859.68662,
1506.487,895.56407,
1503.577,893.69399,
1500.666,927.91265,
1497.756,910.28202,
1494.845,930.97369,
1491.934,873.23957,
1489.024,831.85237,
1486.113,898.98895,
1483.203,833.32159,
1480.292,832.0116,
1477.382,900.4596,
1474.471,858.82158,
1471.560,825.41035,
1468.650,811.17572,
1465.739,822.10627,
1462.829,838.13363,
1459.918,853.87233,
1457.008,861.8673,
1454.097,857.21558,
1451.186,856.53361,
1448.276,843.1886,
1445.365,800.73045,
1442.455,786.93467,
1439.544,797.19604,
1436.633,769.05425,
1433.723,753.99811,
1430.812,759.03994,
1427.902,768.00639,
1424.991,794.54374,
1422.081,727.48169,
1419.170,776.67486,
1416.259,774.03412,
1413.349,777.41693,
1410.438,731.78998,
1407.528,720.38738,
1404.617,755.31854,
1401.707,727.62048,
1398.796,673.04636,
1395.885,659.96161,
1392.975,651.58301,
1390.064,637.66931,
1387.154,636.03839,
1384.243,622.85673,
1381.332,596.92833,
1378.422,601.13347,
1375.511,596.44957,
1372.601,653.51236,
1369.690,720.09502,
1366.780,693.14935,
1363.869,738.58725,
1360.958,780.50192,
1358.048,781.2887,
1355.137,792.24826,
1352.227,819.35546,
1349.316,843.65104,
1346.406,871.27367,
1343.495,878.42374,
1340.584,854.94512,
1337.674,935.97976,
1334.763,901.56268,
1331.853,959.05101,
1328.942,915.12287,
1326.032,958.31224,
1323.121,961.96536,
1320.210,963.37052,
1317.300,990.75498,
1314.389,1021.7364,
1311.479,1046.171,
1308.568,1064.6077,
1305.657,1067.2845,
1302.747,1075.5502,
1299.836,1141.9549,
1296.926,1161.1869,
1294.015,1178.654,
1291.105,1195.2248,
1288.194,1210.1549,
1285.283,1227.6951,
