,PLBC96~1,
Raman shift [1/cm],Intensity,
2173.010,730.22506,
2170.099,742.63195,
2167.189,787.70809,
2164.278,818.40754,
2161.368,841.21287,
2158.457,877.27803,
2155.546,916.21063,
2152.636,948.55849,
2149.725,996.60735,
2146.815,1014.1997,
2143.904,1025.8122,
2140.993,1063.648,
2138.083,1098.1595,
2135.172,1094.6427,
2132.262,1078.7518,
2129.351,1098.3794,
2126.441,1083.2961,
2123.530,1053.0623,
2120.619,1004.1793,
2117.709,935.80837,
2114.798,908.4075,
2111.888,868.68806,
2108.977,820.26157,
2106.067,804.80864,
2103.156,818.81769,
2100.245,757.49059,
2097.335,741.89791,
2094.424,733.67041,
2091.514,718.63976,
2088.603,717.29722,
2085.692,704.35884,
2082.782,705.22281,
2079.871,706.39265,
2076.961,713.9188,
2074.050,692.56667,
2071.140,707.86826,
2068.229,683.39843,
2065.318,704.53776,
2062.408,699.77233,
2059.497,695.92859,
2056.587,689.8956,
2053.676,683.5,
2050.766,681.65396,
2047.855,688.41456,
2044.944,686.16506,
2042.034,687.65603,
2039.123,685.98148,
2036.213,699.17333,
2033.302,687.71754,
2030.391,676.27975,
2027.481,690.12181,
2024.570,702.24268,
2021.660,654.57472,
2018.749,685.51225,
2015.839,665.47704,
2012.928,697.72987,
2010.017,690.70846,
2007.107,692.08508,
2004.196,702.67852,
2001.286,664.12195,
1998.375,663.50493,
1995.465,668.92679,
1992.554,686.90572,
1989.643,656.67517,
1986.733,699.55701,
1983.822,652.43722,
1980.912,677.71743,
1978.001,666.83025,
1975.090,668.53816,
1972.180,666.05051,
1969.269,655.72406,
1966.359,662.14897,
1963.448,655.77608,
1960.538,680.96039,
1957.627,682.25851,
1954.716,680.52873,
1951.806,660.34453,
1948.895,673.94943,
1945.985,656.0915,
1943.074,653.93912,
1940.164,652.85578,
1937.253,667.70405,
1934.342,668.346,
1931.432,634.91325,
1928.521,628.04577,
1925.611,630.5,
1922.700,632.87431,
1919.790,647.28019,
1916.879,633.68574,
1913.968,665.45942,
1911.058,641.98047,
1908.147,622.62557,
1905.237,630.94114,
1902.326,614.30147,
1899.415,631.48415,
1896.505,636.63257,
1893.594,633.77741,
1890.684,632.76138,
1887.773,645.69814,
1884.863,648.22437,
1881.952,640.52507,
1879.041,623.12668,
1876.131,642.11698,
1873.220,626.57956,
1870.310,636.49549,
1867.399,625.69192,
1864.489,636.21351,
1861.578,674.85742,
1858.667,638.76647,
1855.757,637.28998,
1852.846,656.28972,
1849.936,668.91943,
1847.025,639.56083,
1844.114,639.75415,
1841.204,665.22727,
1838.293,674.50832,
1835.383,675.51149,
1832.472,675.75565,
1829.562,673.1388,
1826.651,702.90243,
1823.740,685.19726,
1820.830,675.04332,
1817.919,673.05687,
1815.009,684.48728,
1812.098,705.35038,
1809.188,681.2365,
1806.277,717.63686,
1803.366,672.63126,
1800.456,737.5765,
1797.545,706.71265,
1794.635,723.33992,
1791.724,694.60671,
1788.813,722.49614,
1785.903,707.68607,
1782.992,706.81597,
1780.082,713.83435,
1777.171,679.83458,
1774.261,676.46984,
1771.350,681.10026,
1768.439,715.45828,
1765.529,718.04443,
1762.618,715.84813,
1759.708,739.40236,
1756.797,735.44697,
1753.887,723.26968,
1750.976,742.65183,
1748.065,748.19893,
1745.155,705.90028,
1742.244,723.89033,
1739.334,762.30235,
1736.423,759.90188,
1733.512,776.60169,
1730.602,799.46034,
1727.691,774.56124,
1724.781,745.04901,
1721.870,758.00963,
1718.960,787.9892,
1716.049,819.50822,
1713.138,817.66003,
1710.228,797.35347,
1707.317,809.53771,
1704.407,780.9545,
1701.496,828.54668,
1698.586,814.09633,
1695.675,765.71457,
1692.764,793.74182,
1689.854,879.68902,
1686.943,824.55726,
1684.033,822.5,
1681.122,840.19414,
1678.211,905.87185,
1675.301,878.58634,
1672.390,903.61365,
1669.480,941.45989,
1666.569,935.66207,
1663.659,871.62693,
1660.748,940.09773,
1657.837,971.2217,
1654.927,1003.1251,
1652.016,988.30187,
1649.106,1021.4548,
1646.195,1057.9176,
1643.285,995.43686,
1640.374,1077.392,
1637.463,1027.1573,
1634.553,1117.2636,
1631.642,1101.956,
1628.732,1143.5652,
1625.821,1154.5746,
1622.911,1267.8576,
1620.000,1360.3283,
1617.089,1359.5398,
1614.179,1455.7081,
1611.268,1511.4552,
1608.358,1619.3026,
1605.447,1698.9863,
1602.536,1761.277,
1599.626,1758.1405,
1596.715,1768.3912,
1593.805,1722.1004,
1590.894,1795.7603,
1587.984,1722.4891,
1585.073,1707.7984,
1582.162,1709.1698,
1579.252,1684.951,
