,PL1D8D~1,
Raman shift [1/cm],Intensity,
2175.920,823.3709,
2173.010,857.57738,
2170.099,895.9886,
2167.189,923.26851,
2164.278,948.40741,
2161.368,989.40947,
2158.457,1039.2717,
2155.546,1097.351,
2152.636,1109.4601,
2149.725,1161.8833,
2146.815,1203.0906,
2143.904,1227.7124,
2140.993,1214.1195,
2138.083,1280.3377,
2135.172,1280.2761,
2132.262,1284.0308,
2129.351,1259.3662,
2126.441,1257.727,
2123.530,1209.6985,
2120.619,1171.1617,
2117.709,1145.6121,
2114.798,1078.3056,
2111.888,1028.4013,
2108.977,989.95281,
2106.067,939.38071,
2103.156,948.88055,
2100.245,878.11747,
2097.335,867.08835,
2094.424,861.20013,
2091.514,831.56596,
2088.603,851.1757,
2085.692,844.21425,
2082.782,845.07276,
2079.871,835.62442,
2076.961,822.83536,
2074.050,791.725,
2071.140,820.06777,
2068.229,805.48567,
2065.318,809.8905,
2062.408,810.63256,
2059.497,803.51189,
2056.587,801.96216,
2053.676,785.97605,
2050.766,789.50915,
2047.855,789.32435,
2044.944,799.3173,
2042.034,811.59309,
2039.123,786.1654,
2036.213,792.33612,
2033.302,801.64664,
2030.391,793.59994,
2027.481,801.00291,
2024.570,809.49634,
2021.660,785.66236,
2018.749,805.94729,
2015.839,779.89141,
2012.928,800.21728,
2010.017,794.59189,
2007.107,795.88946,
2004.196,791.4822,
2001.286,784.97663,
1998.375,764.8622,
1995.465,765.27143,
1992.554,773.1367,
1989.643,803.08809,
1986.733,778.32237,
1983.822,764.97138,
1980.912,768.30307,
1978.001,753.65931,
1975.090,748.67311,
1972.180,754.16093,
1969.269,733.03016,
1966.359,755.07128,
1963.448,760.35881,
1960.538,759.55953,
1957.627,760.125,
1954.716,753.32609,
1951.806,751.01277,
1948.895,780.62105,
1945.985,735.51225,
1943.074,732.56412,
1940.164,731.48078,
1937.253,745.03777,
1934.342,753.048,
1931.432,723.34266,
1928.521,711.37198,
1925.611,711.68346,
1922.700,732.49378,
1919.790,706.25831,
1916.879,689.96199,
1913.968,690.12377,
1911.058,705.34121,
1908.147,685.83746,
1905.237,718.16173,
1902.326,701.02573,
1899.415,713.38964,
1896.505,720.55872,
1893.594,711.76522,
1890.684,710.32104,
1887.773,691.86699,
1884.863,704.10222,
1881.952,712.05759,
1879.041,721.74183,
1876.131,709.83742,
1873.220,704.38163,
1870.310,723.61824,
1867.399,704.46087,
1864.489,728.09994,
1861.578,679.71279,
1858.667,698.20582,
