,PLD991~1,
Raman shift [1/cm],Intensity,
3014.167,0,
3011.256,-0.44998926,
3008.346,95.196509,
3005.435,127.84452,
3002.525,117.62248,
2999.614,138.47533,
2996.704,131.82268,
2993.793,131.73387,
2990.882,149.64882,
2987.972,144.0454,
2985.061,150.78325,
2982.151,148,
2979.240,172.5827,
2976.329,163.22679,
2973.419,165.63081,
2970.508,172.63329,
2967.598,204.9008,
2964.687,183.47758,
2961.777,176.75206,
2958.866,191.66716,
2955.955,191.75885,
2953.045,204.94628,
2950.134,195.58604,
2947.224,212.88253,
2944.313,234.0114,
2941.403,241.25045,
2938.492,241.40378,
2935.581,233.52147,
2932.671,236.44208,
2929.760,235.77306,
2926.850,227.89549,
2923.939,251.51868,
2921.028,240.58808,
2918.118,254.5403,
2915.207,267.00645,
2912.297,262.05078,
2909.386,256.40146,
2906.476,252.96911,
2903.565,249.85556,
2900.654,253.2932,
2897.744,264.97486,
2894.833,260.11346,
2891.923,243.83649,
2889.012,256.75144,
2886.102,260.45675,
2883.191,256.00944,
2880.280,258.11483,
2877.370,259.20346,
2874.459,272.8363,
2871.549,263.23708,
2868.638,250.31549,
2865.727,276.34231,
2862.817,275.54278,
2859.906,273.79772,
2856.996,281.49321,
2854.085,264.51467,
2851.175,290.7109,
2848.264,273.64217,
2845.353,278.1941,
2842.443,276.6181,
2839.532,266.4328,
2836.622,252.27539,
2833.711,260.26687,
2830.801,261.39559,
2827.890,254.89686,
2824.979,264.49397,
2822.069,269.90902,
2819.158,258.95957,
2816.248,255.49421,
2813.337,272.09269,
2810.427,262.61019,
2807.516,263.36687,
2804.605,263.81731,
2801.695,265.86842,
2798.784,267.77823,
2795.874,258.85488,
2792.963,270.64309,
2790.052,258.00386,
2787.142,261.44731,
2784.231,254.29037,
2781.321,270.99424,
2778.410,260.56471,
2775.500,268.53172,
2772.589,261.23089,
2769.678,262.07168,
2766.768,266.68156,
2763.857,273.36801,
2760.947,264.46533,
2758.036,285.2613,
2755.126,284.80983,
2752.215,284.53182,
2749.304,292.85071,
2746.394,278.38706,
2743.483,286.05002,
2740.573,274.90262,
2737.662,273.78698,
2734.751,290.04839,
2731.841,271.24175,
2728.930,283.71599,
2726.020,288.87731,
2723.109,281.77317,
2720.199,290.58744,
2717.288,292.38686,
2714.377,282.51672,
2711.467,302.63956,
2708.556,293,
2705.646,287.92956,
2702.735,285.34537,
2699.825,297.97819,
2696.914,305.47637,
2694.003,307.35773,
2691.093,300.3213,
2688.182,308.45556,
2685.272,293.19488,
2682.361,312.51747,
2679.450,308.96712,
2676.540,294.9187,
2673.629,296.30939,
2670.719,307.64233,
2667.808,311.80546,
2664.898,311.74027,
2661.987,318.93349,
2659.076,304.05174,
2656.166,309.46754,
2653.255,318.06973,
2650.345,320.59165,
2647.434,321.65704,
2644.524,319.93046,
2641.613,326.42866,
2638.702,338.82641,
2635.792,330.68694,
2632.881,331.53577,
2629.971,325.51005,
2627.060,317.66251,
2624.149,338.59689,
2621.239,338.27816,
2618.328,325.78806,
2615.418,321.33182,
2612.507,332.54937,
2609.597,329.91816,
2606.686,327.22088,
2603.775,326.88095,
2600.865,331.52902,
2597.954,347.04791,
2595.044,350.31267,
2592.133,352.55412,
