,PL3DB8~1,
Raman shift [1/cm],Intensity,
1270.731,9035.0526,
1267.820,9038.7548,
1264.909,9085.9407,
1261.999,9068.6128,
1259.088,8979.2249,
1256.178,8765.7561,
1253.267,8608.1237,
1250.356,8427.2972,
1247.446,8196.9383,
1244.535,7949.5763,
1241.625,7683.4791,
1238.714,7450.0866,
1235.804,7314.0015,
1232.893,7134.5237,
1229.982,7022.1528,
1227.072,6882.7347,
1224.161,6808.9967,
1221.251,6706.7894,
1218.340,6600.081,
1215.430,6507.1247,
1212.519,6425.4849,
1209.608,6342.4374,
1206.698,6284.7688,
1203.787,6318.8951,
1200.877,6396.9367,
1197.966,6430.2056,
1195.055,6539.3843,
1192.145,6734.4407,
1189.234,6888.8963,
1186.324,6998.1532,
1183.413,7091.3624,
1180.503,7114.8122,
1177.592,7056.2388,
1174.681,7063.0942,
1171.771,6917.6084,
1168.860,6819.3686,
1165.950,6701.0259,
1163.039,6652.5261,
1160.129,6593.917,
1157.218,6542.0878,
1154.307,6468.7053,
1151.397,6382.6099,
1148.486,6390.3332,
1145.576,6337.2878,
1142.665,6231.6262,
1139.754,6174.0573,
1136.844,6061.3311,
1133.933,6000.2798,
1131.023,5954.8283,
1128.112,5919.6605,
1125.202,5933.7445,
1122.291,5966.8723,
1119.380,5960.1695,
1116.470,5990.1754,
1113.559,5986.1425,
1110.649,5995.6622,
1107.738,5973.4766,
1104.828,5965.519,
1101.917,5979.1113,
1099.006,5968.6685,
1096.096,6027.6924,
1093.185,6008.3764,
1090.275,6014.9677,
1087.364,5961.2991,
1084.453,5952.7489,
1081.543,5954.4813,
1078.632,5904.4614,
1075.722,5850.9467,
1072.811,5958.0397,
1069.901,6002.576,
1066.990,6005.0667,
1064.079,6019.8463,
1061.169,6082.1051,
1058.258,6190.8213,
1055.348,6274.3475,
1052.437,6274.8944,
1049.527,6322.9561,
1046.616,6376.8235,
1043.705,6419.8717,
1040.795,6432.7905,
1037.884,6433.3693,
1034.974,6464.5309,
1032.063,6526.6978,
1029.153,6551.0321,
1026.242,6519.0287,
1023.331,6568.7051,
1020.421,6548.8996,
