,PLE7B4~1,
Raman shift [1/cm],Intensity,
2173.010,952.553,
2170.099,985.32292,
2167.189,1016.4264,
2164.278,1065.6084,
2161.368,1119.4095,
2158.457,1167.5772,
2155.546,1225.0327,
2152.636,1276.7845,
2149.725,1284.2995,
2146.815,1334.3564,
2143.904,1399.928,
2140.993,1402.9346,
2138.083,1398.973,
2135.172,1420.5872,
2132.262,1457.0449,
2129.351,1429.304,
2126.441,1399.1055,
2123.530,1360.7322,
2120.619,1320.0702,
2117.709,1266.8311,
2114.798,1200.0401,
2111.888,1149.3131,
2108.977,1089.4429,
2106.067,1056.058,
2103.156,1041.8073,
2100.245,979.13755,
2097.335,994.42867,
2094.424,963.71524,
2091.514,962.61145,
2088.603,940.59965,
2085.692,921.02846,
2082.782,918.43417,
2079.871,940.37587,
2076.961,938.51247,
2074.050,900.14318,
2071.140,912.72329,
2068.229,885.8268,
2065.318,919.4215,
2062.408,926.07961,
2059.497,920.70832,
2056.587,904.48564,
2053.676,899.30838,
2050.766,899.125,
2047.855,874.86546,
2044.944,899.45994,
2042.034,894.17701,
2039.123,893.50547,
2036.213,916.25619,
2033.302,921.73396,
2030.391,893.59994,
2027.481,908.44187,
2024.570,895.89696,
2021.660,888.36152,
2018.749,914.17524,
2015.839,891.0666,
2012.928,903.79111,
2010.017,917.35952,
2007.107,903.31192,
2004.196,908.61309,
2001.286,909.93772,
1998.375,899.99114,
1995.465,892.76518,
1992.554,904.39548,
1989.643,894.53976,
1986.733,863.7136,
1983.822,879.76754,
1980.912,898.86634,
1978.001,853.70942,
1975.090,876.89142,
1972.180,885.78059,
1969.269,862.4439,
1966.359,860.44948,
1963.448,866.39448,
1960.538,860.44443,
1957.627,904.59872,
1954.716,886.81444,
1951.806,891.62822,
1948.895,880.21207,
1945.985,867.32925,
1943.074,865.60105,
1940.164,854.14412,
1937.253,865.78543,
1934.342,865.38972,
1931.432,830.62027,
1928.521,821.87802,
1925.611,796.33953,
1922.700,824.32251,
1919.790,836.70879,
1916.879,825.96199,
1913.968,840.10656,
1911.058,829.20908,
1908.147,807.70461,
1905.237,838.56614,
1902.326,825.09091,
1899.415,857.67013,
1896.505,856.28745,
1893.594,846.93299,
1890.684,848.53689,
1887.773,813.22028,
1884.863,827.55097,
1881.952,837.54506,
1879.041,814.69976,
1876.131,834.9995,
1873.220,838.50995,
1870.310,849.26399,
1867.399,841.26894,
1864.489,863.57979,
1861.578,848.63061,
1858.667,833.09806,
1855.757,834.69779,
1852.846,871.15575,
1849.936,876.12602,
1847.025,855.65053,
1844.114,862.66379,
1841.204,845.77185,
1838.293,864.59091,
1835.383,881.2995,
1832.472,880.49717,
1829.562,882.7638,
1826.651,896.80055,
1823.740,922.05224,
1820.830,884.3687,
1817.919,866.23874,
1815.009,889.09955,
1812.098,919.15648,
1809.188,911.80719,
1806.277,951.21759,
1803.366,877.05663,
1800.456,930.91594,
1797.545,910.95475,
1794.635,919.383,
1791.724,922.94051,
1788.813,938.13271,
1785.903,954.15219,
1782.992,941.53786,
1780.082,959.74799,
1777.171,920.12661,
1774.261,912.98473,
1771.350,914.66151,
1768.439,947.44349,
1765.529,950.21762,
1762.618,973.68627,
1759.708,995.80987,
1756.797,983.14773,
1753.887,980.92092,
1750.976,977.79385,
1748.065,980.64266,
1745.155,973.15737,
1742.244,980.67842,
1739.334,978.85441,
1736.423,1007.3324,
1733.512,1022.5803,
1730.602,1039.5814,
1727.691,1003.6713,
1724.781,1020.2283,
1721.870,1023.2964,
1718.960,1050.0809,
1716.049,1044.3794,
1713.138,1083.1648,
1710.228,1069.2379,
1707.317,1043.1261,
1704.407,1061.6865,
1701.496,1092.383,
1698.586,1068.3295,
1695.675,1051.1537,
1692.764,1065.2725,
1689.854,1088.1289,
1686.943,1034.0474,
1684.033,1090.6348,
1681.122,1109.8191,
1678.211,1118.0489,
1675.301,1153.0171,
1672.390,1159.2476,
1669.480,1199.9485,
1666.569,1178.1885,
1663.659,1184.4969,
1660.748,1265.8524,
1657.837,1202.9183,
1654.927,1282.3284,
1652.016,1250.1213,
1649.106,1291.0553,
1646.195,1327.7414,
1643.285,1313.0137,
1640.374,1350.6233,
1637.463,1328.2059,
1634.553,1387.9378,
1631.642,1442.2879,
1628.732,1457.6464,
1625.821,1545.1629,
1622.911,1602.7982,
1620.000,1690.0163,
1617.089,1764.6325,
1614.179,1871.0793,
1611.268,1960.779,
1608.358,2073.7403,
1605.447,2178.1258,
1602.536,2228.8556,
1599.626,2237.6446,
1596.715,2213.6198,
1593.805,2220.9627,
1590.894,2253.8291,
1587.984,2238.2049,
1585.073,2229.1693,
1582.162,2206.418,
1579.252,2156.3001,
1576.341,2153.3346,
1573.431,2130.8466,
1570.520,2092.0212,
1567.610,2059.0266,
1564.699,2057.6503,
1561.788,2015.7592,
1558.878,1980.0559,
1555.967,1976.7497,
1553.057,1903.8499,
1550.146,1861.125,
1547.235,1833.3797,
1544.325,1801.1178,
1541.414,1809.4869,
1538.504,1817.9318,
1535.593,1768.7634,
1532.683,1727.3408,
1529.772,1705.2504,
1526.861,1682.3902,
1523.951,1675.6436,
1521.040,1625.1627,
1518.130,1624.3781,
1515.219,1647.0067,
1512.309,1603.0079,
1509.398,1636.5395,
1506.487,1614.6763,
1503.577,1606.0677,
1500.666,1592.1104,
1497.756,1573.7603,
1494.845,1545.6853,
1491.934,1558.9329,
1489.024,1500.2208,
1486.113,1499.0522,
1483.203,1477.809,
1480.292,1428.4569,
1477.382,1433.057,
1474.471,1488.3068,
1471.560,1459.1337,
1468.650,1455.7905,
1465.739,1403.1999,
1462.829,1367.7377,
1459.918,1382.6997,
1457.008,1396.6327,
1454.097,1403.1331,
1451.186,1395.154,
1448.276,1360.4731,
1445.365,1342.5902,
1442.455,1336.0859,
1439.544,1308.9888,
1436.633,1372.7357,
1433.723,1335.7421,
1430.812,1349.7659,
1427.902,1295.6662,
1424.991,1318.4125,
1422.081,1370.5037,
1419.170,1316.3689,
1416.259,1265.0017,
1413.349,1281.5584,
1410.438,1299.9219,
1407.528,1257.7756,
1404.617,1262.6557,
1401.707,1269.2867,
1398.796,1258.9572,
1395.885,1262.9518,
1392.975,1242.5199,
1390.064,1197.5331,
1387.154,1191.1348,
1384.243,1195.5009,
1381.332,1113.3182,
1378.422,1176.9699,
1375.511,1290.3204,
1372.601,1364.9291,
1369.690,1431.9878,
1366.780,1418.3639,
1363.869,1434.6458,
1360.958,1501.224,
1358.048,1529.3451,
1355.137,1582.7961,
1352.227,1652.7134,
1349.316,1701.6212,
1346.406,1746.1919,
1343.495,1767.0971,
1340.584,1803.6241,
1337.674,1869.3795,
1334.763,1938.7601,
1331.853,1955.4503,
1328.942,1999.7087,
1326.032,2004.3094,
1323.121,2050.8058,
1320.210,2080.4434,
1317.300,2105.4222,
1314.389,2139.1949,
1311.479,2178.785,
1308.568,2199.8147,
1305.657,2203.0823,
1302.747,2240.6279,
1299.836,2285.4961,
1296.926,2339.9623,
1294.015,2379.4933,
1291.105,2501.7592,
1288.194,2606.7855,
1285.283,2609.7929,
1282.373,2653.3826,
1279.462,2690.8111,
1276.552,2738.0071,
