,PL375C~1,
Raman shift [1/cm],Intensity,
2173.010,734.80017,
2170.099,774.62055,
2167.189,774.22057,
2164.278,861.90741,
2161.368,904.05219,
2158.457,931.35412,
2155.546,953.16927,
2152.636,989.04516,
2149.725,1026.5847,
2146.815,1074.1901,
2143.904,1103.625,
2140.993,1106.6514,
2138.083,1118.4487,
2135.172,1120.6334,
2132.262,1135.272,
2129.351,1148.4009,
2126.441,1088.6636,
2123.530,1071.4454,
2120.619,1047.0932,
2117.709,980.968,
2114.798,927.3671,
2111.888,891.96279,
2108.977,851.29385,
2106.067,832.38338,
2103.156,801.83077,
2100.245,780.60493,
2097.335,747.42081,
2094.424,739.1037,
2091.514,746.34548,
2088.603,752.35313,
2085.692,731.07491,
2082.782,717.50453,
2079.871,710.87471,
2076.961,695.59367,
2074.050,694.35227,
2071.140,706.53321,
2068.229,695.89713,
2065.318,700.4525,
2062.408,691.85194,
2059.497,690.4524,
2056.587,685.43918,
2053.676,673.09207,
2050.766,699.31558,
2047.855,667.3085,
2044.944,693.55127,
2042.034,705.51508,
2039.123,682.96507,
2036.213,688.04724,
2033.302,695.79888,
2030.391,675.08324,
2027.481,686.42966,
2024.570,689.56799,
2021.660,680.15716,
2018.749,694.21935,
2015.839,663.06398,
2012.928,692.54446,
2010.017,689.78135,
2007.107,676.36892,
2004.196,684.86313,
2001.286,669.85119,
1998.375,656.40847,
1995.465,650.54554,
1992.554,656.51317,
1989.643,686.58809,
1986.733,647.08991,
1983.822,639.59989,
1980.912,648.89211,
1978.001,642.4469,
1975.090,647.82805,
1972.180,643.72873,
1969.269,624.77437,
1966.359,630.13874,
1963.448,623.55366,
1960.538,622.49406,
1957.627,638.78291,
1954.716,635.76863,
1951.806,638.58176,
1948.895,614.54409,
1945.985,595.40768,
1943.074,620.0901,
1940.164,589.57679,
1937.253,599.28543,
1934.342,608.471,
1931.432,593.51144,
1928.521,589.13104,
1925.611,591.39117,
1922.700,584.12776,
1919.790,566.98355,
1916.879,592.53252,
1913.968,582.63975,
1911.058,581.50187,
1908.147,566.28924,
1905.237,566.45585,
1902.326,554.63536,
1899.415,572.88964,
1896.505,578.884,
1893.594,569.17376,
1890.684,555.39629,
1887.773,560.754,
1884.863,568.98719,
1881.952,572.11247,
1879.041,563.03414,
1876.131,586.4995,
1873.220,564.73108,
1870.310,560.625,
1867.399,551.76894,
1864.489,560.09232,
1861.578,567.98242,
1858.667,538.93334,
1855.757,573.83144,
1852.846,568.38397,
1849.936,569.99738,
1847.025,562.3306,
1844.114,566.84383,
1841.204,577.03759,
1838.293,597.60172,
1835.383,600.69501,
1832.472,579.17109,
1829.562,568.06979,
1826.651,602.18143,
1823.740,634.64036,
1820.830,612.84523,
1817.919,599.73874,
1815.009,596.91253,
1812.098,645.09741,
1809.188,623.42351,
1806.277,652.91678,
1803.366,589.5899,
1800.456,643.60236,
1797.545,596.88005,
1794.635,645.65795,
1791.724,624.63472,
1788.813,620.62629,
1785.903,617.82466,
1782.992,597.77106,
1780.082,605.13131,
1777.171,612.62714,
1774.261,614.05487,
1771.350,623.20401,
1768.439,632.91984,
1765.529,609.08057,
1762.618,641.7138,
1759.708,684.95124,
1756.797,681.33712,
1753.887,669.57398,
1750.976,644.911,
1748.065,653.8892,
1745.155,670.98629,
1742.244,658.0444,
1739.334,674.90499,
1736.423,677.14651,
1733.512,687.45024,
1730.602,713.56947,
1727.691,691.4539,
1724.781,684.19815,
1721.870,679.7964,
1718.960,717.26991,
1716.049,698.77781,
1713.138,726.96984,
1710.228,726.53292,
1707.317,712.35643,
1704.407,731.28814,
1701.496,681.66678,
1698.586,683.09289,
1695.675,703.27488,
1692.764,714.09222,
1689.854,722.27855,
