,PL9F3F~1,
Wavenumbers [1/cm],Intensity,
2173.010,943.72619,
2170.099,930.43551,
2167.189,970.49282,
2164.278,971.84774,
2161.368,988.64248,
2158.457,995.65275,
2155.546,1009.075,
2152.636,1028.1649,
2149.725,1040.6544,
2146.815,1081.1652,
2143.904,1083.1059,
2140.993,1094.9392,
2138.083,1095.6185,
2135.172,1111.0042,
2132.262,1118.0106,
2129.351,1118.7241,
2126.441,1106.898,
2123.530,1109.5337,
2120.619,1103.4178,
2117.709,1043.8631,
2114.798,1013.969,
2111.888,980.54991,
2108.977,992.03643,
2106.067,955.78922,
2103.156,948.65885,
2100.245,922.50376,
2097.335,931.63088,
2094.424,940.13903,
2091.514,897.36024,
2088.603,912.94235,
2085.692,916.22496,
2082.782,904.13859,
2079.871,919.57234,
2076.961,922.56458,
2074.050,927.35455,
2071.140,923.05184,
2068.229,915.22787,
2065.318,930.95827,
2062.408,931.89337,
2059.497,921.13098,
2056.587,941.43007,
2053.676,921.81811,
2050.766,946.95964,
2047.855,910.67087,
2044.944,914.90385,
2042.034,902.36702,
2039.123,905.70202,
2036.213,918.86664,
2033.302,936.04309,
2030.391,924.65344,
2027.481,936.25582,
2024.570,988.64175,
2021.660,927.81644,
2018.749,943.96813,
2015.839,931.57612,
2012.928,940.56879,
2010.017,941.98099,
2007.107,940.54862,
2004.196,951.42856,
2001.286,964.21022,
1998.375,977.97933,
1995.465,927.58393,
1992.554,897.72367,
1989.643,930.25571,
1986.733,924.46666,
1983.822,896.25849,
1980.912,936.44002,
1978.001,912.18646,
1975.090,926.24353,
1972.180,931.60508,
1969.269,921.42531,
1966.359,918.4188,
1963.448,934.68495,
1960.538,939.25396,
1957.627,924.23373,
1954.716,871.02252,
1951.806,889.69871,
1948.895,895.79551,
1945.985,913.33824,
1943.074,910.12378,
1940.164,890.25977,
1937.253,897.76532,
1934.342,881.41444,
1931.432,895.74606,
1928.521,899.86269,
1925.611,872.31839,
1922.700,909.61187,
1919.790,862.07293,
1916.879,875.75626,
1913.968,913.45574,
1911.058,909.98047,
1908.147,890.09417,
1905.237,893.55142,
1902.326,862.33556,
1899.415,837.75363,
1896.505,809.80728,
1893.594,832.85372,
1890.684,856.63069,
1887.773,868.00843,
1884.863,890.72096,
1881.952,903.28997,
1879.041,923.41226,
1876.131,892.85296,
1873.220,900.19033,
1870.310,909.926,
1867.399,920.34006,
1864.489,869.60295,
1861.578,921.967,
1858.667,919.75154,
1855.757,885.68138,
1852.846,908.25897,
1849.936,904.73324,
1847.025,895.43672,
1844.114,930.38711,
1841.204,953.85315,
1838.293,937.52993,
1835.383,930.97649,
1832.472,963.6287,
1829.562,950.1151,
1826.651,960.16732,
1823.740,949.93291,
1820.830,946.90162,
1817.919,957.45814,
1815.009,974.91221,
1812.098,949.67325,
1809.188,1011.2208,
1806.277,993.9869,
1803.366,997.80128,
1800.456,958.0388,
1797.545,984.22342,
1794.635,982.79002,
1791.724,990.17963,
1788.813,985.50257,
1785.903,984.8237,
1782.992,952.20789,
1780.082,909.77123,
1777.171,796.14398,
1774.261,745.81069,
1771.350,871.59028,
1768.439,981.86301,
1765.529,1024.5056,
1762.618,1054.7025,
1759.708,1043.9021,
1756.797,1047.5682,
1753.887,1064.0904,
1750.976,1073.8586,
1748.065,1080.4155,
1745.155,1077.1129,
1742.244,1072.8379,
1739.334,1073.8694,
1736.423,1090.7504,
1733.512,1122.2399,
1730.602,1121.0278,
1727.691,1092.9349,
1724.781,1131.908,
1721.870,1142.8905,
1718.960,1150.7223,
1716.049,1113.9072,
1713.138,1150.9598,
1710.228,1165.4624,
1707.317,1170.0383,
1704.407,1193.8583,
1701.496,1201.0577,
1698.586,1195.0321,
1695.675,1257.1925,
1692.764,1229.3115,
1689.854,1227.5,
1686.943,1236.1965,
1684.033,1235.5248,
1681.122,1258.1092,
1678.211,1277.3192,
1675.301,1322.3612,
1672.390,1327.4731,
1669.480,1318.6123,
1666.569,1333.1856,
1663.659,1386.99,
1660.748,1416.8085,
1657.837,1433.6591,
1654.927,1486.4137,
1652.016,1524.0869,
1649.106,1508.2344,
1646.195,1538.3152,
1643.285,1573.0723,
1640.374,1640.6882,
1637.463,1651.1393,
1634.553,1741.3719,
1631.642,1800.4881,
1628.732,1890.9089,
1625.821,1959.5674,
1622.911,2061.9196,
1620.000,2174.0763,
1617.089,2298.0124,
1614.179,2481.2546,
1611.268,2640.5515,
1608.358,2774.2257,
1605.447,2890.8152,
1602.536,2949.6857,
1599.626,3009.6159,
1596.715,2980.0112,
1593.805,2896.0101,
1590.894,2907.6361,
1587.984,2886.2494,
1585.073,2767.6397,
1582.162,2719.9488,
1579.252,2658.0372,
1576.341,2638.2904,
1573.431,2615.3543,
1570.520,2558.2867,
1567.610,2537.2842,
1564.699,2472.4224,
1561.788,2449.9084,
1558.878,2386.3203,
1555.967,2330.7341,
1553.057,2256.8972,
1550.146,2229.26,
1547.235,2213.4289,
1544.325,2199.5,
1541.414,2217.8619,
1538.504,2198.0476,
1535.593,2146.4842,
1532.683,2122.9061,
1529.772,2142.9434,
1526.861,2174.8907,
1523.951,2178.8362,
1521.040,2183.6763,
1518.130,2193.0647,
1515.219,2234.3003,
1512.309,2211.6081,
1509.398,2170.7738,
1506.487,2156.2164,
1503.577,2172.3208,
1500.666,2190.3588,
1497.756,2158.8731,
1494.845,2172.6584,
1491.934,2104.4496,
1489.024,2089.0497,
1486.113,2120.9525,
1483.203,2069.3218,
1480.292,2022.62,
1477.382,2060.7619,
1474.471,1973.2755,
1471.560,1937.6947,
1468.650,1938.2331,
1465.739,1979.2104,
1462.829,2020.0013,
1459.918,2031.395,
1457.008,2047.7618,
1454.097,2070.9702,
1451.186,2091.8075,
1448.276,2068.4375,
1445.365,1981.0687,
1442.455,1940.8471,
1439.544,1920.2757,
1436.633,1905.5179,
1433.723,1840.8709,
1430.812,1850.2045,
1427.902,1847.1088,
1424.991,1872.6984,
1422.081,1787.2572,
1419.170,1855.5373,
1416.259,1882.0811,
1413.349,1865.1085,
1410.438,1838.2064,
1407.528,1781.8631,
1404.617,1770.1782,
1401.707,1698.3592,
1398.796,1613.2273,
1395.885,1603.6339,
1392.975,1603.4789,
1390.064,1603.0951,
1387.154,1610.2745,
1384.243,1544.8093,
1381.332,1521.7053,
1378.422,1556.1763,
1375.511,1569.2912,
1372.601,1589.7745,
1369.690,1685.7945,
1366.780,1720.5088,
1363.869,1756.7385,
1360.958,1790.9474,
1358.048,1838.692,
1355.137,1893.464,
1352.227,1926.4477,
1349.316,1935.833,
1346.406,1988.9934,
1343.495,2074.3205,
1340.584,2029.2132,
1337.674,2103.7512,
1334.763,2124.3348,
1331.853,2172.5508,
1328.942,2101.5639,
1326.032,2202.6088,
1323.121,2220.0904,
1320.210,2268.11,
1317.300,2315.3386,
1314.389,2356.1949,
1311.479,2415.4512,
1308.568,2459.7816,
1305.657,2466.9287,
1302.747,2518.6263,
1299.836,2637.0086,
1296.926,2635.7219,
1294.015,2683.5267,
1291.105,2773.5542,
1288.194,2796.6824,
1285.283,2820.9801,
1282.373,2900.3747,
1279.462,2935.4609,
1276.552,2937.9331,
1273.641,2957.8882,
1270.731,2976.206,
1267.820,2967.6059,
1264.909,2932.1808,
1261.999,2893.6332,
1259.088,2897.2816,
1256.178,2929.1889,
1253.267,2872.3572,
1250.356,2814.8965,
1247.446,2807.6478,
1244.535,2766.9376,
1241.625,2716.2889,
1238.714,2702.0455,
1235.804,2667.5098,
1232.893,2641.876,
1229.982,2636.1815,
1227.072,2597.253,
1224.161,2607.9481,
1221.251,2540.5161,
1218.340,2455.6057,
1215.430,2458.2848,
1212.519,2466.2203,
1209.608,2423.8443,
1206.698,2394.266,
1203.787,2403.8216,
1200.877,2445.896,
1197.966,2484.5598,
1195.055,2527.4559,
1192.145,2609.6343,
1189.234,2717.5454,
1186.324,2808.3226,
1183.413,2874.3224,
1180.503,2900.3941,
1177.592,2870.8836,
1174.681,2827.3048,
1171.771,2790.7582,
1168.860,2758.607,
1165.950,2749.0497,
1163.039,2724.4527,
1160.129,2718.0391,
1157.218,2758.9589,
1154.307,2811.2597,
1151.397,2842.5339,
1148.486,2889.5404,
1145.576,2943.3006,
1142.665,2869.6038,
1139.754,2805.7324,
1136.844,2778.4939,
1133.933,2774.846,
1131.023,2735.8998,
1128.112,2699.7844,
1125.202,2726.8864,
1122.291,2752.9825,
1119.380,2707.5173,
1116.470,2709.2824,
1113.559,2695.5815,
1110.649,2665.3062,
1107.738,2646.1418,
1104.828,2631.9297,
1101.917,2611.695,
1099.006,2603.2111,
1096.096,2637.7261,
1093.185,2608.7521,
1090.275,2625.1132,
1087.364,2641.1641,
1084.453,2653.812,
1081.543,2642.4094,
1078.632,2630.842,
1075.722,2656.3209,
1072.811,2667.7554,
1069.901,2657.2762,
1066.990,2640.3334,
1064.079,2667.8036,
1061.169,2681.3954,
1058.258,2696.169,
1055.348,2722.7913,
1052.437,2727.4646,
1049.527,2686.8357,
1046.616,2695.524,
1043.705,2708.8322,
1040.795,2729.7396,
1037.884,2719.2705,
1034.974,2704.3415,
1032.063,2714.8845,
1029.153,2720.5266,
1026.242,2704.0924,
1023.331,2713.4994,
1020.421,2775.4507,
1017.510,2808.2233,
1014.600,2836.7612,
1011.689,2867.0746,
1008.778,2860.4212,
1005.868,2843.0251,
1002.957,2901.5292,
1000.047,3026.252,
997.136,3097.1043,
994.226,3091.5158,
991.315,3046.7995,
988.404,3003.1781,
985.494,2938.5985,
982.583,2898.3404,
979.673,2880.7937,
976.762,2886.4807,
973.852,2893.058,
970.941,2873.2353,
968.030,2832.0087,
965.120,2857.6468,
962.209,2892.601,
959.299,2897.0835,
956.388,2908.8192,
953.477,2930.8308,
950.567,2969.4139,
947.656,3025.6033,
944.746,3003.5149,
941.835,2947.4327,
938.925,2989.1182,
936.014,2982.598,
933.103,2956.9743,
930.193,2962.5122,
927.282,2920.4377,
924.372,2882.3854,
921.461,2852.4624,
918.551,2824.3292,
915.640,2818.5739,
912.729,2835.4038,
909.819,2846.051,
906.908,2804.7721,
903.998,2858.9709,
901.087,2865.2254,
898.176,2870.0439,
895.266,2886.5306,
892.355,2901.2277,
889.445,2910.4596,
886.534,2956.418,
883.624,2919.7474,
880.713,2886.7825,
877.802,2868.51,
874.892,2804.7806,
871.981,2584.5939,
869.071,2419.1821,
866.160,2466.3956,
863.250,2637.8411,
860.339,2779.6828,
857.428,2820.8307,
854.518,2861.9002,
851.607,2772.0368,
848.697,2709.7284,
845.786,2650.6155,
842.875,2670.0296,
839.965,2796.1075,
837.054,2909.3652,
834.144,2986.4392,
831.233,3007.4996,
828.323,2987.7497,
825.412,2987.0374,
822.501,3037.9256,
819.591,3056.9328,
816.680,2982.1794,
813.770,2942.1989,
810.859,2909.6454,
807.949,2887.1537,
805.038,2886.6217,
802.127,2846.2884,
799.217,2860.3894,
796.306,2875.5811,
793.396,2879.7748,
790.485,2863.0758,
787.574,2819.0221,
784.664,2885.4512,
781.753,2892.8031,
778.843,2919.4149,
775.932,2934.3768,
773.022,2903.1627,
770.111,2920.3319,
767.200,2901.7059,
764.290,2879.3194,
761.379,2874.9835,
758.469,2886.0815,
755.558,2885.0106,
752.648,2902.1172,
749.737,2878.7356,
746.826,2837.9254,
743.916,2807.5,
741.005,2800.1636,
738.095,2735.2135,
735.184,2622.3862,
732.274,2584.7072,
729.363,2636.581,
726.452,2738.2242,
723.542,2775.4563,
720.631,2821.8433,
717.721,2859.5595,
714.810,2884.7329,
711.899,2903.4604,
708.989,2933.3166,
706.078,2931.0961,
703.168,2906.2112,
700.257,2883.4863,
697.347,2882.1947,
694.436,2913.8492,
691.525,2926.71,
688.615,2921.9531,
685.704,2955.0573,
682.794,2993.2661,
679.883,2957.7255,
676.973,2984.9721,
674.062,3009.0044,
671.151,2991.4469,
668.241,2948.5908,
665.330,2925.5168,
662.420,2904.7498,
659.509,2910.024,
656.598,2919.8275,
653.688,2934.9317,
650.777,2964.5288,
647.867,2906.3969,
644.956,2879.2595,
642.046,2847.6971,
639.135,2811.727,
636.224,2797.8899,
633.314,2875.6959,
630.403,2923.8781,
627.493,2957.3267,
624.582,2974.7326,
621.672,2953.3487,
618.761,2953.2599,
615.850,2991.5182,
612.940,3030.3553,
610.029,3047.3413,
607.119,3058.3961,
604.208,3086.4805,
601.297,3120.4318,
598.387,3127.4486,
595.476,3088.2428,
592.566,3096.1135,
589.655,3124.7114,
586.745,3147.3114,
583.834,3156.1825,
580.923,3151.7322,
578.013,3190.1842,
575.102,3166.6583,
572.192,3149.003,
569.281,3156.3136,
566.371,3121.8782,
563.460,3117.0891,
560.549,3157.9187,
557.639,3201.2314,
554.728,3204.6388,
551.818,3270.1853,
548.907,3263.1705,
545.996,3229.6717,
543.086,3198.8355,
540.175,3200.3928,
537.265,3162.8375,
534.354,3170.5744,
531.444,3186.3695,
528.533,3172.928,
525.622,3207.0697,
522.712,3210.2527,
519.801,3186.1147,
516.891,3146.9614,
513.980,3124.5068,
511.070,3128.1348,
508.159,3147.6924,
505.248,3164.7475,
502.338,3160.7652,
499.427,3203.9877,
496.517,3198.5303,
493.606,3198.9597,
490.695,3225.393,
487.785,3224.6232,
484.874,3199.2973,
481.964,3180.1014,
479.053,3168.8228,
476.143,3153.4636,
473.232,3154.6582,
470.321,3153.0671,
467.411,3153.2859,
464.500,3162.6442,
461.590,3207.8229,
458.679,3234.2574,
455.769,3248.3356,
452.858,3255.534,
449.947,3265.4651,
447.037,3245.0499,
444.126,3234.9364,
441.216,3242.6323,
438.305,3243.3942,
435.395,3268.4142,
432.484,3249.8268,
429.573,3199.8199,
426.663,3175.4954,
423.752,2937.7724,
420.842,2663.7861,
417.931,2452.3895,
415.020,2427.3637,
412.110,2787.9169,
409.199,3113.6538,
406.289,3297.0515,
403.378,3240.3207,
400.468,3187.4011,
397.557,3155.0755,
394.646,3173.0908,
391.736,3262.0795,
388.825,3280.181,
385.915,3280.1781,
383.004,3271.7879,
380.094,3265.6863,
377.183,3328.1418,
374.272,3336.8155,
371.362,3347.7483,
368.451,3393.734,
365.541,3430.5102,
362.630,3417.0117,
359.719,3406.0831,
356.809,3425.8657,
353.898,3415.3825,
350.988,3419.5523,
348.077,3422.5959,
345.167,3416.4839,
342.256,3435.9077,
339.345,3409.0826,
336.435,3392.7141,
333.524,3424.3591,
330.614,3419.8881,
327.703,3470.3539,
324.793,3534.9675,
321.882,3579.4712,
318.971,3567.5761,
316.061,3602.5651,
313.150,3662.438,
310.240,3723.2916,
307.329,3757.6587,
304.418,3814.7275,
301.508,3878.3308,
298.597,3919.0537,
295.687,3919.791,
292.776,3961.8336,
289.866,4066.7161,
286.955,4276.5141,
284.044,4422.8799,
281.134,4569.7416,
278.223,4716.5715,
275.313,4799.0992,
272.402,4921.6435,
269.492,5014.9269,
266.581,5046.6143,
263.670,4964.2741,
260.760,5029.3052,
257.849,5147.4543,
254.939,5253.1334,
252.028,5260.2908,
249.117,5244.6837,
246.207,5246.2293,
243.296,5334.0737,
240.386,5296.4846,
237.475,5253.8274,
234.565,5213.0763,
231.654,5134.1949,
228.743,5087.5809,
225.833,5004.2158,
222.922,4861.7142,
220.012,4801.9726,
217.101,4762.3807,
214.191,4710.683,
211.280,4608.1107,
208.369,4591.0806,
205.459,4541.3847,
202.548,4473.5,
199.638,4473.5,
196.727,4400.3206,
193.816,4354.3266,
190.906,4367.3702,
187.995,4221.1173,
185.085,4189.8871,
182.174,4205.8194,
179.264,4184.8592,
176.353,4201.7234,
173.442,4191.4716,
170.532,4149.3756,
167.621,4105.3961,
164.711,4025.7018,
161.800,3884.6265,
158.890,3650.715,
155.979,3410.1215,
153.068,3152.7439,
150.158,2862.6625,
147.247,2475.6863,
144.337,2059.3775,
141.426,1623.7901,
138.516,1170.7149,
135.605,858.96094,
132.694,594.33625,
129.784,380.99534,
126.873,250.12658,
123.963,168.3002,
121.052,113.18541,
118.141,79.632013,
115.231,69.552015,
112.320,57.450917,
109.410,46.772711,
106.499,48.197021,
103.589,40.656437,
100.678,32.055405,
97.767,25.656966,
94.857,26.885978,
91.946,29.515554,
89.036,31.258123,
86.125,23.456865,
83.215,22.03092,
80.304,20.105673,
77.393,13.023974,
74.483,17.74108,
71.572,18.688239,
68.662,15.084395,
65.751,10.845689,
62.840,12.390212,
59.930,14.750855,
57.019,11.930527,
54.109,9.1113566,
51.198,10.516093,
48.288,17.466025,
45.377,13.245757,
42.466,10.675561,
39.556,9.6151186,
36.645,10.317309,
33.735,12.576994,
30.824,10.524034,
27.914,-2.0971199,
25.003,2.1037373,
22.092,3.8854772,
19.182,0.75171149,
16.271,8.4461029,
13.361,31.729983,
10.450,36.543756,
7.539,-96.834479,
4.629,-428.38686,
1.718,-802.71768,
-1.192,-1116.4327,
-4.103,-873.93369,
-7.013,-481.42054,
-9.924,-0.5,
