,PLECE3~1,
Raman shift [1/cm],Intensity,
1762.618,490.27753,
1759.708,497.08688,
1756.797,476.30303,
1753.887,485.62318,
1750.976,453.98758,
1748.065,457.00191,
1745.155,449.73086,
1742.244,449.96555,
1739.334,490.24646,
1736.423,487.79301,
1733.512,482.20529,
1730.602,505.19051,
1727.691,511.21468,
1724.781,535.92045,
1721.870,488.02587,
1718.960,495.3058,
1716.049,498.07205,
1713.138,528.52985,
1710.228,495.45693,
1707.317,512.74886,
1704.407,522.03878,
1701.496,538.24631,
1698.586,550.83781,
1695.675,541.45721,
1692.764,547.37705,
1689.854,597.49806,
1686.943,601.68255,
1684.033,595.89902,
1681.122,553.48067,
1678.211,608.21703,
1675.301,623.70375,
1672.390,601.79785,
1669.480,617.91044,
1666.569,638.15627,
1663.659,670.09298,
1660.748,689.76663,
1657.837,640.05618,
1654.927,654.49973,
1652.016,684.97243,
1649.106,656.68772,
1646.195,773.36638,
1643.285,757.75,
1640.374,757.89634,
1637.463,764.84007,
1634.553,770.38545,
1631.642,813.17346,
1628.732,851.86258,
1625.821,870.78009,
1622.911,916.49078,
1620.000,975.99408,
1617.089,1032.6157,
1614.179,1082.3399,
1611.268,1119.3744,
1608.358,1160.7834,
1605.447,1165.5786,
1602.536,1175.0689,
1599.626,1184.0294,
1596.715,1257.3581,
1593.805,1205.7241,
1590.894,1193.466,
1587.984,1190.1517,
1585.073,1205.9155,
1582.162,1191.2174,
1579.252,1166.4742,
1576.341,1139.3202,
1573.431,1094.5913,
1570.520,1111.2676,
1567.610,1103.3576,
1564.699,1094.1249,
1561.788,1099.088,
1558.878,1034.8392,
1555.967,1036.1226,
1553.057,1041.2674,
1550.146,1010.7828,
1547.235,980.99184,
1544.325,962.26702,
1541.414,953.58977,
1538.504,964.59506,
1535.593,959.22108,
1532.683,932.02151,
1529.772,926.49368,
1526.861,929.12904,
1523.951,925.98632,
1521.040,927.69458,
1518.130,917.20668,
1515.219,899.11027,
1512.309,890.49325,
1509.398,897.69098,
1506.487,915.02563,
1503.577,908.81094,
1500.666,885.81798,
1497.756,842.79288,
1494.845,892.1102,
1491.934,900.66811,
1489.024,875.64329,
1486.113,871.96835,
1483.203,847.76947,
1480.292,877.84195,
1477.382,844.14584,
1474.471,776.4292,
1471.560,804.46696,
1468.650,805.35143,
1465.739,791.3451,
1462.829,805.0577,
1459.918,810.6726,
1457.008,807.2731,
1454.097,819.84179,
1451.186,830.25484,
1448.276,817.1568,
1445.365,790.78397,
1442.455,802.00172,
1439.544,870.47563,
1436.633,811.79866,
1433.723,816.62538,
1430.812,813.68129,
1427.902,787.7049,
1424.991,785.80938,
1422.081,747.21596,
1419.170,773.12805,
1416.259,812.58271,
1413.349,760.33072,
1410.438,802.33061,
1407.528,790.76924,
1404.617,793.23513,
1401.707,804.4506,
1398.796,782.28501,
1395.885,793.7542,
1392.975,829.95801,
1390.064,801.62316,
1387.154,754.665,
1384.243,704.67972,
1381.332,665.88072,
1378.422,631.5805,
1375.511,725.2586,
1372.601,795.86778,
1369.690,829.18112,
1366.780,905.8252,
1363.869,884.79376,
1360.958,880.31346,
1358.048,884.56338,
1355.137,894.78936,
1352.227,906.58008,
1349.316,947.24407,
1346.406,1009.0272,
1343.495,1001.0374,
1340.584,980.71344,
1337.674,1039.6092,
1334.763,1070.515,
1331.853,1038.0619,
1328.942,1061.655,
1326.032,1028.0471,
1323.121,1071.6175,
1320.210,1097.0751,
1317.300,1052.351,
1314.389,1033.1392,
1311.479,1054.614,
1308.568,1043.5577,
1305.657,1022.0455,
1302.747,1059.7062,
1299.836,1051.7353,
1296.926,1109.861,
1294.015,1133.7634,
1291.105,1141.7943,
1288.194,1235.4042,
1285.283,1211.4938,
1282.373,1226.9217,
1279.462,1270.3574,
1276.552,1286.0334,
1273.641,1271.121,
1270.731,1256.6903,
1267.820,1268.3203,
1264.909,1280.5517,
1261.999,1243.4158,
1259.088,1261.6582,
1256.178,1250.7596,
1253.267,1201.9511,
1250.356,1193.8453,
1247.446,1164.48,
1244.535,1144.7232,
1241.625,1142.9056,
1238.714,1111.1524,
1235.804,1058.0607,
1232.893,1064.7469,
1229.982,1077.0942,
1227.072,1028.2073,
1224.161,1062.5727,
1221.251,989.34301,
1218.340,944.25908,
1215.430,925.94143,
1212.519,911.50585,
1209.608,921.17753,
1206.698,950.40947,
1203.787,940.08669,
1200.877,954.64451,
1197.966,985.21593,
1195.055,981.63051,
1192.145,1019.8199,
1189.234,1040.5355,
1186.324,1048.023,
1183.413,1064.882,
1180.503,1094.2167,
1177.592,1110.4771,
1174.681,1085.9486,
1171.771,1059.5852,
1168.860,1052.4404,
1165.950,1050.1374,
1163.039,1021.8139,
1160.129,1008.5703,
1157.218,991.40498,
1154.307,967.8136,
1151.397,950.19031,
1148.486,932.1967,
1145.576,951.59581,
1142.665,948.04416,
1139.754,953.4454,
1136.844,929.5391,
1133.933,911.71193,
1131.023,892.58712,
1128.112,895.31874,
1125.202,919.0882,
1122.291,890.37939,
1119.380,901.84527,
1116.470,911.55309,
1113.559,903.47101,
1110.649,901.40485,
1107.738,905.50073,
1104.828,901.26021,
1101.917,898.14676,
1099.006,920.13133,
1096.096,940.48123,
1093.185,936.09122,
1090.275,964.88373,
1087.364,896.27649,
1084.453,891.56061,
1081.543,903.79448,
1078.632,902.28578,
1075.722,928.99776,
1072.811,925.68795,
1069.901,924.81469,
1066.990,901.30839,
1064.079,919.56799,
1061.169,958.91736,
1058.258,971.58635,
1055.348,966.56875,
1052.437,982.33838,
1049.527,955.65629,
1046.616,979.11469,
1043.705,984.83306,
1040.795,986.3885,
1037.884,986.24426,
1034.974,1001.7642,
1032.063,1019.2119,
1029.153,989.47704,
1026.242,995.53173,
1023.331,1008.2492,
1020.421,998.20217,
1017.510,1000.5939,
1014.600,1012.671,
1011.689,1031.8677,
1008.778,1057.111,
1005.868,1041.8736,
1002.957,1055.6392,
1000.047,1115.99,
997.136,1177.1008,
994.226,1207.873,
991.315,1185.2624,
988.404,1126.3713,
985.494,1133.5417,
982.583,1079.5786,
979.673,1065.8968,
976.762,1057.2919,
973.852,1059.3802,
970.941,1080.198,
968.030,1102.536,
965.120,1061.8037,
962.209,1074.5918,
959.299,1085.249,
956.388,1088.19,
953.477,1068.0207,
950.567,1053.6055,
947.656,1094.1983,
944.746,1105.2426,
941.835,1089.5537,
938.925,1087.7242,
936.014,1108.4772,
933.103,1121.3943,
930.193,1101.3602,
927.282,1066.9251,
924.372,1051.7042,
921.461,1034.2856,
918.551,1017.7123,
915.640,1026.7477,
912.729,1052.9703,
909.819,1054.8553,
906.908,1002.6249,
903.998,1000.5454,
901.087,1030.0293,
898.176,1045.3184,
895.266,1032.0062,
892.355,1017.5871,
889.445,1075.4966,
886.534,1112.4844,
883.624,1096.2009,
880.713,1090.8743,
877.802,1100.9187,
874.892,1100.8446,
871.981,1066.2037,
869.071,1085.4182,
866.160,1077.0207,
863.250,1058.1207,
860.339,1067.9444,
857.428,1100.8629,
854.518,1071.7019,
851.607,1070.0377,
848.697,1062.8718,
845.786,1060.7879,
842.875,1062.7986,
839.965,1070.4977,
837.054,1096.443,
834.144,1069.0942,
831.233,1063.0834,
828.323,1061.2663,
825.412,1056.8523,
822.501,1049.2606,
819.591,1040.9966,
816.680,983.05759,
813.770,994.43661,
810.859,998.92022,
807.949,994.29394,
805.038,1014.958,
802.127,1000.1417,
799.217,1012.167,
796.306,1007.1013,
793.396,1007.9257,
