,PL3ADE~1,
Wavenumbers [1/cm],Intensity,
2175.920,657.6209,
2173.010,687.47704,
2170.099,682.64335,
2167.189,683.54004,
2164.278,704.17399,
2161.368,696.80292,
2158.457,715.45852,
2155.546,725.17789,
2152.636,723.89097,
2149.725,764.81792,
2146.815,779.17479,
2143.904,760.77648,
2140.993,770.19503,
2138.083,790.83396,
2135.172,790.89599,
2132.262,804.02201,
2129.351,820.17159,
2126.441,802.93805,
2123.530,780.58826,
2120.619,794.00825,
2117.709,763.53925,
2114.798,761.88642,
2111.888,730.00068,
2108.977,718.55381,
2106.067,723.40851,
2103.156,721.73549,
2100.245,708.35618,
2097.335,684.03468,
2094.424,718.19452,
2091.514,691.7997,
2088.603,695.81735,
2085.692,701.46425,
2082.782,697.375,
2079.871,727.76939,
2076.961,723.14993,
2074.050,747.45379,
2071.140,730.17953,
2068.229,732.47006,
2065.318,729.28875,
2062.408,724.98847,
2059.497,712.56547,
2056.587,716.46791,
2053.676,716.10853,
2050.766,727.37425,
2047.855,708.06173,
2044.944,696.3109,
2042.034,696.72192,
2039.123,727.85648,
2036.213,732.20385,
2033.302,740.02686,
2030.391,754.7988,
2027.481,746.67994,
2024.570,747.74634,
2021.660,735.20281,
2018.749,766.69117,
2015.839,747.62631,
2012.928,739.36326,
2010.017,750.34894,
2007.107,756.98062,
2004.196,753.13687,
2001.286,757.87674,
1998.375,752.06594,
1995.465,717.84375,
1992.554,724.39841,
1989.643,729.27131,
1986.733,757.11096,
1983.822,706.99243,
1980.912,744.94857,
1978.001,722.01879,
1975.090,731.58568,
1972.180,720.13432,
1969.269,731.0561,
1966.359,730.45589,
1963.448,729.68015,
1960.538,744.54765,
1957.627,726.86724,
1954.716,728.26009,
1951.806,735.72918,
1948.895,721.20702,
1945.985,719.0384,
1943.074,761.36404,
1940.164,732.70168,
1937.253,711.6533,
1934.342,716.93917,
1931.432,724.375,
1928.521,733.46654,
1925.611,709.54413,
1922.700,727.65814,
1919.790,712.98219,
1916.879,725.18926,
1913.968,740.35779,
1911.058,745.64827,
1908.147,736.17209,
1905.237,731.24993,
1902.326,693.53944,
1899.415,690.23718,
1896.505,647.75431,
1893.594,661.2593,
1890.684,686.10719,
1887.773,697.45173,
1884.863,756.81691,
1881.952,749.17277,
1879.041,759.31322,
1876.131,755.78808,
1873.220,745.52984,
1870.310,766.65299,
1867.399,773.29503,
1864.489,779.79085,
1861.578,767.61659,
1858.667,782.33313,
1855.757,752.5349,
1852.846,780.28787,
1849.936,741.46708,
1847.025,771.49179,
1844.114,783.01973,
1841.204,799.33654,
1838.293,794.39329,
1835.383,780.6425,
1832.472,800.31761,
1829.562,810.90338,
1826.651,808.375,
1823.740,823.66238,
1820.830,785.39036,
1817.919,803.32131,
1815.009,787.25668,
1812.098,836.3356,
1809.188,857.38272,
1806.277,830.99469,
1803.366,817.74282,
1800.456,781.58406,
1797.545,806.24714,
1794.635,842.82698,
1791.724,838.64676,
1788.813,867.5714,
1785.903,848.87118,
1782.992,809.88911,
1780.082,746.57526,
1777.171,664.69404,
1774.261,641.3056,
1771.350,735.32452,
1768.439,822.35694,
1765.529,857.46668,
1762.618,873.4869,
1759.708,857.78777,
1756.797,860.95833,
1753.887,886.93914,
1750.976,895.04057,
1748.065,916.35042,
1745.155,921.26536,
1742.244,917.05073,
1739.334,897.20324,
1736.423,953.37678,
1733.512,911.97643,
1730.602,920.78378,
1727.691,933.14266,
1724.781,961.69176,
1721.870,934.77004,
1718.960,975.70893,
1716.049,916.7401,
1713.138,948.68978,
1710.228,915.47104,
1707.317,945.64243,
1704.407,974.63172,
1701.496,971.90571,
1698.586,1002.7905,
1695.675,1024.0892,
1692.764,975.19874,
1689.854,980.02855,
1686.943,986.17265,
1684.033,997.1018,
1681.122,1029.8143,
1678.211,1018.4892,
1675.301,1082.1777,
1672.390,1019.363,
1669.480,1015.8483,
1666.569,1075.378,
1663.659,1152.6727,
1660.748,1110.7606,
1657.837,1131.0092,
1654.927,1158.883,
1652.016,1138.3507,
1649.106,1138.1094,
1646.195,1167.9984,
1643.285,1193.9675,
1640.374,1219.3541,
1637.463,1219.2217,
1634.553,1265.7149,
1631.642,1288.9179,
1628.732,1338.6002,
1625.821,1376.4162,
1622.911,1439.02,
1620.000,1468.997,
1617.089,1565.4247,
1614.179,1630.5419,
1611.268,1703.6238,
1608.358,1798.8332,
1605.447,1899.5472,
1602.536,1916.5576,
1599.626,1905.4159,
1596.715,1966.0919,
1593.805,1861.4778,
1590.894,1876.5564,
1587.984,1861.321,
1585.073,1754.5754,
1582.162,1749.7332,
1579.252,1740.1005,
1576.341,1702.9293,
1573.431,1680.2779,
1570.520,1665.6737,
1567.610,1657.1592,
1564.699,1645.2246,
1561.788,1644.1919,
1558.878,1622.8438,
1555.967,1610.393,
1553.057,1574.9271,
1550.146,1553.5314,
1547.235,1540.5685,
1544.325,1541.4235,
1541.414,1536.4937,
1538.504,1524.3198,
1535.593,1518.9666,
1532.683,1508.0247,
1529.772,1513.1748,
1526.861,1503.212,
1523.951,1480.7565,
1521.040,1506.5236,
1518.130,1512.3818,
1515.219,1549.3354,
1512.309,1530.9245,
1509.398,1519.1012,
1506.487,1531.3044,
1503.577,1505.5829,
1500.666,1489.9346,
1497.756,1496.7397,
1494.845,1522.5735,
1491.934,1455.2459,
1489.024,1415.7837,
1486.113,1503.3877,
1483.203,1517.4803,
1480.292,1469.1613,
1477.382,1489.4719,
1474.471,1422.7066,
1471.560,1427.9503,
1468.650,1432.9088,
1465.739,1429.094,
1462.829,1453.4413,
1459.918,1494.1321,
1457.008,1499.1594,
1454.097,1493.2317,
1451.186,1509.0288,
1448.276,1491.8092,
1445.365,1429.6578,
1442.455,1405.5811,
1439.544,1425.0552,
1436.633,1387.4525,
1433.723,1375.3841,
1430.812,1356.2959,
1427.902,1379.8113,
1424.991,1356.1172,
1422.081,1326.0157,
1419.170,1372.6264,
1416.259,1362.5536,
1413.349,1318.3472,
1410.438,1351.5605,
1407.528,1361.7189,
1404.617,1349.9166,
1401.707,1319.9379,
1398.796,1280.382,
1395.885,1262.2018,
1392.975,1249.2077,
1390.064,1241.0336,
1387.154,1276.1315,
1384.243,1241.166,
1381.332,1190.695,
1378.422,1218.7275,
1375.511,1244.9574,
1372.601,1259.1986,
1369.690,1283.52,
1366.780,1308.7599,
1363.869,1400.8258,
1360.958,1411.5879,
1358.048,1402.7482,
1355.137,1444.8527,
1352.227,1516.604,
1349.316,1575.8723,
1346.406,1591.8798,
1343.495,1568.6206,
1340.584,1584.3384,
1337.674,1641.0902,
1334.763,1655.375,
1331.853,1655.375,
1328.942,1658.9329,
1326.032,1728.7028,
1323.121,1713.2545,
1320.210,1731.0096,
1317.300,1737.1118,
1314.389,1783.2788,
1311.479,1819.2683,
1308.568,1833.2654,
1305.657,1884.1606,
1302.747,1886.113,
1299.836,1940.6748,
1296.926,1972.1441,
1294.015,1988.6919,
1291.105,2013.1496,
1288.194,2068.2933,
1285.283,2074.931,
1282.373,2091.9921,
1279.462,2124.2373,
1276.552,2160.8869,
1273.641,2164.0151,
1270.731,2141.784,
1267.820,2157.1041,
1264.909,2132.0346,
1261.999,2150.7758,
1259.088,2134.3576,
1256.178,2146.2218,
1253.267,2125.3591,
1250.356,2111.6025,
1247.446,2120.1095,
1244.535,2103.5983,
1241.625,2067.475,
1238.714,2056.9795,
1235.804,2073.5255,
1232.893,2085.2548,
1229.982,2061.6885,
