,PL681F~1,
Wavenumbers [1/cm],Intensity,
2173.010,772.60317,
2170.099,769.80208,
2167.189,770.09328,
2164.278,784.17387,
2161.368,792.99976,
2158.457,793.3401,
2155.546,812.22601,
2152.636,847.32974,
2149.725,841.51679,
2146.815,852.53284,
2143.904,860.71373,
2140.993,890.74078,
2138.083,889.11849,
2135.172,908.47061,
2132.262,904.48944,
2129.351,892.44823,
2126.441,886.46601,
2123.530,843.20203,
2120.619,856.18369,
2117.709,824.15419,
2114.798,818.61153,
2111.888,799.03833,
2108.977,787.99338,
2106.067,773.79893,
2103.156,786.47654,
2100.245,754.99561,
2097.335,747.87958,
2094.424,750.11154,
2091.514,760,
2088.603,764.74652,
2085.692,772.3643,
2082.782,771.87953,
2079.871,766.89265,
2076.961,751.96867,
2074.050,759.46667,
2071.140,750.28725,
2068.229,758.63281,
2065.318,764.531,
2062.408,776.84871,
2059.497,790.60715,
2056.587,765.33766,
2053.676,765.43263,
2050.766,768,
2047.855,751.68673,
2044.944,740.46795,
2042.034,740.55496,
2039.123,755.40067,
2036.213,768.19114,
2033.302,781.4347,
2030.391,780.20355,
2027.481,780.71948,
2024.570,793.79969,
2021.660,784.70955,
2018.749,779.05024,
2015.839,758.36286,
2012.928,776.55201,
2010.017,771.8176,
2007.107,789.76823,
2004.196,786.29759,
2001.286,789.48054,
1998.375,756.63975,
1995.465,760.23839,
1992.554,783.52926,
1989.643,739.65906,
1986.733,778.98333,
1983.822,767.20679,
1980.912,793.84068,
1978.001,754.43228,
1975.090,760.16489,
1972.180,769.17288,
1969.269,772.49141,
1966.359,766.02686,
1963.448,769.22722,
1960.538,801.40284,
1957.627,764.30956,
1954.716,738.60326,
1951.806,755.95032,
1948.895,750.28145,
1945.985,729.64216,
1943.074,760.69764,
1940.164,739.29842,
1937.253,743.32659,
1934.342,729.14545,
1931.432,761.00947,
1928.521,764.85665,
1925.611,749.46765,
1922.700,742.62569,
1919.790,720.46845,
1916.879,730.02351,
1913.968,723.00984,
1911.058,767.6036,
1908.147,759.07735,
1905.237,737.02204,
1902.326,724.20889,
1899.415,703.62924,
1896.505,656.99387,
1893.594,677.52452,
1890.684,730.87574,
1887.773,736.80186,
1884.863,748.94533,
1881.952,767.7649,
1879.041,765.19159,
1876.131,734.49674,
1873.220,748.92044,
1870.310,806.76672,
1867.399,767.70372,
1864.489,748.75246,
1861.578,787.61023,
1858.667,745,
1855.757,744.60143,
1852.846,749.53331,
1849.936,764.16317,
1847.025,755.11679,
1844.114,779.92242,
1841.204,815.05944,
1838.293,827.9867,
1835.383,826.16301,
1832.472,840.53565,
1829.562,839.39114,
1826.651,820.42712,
1823.740,829.10347,
1820.830,809.30687,
1817.919,811.77252,
1815.009,801.15649,
1812.098,840.29131,
1809.188,846.87596,
1806.277,808.86314,
1803.366,779.366,
1800.456,801.65949,
1797.545,815.85801,
1794.635,845.16102,
1791.724,853.66019,
1788.813,860.00386,
1785.903,857.93033,
1782.992,801.80623,
1780.082,741.76492,
1777.171,616.9732,
1774.261,548.75564,
1771.350,681.56703,
1768.439,828.94022,
1765.529,865.27221,
1762.618,881.80816,
1759.708,859.57565,
1756.797,868.02273,
1753.887,905.3586,
1750.976,916.33115,
1748.065,915.94009,
1745.155,900.05813,
1742.244,896.98641,
1739.334,901.42353,
1736.423,938.32705,
1733.512,933.3536,
1730.602,946.19646,
1727.691,953,
1724.781,970.30468,
1721.870,955.6856,
1718.960,972.37804,
1716.049,970.2882,
1713.138,949.3351,
1710.228,998.21782,
1707.317,984.77029,
1704.407,968.52404,
1701.496,999.81572,
1698.586,965.11664,
1695.675,1028.4353,
1692.764,1010.2787,
1689.854,971.68895,
1686.943,997.05568,
1684.033,1043.8327,
1681.122,1016.4928,
1678.211,1044.724,
1675.301,1089.8612,
1672.390,1051.9192,
1669.480,1025.7059,
1666.569,1114.003,
1663.659,1191.5917,
1660.748,1167.1157,
1657.837,1174.006,
1654.927,1219.2811,
1652.016,1231.8505,
1649.106,1265.7307,
1646.195,1255.4795,
1643.285,1275.5697,
1640.374,1300.4181,
