,PL3CE0~1,
Raman shift [1/cm],Intensity,
2647.434,441.50722,
2644.524,442.31954,
2641.613,444.73586,
2638.702,453.15531,
2635.792,432.62388,
2632.881,441.82737,
2629.971,443.12249,
2627.060,453.41843,
2624.149,439.70937,
2621.239,437.24407,
2618.328,461.74135,
2615.418,441.2909,
2612.507,433.17882,
2609.597,454.68912,
2606.686,454.05522,
2603.775,465.25398,
2600.865,462.95985,
2597.954,477.48337,
2595.044,465.22343,
2592.133,473.08441,
2589.223,469.7921,
2586.312,476.5917,
2583.401,478.25,
2580.491,470.9904,
2577.580,486.2302,
2574.670,473.14305,
2571.759,480.70975,
2568.848,469.49299,
2565.938,489.67861,
2563.027,491.20223,
2560.117,481.64248,
2557.206,497.27583,
2554.296,506.07151,
2551.385,485.44809,
2548.474,494.43513,
2545.564,506.80682,
2542.653,510.01846,
2539.743,505.29929,
2536.832,490.67803,
2533.922,508.455,
2531.011,518.77521,
2528.100,524.51136,
2525.190,505.2082,
2522.279,534.98375,
2519.369,504.11824,
2516.458,513.37606,
2513.548,527.82276,
2510.637,531.32776,
2507.726,516.31319,
2504.816,521.00085,
2501.905,510.01829,
2498.995,523.69731,
2496.084,505.07582,
2493.173,531.51358,
2490.263,535.86807,
2487.352,543.66573,
2484.442,533.38275,
2481.531,542.82977,
2478.621,541.1789,
2475.710,545.15799,
2472.799,532.26346,
2469.889,534.58242,
2466.978,543.85821,
2464.068,540.46162,
2461.157,557.55507,
2458.247,547.10295,
2455.336,558.80187,
2452.425,549.98583,
2449.515,565.75935,
2446.604,560.83987,
2443.694,565.22699,
2440.783,576.72748,
2437.872,569.61465,
2434.962,581.35138,
2432.051,575.54608,
2429.141,570.36756,
2426.230,581.66328,
2423.320,592.76396,
2420.409,597.92965,
2417.498,580.06179,
2414.588,587.87733,
2411.677,591.28586,
2408.767,597.56201,
2405.856,609.02859,
2402.946,597.4046,
2400.035,599.64437,
2397.124,614.99333,
2394.214,594.11599,
2391.303,590.85231,
2388.393,588.20816,
2385.482,623.7519,
2382.571,602.8697,
2379.661,616.41288,
2376.750,612.3017,
2373.840,634.07491,
2370.929,619.46659,
2368.019,630.10466,
2365.108,634.39136,
2362.197,618.63905,
2359.287,633.02326,
2356.376,632.25704,
2353.466,650.77904,
2350.555,658.97963,
2347.645,631.40896,
2344.734,642.16249,
2341.823,643.31633,
2338.913,661.96045,
2336.002,663.76676,
2333.092,655.61792,
2330.181,658.79474,
2327.270,670.69995,
2324.360,671.71227,
2321.449,660.49488,
2318.539,659.57113,
2315.628,665.88069,
2312.718,684.33151,
2309.807,673.84012,
2306.896,669.76174,
2303.986,677.29548,
2301.075,668.90962,
2298.165,670.8271,
2295.254,676.18537,
2292.344,688.9802,
2289.433,704.17272,
2286.522,681.68306,
2283.612,692.36099,
2280.701,687.86437,
2277.791,711.04963,
2274.880,703.68205,
2271.969,696.57099,
2269.059,710.86309,
2266.148,733.11143,
2263.238,732.85232,
2260.327,736.73255,
2257.417,722.41777,
2254.506,739.41808,
2251.595,743.24268,
2248.685,756.61536,
2245.774,720.50342,
2242.864,735.31484,
2239.953,734.20176,
2237.043,741.66677,
2234.132,768.65517,
2231.221,761.59103,
2228.311,777.25642,
2225.400,778.10927,
2222.490,775.29239,
2219.579,787.66904,
2216.669,799.72377,
2213.758,809.81602,
2210.847,799.35329,
2207.937,813.51708,
2205.026,829.02726,
2202.116,849.28077,
2199.205,860.88788,
2196.294,861.67998,
2193.384,900.22255,
2190.473,905.52817,
2187.563,950.16783,
2184.652,935.20796,
2181.742,957.18317,
