,PL1FD2~1,
Raman shift [1/cm],Intensity,
2213.758,1913.1822,
2210.847,1908.9783,
2207.937,1920.2642,
2205.026,1946.9849,
2202.116,1989.0523,
2199.205,2030.9614,
2196.294,2052.189,
2193.384,2089.2421,
2190.473,2122.0346,
2187.563,2207.4164,
2184.652,2331.2252,
2181.742,2427.7647,
2178.831,2568.3812,
2175.920,2757.3869,
2173.010,2976.587,
2170.099,3239.385,
2167.189,3458.1425,
2164.278,3801.8087,
2161.368,4038.7245,
2158.457,4304.7471,
2155.546,4565.5512,
2152.636,4775.1193,
2149.725,4940.2239,
2146.815,5075.0042,
2143.904,5209.165,
2140.993,5180.6846,
2138.083,5151.1912,
2135.172,5103.5471,
2132.262,5012.7764,
2129.351,4845.5156,
2126.441,4677.6513,
2123.530,4517.7884,
2120.619,4210.6471,
2117.709,3923.6894,
2114.798,3662.3472,
2111.888,3396.3314,
2108.977,3139.6233,
2106.067,2927.0248,
2103.156,2755.9384,
2100.245,2607.8349,
2097.335,2530.7494,
2094.424,2427.2158,
2091.514,2379.9931,
2088.603,2305.1747,
2085.692,2248.9606,
2082.782,2243.6501,
2079.871,2232.91,
2076.961,2195.2644,
2074.050,2195.8871,
2071.140,2149.3124,
2068.229,2111.5078,
2065.318,2122.7645,
2062.408,2104.3289,
2059.497,2079.8869,
2056.587,2079.6193,
2053.676,2047.6602,
2050.766,2051.0282,
2047.855,1998.1883,
2044.944,2007.2789,
2042.034,1994.505,
2039.123,2000.4777,
2036.213,2025.1061,
2033.302,2035.9183,
2030.391,2043.6547,
2027.481,2044.8506,
2024.570,2025.647,
2021.660,2037.8698,
2018.749,2015.7868,
2015.839,2039.6821,
2012.928,2045.1049,
2010.017,2037.4342,
2007.107,2023.2245,
2004.196,2021.7321,
2001.286,2032.7937,
1998.375,2033.437,
1995.465,2024.1554,
1992.554,2023.7515,
1989.643,2013.2552,
1986.733,1998.0355,
1983.822,1997.4895,
1980.912,1980.2911,
1978.001,1985.9177,
1975.090,1983.2353,
1972.180,1986.8072,
1969.269,1993.6883,
1966.359,1997.1992,
1963.448,1987.9529,
1960.538,1991.7441,
1957.627,2015.166,
1954.716,1987.7655,
1951.806,1984.633,
1948.895,1962.2778,
1945.985,1975.143,
1943.074,1987.5946,
1940.164,1980.8268,
1937.253,1957.8231,
1934.342,1950.4477,
1931.432,1975.6163,
1928.521,1974.2377,
1925.611,1959.6673,
1922.700,1936.2977,
1919.790,1949.8228,
1916.879,1987.2943,
1913.968,1983.8824,
1911.058,1963.875,
1908.147,1960.5538,
1905.237,1942.6471,
1902.326,1957.0839,
1899.415,1942.4091,
1896.505,1930.1884,
1893.594,1944.061,
1890.684,1954.9794,
1887.773,1974.6077,
1884.863,1953.5515,
1881.952,1947.1524,
1879.041,1965.0048,
1876.131,1943.8149,
1873.220,1957.9238,
1870.310,1943.2383,
1867.399,1953.6831,
1864.489,1995.1865,
1861.578,1997.4578,
1858.667,1946.0486,
1855.757,1958.455,
1852.846,1979.116,
1849.936,1977.8049,
1847.025,1991.8142,
1844.114,2011.3362,
1841.204,2024.1687,
1838.293,2010.3925,
1835.383,2014.6305,
1832.472,2029.8402,
1829.562,2051.6779,
1826.651,2060.8237,
1823.740,2059.147,
1820.830,2054.245,
1817.919,2031.7012,
1815.009,2094.5175,
1812.098,2068.1742,
1809.188,2072.3168,
1806.277,2066.0299,
1803.366,2061.3907,
1800.456,2092.5345,
1797.545,2105.3501,
1794.635,2121.036,
1791.724,2132.8361,
1788.813,2153.4758,
1785.903,2164.3168,
1782.992,2180.3399,
1780.082,2155.2015,
1777.171,2149.1973,
1774.261,2114.0801,
1771.350,2154.1605,
1768.439,2209.0892,
1765.529,2218.7833,
1762.618,2224.5038,
1759.708,2229.2336,
1756.797,2206.2008,
1753.887,2235.3138,
1750.976,2257.0818,
1748.065,2286.3558,
1745.155,2271.5527,
1742.244,2275.6983,
1739.334,2291.6138,
1736.423,2322.5497,
1733.512,2323.9603,
1730.602,2313.8909,
1727.691,2324.1576,
1724.781,2395.5206,
1721.870,2420.3131,
1718.960,2399.6747,
1716.049,2435.1458,
1713.138,2460.8299,
1710.228,2446.4691,
1707.317,2428.8373,
1704.407,2478.982,
1701.496,2491.2558,
1698.586,2539.9222,
1695.675,2529.8394,
1692.764,2583.7849,
1689.854,2576.3514,
1686.943,2627.0875,
1684.033,2562.5639,
1681.122,2633.6176,
1678.211,2668.5514,
1675.301,2779.5327,
1672.390,2793.0245,
1669.480,2843.4847,
1666.569,2918.8369,
1663.659,2917.3776,
1660.748,3009.6875,
1657.837,3103.3621,
1654.927,3169.9219,
1652.016,3173.9647,
1649.106,3257.7771,
1646.195,3256.1767,
1643.285,3350.9232,
1640.374,3398.53,
1637.463,3524.118,
1634.553,3592.939,
1631.642,3666.8718,
1628.732,3940.8645,
1625.821,4106.9875,
1622.911,4277.9058,
1620.000,4518.8135,
1617.089,4773.7606,
1614.179,4997.5298,
1611.268,5276.3537,
1608.358,5540.4201,
1605.447,5727.305,
1602.536,5804.039,
1599.626,5866.8308,
1596.715,5909.0866,
1593.805,5816.2872,
1590.894,5813.6817,
1587.984,5766.3738,
1585.073,5721.4391,
1582.162,5724.0587,
1579.252,5666.9573,
1576.341,5641.859,
1573.431,5634.9591,
1570.520,5633.1106,
1567.610,5608.2864,
1564.699,5599.875,
1561.788,5543.5375,
1558.878,5425.6537,
1555.967,5333.6465,
1553.057,5296.1165,
1550.146,5166.5807,
1547.235,5048.5521,
1544.325,4978.0256,
1541.414,4909.6912,
1538.504,4872.1956,
1535.593,4855.1629,
1532.683,4763.481,
1529.772,4655.9377,
1526.861,4591.4002,
1523.951,4496.2754,
1521.040,4443.9127,
1518.130,4399.8176,
1515.219,4344.9553,
1512.309,4330.1678,
1509.398,4278.925,
1506.487,4161.9843,
1503.577,4238.1438,
1500.666,4196.4806,
1497.756,4127.968,
1494.845,4104.1546,
1491.934,4086.3774,
1489.024,3934.3035,
1486.113,3918.6756,
1483.203,3885.0128,
1480.292,3844.389,
1477.382,3848.3822,
1474.471,3859.3162,
1471.560,3773.3437,
1468.650,3759.6899,
1465.739,3702.264,
1462.829,3691.135,
1459.918,3688.9853,
1457.008,3711.9678,
1454.097,3731.8508,
1451.186,3710.875,
1448.276,3724.8958,
1445.365,3752.0898,
1442.455,3753.1353,
1439.544,3728.4526,
1436.633,3707.9346,
1433.723,3744.8107,
1430.812,3603.4317,
1427.902,3597.9201,
1424.991,3599.8156,
1422.081,3567.7633,
1419.170,3537.2251,
1416.259,3591.1995,
1413.349,3532.3719,
1410.438,3480.8838,
1407.528,3486.8998,
1404.617,3488.0681,
1401.707,3511.0217,
1398.796,3547.2596,
1395.885,3574.5838,
1392.975,3594.3957,
1390.064,3595.4669,
1387.154,3586.9109,
1384.243,3505.7354,
1381.332,3477.5895,
1378.422,3611.9902,
1375.511,3769.3694,
1372.601,3838.2281,
1369.690,3948.4561,
1366.780,4008.6449,
1363.869,4075.0873,
1360.958,4125.5847,
1358.048,4201.9861,
1355.137,4292.7636,
1352.227,4373.019,
1349.316,4452.8138,
1346.406,4533.2268,
1343.495,4595.5737,
1340.584,4653.9811,
1337.674,4726.3791,
1334.763,4792.4035,
1331.853,4885.1266,
1328.942,4920.8957,
1326.032,4970.5498,
1323.121,5109.8028,
1320.210,5194.8302,
1317.300,5214.2848,
1314.389,5274.5151,
1311.479,5348.9137,
1308.568,5425.8312,
1305.657,5530.8989,
1302.747,5582.843,
1299.836,5725.5974,
1296.926,5797.1899,
1294.015,5997.6025,
1291.105,6115.9427,
1288.194,6262.6676,
1285.283,6425.4716,
1282.373,6558.5075,
1279.462,6676.1482,
1276.552,6784.0484,
1273.641,6856.6797,
1270.731,6895.8705,
1267.820,6923.5654,
