,PLE8E6~1,
Raman shift [1/cm],Intensity,
2173.010,310.625,
2170.099,321.02381,
2167.189,333.53172,
2164.278,320.1848,
2161.368,318.48204,
2158.457,332.91018,
2155.546,354.6702,
2152.636,355.14097,
2149.725,377.75921,
2146.815,370.0588,
2143.904,389.21609,
2140.993,369.95301,
2138.083,380.54292,
2135.172,407.93607,
2132.262,401.83451,
2129.351,392.17677,
2126.441,392.858,
2123.530,370.52398,
2120.619,361.625,
2117.709,353.97806,
2114.798,346.22131,
2111.888,346.61342,
2108.977,313.90976,
2106.067,305.10824,
2103.156,305.50484,
2100.245,324.60743,
2097.335,296.86584,
2094.424,302.45459,
2091.514,316.77018,
2088.603,307.80938,
2085.692,308.99294,
2082.782,309.72948,
2079.871,295.76736,
2076.961,311.39802,
2074.050,303.35227,
2071.140,318.42953,
2068.229,312.55601,
2065.318,298.63852,
2062.408,312.73091,
2059.497,301.41666,
2056.587,295.07855,
2053.676,311.59057,
2050.766,309.16386,
2047.855,306.96675,
2044.944,317.16186,
2042.034,309.99497,
2039.123,322.38594,
2036.213,323.22274,
2033.302,314.25541,
2030.391,295.01539,
2027.481,299.9907,
2024.570,313.21051,
2021.660,325.91545,
2018.749,303.49878,
2015.839,322.93471,
2012.928,308.84312,
2010.017,316.70317,
2007.107,311.04369,
2004.196,307.52975,
2001.286,313.29283,
1998.375,335.62993,
1995.465,326.89286,
1992.554,327.88378,
1989.643,327.65956,
1986.733,322.2136,
1983.822,330.08586,
1980.912,318.26886,
1978.001,336.58234,
1975.090,340.85858,
1972.180,330.52127,
1969.269,328.53016,
1966.359,331.76023,
1963.448,331.24191,
1960.538,332.05953,
1957.627,352.24111,
1954.716,344.91227,
1951.806,347.97918,
1948.895,337.66545,
1945.985,351.01225,
1943.074,348.06412,
1940.164,340.22101,
1937.253,342.82905,
1934.342,348.0095,
1931.432,354.83005,
1928.521,359.88407,
1925.611,358.94963,
1922.700,337.67335,
1919.790,336.79257,
1916.879,345.067,
1913.968,333.63975,
1911.058,342.54993,
1908.147,353.89798,
1905.237,345.60296,
1902.326,361.84425,
1899.415,377.56159,
1896.505,387.97443,
1893.594,378.45117,
1890.684,369.85371,
1887.773,375.46986,
1884.863,381.64095,
1881.952,350.75035,
1879.041,375.71899,
1876.131,371.52305,
1873.220,348.44793,
1870.310,369.75949,
1867.399,377.52904,
1864.489,349.91014,
1861.578,380.8778,
1858.667,375.09206,
1855.757,379.44004,
1852.846,363.37884,
1849.936,367.43881,
1847.025,381.85613,
1844.114,394.99204,
1841.204,376.70192,
1838.293,365.62334,
1835.383,370.997,
1832.472,368.69457,
1829.562,373.56823,
1826.651,414.8652,
1823.740,386.49082,
1820.830,363.45172,
1817.919,395.01444,
1815.009,386.35656,
1812.098,365.67226,
1809.188,388.01254,
1806.277,410.16023,
1803.366,406.04273,
1800.456,373.32867,
1797.545,400.59673,
1794.635,383.07604,
1791.724,401.44051,
1788.813,409.02294,
1785.903,400.74904,
1782.992,404.28226,
1780.082,433.93889,
1777.171,459.63465,
1774.261,484.67478,
1771.350,444.25449,
1768.439,407.36909,
1765.529,405.26205,
1762.618,411.5575,
1759.708,420.26637,
1756.797,405.10985,
1753.887,411.44716,
1750.976,422.95943,
1748.065,423.15495,
1745.155,401.07679,
1742.244,405.82696,
1739.334,420.41794,
1736.423,425.45116,
1733.512,421.53149,
1730.602,419.625,
1727.691,408.11009,
1724.781,414.06392,
1721.870,451.22996,
1718.960,411.1133,
1716.049,421.59937,
1713.138,451.27487,
1710.228,470.42005,
1707.317,457.58729,
1704.407,467.30416,
1701.496,454.04024,
1698.586,445.23312,
1695.675,453.04638,
1692.764,443.21106,
1689.854,462.71556,
1686.943,476.18657,
1684.033,463.94787,
1681.122,476.4041,
1678.211,511.29189,
1675.301,474.73909,
1672.390,493.6908,
1669.480,515.60093,
1666.569,512.6123,
1663.659,511.42901,
1660.748,499.52859,
1657.837,494.97492,
1654.927,511.67931,
1652.016,554.41005,
1649.106,506.99594,
1646.195,562.1285,
1643.285,582.21484,
1640.374,564.58319,
1637.463,563.03933,
1634.553,586.34912,
1631.642,634.92902,
1628.732,662.79091,
1625.821,690.62173,
1622.911,685.65318,
1620.000,700.43602,
1617.089,727.08769,
1614.179,783.98934,
1611.268,790.43911,
1608.358,836.37749,
1605.447,839.56786,
1602.536,825.64669,
1599.626,888.10037,
1596.715,859.13616,
1593.805,868.14565,
1590.894,850.25026,
1587.984,840.69626,
1585.073,837.92337,
1582.162,814.24819,
1579.252,806.3518,
1576.341,793.60905,
1573.431,792.19135,
1570.520,774.27995,
1567.610,804.39026,
1564.699,799.94931,
1561.788,752.0761,
1558.878,761.25276,
1555.967,759.75104,
1553.057,742.41821,
1550.146,731.0941,
1547.235,719.95076,
1544.325,704.44543,
1541.414,682.04345,
1538.504,699.93935,
1535.593,691.13259,
1532.683,675.9729,
1529.772,698.58759,
1526.861,692.23431,
1523.951,695.74316,
1521.040,702.42099,
1518.130,712.24817,
1515.219,689.5468,
1512.309,641.99442,
1509.398,698.94417,
1506.487,737.6649,
1503.577,690.71461,
1500.666,677.8342,
1497.756,663.625,
1494.845,665.18585,
1491.934,702.57146,
1489.024,686.20908,
1486.113,649.46359,
1483.203,716.79025,
1480.292,706.95775,
1477.382,642.19814,
1474.471,661.38967,
1471.560,650.58068,
1468.650,646.72464,
1465.739,650.54647,
1462.829,671.31997,
1459.918,654.79049,
1457.008,653.47144,
1454.097,671.00342,
1451.186,676.02152,
1448.276,683.24561,
1445.365,656.80115,
1442.455,636.37123,
1439.544,662.31711,
1436.633,673.54754,
1433.723,681.37877,
1430.812,670.55629,
1427.902,645.43679,
1424.991,679.55624,
1422.081,700.8095,
1419.170,697.44064,
1416.259,629.38977,
1413.349,678.57573,
1410.438,667.43514,
1407.528,681.94963,
1404.617,670.6171,
1401.707,664.34357,
1398.796,656.2719,
1395.885,649.9204,
1392.975,642.9363,
1390.064,588.56484,
1387.154,563.99749,
1384.243,486.69157,
1381.332,432.15024,
1378.422,493.39788,
1375.511,508.38638,
1372.601,645.93898,
1369.690,649.91,
1366.780,731.78869,
1363.869,759.43682,
1360.958,760.96478,
1358.048,800.9702,
1355.137,796.03259,
1352.227,769.37011,
1349.316,761.73779,
1346.406,758.35542,
1343.495,790.86369,
1340.584,801.69635,
1337.674,804.58818,
1334.763,788.40128,
1331.853,808.80036,
1328.942,817.63018,
1326.032,812.91566,
1323.121,761.98038,
1320.210,777.92104,
1317.300,794.625,
1314.389,798.22229,
1311.479,809.48902,
1308.568,801.30625,
1305.657,761.88202,
1302.747,745.02938,
1299.836,750.67909,
1296.926,782.18874,
1294.015,837.34816,
1291.105,860.758,
1288.194,929.92067,
1285.283,919.41688,
1282.373,921.2812,
1279.462,915.99779,
1276.552,910.27069,
1273.641,912.20854,
1270.731,917.21009,
1267.820,938.05474,
1264.909,925.21887,
1261.999,958.25883,
1259.088,948.2255,
1256.178,925.35713,
1253.267,906.28109,
1250.356,892.14345,
1247.446,895.25245,
1244.535,860.48672,
1241.625,822.85462,
1238.714,822.95457,
1235.804,822.45503,
1232.893,853.50636,
1229.982,824.77832,
1227.072,829.30488,
1224.161,797.68586,
1221.251,756.63307,
1218.340,722.59939,
1215.430,709.52393,
1212.519,724.47158,
1209.608,738.30937,
1206.698,748.79571,
1203.787,805.13253,
1200.877,790.78919,
1197.966,777.3018,
1195.055,843.17839,
1192.145,823.06858,
1189.234,826.24964,
1186.324,848.89919,
1183.413,882.38137,
1180.503,896.14655,
1177.592,870.46336,
1174.681,867.89212,
1171.771,875.96563,
1168.860,847.38677,
1165.950,851.07532,
1163.039,842.14896,
1160.129,847.06268,
1157.218,831.99188,
1154.307,826.80524,
1151.397,852.93278,
1148.486,840.674,
1145.576,844.92891,
1142.665,805.86074,
1139.754,813.20217,
1136.844,810.02258,
1133.933,814.66307,
1131.023,798.38069,
1128.112,788.19446,
1125.202,811.41727,
1122.291,807.12365,
1119.380,803.8935,
1116.470,831.25188,
1113.559,812.97403,
1110.649,806.625,
1107.738,815.19809,
1104.828,816.38351,
1101.917,809.69609,
1099.006,813.22297,
1096.096,806.19497,
1093.185,799.17095,
1090.275,816.42895,
1087.364,802.78581,
1084.453,791.25021,
1081.543,797.38942,
1078.632,814.89289,
1075.722,822.60706,
1072.811,798.30041,
1069.901,821.87845,
1066.990,822.00834,
1064.079,812.77832,
1061.169,827.40324,
1058.258,826.10906,
1055.348,821.55646,
1052.437,863.96905,
1049.527,860.5243,
1046.616,857.91781,
1043.705,889.22637,
1040.795,886.49341,
1037.884,885.18811,
1034.974,874.23841,
1032.063,853.7786,
1029.153,876.41728,
1026.242,874.68736,
1023.331,860.45924,
1020.421,855.5337,
1017.510,869.19217,
1014.600,889.0836,
1011.689,908.03683,
1008.778,932.78267,
1005.868,968.63272,
1002.957,969.49308,
1000.047,980.545,
997.136,978.75174,
994.226,967.0405,
991.315,955.79827,
988.404,946.2747,
985.494,918.68254,
982.583,921.25221,
979.673,911.38195,
976.762,909.38631,
973.852,917.25515,
970.941,930.07071,
968.030,937.61917,
965.120,920.6608,
962.209,929.18622,
959.299,903.71153,
956.388,923.983,
953.477,948.21397,
950.567,938.21375,
947.656,915.30155,
944.746,943.3369,
941.835,938.14649,
938.925,908.32884,
936.014,928.527,
933.103,947.79504,
930.193,922.82233,
927.282,931.53334,
924.372,929.84213,
921.461,887.65018,
918.551,893.5386,
915.640,904.37556,
912.729,898.08829,
909.819,894.4009,
906.908,877.5524,
903.998,898.8952,
901.087,915.44561,
898.176,914.46707,
895.266,918.68616,
892.355,943.36852,
889.445,936.65438,
886.534,924.10192,
883.624,944.50129,
880.713,956.13536,
877.802,972.60502,
874.892,1011.6335,
871.981,1051.8223,
869.071,1060.1764,
866.160,1040.9262,
863.250,998.07602,
860.339,957.95969,
857.428,936.99013,
854.518,922.51566,
851.607,953.30222,
848.697,988.20114,
845.786,1004.7388,
