,PL5D80~1,
Raman shift [1/cm],Intensity,
2173.010,849.95096,
2170.099,886.68801,
2167.189,895.9479,
2164.278,945.46721,
2161.368,992.19418,
2158.457,1039.8959,
2155.546,1075.8203,
2152.636,1120.742,
2149.725,1160.2491,
2146.815,1176.2913,
2143.904,1205.3165,
2140.993,1196.2651,
2138.083,1245.9319,
2135.172,1249.7593,
2132.262,1244.8908,
2129.351,1258.4216,
2126.441,1243.8385,
2123.530,1200.423,
2120.619,1175.1941,
2117.709,1119.3959,
2114.798,1069.5401,
2111.888,1011.6384,
2108.977,979.274,
2106.067,942.80665,
2103.156,930.98549,
2100.245,905.61434,
2097.335,886.6983,
2094.424,865.92322,
2091.514,850.70301,
2088.603,867.32083,
2085.692,849.98202,
2082.782,837.15911,
2079.871,853.41146,
2076.961,856.625,
2074.050,823.72197,
2071.140,825.94681,
2068.229,827.625,
2065.318,832.60076,
2062.408,829.29899,
2059.497,812.81547,
2056.587,834.45018,
2053.676,814.41018,
2050.766,842.69974,
2047.855,818.625,
2044.944,819.6891,
2042.034,819.27808,
2039.123,808.20749,
2036.213,828.20276,
2033.302,831.86399,
2030.391,809.35464,
2027.481,830.56367,
2024.570,839.41083,
2021.660,824.51194,
2018.749,812.73897,
2015.839,817.37369,
2012.928,835.75084,
2010.017,846.6391,
2007.107,822.55585,
2004.196,837.88694,
2001.286,846.81228,
1998.375,837.97047,
1995.465,819.67947,
1992.554,821.76024,
1989.643,852.55352,
1986.733,817.65834,
1983.822,853.20181,
1980.912,847.66436,
1978.001,834.48956,
1975.090,822.44484,
1972.180,811.72873,
1969.269,806.36062,
1966.359,818.89545,
1963.448,842.69634,
1960.538,851.87104,
1957.627,854.40828,
1954.716,844.91227,
1951.806,824.6618,
1948.895,857.37611,
1945.985,821.7737,
1943.074,846.25974,
1940.164,834.42301,
1937.253,840.24649,
1934.342,849.57367,
1931.432,829.19282,
1928.521,806.93588,
1925.611,831.61819,
1922.700,831.75346,
1919.790,820.01238,
1916.879,821.41575,
1913.968,831.6127,
1911.058,818.75713,
1908.147,825.00898,
1905.237,850.24998,
1902.326,831.35094,
